placename,jab,jag,shot,longitude,latitude
Mold,0.9765292,0.000000000,0.023470839, -3.1419030,53.16720
Mold,0.9765292,0.000000000,0.023470839, -3.1419030,53.16720
Taunton,0.9663677,0.000000000,0.033632287, -3.1068490,51.01534
Wick,0.8424069,0.104871060,0.052722063, -3.0937160,58.43894
John o' Groats,0.8424069,0.104871060,0.052722063, -3.0688997,58.63734
Dalkeith,0.7465753,0.188356164,0.065068493, -3.0666060,55.89312
Oswestry,0.9555809,0.000000000,0.044419134, -3.0564120,52.85715
Blackpool,0.9692737,0.000000000,0.030726257, -3.0356748,53.81751
Birkenhead,0.9786325,0.000000000,0.021367521, -3.0230090,53.38999
Cupar,0.7724551,0.155688623,0.071856287, -3.0101370,56.32023
Southport,0.9699418,0.000000000,0.030058177, -3.0101130,53.64571
Bridgwater,0.9804305,0.000000000,0.019569472, -3.0036320,51.12789
Langholm,0.9292308,0.036923077,0.033846154, -2.9989130,55.15306
Newport,0.9753593,0.000000000,0.024640657, -2.9976640,51.58415
Axminster,0.9652997,0.000000000,0.034700315, -2.9949370,50.78273
Wrexham,0.9751895,0.000000000,0.024810476, -2.9924940,53.04304
Liverpool,0.9799599,0.000000000,0.020040080, -2.9915726,53.40837
Weston-super-Mare,0.9802761,0.000000000,0.019723866, -2.9772550,51.34741
Dundee,0.7650602,0.156626506,0.078313253, -2.9707210,56.46202
Kirkwall,0.8424069,0.104871060,0.052722063, -2.9622491,58.98467
Ambleside,0.9505664,0.012358393,0.037075180, -2.9613330,54.42874
Orkney Islands,0.8424069,0.104871060,0.052722063, -2.9605206,58.98094
Lyme Regis,0.9746835,0.000000000,0.025316456, -2.9366390,50.72516
Carlisle,0.9511494,0.017241379,0.031609195, -2.9329310,54.89247
Chester,0.9799867,0.000000000,0.020013342, -2.8930750,53.19339
Forfar,0.8005249,0.125984252,0.073490814, -2.8890620,56.64356
Morecambe,0.9744136,0.000000000,0.025586354, -2.8649680,54.07417
Selkirk,0.7632399,0.152647975,0.084112150, -2.8385240,55.55066
Galashiels,0.7689769,0.161716172,0.069306931, -2.8144490,55.62373
Lancaster,0.9733037,0.000000000,0.026696329, -2.8007399,54.04657
St Andrews,0.7708333,0.148809524,0.080357143, -2.7967214,56.33978
Hawick,0.7928803,0.119741100,0.087378641, -2.7809140,55.42706
Bridport,0.9750779,0.000000000,0.024922118, -2.7583010,50.73358
Shrewsbury,0.9740484,0.000000000,0.025951557, -2.7553268,52.70730
Penrith,0.9628205,0.010256410,0.026923077, -2.7527080,54.66410
Kendal,0.9572737,0.006103764,0.036622584, -2.7462900,54.32801
Street,0.9838384,0.000000000,0.016161616, -2.7429190,51.12468
Glastonbury,0.9834369,0.000000000,0.016563147, -2.7184540,51.14743
Hereford,0.9641304,0.000000000,0.035869565, -2.7159740,52.05640
Ludlow,0.9723077,0.000000000,0.027692308, -2.7139129,52.36775
Preston,0.9663609,0.000000000,0.033639144, -2.7030900,53.76320
Whitchurch,0.9673267,0.000000000,0.032673267, -2.6820450,52.96872
Wells,0.9895013,0.000000000,0.010498688, -2.6445979,51.20935
Yeovil,0.9904762,0.000000000,0.009523810, -2.6333080,50.94206
Wigan,0.9787664,0.000000000,0.021233569, -2.6325074,53.54506
Warrington,0.9720930,0.000000000,0.027906977, -2.5969501,53.39004
Arbroath,0.8072917,0.119791667,0.072916667, -2.5915430,56.55911
Bristol,0.9889807,0.000000000,0.011019284, -2.5879100,51.45451
Guernsey,0.9790026,0.000000000,0.020997375, -2.5852780,49.46569
Ross-on-Wye,0.9721936,0.000000000,0.027806385, -2.5824460,51.91445
Jedburgh,0.8687351,0.071599045,0.059665871, -2.5549369,55.47772
Sedbergh,0.9516129,0.006048387,0.042338710, -2.5281740,54.32363
Sedbergh,0.9516129,0.006048387,0.042338710, -2.5281740,54.32363
Nantwich,0.9744560,0.000000000,0.025543992, -2.5241020,53.06719
Banff,0.8486612,0.097788126,0.053550640, -2.5240380,57.66651
