index,placename,longitude,latitude,dont_have,havent,havent_got
38,Kilkenny,-7.2447879,52.65415,0.6806274844212314,0.01,0.4022039508843412
39,Tyrone,-7.131232000000001,54.491209999999995,0.8088249008344615,0.3776231927996487,0.17513374374095678
40,Waterford,-7.110070200000001,52.25932,0.6100830400203334,0.01,0.47655831403462295
41,Western Isles,-7.0194034,57.759890000000006,0.8938560541136866,0.4510002648663175,0.07604606609038657
42,Monaghan,-6.9683132,54.2492,0.8998402519543055,0.38291867316887424,0.11622806611225872
43,Carlow,-6.934135899999999,52.83651,0.7345010599546865,0.01,0.3448590086478236
44,Kildare,-6.8194707999999995,53.21204,0.8058774714070102,0.37695566394428287,0.23608290345397465
45,Dungannon,-6.7669352,54.508269999999996,0.8109297131205786,0.378099869914996,0.1754442346223785
46,Cookstown,-6.7443895000000005,54.641819999999996,0.8255580783420664,0.38141275771122285,0.1776021344224396
47,Coleraine,-6.6646103000000005,55.132580000000004,0.911956460324822,0.4556584907795193,0.11466316696566967
48,Meath,-6.656416900000001,53.60555,0.9199688787609186,0.38730187740287275,0.11836936617094343
49,Armagh,-6.652792,54.350280000000005,0.8317424259609302,0.3828133277300834,0.17851441698362774
50,Armagh,-6.652792,54.350280000000005,0.8317424259609302,0.3828133277300834,0.17851441698362774
51,Magherafelt,-6.607980499999999,54.75536999999999,0.7904589153873729,0.38902492951452966,0.21423503238642097
52,Dunvegan,-6.581398200000001,57.4366,0.8200291419269172,0.4320007290494696,0.06985824839366396
53,Louth,-6.4889423,53.925230000000006,0.9205885987829896,0.3874368274643316,0.11843529250225147
54,Wexford,-6.4633381,52.33692,0.5441424106790608,0.01,0.5326973713831815
55,Craigavon,-6.4175653,54.442930000000004,0.8416097470145654,0.3850479812272509,0.1799699924909648
56,Stornoway,-6.384869200000001,58.209430000000005,0.9276993198792044,0.43972253428132,0.0723731057841229
57,Drogheda,-6.3560985,53.717859999999995,0.8985854922973108,0.3826454370512777,0.11609458373648755
58,Rosslare,-6.3414908,52.25131,0.40373670460640093,0.15882377203285034,0.49815070841179615
59,Newry,-6.34023,54.1751,0.8415280077021398,0.3850294697144122,0.1799579347358247
60,Scilly Isles,-6.327496599999999,49.92773,0.1717288108616157,0.18817742185560696,0.787168469359706
61,Ballymena,-6.2802213,54.86529,0.867815380124772,0.39098286706827456,0.15200164681609055
62,Banbridge,-6.2704803,54.34873,0.8279384975058443,0.381951851552413,0.17795328138656052
63,Dublin,-6.2603097000000005,53.34981,0.9857761430159143,0.40163204915684403,0.1253699976678127
64,Antrim,-6.2072498,54.719530000000006,0.8050929656924635,0.3924771962510122,0.21676480397132594
65,Antrim,-6.2072498,54.719530000000006,0.8050929656924635,0.3924771962510122,0.21676480397132594
66,Portree,-6.1960231,57.41246999999999,0.9165546090850265,0.456841793319758,0.07794855010307779
67,Islay,-6.177067,55.73625,0.8579458125315093,0.4520321342545522,0.113186875024907
68,Wicklow,-6.044589,52.980819999999994,0.7768512968152634,0.3631197536410629,0.2543830221046353
