placename,drank,drunk,longitude,latitude
Skipton,0.8401323,0.15986770, -2.0162787,53.96285
Fraserburgh,0.9567568,0.04324324, -2.0076310,57.69335
Berwick,0.9142857,0.08571429, -2.0053950,55.77024
Poole,0.8583333,0.14166667, -1.9872480,50.71505
Walsall,0.9209278,0.07907222, -1.9829190,52.58621
Cirencester,0.9275362,0.07246377, -1.9682430,51.71849
Evesham,0.9810726,0.01892744, -1.9467700,52.09215
Buxton,0.9222672,0.07773279, -1.9148300,53.25908
Keighley,0.8363252,0.16367476, -1.9123580,53.86780
Birmingham,0.9337098,0.06629020, -1.8904010,52.48624
Bournemouth,0.8764302,0.12356979, -1.8807690,50.71916
Halifax,0.8452508,0.15474920, -1.8575400,53.72702
Salisbury,0.8790323,0.12096774, -1.7944720,51.06878
Ringwood,0.8901602,0.10983982, -1.7888170,50.84495
Huddersfield,0.8484848,0.15151515, -1.7850351,53.64579
Peterhead,0.9567568,0.04324324, -1.7840660,57.50812
Swindon,0.9242424,0.07575758, -1.7797176,51.55577
Bradford,0.8336910,0.16630901, -1.7593980,53.79598
Ashbourne,0.9256900,0.07430998, -1.7321790,53.01663
Marlborough,0.9338843,0.06611570, -1.7270620,51.42007
Stratford-upon-Avon,0.9367385,0.06326148, -1.7082980,52.19173
Alnwick,0.9366197,0.06338028, -1.7062990,55.41274
Otley,0.8416507,0.15834933, -1.6917860,53.90583
Bishop Auckland,0.9477352,0.05226481, -1.6787880,54.66382
Burton upon Trent,0.9252492,0.07475083, -1.6371359,52.81403
Newcastle,0.9394958,0.06050420, -1.6177800,54.97825
Durham,0.9477352,0.05226481, -1.5848520,54.77525
Ashington,0.9355993,0.06440072, -1.5659829,55.18298
Darlington,0.9323308,0.06766917, -1.5594580,54.52361
Leeds,0.8369565,0.16304348, -1.5490774,53.80076
Harrogate,0.8369565,0.16304348, -1.5418120,53.99212
Leamington Spa,0.9398301,0.06016989, -1.5200789,52.28519
Coventry,0.9429537,0.05704627, -1.5196930,52.40682
Blyth,0.9355993,0.06440072, -1.5102770,55.12696
Wakefield,0.8477337,0.15226629, -1.5059240,53.68330
Andover,0.8601399,0.13986014, -1.4919233,51.21120
Witney,0.9029851,0.09701493, -1.4850544,51.78594
Barnsley,0.8542999,0.14570007, -1.4797260,53.55263
Derby,0.9392361,0.06076389, -1.4746186,52.92253
Sheffield,0.8913043,0.10869565, -1.4700850,53.38113
Nuneaton,0.9379909,0.06200909, -1.4653820,52.52049
Northallerton,0.8627244,0.13727561, -1.4299590,54.33796
South Shields,0.9366197,0.06338028, -1.4274060,54.99942
Chesterfield,0.9090909,0.09090909, -1.4216290,53.23505
Southampton,0.8510158,0.14898420, -1.4043509,50.90970
