,placename,control,doubled,longitude,latitude
181,Perth,0.8931950240028951,0.1068051503064398,-3.4308381000000003,56.39499
182,Prestatyn,0.5622448940847702,0.43775497319339396,-3.407613,53.33651
183,Builth Wells,0.8392837480208529,0.1607163207746525,-3.404592,52.15002
184,Braemar,0.6868017612670605,0.3131979697011917,-3.3979439,57.00646999999999
185,Brecon,0.9139021886742776,0.08609802912202537,-3.391463,51.94895
186,Merthyr Tydfil,0.9266294821120524,0.07337049363386867,-3.381646,51.74873
187,Llandrindod Wells,0.8406886103633276,0.15931145797021565,-3.377742,52.2417
188,Corwen,0.6853374137623344,0.3146621341158991,-3.369242,52.98005
189,Cockermouth,0.7820134588343696,0.21798618864674127,-3.367985,54.66326
190,Lockerbie,0.7531251858911314,0.2468740628402818,-3.349008,55.12224000000001
191,Blairgowrie,0.835095739470177,0.16490436869564906,-3.3378318,56.58941
192,Elgin,0.8005120786520405,0.1994880780741346,-3.318485,57.64945
193,Newtown,0.7690431621805992,0.2309563918170071,-3.313106,52.51211
194,Ruthin,0.8194093756209555,0.1805908716511765,-3.3103108,53.11487
195,Ruthin,0.8194093756209555,0.1805908716511765,-3.3103108,53.11487
196,Sidmouth,0.7026817683040264,0.2973177907620284,-3.23756,50.67865
197,Barrow-in-Furness,0.7061964554437147,0.29380369415606405,-3.218894,54.10896999999999
198,Peebles,0.8779782132429166,0.12202216625467605,-3.193642,55.65306999999999
199,Edinburgh,0.8777681167124213,0.12223166907934127,-3.188267,55.95325
200,Cardiff,0.9183243409486984,0.08167529338558838,-3.17909,51.48158
201,Llangollen,0.8213217603051725,0.1786787335953369,-3.17166,52.96921
202,Kirkcaldy,0.890146093027202,0.10985407700665244,-3.158137,56.11682
203,Welshpool,0.7647070735451752,0.2352929956190646,-3.146407,52.66035
204,Mold,0.6846122010395996,0.31538816529350777,-3.141903,53.1672
205,Mold,0.6846122010395996,0.31538816529350777,-3.141903,53.1672
206,Taunton,0.7169999734215244,0.2830004772529806,-3.106849,51.01534
207,Wick,0.8107840270948585,0.1892154356081005,-3.093716,58.43894
208,John o' Groats,0.8107840270948585,0.1892154356081005,-3.0688997,58.63734
209,Dalkeith,0.8903713772586946,0.10962798415941916,-3.066606,55.89312
210,Oswestry,0.8270196794635692,0.17298055064628873,-3.056412,52.85715
211,Blackpool,0.7966607308068601,0.20333915919710224,-3.0356748,53.81751
212,Birkenhead,0.5342919303947677,0.46570737793235295,-3.023009,53.38999
213,Cupar,0.8616159966992073,0.13838444051703094,-3.010137,56.32023
214,Southport,0.7112526942348762,0.2887475303989635,-3.010113,53.64571
215,Bridgwater,0.8575963185012783,0.14240326337337186,-3.003632,51.12789
216,Langholm,0.8362512703879081,0.1637487042810151,-2.998913,55.15306
217,Newport,0.8915863933386743,0.10841311812015576,-2.997664,51.58415
218,Axminster,0.6918086400299722,0.3081918088897441,-2.994937,50.78273
219,Wrexham,0.7906881673887164,0.20931218748570304,-2.992494,53.04304000000001
220,Liverpool,0.5279915657633782,0.4720083616548779,-2.9915726,53.40837
221,Weston-super-Mare,0.9116784561195684,0.08832161991845193,-2.977255,51.34741
222,Dundee,0.8543145094435856,0.1456852983690246,-2.970721,56.46202
223,Kirkwall,0.8114105197610979,0.1885888952059001,-2.9622491,58.98467
224,Ambleside,0.7816071878326271,0.21839327448888946,-2.961333,54.42874000000001
225,Orkney Islands,0.8114105197610979,0.1885888952059001,-2.9605206,58.98094
226,Lyme Regis,0.7357453933804419,0.2642547199664688,-2.936639,50.72516
227,Carlisle,0.7926208023409307,0.2073791157272943,-2.932931,54.89247
228,Chester,0.6236677538529319,0.376332199189035,-2.893075,53.19339
229,Forfar,0.8387711631121106,0.16122815613067173,-2.889062,56.64356
230,Morecambe,0.815126443939032,0.18487306807681084,-2.864968,54.07417
231,Selkirk,0.8534943735896019,0.1465050705148607,-2.838524,55.55066
232,Galashiels,0.8744268224924799,0.12557346764423902,-2.814449,55.62373
233,Lancaster,0.7920297476436917,0.2079701397110247,-2.8007399,54.04657
234,St Andrews,0.8571242341285351,0.14287575121553556,-2.7967214,56.33978000000001
235,Hawick,0.8376219604031345,0.16237732274427852,-2.780914,55.42706
236,Bridport,0.7649627331786724,0.2350374437113115,-2.758301,50.73358
237,Shrewsbury,0.8334364831359572,0.16656302290117192,-2.7553268,52.7073
238,Penrith,0.7589952323275274,0.2410049272265776,-2.752708,54.6641
239,Kendal,0.8062796081066892,0.19372056457532635,-2.74629,54.32801
240,Street,0.7950065370396374,0.20499284702723936,-2.742919,51.12468
241,Glastonbury,0.7534466588956266,0.24655344685866706,-2.718454,51.14743
242,Hereford,0.8001614958872972,0.1998380569275512,-2.715974,52.0564
243,Ludlow,0.8679429398073435,0.13205668215860222,-2.7139129,52.36775
244,Preston,0.8663684814703712,0.13363173697743855,-2.70309,53.7632
245,Whitchurch,0.7625364979439652,0.2374639180298376,-2.682045,52.96872
246,Wells,0.8525097043081191,0.14749004045560787,-2.6445979,51.20935
