,"placename","himsel","himself","himsen","hissel","hisself","himseln","hissen","hisseln","longitude","latitude"
125,"Glasgow",0.234745614976291,0.69624722227991,0.01,0.350596111763313,0.350924457340877,0.01,0.01,0.01,-4.251806,55.86424
126,"Dalwhinnie",0.387945205467883,0.612053747585718,0.01,0.01,0.01,0.01,0.01,0.01,-4.242783,56.9366
127,"Inverness",0.502361583969434,0.497639370591122,0.01,0.01,0.01,0.01,0.01,0.01,-4.224721,57.47777
128,"Saltash",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.21643,50.40921
129,"Bideford",0.049624850793862,0.925564024284717,0.01,0.01,0.160593393125152,0.01,0.01,0.01,-4.206666,51.01668
130,"Invergordon",0.472082531885252,0.52791911556008,0.01,0.01,0.01,0.01,0.01,0.01,-4.172882,57.68811
131,"Llanelli",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.160248,51.68089
132,"Plymouth",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.1426565,50.37546
133,"Tavistock",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.141654,50.55112
134,"Porthmadog",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.133384,52.92784
135,"Bangor",0.06348158333842,0.936519144635279,0.01,0.01,0.01,0.01,0.01,0.01,-4.129263,53.22739
136,"Tywyn",0.01,0.971457844419986,0.01,0.01,0.184739778967923,0.01,0.01,0.01,-4.087249,52.58701
137,"Aberystwyth",0.01,0.971752057762733,0.01,0.01,0.182830076589272,0.01,0.01,0.01,-4.08292,52.4153
138,"Lampeter",0.01,0.973825396495746,0.01,0.01,0.169418541730617,0.01,0.01,0.01,-4.078509,52.1129
139,"Barnstaple",0.049518359412512,0.925723245623142,0.01,0.01,0.160248771196444,0.01,0.01,0.01,-4.058338,51.07816
140,"Tain",0.591119544632857,0.408880397084169,0.01,0.01,0.01,0.01,0.01,0.01,-4.05523,57.8115
141,"Okehampton",0.026415670345981,0.960378116065433,0.01,0.01,0.085485034250039,0.01,0.01,0.01,-4.004263,50.73831
142,"Llandeilo",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.99143,51.88469
143,"Motherwell",0.211056910753935,0.701608827784813,0.167021773384859,0.01,0.376833941785307,0.01,0.01,0.01,-3.9810968,55.78321
144,"Golspie",0.70359279463544,0.296407828151718,0.01,0.01,0.01,0.01,0.01,0.01,-3.976086,57.97341
145,"Airdrie",0.263898344347764,0.672125189508005,0.18352456946674,0.01,0.207033746334514,0.01,0.01,0.01,-3.962566,55.86627
146,"Swansea",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.943646,51.62144
147,"Stirling",0.576317145707885,0.403099970232528,0.01,0.488007967032178,0.01,0.01,0.01,0.01,-3.9369029,56.11652
148,"Tregaron",0.01,0.970952489737149,0.01,0.01,0.187995328214358,0.01,0.01,0.01,-3.934385,52.22
149,"Tregaron",0.01,0.970952489737149,0.01,0.01,0.187995328214358,0.01,0.01,0.01,-3.934385,52.22
150,"Castle Douglas",0.127277184375021,0.727264231272453,0.01,0.862195783989039,0.706093501756221,0.01,0.01,0.01,-3.931414,54.94042
151,"Dolgellau",0.01,0.97205665510581,0.01,0.01,0.180862037377601,0.01,0.01,0.01,-3.8844,52.74215
152,"Aberfeldy",0.453449781687684,0.546551473489641,0.01,0.01,0.01,0.01,0.01,0.01,-3.866969,56.62175
153,"Machynlleth",0.01,0.971713983094852,0.01,0.01,0.183079083462937,0.01,0.01,0.01,-3.853485,52.59027
154,"Brora",0.704291149787548,0.295708638796006,0.01,0.01,0.01,0.01,0.01,0.01,-3.852548,58.01216
155,"Llandudno",0.066087510096692,0.933912760551871,0.01,0.01,0.01,0.01,0.01,0.01,-3.827609,53.32406
156,"Llandudno",0.066087510096692,0.933912760551871,0.01,0.01,0.01,0.01,0.01,0.01,-3.827609,53.32406
157,"Aviemore",0.303119266167206,0.696880646300177,0.01,0.01,0.01,0.01,0.01,0.01,-3.823812,57.19449
158,"Dalbeattie",0.093667688930854,0.756464040206849,0.01,0.888327616705984,0.727494135960934,0.01,0.01,0.01,-3.822527,54.93422
159,"Falkirk",0.529506465177395,0.413760877240343,0.01,0.448370094413599,0.244794501784852,0.01,0.01,0.01,-3.7839131,56.00188
160,"Kingsbridge",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.777493,50.28395
161,"Pitlochry",0.45643956062095,0.543560881393944,0.01,0.01,0.01,0.01,0.01,0.01,-3.729711,56.70436
162,"Colwyn Bay",0.065011738772791,0.934989235252991,0.01,0.01,0.01,0.01,0.01,0.01,-3.72764,53.29318
163,"Totnes",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.685797,50.43374
164,"Grantown-on-Spey",0.560918298476154,0.439080531383909,0.01,0.01,0.01,0.01,0.01,0.01,-3.609628,57.33041
165,"Dumfries",0.091295937987018,0.762632136404229,0.01,0.865834373870301,0.709073317615246,0.01,0.01,0.01,-3.60512,55.07086
166,"Whitehaven",0.147619821470989,0.683672197877507,0.01,1,0.81894800947064,0.01,0.01,0.01,-3.589233,54.5497
167,"Dartmouth",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.578807,50.35252
168,"Bridgend",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.576945,51.50429
169,"Paignton",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.564235,50.43508
170,"Workington",0.108684210435592,0.767104179213999,0.01,0.736244046576117,0.602945579934208,0.01,0.01,0.01,-3.542752,54.64357
171,"Llanidloes",0.01,0.971360927083552,0.01,0.01,0.185351173172978,0.01,0.01,0.01,-3.540195,52.44779
172,"Exeter",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.533899,50.71841
173,"Torquay",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.525315,50.46192
174,"Thurso",0.755016965566115,0.244982797172775,0.01,0.01,0.01,0.01,0.01,0.01,-3.52208,58.59357
175,"Livingston",0.193130812178344,0.652364436875655,0.01,0.01,1,0.01,0.01,0.01,-3.518068,55.90071
176,"Rhyl",0.034121416260247,0.9658781749081,0.01,0.01,0.01,0.01,0.01,0.01,-3.491634,53.31914
177,"Tiverton",0.01,0.965393588225928,0.01,0.01,0.223990453549162,0.01,0.01,0.01,-3.491207,50.90205
178,"Tiverton",0.01,0.965393588225928,0.01,0.01,0.223990453549162,0.01,0.01,0.01,-3.491207,50.90205
179,"Minehead",0.01,0.951274809107464,0.01,0.01,0.315367575142613,0.01,0.01,0.01,-3.481152,51.20428
180,"Dunfermline",0.381816696390128,0.533336102400087,0.01,0.01,0.54916246991699,0.01,0.01,0.01,-3.452151,56.07174
181,"Perth",0.226336602970181,0.74133109038926,0.01,0.01,0.209273956891948,0.01,0.01,0.01,-3.4308381,56.39499
182,"Prestatyn",0.030629009498637,0.969370660353196,0.01,0.01,0.01,0.01,0.01,0.01,-3.407613,53.33651
183,"Builth Wells",0.01,0.915713069302817,0.01,0.01,0.545522175367062,0.01,0.01,0.01,-3.404592,52.15002
184,"Braemar",0.221407249635014,0.778592344914951,0.01,0.01,0.01,0.01,0.01,0.01,-3.3979439,57.00647
185,"Brecon",0.01,0.867929361107075,0.01,0.01,0.854795970959011,0.01,0.01,0.01,-3.391463,51.94895
186,"Merthyr Tydfil",0.01,0.894093580610994,0.01,0.01,0.685449588575229,0.01,0.01,0.01,-3.381646,51.74873
187,"Llandrindod Wells",0.01,0.920368562785128,0.01,0.01,0.515401327167432,0.01,0.01,0.01,-3.377742,52.2417
188,"Corwen",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.369242,52.98005
189,"Cockermouth",0.093493397298293,0.781849459685849,0.01,0.738895538568667,0.605117036367011,0.01,0.01,0.01,-3.367985,54.66326
190,"Lockerbie",0.091119691047257,0.763089032418851,0.01,0.864162922032972,0.707704463094807,0.01,0.01,0.01,-3.349008,55.12224
191,"Blairgowrie",0.201279317661212,0.718209382982699,0.01,0.01,0.521095822011903,0.01,0.01,0.01,-3.3378318,56.58941
192,"Elgin",0.630534351308329,0.369466193156246,0.01,0.01,0.01,0.01,0.01,0.01,-3.318485,57.64945
193,"Newtown",0.01,0.876821526724958,0.01,0.01,0.797251882628622,0.01,0.01,0.01,-3.313106,52.51211
194,"Ruthin",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.3103108,53.11487
195,"Ruthin",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.3103108,53.11487
196,"Sidmouth",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.23756,50.67865
197,"Barrow-in-Furness",0.038454511661989,0.948727267692605,0.073542369981622,0.01,0.01,0.01,0.01,0.01,-3.218894,54.10897
198,"Peebles",0.205846098406457,0.738015132949817,0.01,0.01,0.363353764815909,0.01,0.01,0.01,-3.193642,55.65307
199,"Edinburgh",0.138811930949618,0.791783486670402,0.01,0.01,0.449216017036147,0.01,0.01,0.01,-3.188267,55.95325
200,"Cardiff",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.17909,51.48158
201,"Llangollen",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.17166,52.96921
202,"Kirkcaldy",0.197941288789226,0.747623794590627,0.01,0.01,0.352312085388994,0.01,0.01,0.01,-3.158137,56.11682
203,"Welshpool",0.01,0.943902168871535,0.01,0.01,0.363072408331306,0.01,0.01,0.01,-3.146407,52.66035
204,"Mold",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.141903,53.1672
205,"Mold",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.141903,53.1672
206,"Taunton",0.01,0.94478134756633,0.01,0.01,0.357396082139515,0.01,0.01,0.01,-3.106849,51.01534
207,"Wick",0.912150129828452,0.087848642811155,0.01,0.01,0.01,0.01,0.01,0.01,-3.093716,58.43894
208,"John o' Groats",0.916541624846203,0.083459672004038,0.01,0.01,0.01,0.01,0.01,0.01,-3.0688997,58.63734
209,"Dalkeith",0.141865675669027,0.790038974614581,0.01,0.01,0.440734459831618,0.01,0.01,0.01,-3.066606,55.89312
210,"Oswestry",0.01,0.959900452050149,0.01,0.01,0.259531721011399,0.01,0.01,0.01,-3.056412,52.85715
211,"Blackpool",0.019941044895372,0.970087156376123,0.057204402675906,0.01,0.01,0.01,0.01,0.01,-3.0356748,53.81751
212,"Birkenhead",0.01,0.992803887769727,0.01,0.01,0.01,0.01,0.01,0.01,-3.023009,53.38999
213,"Cupar",0.21143293477746,0.735709884876052,0.01,0.01,0.342114184179777,0.01,0.01,0.01,-3.010137,56.32023
214,"Southport",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-3.010113,53.64571
215,"Bridgwater",0.01,0.953202771835821,0.01,0.01,0.302876660029022,0.01,0.01,0.01,-3.003632,51.12789
216,"Langholm",0.155437467446073,0.751299730708255,0.01,0.737070622061244,0.402414979106497,0.01,0.01,0.01,-2.998913,55.15306
217,"Newport",0.031163530398453,0.968837615002801,0.01,0.01,0.01,0.01,0.01,0.01,-2.997664,51.58415
218,"Axminster",0.01,0.926013997632447,0.01,0.01,0.478862374404988,0.01,0.01,0.01,-2.994937,50.78273
219,"Wrexham",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-2.992494,53.04304
220,"Liverpool",0.01,0.992710431766736,0.01,0.01,0.01,0.01,0.01,0.01,-2.9915726,53.40837
221,"Weston-super-Mare",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-2.977255,51.34741
222,"Dundee",0.121752894643494,0.817369663489158,0.01,0.01,0.394010442651555,0.01,0.01,0.01,-2.970721,56.46202
223,"Kirkwall",0.915439791759098,0.084560376039261,0.01,0.01,0.01,0.01,0.01,0.01,-2.9622491,58.98467
224,"Ambleside",0.14743019405496,0.852571424615616,0.01,0.01,0.01,0.01,0.01,0.01,-2.961333,54.42874
