placename,bottoms,jeans,joggers,kecks,pants,slacks,strides,trackies,trens,trousers,longitude,latitude
Newry,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.3402300,54.17510
Ballymena,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.2802213,54.86529
Banbridge,0.00000000,0.00000000,0.00000000,0.000000000,0.100000000,0.00000000,0,0.00000000,0.000000000,0.9000000, -6.2704803,54.34873
Dublin,0.00000000,0.00000000,0.00000000,0.000000000,0.100000000,0.00000000,0,0.00000000,0.000000000,0.9000000, -6.2603097,53.34981
Antrim,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.2072498,54.71953
Antrim,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.2072498,54.71953
Wicklow,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.0445890,52.98082
Kilkeel,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.0070040,54.06312
Belfast,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -5.9301200,54.59728
Down,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -5.7156922,54.32875
Balivanich,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -7.3743509,57.47227
Western Isles,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -7.0194034,57.75989
Dunvegan,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -6.5813982,57.43660
Stornoway,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -6.3848692,58.20943
Scilly Isles,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -6.3274966,49.92773
Portree,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -6.1960231,57.41247
Islay,0.00000000,0.01515152,0.00000000,0.000000000,0.113636364,0.00000000,0,0.00000000,0.007575758,0.8636364, -6.1770670,55.73625
Mull,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -6.0008870,56.43920
Broadford,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.9096592,57.24139
Kyle of Lochalsh,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.7143293,57.28261
Campbeltown,0.00000000,0.00000000,0.00000000,0.000000000,0.151515152,0.00000000,0,0.00000000,0.007575758,0.8409091, -5.6053740,55.42412
Penzance,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -5.5375920,50.11880
Oban,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.4710470,56.41516
Lochgilphead,0.00000000,0.01492537,0.00000000,0.000000000,0.089552239,0.00000000,0,0.00000000,0.007462687,0.8880597, -5.4323449,56.03829
Helston,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -5.2749960,50.10159
Redruth,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -5.2266660,50.23302
Ullapool,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.1613130,57.89542
Ballachulish,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.1337200,56.67393
Fort William,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.1052179,56.81982
Achnasheen,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -5.0787658,57.57859
Newquay,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -5.0737190,50.41550
Falmouth,0.00000000,0.00000000,0.00000000,0.000000000,0.037878788,0.00000000,0,0.00000000,0.000000000,0.9621212, -5.0662700,50.15257
Rothesay,0.00000000,0.01492537,0.00000000,0.000000000,0.097014925,0.00000000,0,0.00000000,0.007462687,0.8805970, -5.0557930,55.83596
Truro,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -5.0510410,50.26320
Milford Haven,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -5.0426971,51.71431
Stranraer,0.00000000,0.00000000,0.00000000,0.000000000,0.231343284,0.00000000,0,0.00000000,0.007462687,0.7611940, -5.0240550,54.90337
Fishguard,0.00000000,0.01470588,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9191176, -4.9759890,51.99393
Inchnadamph,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.9742950,58.15221
Haverfordwest,0.00000000,0.01470588,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9191176, -4.9713190,51.80048
Dunoon,0.00000000,0.01492537,0.00000000,0.000000000,0.111940299,0.00000000,0,0.00000000,0.007462687,0.8656716, -4.9262140,55.95097
Pembroke,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -4.9086370,51.67404
Girvan,0.00000000,0.00000000,0.00000000,0.000000000,0.161538462,0.00000000,0,0.00000000,0.007692308,0.8307692, -4.8542179,55.24016
Wadebridge,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -4.8364560,50.51665
Invergarry,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.8002610,57.07095
St Austell,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -4.7834252,50.34038
Greenock,0.00000000,0.01492537,0.00000000,0.000000000,0.111940299,0.00000000,0,0.00000000,0.007462687,0.8656716, -4.7719830,55.95648
Helensburgh,0.00000000,0.01492537,0.00000000,0.000000000,0.126865672,0.00000000,0,0.00000000,0.007462687,0.8507463, -4.7340140,56.00232
Bodmin,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -4.7188629,50.47150
Tenby,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -4.7035790,51.67274
Camelford,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -4.6823640,50.62206
Irvine,0.00000000,0.01492537,0.00000000,0.000000000,0.104477612,0.00000000,0,0.00000000,0.007462687,0.8731343, -4.6696364,55.61157
Cardigan,0.00000000,0.01470588,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9191176, -4.6608640,52.08370
Holyhead,0.00000000,0.01408451,0.00000000,0.000000000,0.345070423,0.00000000,0,0.00000000,0.000000000,0.6408451, -4.6330380,53.30944
Ayr,0.00000000,0.01492537,0.00000000,0.000000000,0.111940299,0.00000000,0,0.00000000,0.007462687,0.8656716, -4.6291790,55.45856
Dumbarton,0.00000000,0.01492537,0.00000000,0.000000000,0.126865672,0.00000000,0,0.00000000,0.007462687,0.8507463, -4.5645540,55.94529
Bude,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -4.5436780,50.82664
Isle of Man,0.00000000,0.00000000,0.00000000,0.015151515,0.371212121,0.00000000,0,0.00000000,0.000000000,0.6136364, -4.5126331,54.27697
Kilmarnock,0.00000000,0.01492537,0.00000000,0.000000000,0.104477612,0.00000000,0,0.00000000,0.007462687,0.8731343, -4.4987920,55.61472
Newton Stewart,0.00000000,0.00000000,0.00000000,0.000000000,0.242647059,0.00000000,0,0.00000000,0.007352941,0.7500000, -4.4831640,54.96030
Liskeard,0.00000000,0.00000000,0.00000000,0.000000000,0.037878788,0.00000000,0,0.00000000,0.000000000,0.9621212, -4.4647190,50.45552
Altnaharra,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.4426550,58.28023
Pwllheli,0.00000000,0.01408451,0.00000000,0.000000000,0.225352113,0.00000000,0,0.00000000,0.000000000,0.7605634, -4.4176339,52.88882
Lairg,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.4024140,58.02206
Launceston,0.00000000,0.00000000,0.00000000,0.000000000,0.053030303,0.00000000,0,0.00000000,0.000000000,0.9469697, -4.3604516,50.63683
Carmarthen,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -4.3121310,51.85762
Llangefni,0.00000000,0.01408451,0.00000000,0.000000000,0.359154930,0.00000000,0,0.00000000,0.000000000,0.6267606, -4.3114020,53.25578
Caernarfon,0.00000000,0.01408451,0.00000000,0.000000000,0.330985915,0.00000000,0,0.00000000,0.000000000,0.6549296, -4.2739110,53.13955
Cumnock,0.00000000,0.01470588,0.00000000,0.000000000,0.110294118,0.00000000,0,0.00000000,0.007352941,0.8676471, -4.2658289,55.45355
Aberaeron,0.00000000,0.01449275,0.00000000,0.000000000,0.057971014,0.00000000,0,0.00000000,0.000000000,0.9275362, -4.2581619,52.24279
Alness,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.2568250,57.69595
Glasgow,0.00000000,0.01492537,0.00000000,0.000000000,0.126865672,0.00000000,0,0.00000000,0.007462687,0.8507463, -4.2518060,55.86424
Dalwhinnie,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.2427830,56.93660
Inverness,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.2247210,57.47777
Saltash,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -4.2164300,50.40921
Bideford,0.00000000,0.00000000,0.00000000,0.000000000,0.068181818,0.00000000,0,0.00000000,0.000000000,0.9318182, -4.2066660,51.01668
Invergordon,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.1728820,57.68811
Llanelli,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -4.1602480,51.68089
Plymouth,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -4.1426565,50.37546
Tavistock,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -4.1416540,50.55112
Porthmadog,0.00000000,0.01408451,0.00000000,0.000000000,0.225352113,0.00000000,0,0.00000000,0.000000000,0.7605634, -4.1333840,52.92784
Bangor,0.00000000,0.01408451,0.00000000,0.000000000,0.359154930,0.00000000,0,0.00000000,0.000000000,0.6267606, -4.1292630,53.22739
Tywyn,0.00000000,0.01449275,0.00000000,0.000000000,0.159420290,0.00000000,0,0.00000000,0.000000000,0.8260870, -4.0872490,52.58701
Aberystwyth,0.00000000,0.01428571,0.00000000,0.000000000,0.100000000,0.00000000,0,0.00000000,0.000000000,0.8857143, -4.0829200,52.41530
Lampeter,0.00000000,0.01449275,0.00000000,0.000000000,0.057971014,0.00000000,0,0.00000000,0.000000000,0.9275362, -4.0785090,52.11290
Barnstaple,0.00000000,0.00000000,0.00000000,0.000000000,0.083333333,0.00000000,0,0.00000000,0.000000000,0.9166667, -4.0583380,51.07816
Tain,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -4.0552300,57.81150
Okehampton,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -4.0042630,50.73831
Llandeilo,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -3.9914300,51.88469
Motherwell,0.00000000,0.01470588,0.00000000,0.000000000,0.125000000,0.00000000,0,0.00000000,0.007352941,0.8529412, -3.9810968,55.78321
Golspie,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.9760860,57.97341
Airdrie,0.00000000,0.01470588,0.00000000,0.000000000,0.110294118,0.00000000,0,0.00000000,0.007352941,0.8676471, -3.9625660,55.86627
Swansea,0.00000000,0.00000000,0.00000000,0.000000000,0.066176471,0.00000000,0,0.00000000,0.000000000,0.9338235, -3.9436460,51.62144
Stirling,0.00000000,0.01470588,0.00000000,0.000000000,0.110294118,0.00000000,0,0.00000000,0.007352941,0.8676471, -3.9369029,56.11652
Tregaron,0.00000000,0.01449275,0.00000000,0.000000000,0.057971014,0.00000000,0,0.00000000,0.000000000,0.9275362, -3.9343850,52.22000
Tregaron,0.00000000,0.01449275,0.00000000,0.000000000,0.057971014,0.00000000,0,0.00000000,0.000000000,0.9275362, -3.9343850,52.22000
Castle Douglas,0.00000000,0.00000000,0.00000000,0.000000000,0.279411765,0.00000000,0,0.00000000,0.007352941,0.7132353, -3.9314140,54.94042
