index,placename,longitude,latitude,'ee,deesel,theesen,you,yoursel,yourself,yourselfs,yoursels,yourselves,yoursen,yoursens,yous
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.6505055229758824,0.01,0.24911322466770258,0.24774588580323784,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.6505055229758824,0.01,0.24911322466770258,0.24774588580323784,0.01,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9484314527583204,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.7393512223011495,0.01,0.01,0.18462352735703982,0.01,0.2555369862048261,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.782025444929877,0.01,0.01,0.2211330774701884,0.01,0.2702861905210626,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.7593518031016214,0.01,0.01,0.20173484566692143,0.01,0.26244965231795114,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.01,0.01,0.47823962007132165,0.2944736086868944,0.31091826435008263,0.4640779144653744,0.14524904155758805,0.07326772312340221,0.01,0.30484315097311787
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.01,0.01,0.4140947916007514,0.305301118772458,0.3223504285363678,0.48114161101111125,0.1896413331368958,0.07596170651499513,0.01,0.3160519391100065
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01,0.01,0.4749361777134888,0.29243953089121716,0.30877059502037557,0.43505311822537146,0.1699924904719388,0.07276162599160933,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01,0.01,0.01,1.0,0.3229555344545822,0.0834539526069219,0.49470752927203115,0.06499181219110714,0.07702469017787038,0.01,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.9518868293733068,0.01,0.01,0.01,0.01,0.49338826237922123,0.6181228200626703,0.026992093274972734,0.35861718318143865,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.01,0.01,0.5022461318907071,0.3092554959892988,0.32652563495411147,0.40546202280404436,0.22077362117420332,0.0769455916799202,0.01,0.3201455650763313
71,Islay,-6.177067,55.73625,0.01,0.01,0.01,0.01,0.7427071389690619,0.2795443299048339,0.32308795258103684,0.5767997846136418,0.08547658241340418,0.07613550366266228,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.01,0.01,0.5791185074242364,0.2796620749647257,0.32322403836871827,0.6040704972272749,0.10079665472189524,0.07616757220592946,0.01,0.31690847925109944
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.01,0.01,0.39664999292215036,0.29243953089121716,0.30877059502037557,0.4221435314231031,0.18441288010716042,0.07276162599160933,0.01,0.3027374455167827
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.01,0.01,0.39664999292215036,0.29243953089121716,0.30877059502037557,0.4221435314231031,0.18441288010716042,0.07276162599160933,0.01,0.3027374455167827
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.01,0.01,0.01,0.7943903548667801,0.2698227265006949,0.4482533393650741,0.6301405641944596,0.047826049384285974,0.01,0.01,0.31778854731639616
76,Penzance,-5.537592,50.1188,0.9755945361491352,0.01,0.01,0.01,0.01,0.5056765973894062,0.6335177957228985,0.02766435873015312,0.3787048546748233,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.01,0.01,0.01,0.01,0.5874979135593525,0.2837085733526663,0.3279008453700524,0.6950674434903445,0.06279472904648542,0.07726965928078047,0.01,0.32149390489587454
78,Lochgilphead,-5.4323449,56.03829,0.01,0.01,0.01,0.01,0.5746876338899582,0.27752236215876835,0.32075103013484163,0.5994487143888931,0.09659837390885934,0.07558480913493293,0.01,0.314483791772629
79,Helston,-5.274996,50.10159,0.9620170947871199,0.01,0.01,0.01,0.01,0.4986390483925672,0.6247010686867132,0.02727935123517573,0.3672006132743464,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.9673762198538899,0.01,0.01,0.01,0.01,0.5014168254590986,0.6281811016035687,0.02743131678319128,0.37174142967852924,0.01,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.01,0.01,0.7683579463326339,0.30094235657920226,0.08231328972654854,0.46098745199629704,0.14832110123673248,0.07597190355466533,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.01,0.01,0.39664999292215036,0.21659066208195465,0.30877059502037557,0.5383298242621475,0.18441288010716042,0.07276162599160933,0.01,0.3027374455167827
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.01,0.01,0.42050681176186777,0.2564212824016967,0.3273418398959014,0.5707080855065881,0.1995136324354835,0.07713792993901868,0.01,0.32094582197605115
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.01,0.01,0.7097947273903333,0.27979804264315755,0.07883504981433773,0.3898695609318435,0.1663873606172242,0.07276162599160933,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.9742632609763767,0.01,0.01,0.01,0.01,0.5049865620575084,0.6326533110607812,0.027626608545436932,0.37757685783436423,0.01,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.977931869185229,0.01,0.01,0.01,0.01,0.5068880992714515,0.6350355800257311,0.02773063710419729,0.3806852899249995,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.01,0.01,0.01,0.01,0.6687078847759971,0.22934904871908723,0.5356560572403393,0.6520606292425055,0.10713709123817229,0.01,0.01,0.3205703536500958
88,Truro,-5.051041000000001,50.2632,0.9939032202541485,0.01,0.01,0.01,0.01,0.5151664753436688,0.6454068303238691,0.028183527284496804,0.3942179043027461,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.01,0.01,0.01,0.49737294781613806,0.01,0.027210085896982088,0.47911038089099584,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.01,0.01,0.01,0.6748891239515834,0.3780924515621879,0.346745286844443,0.5655395255628868,0.05821917728528136,0.01,0.01,0.01
