,placename,outside,outside_of,longitude,latitude
181,Llandrindod Wells,0.01,0.3735398492742737,-3.377742,52.2417
182,Corwen,0.01,0.3485380649135056,-3.369242,52.98005
183,Cockermouth,0.01,0.4316051352097217,-3.367985,54.66326
184,Lockerbie,0.01,0.2628838211750281,-3.349008,55.12224000000001
185,Blairgowrie,0.01,0.18508801384470075,-3.3378318,56.58941
186,Elgin,0.01,0.2198756228111481,-3.318485,57.64945
187,Newtown,0.01,0.3796187012580078,-3.313106,52.51211
188,Ruthin,0.01,0.33828183286554103,-3.3103108,53.11487
189,Sidmouth,0.01,0.6634254322638516,-3.23756,50.67865
190,Barrow-in-Furness,0.01,0.3922410085013289,-3.218894,54.10896999999999
191,Peebles,0.01,0.1330606807667278,-3.193642,55.65306999999999
192,Edinburgh,0.01,0.1288224244452607,-3.188267,55.95325
193,Cardiff,0.01,0.4710964136571769,-3.17909,51.48158
194,Llangollen,0.01,0.3670367532184869,-3.17166,52.96921
195,Kirkcaldy,0.01,0.139073527229866,-3.158137,56.11682
196,Welshpool,0.01,0.4450806549186625,-3.146407,52.66035
197,Mold,0.01,0.3315742411784595,-3.141903,53.1672
198,Taunton,0.01,0.6277566698445385,-3.106849,51.01534
199,Wick,0.01,0.2520440679296464,-3.093716,58.43894
200,John o' Groats,0.01,0.2537673654377254,-3.0688997,58.63734
201,Dalkeith,0.01,0.1305850013122221,-3.066606,55.89312
202,Oswestry,0.01,0.4670394363012732,-3.056412,52.85715
203,Blackpool,0.01,0.3754918039436813,-3.0356748,53.81751
204,Birkenhead,0.01,0.3766228065143865,-3.023009,53.38999
205,Cupar,0.01,0.14672355356889447,-3.010137,56.32023
206,Southport,0.01,0.3723289381796565,-3.010113,53.64571
207,Bridgwater,0.01,0.5910682638616606,-3.003632,51.12789
208,Langholm,0.01,0.7544419159025362,-2.998913,55.15306
209,Newport,0.01,0.5649346670464991,-2.997664,51.58415
210,Axminster,0.01,0.6205878493969725,-2.994937,50.78273
211,Wrexham,0.01,0.35978289498365,-2.992494,53.04304000000001
212,Liverpool,0.01,0.3791462691065019,-2.9915726,53.40837
213,Weston-super-Mare,0.01,0.5576362652088059,-2.977255,51.34741
214,Dundee,0.01,0.17921001301566367,-2.970721,56.46202
215,Kirkwall,0.01,0.2496076678340229,-2.9622491,58.98467
216,Ambleside,0.01,0.4954787719770131,-2.961333,54.42874000000001
217,Orkney Islands,0.01,0.2496076678340229,-2.9605206,58.98094
218,Lyme Regis,0.01,0.6329553132397095,-2.936639,50.72516
219,Carlisle,0.01,0.8278526080025858,-2.932931,54.89247
220,Chester,0.01,0.35271126057867963,-2.893075,53.19339
221,Forfar,0.01,0.20254316701731265,-2.889062,56.64356
222,Morecambe,0.01,0.4266362288207968,-2.864968,54.07417
223,Selkirk,0.01,0.2162198078421804,-2.838524,55.55066
224,Galashiels,0.01,0.1556984146413601,-2.814449,55.62373
225,Lancaster,0.01,0.4186842508466489,-2.8007399,54.04657
226,St Andrews,0.01,0.15992911204840324,-2.7967214,56.33978000000001
227,Hawick,0.01,0.3103600128666222,-2.780914,55.42706
228,Bridport,0.01,0.5990238863124059,-2.758301,50.73358
229,Shrewsbury,0.01,0.5512591060665489,-2.7553268,52.7073
230,Penrith,0.01,0.8214635705662339,-2.752708,54.6641
231,Kendal,0.01,0.4730247467190094,-2.74629,54.32801
232,Street,0.01,0.5386359889395397,-2.742919,51.12468
233,Glastonbury,0.01,0.52496987660262,-2.718454,51.14743
234,Hereford,0.01,0.4373808207328038,-2.715974,52.0564
235,Ludlow,0.01,0.5653410936774089,-2.7139129,52.36775
236,Preston,0.01,0.5377471415916352,-2.70309,53.7632
237,Whitchurch,0.01,0.5068790997153105,-2.682045,52.96872
238,Wells,0.01,0.5367567888214638,-2.6445979,51.20935
239,Yeovil,0.01,0.5601417753791639,-2.633308,50.94206
240,Wigan,0.01,0.4965595617590443,-2.6325074,53.54506
241,Warrington,0.01,0.5027812232331479,-2.5969501,53.39004
242,Arbroath,0.01,0.2046823397993316,-2.591543,56.55911
243,Bristol,0.01,0.5133772014883525,-2.58791,51.45451
244,Guernsey,0.01,0.6705740056192103,-2.585278,49.46569
245,Ross-on-Wye,0.01,0.4210006531757899,-2.582446,51.91445
246,Jedburgh,0.01,0.4939159664198317,-2.5549369,55.47772
247,Sedbergh,0.01,0.5773476193563956,-2.5281740000000004,54.32363
248,Nantwich,0.01,0.5403987007871159,-2.524102,53.06718000000001
249,Banff,0.01,0.2315278243765053,-2.524038,57.66651
250,Dunbar,0.01,0.13698078777930944,-2.516737,56.00209
251,Cinderford,0.01,0.5434743690740342,-2.5009579,51.8253
252,Banchory,0.01,0.20321375071122166,-2.4909599,57.05386
253,Blackburn,0.01,0.5334463892455542,-2.487529,53.74858
254,Market Drayton,0.01,0.5742558883763259,-2.483485,52.90355
255,Telford,0.01,0.6614985839887809,-2.4672611,52.67759
256,Montrose,0.01,0.21779395177099808,-2.4661150000000003,56.70692
257,Turriff,0.01,0.21883289756246715,-2.4623,57.53893000000001
258,Weymouth,0.01,0.5895227358231624,-2.457621,50.61443
259,Crewe,0.01,0.5607830682796796,-2.4438209,53.1004
260,Fortuneswell,0.01,0.5801148569386879,-2.442219,50.55919
261,Dorchester,0.01,0.4796895495512257,-2.4411810000000003,50.71116
262,Alston,0.01,0.8736532853237101,-2.438685,54.81217
263,Kelso,0.01,0.2913226169283092,-2.432207,55.60003
264,Wincanton,0.01,0.5584307611070239,-2.416007,51.05569000000001
265,Clitheroe,0.01,0.5089125826760068,-2.3930830000000003,53.8711
266,Sark,0.01,0.6436364642628002,-2.3666256000000003,49.43007
267,Bath,0.01,0.575730146650254,-2.3590167,51.38106
268,Kidderminster,0.01,0.66882519677495,-2.2496839,52.3886
269,Manchester,0.01,0.5315625997865783,-2.2426305,53.48076
270,Burnley,0.01,0.5066204768575148,-2.2405035,53.78929
271,Gloucester,0.01,0.4902934916626987,-2.238156,51.86424
272,Newcastle-under-Lyme,0.01,0.6604896038937792,-2.2273002,53.01321
273,Worcester,0.01,0.6296144080448745,-2.221575,52.19364
274,Trowbridge,0.01,0.5700052138383048,-2.208853,51.31966
275,Shaftesbury,0.01,0.5229012986820977,-2.198083,51.0046
276,Alderney,0.01,0.6084880521132168,-2.1973557,49.715
277,Stoke-on-Trent,0.01,0.629590921417914,-2.179404,53.00267
278,Colne,0.01,0.5014769055531474,-2.176991,53.85564
279,Blandford Forum,0.01,0.5580817012373687,-2.165353,50.85691
280,Rochdale,0.01,0.5308312748160469,-2.1561,53.60971
281,Jersey,0.01,0.6307116654619006,-2.13125,49.21444
282,Wolverhampton,0.01,0.6847707267525783,-2.12882,52.58697
283,Stafford,0.01,0.6899925868134807,-2.12066,52.80669
284,Macclesfield,0.01,0.5450694349981331,-2.119287,53.25866
285,Hexham,0.01,0.973997874303572,-2.1121439,54.97266
286,Aberdeen,0.01,0.17561561422639174,-2.094278,57.14972
287,Dudley,0.01,0.6622925399645405,-2.081112,52.51225
288,Cheltenham,0.01,0.5420473540152566,-2.0782533,51.89939
289,Bromsgrove,0.01,0.6647842821121973,-2.061906,52.33559
290,Skipton,0.01,0.4976773362295071,-2.0162787,53.96285
291,Fraserburgh,0.01,0.2158087918703701,-2.007631,57.69335
292,Berwick,0.01,0.4943175337486118,-2.005395,55.77024
293,Poole,0.01,0.5651170258569803,-1.987248,50.71505
294,Walsall,0.01,0.6761755661493085,-1.982919,52.58621
295,Cirencester,0.01,0.4933746941548205,-1.968243,51.71849
296,Evesham,0.01,0.6204341064768111,-1.94677,52.09215
297,Buxton,0.01,0.526267850193729,-1.91483,53.25908
298,Keighley,0.01,0.4690306703295634,-1.912358,53.8678
299,Birmingham,0.01,0.6756417178181068,-1.890401,52.48624
300,Bournemouth,0.01,0.588036869216369,-1.880769,50.71916
301,Halifax,0.01,0.423907730674928,-1.85754,53.72702
302,Salisbury,0.01,0.6570187123669721,-1.794472,51.06878
303,Ringwood,0.01,0.6176166561058444,-1.788817,50.84495
304,Huddersfield,0.01,0.4294357267700064,-1.7850351000000002,53.64579000000001
305,Peterhead,0.01,0.21817621687187366,-1.784066,57.50812
306,Swindon,0.01,0.6303111779780385,-1.7797176,51.55577
307,Bradford,0.01,0.4551109294175925,-1.759398,53.79598000000001
308,Ashbourne,0.01,0.6849613193805574,-1.732179,53.016630000000006
309,Marlborough,0.01,0.5846966389246073,-1.727062,51.42007
310,Stratford-upon-Avon,0.01,0.6573483350281085,-1.708298,52.19173
