index,placename,longitude,latitude,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens
50,Louth,-6.4889423,53.925230000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.345589577659279,0.01,0.01,0.01,0.01
51,Wexford,-6.4633381,52.33692,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3629410033629669,0.01,0.01,0.01,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.524243782475775,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19595062486412002,0.01,0.01,0.01,0.01
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25915701368398814,0.01,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04358996433260108,0.01,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5237399432144594,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19571741524333383,0.01,0.01,0.01,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.01,0.34437918232651155,0.01,0.416690909643234,0.01,0.01,0.01,0.08477204481825362,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5177888794340346,0.13827571328115554,0.01,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44607580335109304,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15976939372764287,0.01,0.01,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7589715048110564,0.01,0.01,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36597100535296484,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18627968411572335,0.20738928357427486,0.01,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36597100535296484,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18627968411572335,0.20738928357427486,0.01,0.01,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34338554423106166,0.01,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3255354007387218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1039754456553034,0.01,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4161615841803865,0.01,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5551916044008993,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21027529221233734,0.01,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.01,0.01,0.01,0.11596939994410296,0.01,0.014770558211203485,0.01,0.01,0.046038979813823065,0.02253703790102674,0.044180175452980266,0.010365205909806921,0.01,0.04484060373635465,0.08687448496440675,0.12085232244002353,0.01,0.01,0.04588551867115684,0.010223245251554028,0.01,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.01,0.01,0.01,0.20107132187328397,0.10357420538644008,0.03041145881030781,0.01,0.01,0.08294192177187792,0.058775931860901985,0.09096362959399679,0.02134117262727124,0.01,0.06154893302808686,0.17886797393735712,0.24882576362124878,0.01,0.01,0.08502732138742014,0.07295899392826483,0.01,0.01,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01,0.01,0.01,0.0850166110631294,0.043793057376232604,0.012858517770961388,0.01,0.01,0.03506935269740804,0.024851532741404003,0.03846107662711357,0.01,0.01,0.026024008057683727,0.07562863182182497,0.10520805737580732,0.01,0.01,0.03595109757466847,0.01,0.01,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01,0.1613702604911109,0.01,0.01,0.1991206731599519,0.1367592013808603,0.0401552375343555,0.01,0.01,0.21381767305793312,0.08577686455793751,0.12010821894857664,0.02817884736983746,0.01,0.08126910455513105,0.03373956361992256,0.01825272677007419,0.01,0.01,0.21206541883803431,0.1096781335884578,0.01,0.01,0.01,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.39915515849591027,0.01,0.01,0.3991551584959102,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09961049956622932,0.01,0.01,0.01,0.01,0.10665912508386635,0.12364584693297569,0.01,0.01,0.01,0.11942525266559527,0.01,0.01,0.37299787391379735,0.01
70,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.01,0.01,0.01,0.2600942480345942,0.13397760961030464,0.03933850654190687,0.01,0.01,0.10728887925348173,0.07602915053956803,0.11766529715589194,0.02760570823801847,0.01,0.07961614468004787,0.2313732796168068,0.21457775600866533,0.01,0.01,0.10998643174283129,0.11761046170376521,0.01,0.01,0.01,0.01
71,Islay,-6.177067,55.73625,0.01,0.01,0.01,0.01,0.01,0.279756266885029,0.01,0.09231781962696715,0.01,0.01,0.23179805007470172,0.05008329468869937,0.09204386253792819,0.021594604707076977,0.01,0.09341976801836886,0.15513606923374906,0.279756266885029,0.01,0.01,0.0955967163409366,0.05202614544900903,0.01,0.01,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.01,0.01,0.01,0.2821224074544794,0.01,0.12413150457842058,0.01,0.01,0.2660011271528734,0.05682025452238543,0.09282235704582573,0.021777248945390536,0.01,0.09420989974824269,0.18252288959548857,0.2539101669629417,0.01,0.01,0.05784315647408547,0.05411356157287521,0.01,0.01,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.01,0.01,0.01,0.10095722644645236,0.043793057376232604,0.012858517770961388,0.01,0.01,0.04007925981050257,0.024851532741404003,0.03846107662711357,0.01,0.01,0.03903601284122184,0.07562863182182497,0.07013870457820115,0.01,0.01,0.031956531023026515,0.01,0.01,0.01,0.01,0.01
