index,placename,longitude,latitude,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens
169,Paignton,-3.564235,50.43508,0.7133855377242239,0.01,0.01,0.7133855377242239,0.01,0.26786016722928546,0.01,0.01,0.01,0.01,0.01,0.17802773754397352,0.01,0.01,0.01,0.01,0.19062531369472172,0.2209846399932013,0.01,0.01,0.01,0.23712842096184034,0.01,0.01,0.6666362270117396,0.01
170,Workington,-3.5427519999999997,54.64357,0.01,0.01,0.01,0.1757434799880631,0.01,0.01,0.11556954999296785,0.01,0.5555310763851843,0.01,0.23504193717111285,0.08744401644350797,0.01,0.01,0.01,0.2747086673510387,0.057023827053372264,0.06169850972375915,0.01,0.01,0.2576843207670707,0.14228023396852787,0.01,0.01,0.01,0.01
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.01,0.22837858446762094,0.01,0.01,0.05006086939097907,0.05879549091376421,0.01,0.01,0.01,0.21530551940603498,0.01,0.01,0.028336532003905554,0.01,0.32111060030109506,0.09354005572608075,0.01,0.01,0.01,0.08854580520006027,0.01,0.01,0.01,0.01
172,Exeter,-3.533899,50.71841,0.01,0.01,0.01,0.9442298485976953,0.01,0.4018085972164972,0.01,0.01,0.01,0.01,0.01,0.24727203591297853,0.01,0.01,0.01,0.01,0.01,0.33149209574731037,0.01,0.01,0.01,0.4045706821293065,0.01,0.01,1.0,0.01
173,Torquay,-3.525315,50.46192,0.7279654806135779,0.01,0.01,0.7279654806135779,0.01,0.27333460669296517,0.01,0.01,0.01,0.01,0.01,0.18166621086429402,0.01,0.01,0.01,0.01,0.1945212522019706,0.22550105259220593,0.01,0.01,0.01,0.24292928672044833,0.01,0.01,0.6802607226089059,0.01
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.01,0.15084793951895528,0.01,0.01,0.09306839531435634,0.01,0.03753687218770655,0.01,0.01,0.22912552939013084,0.08782023354246433,0.01,0.01,0.01,0.01,0.03153953917434731,0.01706253813737779,0.01,0.01,0.2215595200615422,0.10705542397441084,0.01,0.01,0.01,0.01
175,Livingston,-3.518068,55.90071,0.01,0.01,0.01,0.01,0.01,0.23785276709513964,0.16336100444420945,0.0639547587189983,0.01,0.01,0.44021639070472324,0.33178110132417105,0.01,0.01,0.01,0.15100900983905666,0.4836292970532846,0.34885072653170174,0.01,0.01,0.2781503228345273,0.1481624489892517,0.01,0.01,0.01,0.01
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.01,0.01,0.36462572021771233,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20052285094854602,0.01,0.01,0.01,0.01,0.11831081673631014,0.01,0.01,0.01,0.01,0.22605900910976306,0.01,0.01,0.01,0.01
177,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.4895398090780296,0.01,0.20831930303771062,0.01,0.01,0.01,0.01,0.01,0.12819919369309232,0.01,0.01,0.01,0.01,0.01,0.11457561657699716,0.01,0.01,0.01,0.19234759319161193,0.01,0.01,0.5184540711195056,0.01
178,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.4895398090780296,0.01,0.20831930303771062,0.01,0.01,0.01,0.01,0.01,0.12819919369309232,0.01,0.01,0.01,0.01,0.01,0.11457561657699716,0.01,0.01,0.01,0.19234759319161193,0.01,0.01,0.5184540711195056,0.01
179,Minehead,-3.481152,51.20428,0.01,0.01,0.01,0.01,0.01,0.01,0.11865641448361773,0.01,0.01,0.01,0.01,0.19137239995017702,0.01,0.01,0.01,0.01,0.05854693436721683,0.1425295681146729,0.01,0.01,0.01,0.15014004433964973,0.01,0.01,0.01,0.01
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.01,0.01,0.01,0.01,0.22786711905083865,0.3651729846506233,0.06126977960723268,0.01,0.01,0.32624784393726086,0.28045774280382446,0.01,0.01,0.01,0.2686715211065522,0.4633253417818495,0.19495298002988565,0.01,0.01,0.2284053281736603,0.16965330319182848,0.01,0.01,0.01,0.01
181,Perth,-3.4308381000000003,56.39499,0.01,0.01,0.01,0.01,0.01,0.10810125043618982,0.2598597088590536,0.04360001358212927,0.01,0.01,0.18119828313267117,0.27940603121776586,0.01,0.01,0.01,0.14706813769711616,0.01,0.13872993556804314,0.01,0.01,0.12190114940563684,0.1283722114363423,0.01,0.01,0.01,0.01
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.01,0.01,0.32217911497749224,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22780246828799255,0.01,0.01,0.01,0.01,0.10453808416369927,0.01,0.01,0.01,0.01,0.18426423840612433,0.01,0.01,0.01,0.01
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.01,0.01,0.01,0.01,0.12582866740199164,0.07389163459167022,0.01,0.01,0.01,0.19542371371711398,0.01,0.01,0.01,0.01,0.2483433454131843,0.15114484707210488,0.01,0.01,0.01,0.15160126627839757,0.01,0.01,0.01,0.01
184,Braemar,-3.3979439,57.00646999999999,0.01,0.01,0.01,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.08850836597179454,0.07455459822421201,0.01,0.01,0.01,0.01,0.010804089454584265,0.01,0.01,0.01,0.027961964934754262,0.01,0.01,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.01,0.01,0.01,0.01,0.01,0.01,0.14307696465433956,0.08402052575942988,0.01,0.01,0.01,0.2478517752937867,0.01,0.01,0.01,0.01,0.28238566606054827,0.17186342658413,0.01,0.01,0.01,0.17369821683120637,0.01,0.01,0.01,0.01
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.01,0.01,0.01,0.01,0.2373813768784318,0.13939985474956243,0.01,0.01,0.01,0.3261360444802819,0.01,0.01,0.01,0.01,0.46851076539212055,0.28514147568162485,0.01,0.01,0.01,0.335845900337823,0.01,0.01,0.01,0.01
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.01,0.01,0.2590669384949232,0.01,0.01,0.170363373916178,0.06669613030417273,0.01,0.01,0.01,0.2238840825071638,0.01,0.01,0.032144251226217856,0.01,0.3362398287540162,0.10610949323506283,0.01,0.01,0.01,0.10941156188660589,0.01,0.01,0.01,0.01
188,Corwen,-3.369242,52.98005,0.01,0.01,0.01,0.21965742100280009,0.01,0.01,0.04814917945445598,0.01,0.01,0.01,0.01,0.14380804150853171,0.01,0.01,0.027254436072954896,0.01,0.16630290519464655,0.01285257422348095,0.01,0.01,0.01,0.10848504035649816,0.01,0.01,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.01,0.01,0.01,0.14120881381720496,0.01,0.01,0.09285942823599268,0.01,0.4463658301307974,0.01,0.1888547623359069,0.07026073364564434,0.01,0.01,0.01,0.22072673799665352,0.04581829708886536,0.04957437609049895,0.01,0.01,0.2070477793957518,0.1051437698139238,0.01,0.01,0.01,0.01
190,Lockerbie,-3.349008,55.122240000000005,0.01,0.01,0.01,0.01,0.01,0.17448127159656945,0.01,0.14074555986071058,0.01,0.01,0.33511482386927394,0.10498923150028748,0.01,0.01,0.01,0.06330025015008306,0.01,0.06397646747926039,0.01,0.01,0.2866308278993875,0.1416842920128295,0.01,0.01,0.01,0.01
191,Blairgowrie,-3.3378318,56.58941,0.01,0.01,0.01,0.01,0.01,0.08962403248117973,0.2154431599390351,0.03614767653193079,0.01,0.01,0.15022694693622007,0.23164852502867303,0.01,0.01,0.01,0.07315830106440868,0.01,0.11501750628501338,0.01,0.01,0.08609256278378892,0.10428257641325432,0.01,0.01,0.01,0.01
192,Elgin,-3.318485,57.64945,0.01,0.01,0.23521072581965535,0.01,0.01,0.1451175593287413,0.01,0.058529635740636986,0.01,0.01,0.3572656162459109,0.20837832244653598,0.01,0.01,0.01,0.01,0.04917825145555599,0.02660488431208486,0.01,0.01,0.2363730231879347,0.20013242845767665,0.01,0.01,0.01,0.01
193,Newtown,-3.313106,52.51211,0.01,0.01,0.01,0.23854295689519758,0.01,0.01,0.05228891245256624,0.09211842722551784,0.01,0.01,0.01,0.17491293070333466,0.01,0.01,0.029597696947479657,0.01,0.3354021668221485,0.055830406706154044,0.01,0.01,0.01,0.10695731850498844,0.01,0.01,0.01,0.01
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.3156417260051466,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24797787868425505,0.01,0.01,0.01,0.01,0.10241688484682347,0.01,0.01,0.01,0.01,0.17465850004498765,0.01,0.01,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.3156417260051466,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24797787868425505,0.01,0.01,0.01,0.01,0.10241688484682347,0.01,0.01,0.01,0.01,0.17465850004498765,0.01,0.01,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.01,0.01,0.4579707201622769,0.01,0.1948853585892483,0.01,0.01,0.01,0.01,0.01,0.11993197687114038,0.01,0.01,0.01,0.01,0.01,0.05359347517599829,0.01,0.01,0.01,0.1816900460751987,0.01,0.01,0.48502038019918897,0.01
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.01,0.01,0.209302342203172,0.01,0.01,0.13763797952867285,0.01,0.6616117733754102,0.01,0.2799240573205114,0.13702864613815238,0.01,0.01,0.01,0.3271652951448884,0.0679127360199655,0.01,0.01,0.01,0.13949549305307266,0.21098633853526857,0.01,0.01,0.01,0.01
198,Peebles,-3.1936419999999996,55.65306999999999,0.01,0.01,0.01,0.01,0.01,0.23761434588522493,0.09791835103125526,0.03833439036244911,0.01,0.01,0.26386507123527436,0.18327153735192672,0.01,0.01,0.01,0.1680985150492651,0.2898867048410913,0.06970020681470146,0.01,0.01,0.2143580179462275,0.06700475428388054,0.01,0.01,0.01,0.01
199,Edinburgh,-3.1882669999999997,55.95325,0.01,0.01,0.01,0.01,0.01,0.37995324758223825,0.60890163541475,0.10216327760400659,0.01,0.01,0.6236058087637302,0.5923498390176251,0.01,0.01,0.01,0.44799187088734416,0.7725641550674457,0.4643873059356586,0.01,0.01,0.3808506754557563,0.264581318484324,0.01,0.01,0.01,0.01
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.01,0.01,0.01,0.01,0.3284782988388184,0.19289561695467214,0.01,0.01,0.01,0.33356457399928346,0.01,0.01,0.01,0.01,0.6483053608813205,0.3945667014487712,0.01,0.01,0.01,0.5060060815309606,0.01,0.01,0.01,0.01
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01,0.01,0.2615250664244019,0.01,0.01,0.05732660926130322,0.01,0.01,0.01,0.01,0.171218467877864,0.01,0.01,0.03244924264741254,0.01,0.19800094637654186,0.015302327243360805,0.01,0.01,0.01,0.13398886873637256,0.01,0.01,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.01,0.01,0.01,0.01,0.01,0.1660877874474291,0.39925092371257614,0.0669874747915908,0.01,0.01,0.27839476244118555,0.4701660872875777,0.01,0.01,0.01,0.2259568829737656,0.5065628577722684,0.2131459900625439,0.01,0.01,0.22891010256496186,0.1817335131164278,0.01,0.01,0.01,0.01
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.01,0.30375202097949777,0.01,0.01,0.06658282029791834,0.11730029175205198,0.01,0.01,0.01,0.17500044048274493,0.17542834978680721,0.01,0.03768864267112074,0.01,0.22997103092554455,0.07109243169376933,0.01,0.01,0.01,0.16316424854508677,0.01,0.01,0.01,0.01
204,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.42234112126687817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2654433717738873,0.01,0.01,0.01,0.01,0.13703784518705517,0.01,0.01,0.01,0.01,0.26265165817414693,0.01,0.01,0.01,0.01
205,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.42234112126687817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2654433717738873,0.01,0.01,0.01,0.01,0.13703784518705517,0.01,0.01,0.01,0.01,0.26265165817414693,0.01,0.01,0.01,0.01
206,Taunton,-3.106849,51.01534,0.01,0.01,0.01,0.01,0.01,0.2839249424405475,0.3900082072250201,0.1145142221206081,0.01,0.01,0.01,0.15142982479615139,0.01,0.01,0.01,0.01,0.01,0.07807936144964824,0.01,0.01,0.01,0.2975924967913848,0.01,0.01,0.7066173904874585,0.01
207,Wick,-3.093716,58.43894,0.01,0.01,0.14466980616548564,0.01,0.01,0.0892566829430828,0.01,0.03599951077072374,0.01,0.01,0.21974145639734938,0.0842234650636346,0.01,0.01,0.01,0.01,0.0302478047327137,0.01636372424374727,0.01,0.01,0.19011844527195848,0.10511654325126142,0.01,0.01,0.01,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.01,0.012858517770961388,0.01,0.01,0.07848855058330695,0.030083434443043077,0.01,0.01,0.01,0.01,0.010804089454584265,0.01,0.01,0.01,0.07589676123760918,0.01,0.01,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.01,0.01,0.01,0.01,0.01,0.2116550616951106,0.14536801020433004,0.05691061982453644,0.01,0.01,0.34738307085728615,0.23734810861198388,0.01,0.01,0.01,0.24955635377493587,0.4303611429688835,0.25868952170744075,0.01,0.01,0.318232468296374,0.12899616286082555,0.01,0.01,0.01,0.01
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.01,0.3732182845005938,0.01,0.01,0.08180991142509234,0.01,0.01,0.01,0.01,0.24434316994243593,0.2155476830819326,0.01,0.04630780890416472,0.01,0.2825640249296183,0.02183771293136945,0.01,0.01,0.01,0.2111597352133026,0.01,0.01,0.01,0.01
211,Blackpool,-3.0356748,53.81751,0.01,0.01,0.01,0.2826070813846233,0.01,0.01,0.18584344194541585,0.01,0.8933305299652582,0.01,0.17008330648757836,0.288632292102902,0.01,0.01,0.1402601502917823,0.2944997407208255,0.21396215907421445,0.01,0.01,0.01,0.06780654740091956,0.3335363923460749,0.01,0.01,0.01,0.01
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.01,0.01,0.5731053991981493,0.01,0.01,0.3768762012770467,0.01,0.01,0.01,0.01,0.22512464333947763,0.01,0.01,0.3555459847448045,0.01,0.1239710860787505,0.01,0.01,0.01,0.01,0.3790374817809185,0.01,0.01,0.01,0.01
213,Cupar,-3.010137,56.32023,0.01,0.01,0.01,0.01,0.01,0.09191665556973395,0.22095429293621455,0.037072350366843275,0.01,0.01,0.15406981985249185,0.2375741985585021,0.01,0.01,0.01,0.07502972333248042,0.28034309107171174,0.016851387851746915,0.01,0.01,0.08829484928805179,0.10365650057408572,0.01,0.01,0.01,0.01
214,Southport,-3.010113,53.64571,0.01,0.01,0.01,0.2427177640175037,0.01,0.01,0.3192241834263732,0.01,0.01,0.01,0.024346074436104363,0.2478925306689779,0.01,0.01,0.3011569146850367,0.01,0.10500680667221478,0.01,0.01,0.01,0.05823581453001586,0.3025624429850893,0.01,0.01,0.01,0.01
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.01,0.01,0.01,0.32462030640536566,0.44590863571806044,0.13092770769988932,0.01,0.01,0.01,0.2130885867311659,0.01,0.01,0.01,0.01,0.1100091543418619,0.1487843096588442,0.01,0.01,0.01,0.3363733087846982,0.01,0.01,0.01,0.01
216,Langholm,-2.998913,55.153059999999996,0.01,0.01,0.01,0.01,0.01,0.044746570693911226,0.27659381911310565,0.01,0.01,0.01,0.15469528859410686,0.027536931377355994,0.01,0.01,0.01,0.054788594610266875,0.13647572484358714,0.03691592189975046,0.01,0.01,0.17940904017288167,0.06363940783776469,0.01,0.01,0.01,0.01
217,Newport,-2.997664,51.58415,0.01,0.01,0.01,0.01,0.01,0.01,0.2407201093481276,0.14136049221591931,0.01,0.01,0.01,0.24444750539568993,0.01,0.01,0.01,0.01,0.47510029707900503,0.2891519465780118,0.01,0.01,0.01,0.35834093709025633,0.01,0.01,0.01,0.01
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01,0.01,0.4829250566732164,0.01,0.20550445410166004,0.2822873645126389,0.08288522488192294,0.01,0.01,0.01,0.10117355490004619,0.01,0.01,0.01,0.01,0.01,0.056513726527129764,0.01,0.5590164310626228,0.01,0.18577251421764426,0.01,0.01,0.5114486238604119,0.01
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.01,0.01,0.48125298530958693,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2646610397923378,0.01,0.01,0.01,0.01,0.1561531014477207,0.01,0.01,0.01,0.01,0.32080356636868224,0.01,0.01,0.01,0.01
220,Liverpool,-2.9915726,53.40837,0.01,0.01,0.01,0.8448658232728371,0.01,0.01,0.5555868475665544,0.01,0.01,0.01,0.01,0.3318763309508633,0.01,0.01,0.5241420714811874,0.01,0.18275684341570506,0.01,0.01,0.01,0.01,0.5809192996705907,0.01,0.01,0.01,0.01
221,Weston-super-Mare,-2.977255,51.347409999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.218018522802491,0.01,0.01,0.01,0.01,0.01,0.0811874819085974,0.01,0.01,0.01,0.33532487776621456,0.01,0.01,0.01,0.01
222,Dundee,-2.9707209999999997,56.462019999999995,0.01,0.01,0.01,0.01,0.01,0.17973020958193794,0.43204532553217756,0.07248981438486711,0.01,0.01,0.3012620600771488,0.4645432346674764,0.01,0.01,0.01,0.14671016711645746,0.5481718432949388,0.03295054037342802,0.01,0.01,0.1726482721676892,0.24730456094199074,0.01,0.01,0.01,0.01
223,Kirkwall,-2.9622491,58.984669999999994,0.01,0.01,0.15098998114503043,0.01,0.01,0.09315603049352295,0.01,0.03757221770439255,0.01,0.01,0.2293412788585935,0.08790292694095854,0.01,0.01,0.01,0.01,0.03156923747479656,0.017078604585946663,0.01,0.01,0.26845617642769265,0.09810246337453028,0.01,0.01,0.01,0.01
224,Ambleside,-2.961333,54.428740000000005,0.01,0.01,0.01,0.1901292985782857,0.01,0.01,0.12502971648600317,0.09789661441064323,0.6010051348632068,0.01,0.2542817443575177,0.11451810566538188,0.01,0.01,0.01,0.2971954705823294,0.1439471191866936,0.01,0.01,0.01,0.14699180683622198,0.1775038292960502,0.01,0.01,0.01,0.01
225,Orkney Islands,-2.9605206,58.980940000000004,0.01,0.01,0.15450829154028134,0.01,0.01,0.09532671644222081,0.01,0.038447711052491076,0.01,0.01,0.23468530102052282,0.08995120709361511,0.01,0.01,0.01,0.01,0.032304851689298884,0.01747656365313404,0.01,0.01,0.2747116388698505,0.10147667703322234,0.01,0.01,0.01,0.01
226,Lyme Regis,-2.936639,50.725159999999995,0.01,0.01,0.01,0.44509263580678876,0.01,0.18940520455959198,0.13008646516648076,0.01,0.01,0.01,0.01,0.07770633651681176,0.01,0.01,0.01,0.01,0.01,0.05208643277386458,0.01,0.5152230005935129,0.01,0.1768091234681246,0.01,0.01,0.4713816624922517,0.01
227,Carlisle,-2.932931,54.892469999999996,0.01,0.01,0.01,0.01,0.01,0.11395998987026083,0.7044255757591577,0.3102501927993296,0.01,0.01,0.5014239621104589,0.04207842178492396,0.01,0.01,0.01,1.0,0.0868936519209327,0.031339000009190494,0.01,0.01,0.39266273119933726,0.18979842893939158,0.01,0.01,0.01,0.01
228,Chester,-2.893075,53.19339,0.01,0.01,0.01,0.5864468898431816,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41465769447975,0.01,0.01,0.1455291406220268,0.01,0.31714260892526147,0.01,0.01,0.01,0.01,0.36152974556040696,0.01,0.01,0.01,0.01
229,Forfar,-2.889062,56.64356,0.01,0.01,0.01,0.01,0.01,0.10801969526943124,0.14837923738238804,0.04356712028659366,0.01,0.01,0.3508068125702334,0.23931020403928577,0.01,0.01,0.01,0.08817431182943257,0.01,0.019803611971409396,0.01,0.01,0.14436643945470432,0.12208631387181186,0.01,0.01,0.01,0.01
230,Morecambe,-2.864968,54.074169999999995,0.01,0.01,0.01,0.1831738861799971,0.01,0.01,0.12045581206041468,0.01,0.5790188413370596,0.01,0.14698768446426472,0.2350481902582515,0.01,0.01,0.01,0.286323305817295,0.13868116814718662,0.01,0.01,0.01,0.043949319086490565,0.18262363554561165,0.01,0.01,0.01,0.01
231,Selkirk,-2.838524,55.55066,0.01,0.01,0.01,0.01,0.01,0.18431638793474314,0.11393224201617602,0.04460372335031476,0.01,0.01,0.2085408259210538,0.15879899857376994,0.01,0.01,0.01,0.15045377256893527,0.3372957353283526,0.0810992091651473,0.01,0.01,0.29098397670240767,0.1108018548153543,0.01,0.01,0.01,0.01
232,Galashiels,-2.814449,55.62373,0.01,0.01,0.01,0.01,0.01,0.17612306151169901,0.10886766767524282,0.042620975808508155,0.01,0.01,0.19927066238080826,0.17775255350469965,0.01,0.01,0.01,0.1437657244574881,0.3223020926489815,0.07749414560684864,0.01,0.01,0.27804900802321253,0.09864020099045809,0.01,0.01,0.01,0.01
233,Lancaster,-2.8007399,54.046569999999996,0.01,0.01,0.01,0.23907535930033963,0.01,0.01,0.15721682358073277,0.01,0.7557252860721398,0.01,0.1918457603803162,0.3067807956187948,0.01,0.01,0.01,0.3737041815396391,0.18100424025725598,0.01,0.01,0.01,0.05736188422231231,0.25261028617482606,0.01,0.01,0.01,0.01
234,St Andrews,-2.7967214,56.339780000000005,0.01,0.01,0.01,0.01,0.01,0.11943018358590145,0.287092819096807,0.04816926358807649,0.01,0.01,0.20018773263644243,0.3086875819539507,0.01,0.01,0.01,0.09748846470158257,0.3642585408074648,0.021895534953232727,0.01,0.01,0.11472425747868238,0.14866395959175857,0.01,0.01,0.01,0.01
235,Hawick,-2.780914,55.42706,0.01,0.01,0.01,0.01,0.01,0.06420425250674713,0.09921709415937893,0.11652851227183762,0.01,0.01,0.1715170755419601,0.15409345093501903,0.01,0.01,0.01,0.052408644249412314,0.2937316262667657,0.052968509863783764,0.01,0.01,0.2212234063254355,0.10299951345551385,0.01,0.01,0.01,0.01
236,Bridport,-2.758301,50.733579999999996,0.01,0.01,0.01,0.01,0.01,0.196103486956319,0.26937390114792054,0.07909357336100893,0.01,0.01,0.01,0.09654528895928859,0.01,0.01,0.01,0.01,0.01,0.053928460486718205,0.01,0.5334437731603964,0.01,0.18950153172585074,0.01,0.01,0.4880519936975292,0.01
237,Shrewsbury,-2.7553267999999997,52.7073,0.01,0.01,0.01,0.5414495642834091,0.01,0.01,0.11868641704116184,0.20909224457062017,0.01,0.01,0.01,0.31194496070589917,0.31270772536336616,0.01,0.06718144322762806,0.01,0.4099321350716116,0.12672497137735117,0.01,0.01,0.01,0.32739379639013017,0.01,0.01,0.01,0.01
238,Penrith,-2.752708,54.6641,0.01,0.01,0.01,0.01,0.01,0.40565240644668493,0.7835862378052229,0.12270752626459164,0.01,0.01,0.43028130705636003,0.14354156722684763,0.18351508513209525,0.01,0.01,0.5794703805110477,0.07732674214607291,0.01,0.01,0.01,0.20330526942012803,0.17737801908965606,0.01,0.01,0.01,0.01
239,Kendal,-2.74629,54.32801,0.01,0.01,0.01,0.21457981614104812,0.01,0.01,0.14110846553555847,0.01,0.6782940467519372,0.01,0.3730768972537436,0.15172247046496876,0.16523729016179983,0.01,0.01,0.33541463578928815,0.16245863525550253,0.01,0.01,0.01,0.1430128155124847,0.19296016087825094,0.01,0.01,0.01,0.01
240,Street,-2.7429189999999997,51.12468,0.01,0.01,0.01,0.01,0.01,0.16607316592118582,0.22812331016908627,0.06698157353524338,0.01,0.01,0.01,0.10901442553604519,0.01,0.01,0.01,0.01,0.056279808075381056,0.07611686902170303,0.01,0.01,0.01,0.14927552931857094,0.01,0.01,0.01,0.01
241,Glastonbury,-2.718454,51.14743,0.01,0.01,0.01,0.01,0.01,0.19156730765797544,0.2631428629707493,0.07726401573467188,0.01,0.01,0.01,0.12574939412988526,0.01,0.01,0.01,0.01,0.0649194061467155,0.03512067304189374,0.01,0.01,0.01,0.18403774033730602,0.01,0.01,0.01,0.01
242,Hereford,-2.715974,52.0564,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12172015466840277,0.01,0.01,0.02371216734494599,0.4147782203543073,0.01,0.01,0.01,0.01,0.3068181254373922,0.1659851761807678,0.01,0.01,0.018906502140126753,0.2713634167422184,0.01,0.01,0.01,0.01
243,Ludlow,-2.7139129,52.36775,0.01,0.01,0.01,0.3460401798153729,0.01,0.01,0.07585243724209319,0.1336307620913426,0.01,0.01,0.01,0.19936388800687496,0.01,0.01,0.042935630995496264,0.01,0.14970711139214277,0.08098987380394919,0.01,0.01,0.01,0.2031677036644374,0.01,0.01,0.01,0.01
244,Preston,-2.70309,53.7632,0.01,0.01,0.6545920122995156,0.3163522032495788,0.01,0.01,0.20803435650256277,0.01,1.0,0.01,0.12692823770641745,0.47221849294313617,0.01,0.01,0.01,0.01,0.1026474115983281,0.01,0.01,0.01,0.07590308975957259,0.37236587903868623,0.01,0.01,0.01,0.01
245,Whitchurch,-2.682045,52.96872,0.01,0.01,0.01,0.2984412528694668,0.01,0.01,0.06541869333154016,0.01,0.01,0.01,0.01,0.1953872179513111,0.17236117913016813,0.01,0.037029698441012546,0.01,0.22595024181825904,0.0174623663616545,0.01,0.01,0.01,0.1641460452013008,0.01,0.01,0.01,0.01
246,Wells,-2.6445979,51.20935,0.01,0.01,0.01,0.01,0.01,0.01,0.2950561149447995,0.08663438578700977,0.01,0.01,0.01,0.1409999392335815,0.01,0.01,0.01,0.01,0.07279265546450579,0.03938001291389618,0.01,0.01,0.01,0.22251028669788514,0.01,0.01,0.01,0.01
247,Yeovil,-2.633308,50.94206,0.01,0.01,0.01,0.01,0.01,0.2649279742925353,0.3639133758712427,0.1068522569145216,0.01,0.01,0.01,0.10869068973559227,0.01,0.01,0.01,0.01,0.089780281265062,0.26713570937872994,0.01,0.01,0.01,0.26593178107654275,0.01,0.01,0.01,0.01
248,Wigan,-2.6325074,53.54506,0.01,0.01,0.6881077270506268,0.01,0.01,0.01,0.437371841087855,0.01,0.01,0.01,0.01,0.5225226498320042,0.01,0.01,0.41261771834454014,0.01,0.143870742639435,0.01,0.01,0.01,0.05319293303696378,0.4059155296569537,0.01,0.01,0.01,0.01
249,Warrington,-2.5969501,53.39004,0.01,0.01,0.7103679021307535,0.01,0.01,0.01,0.45152075029929983,0.01,0.01,0.01,0.01,0.5394261741078425,0.01,0.01,0.4259658356384418,0.01,0.14852493818783935,0.01,0.01,0.01,0.05491371592586331,0.42055768418328787,0.01,0.01,0.01,0.01
250,Arbroath,-2.591543,56.55911,0.01,0.01,0.01,0.01,0.01,0.1162600445615694,0.2794722652125398,0.04689066501534579,0.01,0.01,0.23141284705781076,0.27187535995987044,0.01,0.01,0.01,0.09490074376627633,0.11819657242878533,0.021314342764375844,0.01,0.01,0.14081269297254634,0.14915522755074653,0.01,0.01,0.01,0.01
251,Bristol,-2.58791,51.45451,0.01,0.01,0.01,0.01,0.01,0.01,0.6849322730333677,0.20110983563600315,0.01,0.01,0.01,0.327312006039568,0.01,0.01,0.01,0.01,0.16897815853356038,0.09141529489142922,0.01,0.01,0.01,0.5782394039871422,0.01,0.01,0.01,0.01
252,Guernsey,-2.5852779999999997,49.46569,0.01,0.01,0.01,0.14484392879180114,0.01,0.0616370430669966,0.01,0.01,0.01,0.01,0.01,0.020230019488173996,0.01,0.01,0.01,0.01,0.01,0.06780074833523414,0.01,0.16766604883182085,0.01,0.023524743802273623,0.01,0.01,0.15339901508823653,0.01
253,Ross-on-Wye,-2.582446,51.91445,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.019318380127091358,0.2874851739293118,0.01,0.01,0.01,0.01,0.2499657281789751,0.01,0.01,0.01,0.015403189000118231,0.23843974672085566,0.01,0.01,0.01,0.01
