,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
79,Broadford,0.9363590367779634,0.040470035252645684,0.0970477724100907,-5.9096592,57.2413917
80,Bromsgrove,0.6193165044102691,0.4548368464157938,0.1352787130564922,-2.061906,52.335589
81,Brora,0.9192732958210974,0.07957286774878829,0.07644173854219623,-3.852548000000001,58.012157
82,Bude,0.20872283893316387,0.7621500559910406,0.4947027405656241,-4.543678,50.826636
83,Builth Wells,0.63621828455385,0.4878745227221674,0.05873944119558047,-3.404592,52.150023
84,Burnley,0.8018986535857866,0.2810165024566053,0.025675982731197262,-2.2405035,53.7892877
85,Burton upon Trent,0.4749661281482838,0.5071171760710884,0.3369953731114165,-1.6371359,52.8140281
86,Bury St Edmunds,0.14101943195034786,0.4827779805888792,1.0,0.7104931999999999,52.2429228
87,Buxton,0.6616051127807581,0.3554819037518232,0.18975650713686068,-1.91483,53.25908199999999
88,Caernarfon,0.6922409082012287,0.3155835254008149,0.18587054856484933,-4.273911,53.139551
89,Cambridge,0.2926212349749252,0.5717986743742611,0.5936432886787478,0.121817,52.205337
90,Camelford,0.15996472257680375,0.8111037982208431,0.5205454210429317,-4.682364,50.622055
91,Campbeltown,0.9006705797571825,0.07784132145034522,0.1138825900730655,-5.6053739999999985,55.424117
92,Canterbury,0.546594207608131,0.4135810971724277,0.3282498184458956,1.0789089,51.280233
93,Cardiff,0.6939987887656259,0.3354182689362753,0.15574851832161682,-3.17909,51.481581
94,Cardigan,0.6762990873734065,0.3515035561877669,0.1674074074074073,-4.660864,52.083703
95,Carlisle,0.8208556621223442,0.166759209300044,0.14431673052362842,-2.932931,54.892473
96,Carlow,0.9142612393831908,0.11485910158407495,0.038212145037071855,-6.9341358999999985,52.83650720000001
97,Carmarthen,0.7185786862379231,0.2960805977157536,0.1625314635023371,-4.312131,51.85762
98,Castle Douglas,0.7914707186562241,0.16558490123330022,0.2013491154384617,-3.931414,54.940415
99,Castleford,0.7452637466705734,0.3557610241820763,0.031526818720793486,-1.345968,53.723466
100,Cavan,1.0,0.02342573194591157,0.01,-7.3633319,53.9897186
101,Charleville,0.8216825265567731,0.2435315827918968,0.039004521763144034,-8.681017599999999,52.3620618
102,Chatteris,0.30364911692886737,0.5274185742986605,0.6328115056637383,0.054012,52.456102
103,Chelmsford,0.3910020922381814,0.6606990449095714,0.2878698804624724,0.4685497,51.73558679999999
104,Cheltenham,0.44754725039295057,0.6696366222682008,0.16909839132061452,-2.0782533,51.8993855
105,Chester,0.744610811688465,0.2422725365550049,0.18612988397161032,-2.893075,53.193392
106,Chesterfield,0.621058473325754,0.37832260888288,0.23539503109395504,-1.421629,53.235048
107,Chichester,0.3873985724121428,0.673141190983513,0.2778546181035809,-0.774936,50.83761
108,Cinderford,0.4440682619913036,0.6200913564757948,0.2426194310252295,-2.5009579,51.82530300000001
109,Cirencester,0.3626178619051165,0.7853055013397716,0.17303091204899984,-1.968243,51.718495
