,placename,past_participle,past_participle_was,past_participle_were,present_participle,present_participle_was,present_participle_were,longitude,latitude
76,Helston,0.8031883614713166,0.01,0.01,0.21184971971514602,0.01,0.01,-5.274996,50.10159
77,Redruth,0.79654247828657,0.01,0.01,0.2183710982566288,0.01,0.01,-5.226666000000002,50.23302
78,Ullapool,0.2309117331912276,0.01,0.01,0.7734115701439748,0.01,0.01,-5.161313,57.895419999999994
79,Ballachulish,0.12404786047342735,0.01,0.01,0.8782746711408651,0.01,0.01,-5.133719999999999,56.67393000000001
80,Fort William,0.17011205550787786,0.01,0.01,0.8330729344908533,0.01,0.01,-5.1052179,56.81981999999999
81,Achnasheen,0.21817895365677653,0.01,0.01,0.7859059049430149,0.01,0.01,-5.078765799999998,57.57859000000001
82,Newquay,0.7747491804530103,0.01,0.01,0.23975636090305305,0.01,0.01,-5.0737190000000005,50.4155
83,Falmouth,0.8040878831164284,0.01,0.01,0.2109669657892774,0.01,0.01,-5.066269999999999,50.152570000000004
84,Rothesay,0.11941440781466565,0.01,0.01,0.8828213841527295,0.01,0.01,-5.055793,55.83596
85,Truro,0.8062990469222935,0.01,0.01,0.20879720152946546,0.01,0.01,-5.0510410000000014,50.2632
86,Milford Haven,0.6615367892589469,0.3534404214797019,0.01,0.34003118866552834,0.22979323707680044,0.01,-5.0426971,51.71431
87,Stranraer,0.18629324013517934,0.01,0.01,0.8171947096426501,0.01,0.01,-5.0240550000000015,54.903369999999995
88,Fishguard,0.6479861656602315,0.4135563850324344,0.01,0.3514881211141345,0.26887829814723124,0.01,-4.975989,51.99393
89,Inchnadamph,0.2313047256443901,0.01,0.01,0.7730259356753814,0.01,0.01,-4.974295,58.15221
90,Haverfordwest,0.6615367892589469,0.3534404214797019,0.01,0.34003118866552834,0.22979323707680044,0.01,-4.971319,51.80048
91,Dunoon,0.12087913731382535,0.01,0.01,0.8813840417378092,0.01,0.01,-4.926214,55.95097
92,Pembroke,0.665907136800761,0.3525568181978435,0.01,0.3357697243028025,0.2292187507062803,0.01,-4.9086370000000015,51.67404000000001
93,Girvan,0.11825547596086405,0.01,0.01,0.8839585557021056,0.01,0.01,-4.8542179,55.240159999999996
94,Wadebridge,0.7799433291560761,0.01,0.01,0.2346594990698279,0.01,0.01,-4.836456,50.51665
95,Invergarry,0.21231892970120333,0.01,0.01,0.7916562611955162,0.01,0.01,-4.800261,57.07095
96,St Austell,0.8022386946427023,0.01,0.01,0.21278155663381929,0.01,0.01,-4.7834252,50.340379999999996
97,Greenock,0.12198527219622507,0.01,0.01,0.8802986663114932,0.01,0.01,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.11943694172795374,0.01,0.01,0.8827991858142752,0.01,0.01,-4.734014,56.00232
99,Bodmin,0.8062990469222935,0.01,0.01,0.20879720152946546,0.01,0.01,-4.7188629,50.4715
100,Tenby,0.665907136800761,0.3525568181978435,0.01,0.3357697243028025,0.2292187507062803,0.01,-4.703579,51.67274000000001
101,Camelford,0.7791492506411859,0.01,0.01,0.2354386607495763,0.01,0.01,-4.682364,50.62206
102,Irvine,0.1099842730125987,0.01,0.01,0.8920748848615347,0.01,0.01,-4.6696364,55.61156999999999
103,Cardigan,0.6536146923024932,0.4260505361148205,0.01,0.34558249981655537,0.2770015081035109,0.01,-4.660864,52.0837
104,Holyhead,0.6822061940285808,0.18674384671303385,0.01,0.3199516816166309,0.4856543857464226,0.01,-4.633038,53.30944
105,Ayr,0.11396037132973387,0.01,0.01,0.8881732802299749,0.01,0.01,-4.629179,55.45856
106,Dumbarton,0.12091398758797367,0.01,0.01,0.8813498809614101,0.01,0.01,-4.564554,55.94529
107,Bude,0.7641339478141714,0.01,0.01,0.2501729312227646,0.01,0.01,-4.543678,50.82664000000001
108,Isle of Man,0.7894748100132215,0.4466572677839389,0.01,0.2155414267242097,0.01,0.01,-4.5126330999999995,54.27697
109,Kilmarnock,0.11168677111493656,0.01,0.01,0.8904043365687411,0.01,0.01,-4.498792,55.61472
110,Newton Stewart,0.1947904483052298,0.01,0.01,0.8088565204227797,0.01,0.01,-4.483164,54.9603
111,Liskeard,0.8071567306436261,0.01,0.01,0.20795563785384,0.01,0.01,-4.4647190000000005,50.45552
112,Altnaharra,0.2308081877859957,0.01,0.01,0.7735131892044547,0.01,0.01,-4.442655,58.28023
113,Pwllheli,0.7024979263898367,0.21022021601410093,0.01,0.2999310001646377,0.4555900635725369,0.01,-4.417633900000001,52.888819999999996
114,Lairg,0.2308081877859957,0.01,0.01,0.7735131892044547,0.01,0.01,-4.402414,58.022059999999996
115,Launceston,0.8126430033179523,0.01,0.01,0.202572047482246,0.01,0.01,-4.360451599999998,50.636829999999996
116,Carmarthen,0.6633279400240479,0.4209633668645893,0.01,0.33620690824625105,0.2736940282308197,0.01,-4.312131,51.857620000000004
117,Llangefni,0.6889386436353735,0.14673945018848816,0.01,0.3143359952840863,0.4770214666385724,0.01,-4.311401999999998,53.25578
118,Caernarfon,0.676362721753878,0.17686796871258492,0.01,0.3262471304022894,0.4599707364672848,0.01,-4.273911,53.13955
119,Cumnock,0.11659244048413955,0.01,0.01,0.8855905035508091,0.01,0.01,-4.265828900000002,55.45355
120,Aberaeron,0.6282538600040484,0.2686147207758461,0.01,0.3737212369654132,0.29107143179686384,0.01,-4.2581619,52.24279
121,Alness,0.2313047256443901,0.01,0.01,0.7730259356753814,0.01,0.01,-4.256825,57.69595
122,Glasgow,0.1206912122689856,0.01,0.01,0.8815684112710831,0.01,0.01,-4.251806,55.86424
123,Dalwhinnie,0.20378434514625665,0.01,0.01,0.8000310776738361,0.01,0.01,-4.242783,56.9366
124,Inverness,0.2299937872756861,0.01,0.01,0.7743123293888118,0.01,0.01,-4.224721,57.47776999999999
125,Saltash,0.8134218371943491,0.01,0.01,0.20180780801890308,0.01,0.01,-4.21643,50.409209999999995
126,Bideford,0.735257133818442,0.20599789966390905,0.01,0.2717535392475872,0.16741479235334686,0.01,-4.206666,51.01668
127,Invergordon,0.2308081877859957,0.01,0.01,0.7735131892044547,0.01,0.01,-4.1728819999999995,57.688109999999995
128,Llanelli,0.7078403615641164,0.3520068069978185,0.01,0.2938688805809551,0.28607644348147304,0.01,-4.160248,51.68089000000001
129,Plymouth,0.8134218371943491,0.01,0.01,0.20180780801890308,0.01,0.01,-4.1426565,50.37546
130,Tavistock,0.8145291031711135,0.01,0.01,0.20072132267566434,0.01,0.01,-4.141654,50.551120000000004
131,Porthmadog,0.6813799295951569,0.18223914645373807,0.01,0.3210185584275683,0.4739392629540754,0.01,-4.1333839999999995,52.92784
132,Bangor,0.6853418766650179,0.1383706256653805,0.01,0.3184143233545635,0.4498160249047457,0.01,-4.129263,53.22739
133,Tywyn,0.6632455460834362,0.2896074260086185,0.01,0.34284075836923605,0.01,0.01,-4.087249,52.58701
