index,placename,longitude,latitude,needs to be Xed,needs Xed,needs Xing
27,Enniskillen,-7.631533599999999,54.343819999999994,0.35771205097599107,0.6303815764958676,0.07427202933390092
28,Doon,-7.60964,54.185930000000006,0.48102487454495957,0.46358663969574493,0.08559945325484887
29,Westmeath,-7.4653217000000005,53.534530000000004,0.8539616254594405,0.08009137808222766,0.1664381017871546
30,Strabane,-7.4633103,54.82739,0.21595006177008008,0.7697202468115681,0.06808806247338563
31,Balivanich,-7.3743509000000005,57.472269999999995,0.12766244271285618,0.6487821201854441,0.1617940168845036
32,Cavan,-7.3633319,53.98972,0.6751208313093561,0.27392199225957337,0.15001857185360576
33,Mullingar,-7.340186800000001,53.525819999999996,0.8570725257491184,0.0740369103116512,0.16766986605446266
34,Laois,-7.332300699999999,52.9943,0.8845201251355329,0.059261926810329976,0.1795625973260116
35,Omagh,-7.309959700000001,54.59771,0.21040699219705666,0.7775714402033602,0.07036459615208629
36,Derry,-7.308574799999999,54.99661,0.20931876627689863,0.7973488405628536,0.08776622685024346
37,Derry,-7.308574799999999,54.99661,0.20931876627689863,0.7973488405628536,0.08776622685024346
38,Kilkenny,-7.2447879,52.65415,0.9200477168177983,0.04944807413980466,0.17007917798385241
39,Tyrone,-7.131232000000001,54.491209999999995,0.15464271099750584,0.8166562808661245,0.05686164661157089
40,Waterford,-7.110070200000001,52.25932,0.9541972155768422,0.05958513648576025,0.14113211247354657
41,Western Isles,-7.0194034,57.759890000000006,0.16055879729970365,0.6713894992936961,0.17797868986347826
42,Monaghan,-6.9683132,54.2492,0.27231274682272993,0.7240444115548464,0.06928650628038908
43,Carlow,-6.934135899999999,52.83651,0.9261676534503023,0.05294483826534289,0.15401306944836912
44,Kildare,-6.8194707999999995,53.21204,0.946511898239809,0.05764381560310858,0.15084233079313358
45,Dungannon,-6.7669352,54.508269999999996,0.10674368885933352,0.8651431853313938,0.054615031598916036
46,Cookstown,-6.7443895000000005,54.641819999999996,0.10329059389389089,0.8979754489405937,0.04319675458678873
47,Coleraine,-6.6646103000000005,55.132580000000004,0.10665135401579355,0.9003675443869309,0.06686879644708084
48,Meath,-6.656416900000001,53.60555,0.9391700123282336,0.060088782831842366,0.14396002842484837
49,Armagh,-6.652792,54.350280000000005,0.1426514221215115,0.847411754410947,0.06372440277249367
50,Armagh,-6.652792,54.350280000000005,0.1426514221215115,0.847411754410947,0.06372440277249367
51,Magherafelt,-6.607980499999999,54.75536999999999,0.13360300352817023,0.8585761440382316,0.0596740238930502
52,Dunvegan,-6.581398200000001,57.4366,0.11793469756850128,0.6475325218203205,0.15896620142625997
53,Louth,-6.4889423,53.925230000000006,0.6684071892711746,0.3150166473807764,0.13657239343196426
54,Wexford,-6.4633381,52.33692,0.9210046113875703,0.04815875353281957,0.17511421831058974
55,Craigavon,-6.4175653,54.442930000000004,0.09524575805922725,0.9395878202342915,0.02907572216607308
56,Stornoway,-6.384869200000001,58.209430000000005,0.18441900666217861,0.6835352903932514,0.17218646690798717
57,Drogheda,-6.3560985,53.717859999999995,0.9157980609904133,0.06251852156167619,0.13874871555921758
58,Rosslare,-6.3414908,52.25131,0.7807803933785039,0.043759220587797285,0.15981263440483875
59,Newry,-6.34023,54.1751,0.31332850792540967,0.7035300435117774,0.063986765954236
60,Scilly Isles,-6.327496599999999,49.92773,0.28046404923196766,0.04045370999491455,0.6649057287442116
61,Ballymena,-6.2802213,54.86529,0.1146965430927376,0.912041664930256,0.0353898060497244
62,Banbridge,-6.2704803,54.34873,0.08869543437953818,0.9606199184165005,0.01
63,Dublin,-6.2603097000000005,53.34981,1.0,0.06183474758951804,0.16080490159577093
64,Antrim,-6.2072498,54.719530000000006,0.13617837708936087,0.9240758373299689,0.013245062057965924
65,Antrim,-6.2072498,54.719530000000006,0.13617837708936087,0.9240758373299689,0.013245062057965924
66,Portree,-6.1960231,57.41246999999999,0.16824092314424632,0.6846848466201891,0.18286971148214262
67,Islay,-6.177067,55.73625,0.10707310893702134,0.815945781464966,0.09314791747937333
68,Wicklow,-6.044589,52.980819999999994,0.9487106702310957,0.05661578133078318,0.13925537194384102
69,Kilkeel,-6.007004,54.06312,0.31506718395250155,0.6899428963587257,0.031055665018786406
70,Mull,-6.0008870000000005,56.4392,0.13322650711092332,0.8017162089690264,0.08505017278283335
71,Belfast,-5.93012,54.597280000000005,0.17384372146148008,0.947110680647282,0.017306072817238886
72,Broadford,-5.9096592,57.24139,0.11884866974047806,0.6428316868130051,0.16255784140457297
73,Down,-5.7156921999999994,54.32875,0.16764796251092653,0.9025766784924752,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.12649682378063268,0.6439104755933555,0.15510007582600818
75,Campbeltown,-5.605373999999999,55.424119999999995,0.016899792206286013,0.9235074155056459,0.0753063861241864
76,Penzance,-5.537592,50.1188,0.30196330335018134,0.03599102520010966,0.6965659789206701
77,Oban,-5.471047,56.41516,0.09487757477204624,0.8664923254043713,0.08386613680078997
78,Lochgilphead,-5.4323449,56.03829,0.08768835531166054,0.8590725795377733,0.05620889348008654
79,Helston,-5.274996,50.10159,0.28723699098441086,0.03578721871544432,0.683032951303434
80,Redruth,-5.226666000000001,50.23302,0.2960984088255037,0.043506381191054586,0.6787110225689873
81,Ullapool,-5.161313,57.895419999999994,0.1760376212751018,0.6644097326007404,0.17163597220390478
82,Ballachulish,-5.133719999999999,56.673930000000006,0.10080275772201411,0.737626360545943,0.08980704966883768
83,Fort William,-5.1052179,56.81981999999999,0.2528414149740897,0.5563487152310351,0.23520558405940936
84,Achnasheen,-5.078765799999999,57.578590000000005,0.1352039721741781,0.6423961198668845,0.14915540127649443
85,Newquay,-5.0737190000000005,50.4155,0.30261198995790906,0.042670559409390595,0.6872545191808874
86,Falmouth,-5.066269999999999,50.152570000000004,0.3043151609213046,0.0387341190621447,0.6965370233752963
87,Rothesay,-5.055793,55.83596,0.10894974262143553,0.8896755184868432,0.04511880446946553
88,Truro,-5.051041000000001,50.2632,0.324248171715552,0.04532023775127843,0.7043623063509821
89,Milford Haven,-5.0426971,51.71431,0.4672288926975358,0.04232897355179173,0.5203134891214388
90,Stranraer,-5.024055000000001,54.903369999999995,0.11788530417678401,0.9062434086830782,0.016413874417314053
91,Fishguard,-4.975989,51.99393,0.4168631956772871,0.036053188976322884,0.5483633158654211
92,Inchnadamph,-4.974295,58.15221,0.1289989758304434,0.6489252589409245,0.1483333475320686
93,Haverfordwest,-4.971319,51.800470000000004,0.45213877784310486,0.043889819577512174,0.5403112629926039
