placename,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to,longitude,latitude
Pwllheli,0.9951229,0.003729559,0.00000000000,0.00000000000,0.00114755666, -4.4176339,52.88882
Lairg,0.9943203,0.005380727,0.00000000000,0.00029892929,0.00000000000, -4.4024140,58.02206
Launceston,0.9944925,0.003195685,0.00013598658,0.00013598658,0.00203979874, -4.3604516,50.63683
Carmarthen,0.9936582,0.004227883,0.00063418243,0.00000000000,0.00147975901, -4.3121310,51.85762
Llangefni,0.9960150,0.003260476,0.00000000000,0.00000000000,0.00072455018, -4.3114020,53.25579
Caernarfon,0.9956381,0.003568832,0.00000000000,0.00000000000,0.00079307382, -4.2739110,53.13955
Cumnock,0.9962533,0.003572466,0.00000000000,0.00000000000,0.00017426663, -4.2658289,55.45355
Aberaeron,0.9954484,0.003576267,0.00000000000,0.00000000000,0.00097534543, -4.2581619,52.24279
Alness,0.9942452,0.005451942,0.00000000000,0.00030288567,0.00000000000, -4.2568250,57.69595
Glasgow,0.9953991,0.004269940,0.00013240123,0.00013240123,0.00006620061, -4.2518060,55.86424
Dalwhinnie,0.9975067,0.002493276,0.00000000000,0.00000000000,0.00000000000, -4.2427830,56.93660
Inverness,0.9941564,0.005536087,0.00000000000,0.00030756039,0.00000000000, -4.2247210,57.47777
Saltash,0.9946845,0.002993768,0.00012219462,0.00012219462,0.00207730846, -4.2164300,50.40921
Bideford,0.9956864,0.002625656,0.00000000000,0.00018754689,0.00150037509, -4.2066660,51.01668
Invergordon,0.9941603,0.005532375,0.00000000000,0.00030735415,0.00000000000, -4.1728820,57.68811
Llanelli,0.9941473,0.003632694,0.00060544904,0.00000000000,0.00161453078, -4.1602480,51.68089
Plymouth,0.9953999,0.002993720,0.00000000000,0.00000000000,0.00160638660, -4.1426565,50.37546
Tavistock,0.9954228,0.002696150,0.00000000000,0.00012540233,0.00175563265, -4.1416540,50.55112
Porthmadog,0.9952223,0.003653567,0.00000000000,0.00000000000,0.00112417443, -4.1333840,52.92784
Bangor,0.9960099,0.003264615,0.00000000000,0.00000000000,0.00072547004, -4.1292630,53.22739
Tywyn,0.9955678,0.002820496,0.00000000000,0.00000000000,0.00161171177, -4.0872490,52.58701
Aberystwyth,0.9944777,0.003550062,0.00000000000,0.00000000000,0.00197225692, -4.0829200,52.41530
Lampeter,0.9953769,0.002991434,0.00027194851,0.00000000000,0.00135974256, -4.0785090,52.11290
Barnstaple,0.9952353,0.002823529,0.00000000000,0.00017647059,0.00176470588, -4.0583380,51.07816
Tain,0.9936624,0.006035776,0.00000000000,0.00030178878,0.00000000000, -4.0552300,57.81150
Okehampton,0.9949501,0.002978117,0.00000000000,0.00012948336,0.00194225042, -4.0042630,50.73831
Llandeilo,0.9935185,0.003972541,0.00062724327,0.00000000000,0.00188172980, -3.9914300,51.88469
Motherwell,0.9958905,0.003785893,0.00012943225,0.00012943225,0.00006471612, -3.9810968,55.78321
Golspie,0.9938009,0.005917311,0.00000000000,0.00028177673,0.00000000000, -3.9760860,57.97341
Airdrie,0.9958379,0.003780874,0.00012708822,0.00019063233,0.00006354411, -3.9625660,55.86627
Swansea,0.9923517,0.003917423,0.00130580774,0.00000000000,0.00242507151, -3.9436460,51.62144
Stirling,0.9949902,0.003299120,0.00000000000,0.00171065494,0.00000000000, -3.9369029,56.11652
Tregaron,0.9955437,0.003342205,0.00000000000,0.00000000000,0.00111406821, -3.9343850,52.22000
Tregaron,0.9955437,0.003342205,0.00000000000,0.00000000000,0.00111406821, -3.9343850,52.22000
Castle Douglas,0.9914669,0.008533117,0.00000000000,0.00000000000,0.00000000000, -3.9314140,54.94042
Dolgellau,0.9946652,0.004001111,0.00000000000,0.00000000000,0.00133370381, -3.8844000,52.74215
Aberfeldy,0.9962275,0.003192107,0.00000000000,0.00058038305,0.00000000000, -3.8669690,56.62175
Machynlleth,0.9940657,0.003560596,0.00000000000,0.00000000000,0.00237373071, -3.8534850,52.59027
Brora,0.9933446,0.006378098,0.00000000000,0.00027730859,0.00000000000, -3.8525480,58.01216
Llandudno,0.9946740,0.005326035,0.00000000000,0.00000000000,0.00000000000, -3.8276090,53.32406
Llandudno,0.9946740,0.005326035,0.00000000000,0.00000000000,0.00000000000, -3.8276090,53.32406
Aviemore,0.9941389,0.005552595,0.00000000000,0.00030847752,0.00000000000, -3.8238120,57.19449
Dalbeattie,0.9895818,0.010213908,0.00000000000,0.00020427817,0.00000000000, -3.8225270,54.93422
Falkirk,0.9950643,0.003324044,0.00000000000,0.00161165766,0.00000000000, -3.7839131,56.00188
Kingsbridge,0.9957147,0.002687391,0.00000000000,0.00000000000,0.00159790819, -3.7774930,50.28395
Pitlochry,0.9979787,0.002021336,0.00000000000,0.00000000000,0.00000000000, -3.7297110,56.70436
Colwyn Bay,0.9951265,0.004873546,0.00000000000,0.00000000000,0.00000000000, -3.7276400,53.29318
Totnes,0.9955672,0.002779865,0.00000000000,0.00000000000,0.00165289256, -3.6857970,50.43374
Grantown-on-Spey,0.9942464,0.005178276,0.00000000000,0.00057536396,0.00000000000, -3.6096280,57.33041
Dumfries,0.9896222,0.010166004,0.00000000000,0.00021179176,0.00000000000, -3.6051200,55.07086
Whitehaven,0.9859812,0.013834357,0.00000000000,0.00018445809,0.00000000000, -3.5892330,54.54970
Dartmouth,0.9955970,0.002761194,0.00000000000,0.00000000000,0.00164179104, -3.5788070,50.35252
Bridgend,0.9916293,0.003200546,0.00196956655,0.00000000000,0.00320054564, -3.5769450,51.50429
Paignton,0.9956358,0.002708804,0.00000000000,0.00000000000,0.00165537998, -3.5642350,50.43508
Workington,0.9864699,0.013315334,0.00000000000,0.00021476345,0.00000000000, -3.5427520,54.64357
Llanidloes,0.9948279,0.003580664,0.00000000000,0.00000000000,0.00159140641, -3.5401950,52.44779
Exeter,0.9959854,0.002569318,0.00000000000,0.00016058238,0.00128465903, -3.5338990,50.71841
Torquay,0.9956134,0.002722735,0.00000000000,0.00000000000,0.00166389351, -3.5253150,50.46192
Thurso,0.9934920,0.006236852,0.00000000000,0.00027116750,0.00000000000, -3.5220800,58.59357
Livingston,0.9972769,0.001669021,0.00008784323,0.00096627552,0.00000000000, -3.5180680,55.90071
Rhyl,0.9953471,0.004414256,0.00000000000,0.00007953615,0.00015907229, -3.4916340,53.31914
Tiverton,0.9949830,0.003114007,0.00000000000,0.00017300040,0.00173000404, -3.4912070,50.90205
Tiverton,0.9949830,0.003114007,0.00000000000,0.00017300040,0.00173000404, -3.4912070,50.90205
Minehead,0.9923925,0.003684137,0.00153107009,0.00009569188,0.00229660514, -3.4811520,51.20428
Dunfermline,0.9972715,0.001431330,0.00008945811,0.00120768445,0.00000000000, -3.4521510,56.07174
Perth,0.9953369,0.002432926,0.00000000000,0.00223018179,0.00000000000, -3.4308381,56.39499
Prestatyn,0.9953397,0.004421289,0.00000000000,0.00007966287,0.00015932573, -3.4076130,53.33651
Builth Wells,0.9937497,0.003693357,0.00000000000,0.00000000000,0.00255693925, -3.4045920,52.15002
Braemar,0.9970911,0.002585650,0.00000000000,0.00032320621,0.00000000000, -3.3979439,57.00647
Brecon,0.9926191,0.003354954,0.00067099083,0.00000000000,0.00335495415, -3.3914630,51.94895
Merthyr Tydfil,0.9929795,0.002527380,0.00056163999,0.00000000000,0.00393147992, -3.3816460,51.74873
Llandrindod Wells,0.9948581,0.003932046,0.00000000000,0.00000000000,0.00120986036, -3.3777420,52.24170
Corwen,0.9941078,0.005892221,0.00000000000,0.00000000000,0.00000000000, -3.3692420,52.98005
Cockermouth,0.9865028,0.013283003,0.00000000000,0.00021424199,0.00000000000, -3.3679850,54.66326
Lockerbie,0.9885365,0.010802186,0.00000000000,0.00066135830,0.00000000000, -3.3490080,55.12224
Blairgowrie,0.9953437,0.002660754,0.00000000000,0.00199556541,0.00000000000, -3.3378318,56.58941
Elgin,0.9935773,0.005864184,0.00000000000,0.00055849376,0.00000000000, -3.3184850,57.64945
Newtown,0.9919088,0.006357340,0.00000000000,0.00000000000,0.00173382009, -3.3131060,52.51211
Ruthin,0.9941942,0.005805771,0.00000000000,0.00000000000,0.00000000000, -3.3103108,53.11487
Ruthin,0.9941942,0.005805771,0.00000000000,0.00000000000,0.00000000000, -3.3103108,53.11487
Sidmouth,0.9960312,0.002778145,0.00000000000,0.00000000000,0.00119063368, -3.2375600,50.67865
Barrow-in-Furness,0.9891346,0.010865401,0.00000000000,0.00000000000,0.00000000000, -3.2188940,54.10897
Peebles,0.9970616,0.001895750,0.00009478748,0.00094787479,0.00000000000, -3.1936420,55.65307
Edinburgh,0.9971487,0.001538821,0.00009051890,0.00122200514,0.00000000000, -3.1882670,55.95325
Cardiff,0.9930424,0.003040733,0.00144305984,0.00000000000,0.00247381686, -3.1790900,51.48158
Llangollen,0.9932854,0.006714628,0.00000000000,0.00000000000,0.00000000000, -3.1716600,52.96921
Kirkcaldy,0.9965795,0.001710235,0.00009001238,0.00162022278,0.00000000000, -3.1581370,56.11682
Welshpool,0.9900592,0.008836280,0.00000000000,0.00000000000,0.00110453504, -3.1464070,52.66035
Mold,0.9943747,0.005536044,0.00000000000,0.00008929103,0.00000000000, -3.1419030,53.16720
Mold,0.9943747,0.005536044,0.00000000000,0.00008929103,0.00000000000, -3.1419030,53.16720
Taunton,0.9941211,0.003527337,0.00000000000,0.00000000000,0.00235155791, -3.1068490,51.01534
Wick,0.9936302,0.006104427,0.00000000000,0.00026540986,0.00000000000, -3.0937160,58.43894
John o' Groats,0.9936234,0.006110914,0.00000000000,0.00026569193,0.00000000000, -3.0688997,58.63734
Dalkeith,0.9971346,0.001554140,0.00009713375,0.00121417181,0.00000000000, -3.0666060,55.89312
Oswestry,0.9909902,0.008600272,0.00000000000,0.00000000000,0.00040953675, -3.0564120,52.85715
Blackpool,0.9891037,0.010896263,0.00000000000,0.00000000000,0.00000000000, -3.0356748,53.81751
Birkenhead,0.9947240,0.005054642,0.00000000000,0.00007379039,0.00014758078, -3.0230090,53.38999
Cupar,0.9970035,0.001626678,0.00008561461,0.00128421909,0.00000000000, -3.0101370,56.32023
Southport,0.9908436,0.009156440,0.00000000000,0.00000000000,0.00000000000, -3.0101130,53.64571
Bridgwater,0.9932567,0.002997022,0.00074925560,0.00000000000,0.00299702240, -3.0036320,51.12789
Langholm,0.9887428,0.010567945,0.00000000000,0.00068921380,0.00000000000, -2.9989130,55.15306
Newport,0.9925941,0.002783769,0.00178581433,0.00000000000,0.00283629335, -2.9976640,51.58415
Axminster,0.9940483,0.003851091,0.00000000000,0.00000000000,0.00210059517, -2.9949370,50.78273
Wrexham,0.9925863,0.007413727,0.00000000000,0.00000000000,0.00000000000, -2.9924940,53.04304
Liverpool,0.9945138,0.005273814,0.00000000000,0.00007078944,0.00014157889, -2.9915726,53.40837
Weston-super-Mare,0.9930298,0.002875821,0.00116982544,0.00000000000,0.00292456359, -2.9772550,51.34741
Dundee,0.9961238,0.001938110,0.00000000000,0.00193810970,0.00000000000, -2.9707210,56.46202
Kirkwall,0.9936874,0.006049544,0.00000000000,0.00026302366,0.00000000000, -2.9622491,58.98467
Ambleside,0.9850366,0.014749683,0.00000000000,0.00021376352,0.00000000000, -2.9613330,54.42874
Orkney Islands,0.9936874,0.006049544,0.00000000000,0.00026302366,0.00000000000, -2.9605206,58.98094
Lyme Regis,0.9945481,0.003527714,0.00000000000,0.00000000000,0.00192420760, -2.9366390,50.72516
Carlisle,0.9882877,0.011503182,0.00000000000,0.00020914876,0.00000000000, -2.9329310,54.89247
Chester,0.9935006,0.006499392,0.00000000000,0.00000000000,0.00000000000, -2.8930750,53.19339
Forfar,0.9953728,0.002644142,0.00000000000,0.00198310687,0.00000000000, -2.8890620,56.64356
Morecambe,0.9883537,0.011646332,0.00000000000,0.00000000000,0.00000000000, -2.8649680,54.07417
Selkirk,0.9966882,0.002107499,0.00010035710,0.00110392814,0.00000000000, -2.8385240,55.55066
Galashiels,0.9965974,0.002101594,0.00010007589,0.00120091069,0.00000000000, -2.8144490,55.62373
Lancaster,0.9876384,0.012361620,0.00000000000,0.00000000000,0.00000000000, -2.8007399,54.04657
St Andrews,0.9966894,0.001829547,0.00008712129,0.00139394071,0.00000000000, -2.7967214,56.33978
Hawick,0.9935434,0.004980828,0.00000000000,0.00147580082,0.00000000000, -2.7809140,55.42706
Bridport,0.9941081,0.003842541,0.00000000000,0.00000000000,0.00204935531, -2.7583010,50.73358
Shrewsbury,0.9905115,0.008489742,0.00000000000,0.00000000000,0.00099879312, -2.7553268,52.70730
Penrith,0.9884614,0.011293094,0.00000000000,0.00024550205,0.00000000000, -2.7527080,54.66410
Kendal,0.9859105,0.013865903,0.00000000000,0.00022364360,0.00000000000, -2.7462900,54.32801
Street,0.9923003,0.003849856,0.00000000000,0.00000000000,0.00384985563, -2.7429190,51.12468
Glastonbury,0.9919923,0.004141930,0.00000000000,0.00000000000,0.00386580146, -2.7184540,51.14743
Hereford,0.9940452,0.005544148,0.00000000000,0.00000000000,0.00041067762, -2.7159740,52.05640
Ludlow,0.9921827,0.007165813,0.00000000000,0.00000000000,0.00065143751, -2.7139129,52.36775
Preston,0.9897551,0.010244878,0.00000000000,0.00000000000,0.00000000000, -2.7030900,53.76320
Whitchurch,0.9902740,0.009455882,0.00000000000,0.00000000000,0.00027016804, -2.6820450,52.96872
Wells,0.9906385,0.004538060,0.00014270628,0.00000000000,0.00468076605, -2.6445979,51.20935
Yeovil,0.9931907,0.004287336,0.00000000000,0.00000000000,0.00252196209, -2.6333080,50.94206
Wigan,0.9900132,0.009986847,0.00000000000,0.00000000000,0.00000000000, -2.6325074,53.54506
Warrington,0.9912094,0.008790586,0.00000000000,0.00000000000,0.00000000000, -2.5969501,53.39004
Arbroath,0.9952574,0.002474397,0.00000000000,0.00226819713,0.00000000000, -2.5915430,56.55911
Bristol,0.9903192,0.004824941,0.00015464555,0.00000000000,0.00470122479, -2.5879100,51.45451
Guernsey,0.9952014,0.003099070,0.00000000000,0.00000000000,0.00169949015, -2.5852780,49.46569
Ross-on-Wye,0.9932748,0.006351579,0.00000000000,0.00000000000,0.00037362227, -2.5824460,51.91445
Jedburgh,0.9910461,0.006531059,0.00000000000,0.00221213302,0.00021067934, -2.5549369,55.47772
Sedbergh,0.9879621,0.011787129,0.00000000000,0.00025078999,0.00000000000, -2.5281740,54.32363
Sedbergh,0.9879621,0.011787129,0.00000000000,0.00025078999,0.00000000000, -2.5281740,54.32363
Nantwich,0.9916741,0.008325940,0.00000000000,0.00000000000,0.00000000000, -2.5241020,53.06719
Banff,0.9939210,0.005731594,0.00000000000,0.00034736934,0.00000000000, -2.5240380,57.66651
Dunbar,0.9960693,0.001919664,0.00009141255,0.00191966360,0.00000000000, -2.5167370,56.00209
Cinderford,0.9932493,0.006364922,0.00000000000,0.00000000000,0.00038575286, -2.5009579,51.82530
Banchory,0.9951649,0.004649145,0.00000000000,0.00018596578,0.00000000000, -2.4909599,57.05386
Blackburn,0.9887160,0.011167084,0.00011693282,0.00000000000,0.00000000000, -2.4875290,53.74858
Market Drayton,0.9909997,0.008719009,0.00000000000,0.00000000000,0.00028125835, -2.4834850,52.90355
Telford,0.9921453,0.007552598,0.00000000000,0.00000000000,0.00030210394, -2.4672611,52.67759
Montrose,0.9956570,0.003316488,0.00000000000,0.00102653190,0.00000000000, -2.4661150,56.70692
Turriff,0.9944959,0.005253940,0.00000000000,0.00025018764,0.00000000000, -2.4623000,57.53893
Weymouth,0.9951434,0.003302467,0.00000000000,0.00000000000,0.00155410218, -2.4576210,50.61443
Crewe,0.9916441,0.008355899,0.00000000000,0.00000000000,0.00000000000, -2.4438209,53.10041
Fortuneswell,0.9951809,0.003277003,0.00000000000,0.00000000000,0.00154211913, -2.4422190,50.55919
Dorchester,0.9951076,0.003326810,0.00000000000,0.00000000000,0.00156555773, -2.4411810,50.71116
Alston,0.9874779,0.012271621,0.00000000000,0.00025044125,0.00000000000, -2.4386850,54.81217
