,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
90,Haverfordwest,0.42453204057059396,0.9316615,0.01,0.650892009661947,-4.971319,51.80048
91,Dunoon,0.3852794480932153,0.9316615,0.01,0.40834770912062285,-4.926214,55.95097
92,Pembroke,0.4021842372537643,0.9316615,0.01,0.6375565098055203,-4.908637000000001,51.674040000000005
93,Girvan,0.18998290760798492,0.9316615,0.01,0.32344383118091646,-4.8542179,55.240159999999996
94,Wadebridge,0.47612001294937845,0.9316615,0.01,0.2445194849708954,-4.836456,50.51665
95,Invergarry,0.6691428180873903,0.9316615,0.01,0.01,-4.800261,57.07095
96,St Austell,0.46588876641419513,0.9316615,0.01,0.24040034001155675,-4.7834252,50.340379999999996
97,Greenock,0.4663806965381788,0.9316615,0.01,0.42828464213927664,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.46047697252307274,0.9316615,0.01,0.4349570310561318,-4.734014,56.00232
99,Bodmin,0.489869586483369,0.9316615,0.01,0.24526535125812696,-4.7188629,50.4715
100,Tenby,0.4095783773506259,0.9316615,0.01,0.6421080915926348,-4.703579,51.672740000000005
101,Camelford,0.5090877691657973,0.9316615,0.01,0.24673825092347723,-4.682364,50.62206
102,Irvine,0.2157348448816907,0.9316615,0.01,0.33896957067171,-4.6696364,55.61156999999999
103,Cardigan,0.3992883467125765,0.9316615,0.01,0.6143229037421212,-4.660864,52.0837
104,Holyhead,0.21057084426628586,0.9316615,0.01,0.5731720002942365,-4.633038,53.30944
105,Ayr,0.21974369568623137,0.9316615,0.01,0.35399388395737474,-4.629179,55.45856
106,Dumbarton,0.40365215224351364,0.9316615,0.01,0.1986487498493367,-4.564554,55.94529
107,Bude,0.6032115246093038,0.9316615,0.01,0.3393634831221684,-4.543678,50.826640000000005
108,Isle of Man,0.669538274779398,0.9316615,0.01,0.18530125786107787,-4.5126330999999995,54.27697
109,Kilmarnock,0.24586465086883752,0.9316615,0.01,0.3556877379593457,-4.498792,55.61472
110,Newton Stewart,0.3363406980345015,0.9316615,0.01,0.27051845447842143,-4.483164,54.9603
111,Liskeard,0.4724787737354879,0.9316615,0.01,0.25167094986103533,-4.4647190000000005,50.45552
112,Altnaharra,0.5453128397137524,0.9316615,0.01,0.17192623659096873,-4.442655,58.28023
113,Pwllheli,0.38441146846907914,0.9316615,0.01,0.33491512229426484,-4.417633900000001,52.888819999999996
114,Lairg,0.5582231225159145,0.9316615,0.01,0.18083384256042484,-4.402414,58.022059999999996
115,Launceston,0.6527966185358933,0.9316615,0.01,0.3420407473252838,-4.360451599999999,50.636829999999996
116,Carmarthen,0.401499360265828,0.9316615,0.01,0.6106043458377941,-4.312131,51.857620000000004
117,Llangefni,0.19166486423544246,0.9316615,0.01,0.5700556523542466,-4.311401999999999,53.25578
118,Caernarfon,0.23028151959999815,0.9316615,0.01,0.5766395819891805,-4.273911,53.13955
119,Cumnock,0.18005430076028386,0.9316615,0.01,0.29522271687535007,-4.265828900000001,55.45355
120,Aberaeron,0.4813832996332604,0.9316615,0.01,0.5521888160880015,-4.2581619,52.24279
121,Alness,0.5435150024624632,0.9316615,0.01,0.18747452018178856,-4.256825,57.69595
122,Glasgow,0.39494085447334376,0.9316615,0.01,0.13597100042185717,-4.251806,55.86424
123,Dalwhinnie,0.6791243025013058,0.9316615,0.01,0.10258842272392107,-4.242783,56.9366
124,Inverness,0.5601478096733882,0.9316615,0.01,0.1916585278957481,-4.224721,57.47776999999999
125,Saltash,0.5151284685784908,0.9316615,0.01,0.3385545542848635,-4.21643,50.409209999999995
126,Bideford,0.6532463591123657,0.9316615,0.01,0.2442452168842126,-4.206666,51.01668
127,Invergordon,0.5497070217188978,0.9316615,0.01,0.1864020137032678,-4.1728819999999995,57.688109999999995
128,Llanelli,0.4119404294839684,0.9316615,0.01,0.7544161233187753,-4.160248,51.680890000000005
129,Plymouth,0.5319007825598536,0.9316615,0.01,0.3409860490240565,-4.1426565,50.37546
130,Tavistock,0.5473494698039565,0.9316615,0.01,0.25398435118190904,-4.141654,50.551120000000004
131,Porthmadog,0.26837811847556226,0.9316615,0.01,0.4031456718872968,-4.1333839999999995,52.92784
132,Bangor,0.20427841388677392,0.9316615,0.01,0.5697901083357558,-4.129263,53.22739
133,Tywyn,0.5796950708264061,0.9316615,0.01,0.23209408544734586,-4.087249,52.58701
134,Aberystwyth,0.527748206030124,0.9316615,0.01,0.2080019202920386,-4.08292,52.4153
135,Lampeter,0.4734820411753109,0.9316615,0.01,0.5833884380561246,-4.0785089999999995,52.1129
136,Barnstaple,0.6221017538757428,0.9316615,0.01,0.21217396356962062,-4.058338,51.07816
137,Tain,0.5675261990058457,0.9316615,0.01,0.17968990950454825,-4.05523,57.8115
138,Okehampton,0.6409483872764201,0.9316615,0.01,0.2243346222428621,-4.004263,50.73831
139,Llandeilo,0.4346234990716893,0.9316615,0.01,0.6634253106765313,-3.9914300000000003,51.88469
140,Motherwell,0.3120738328331997,0.9316615,0.01,0.2804981791900342,-3.9810968,55.78321
141,Golspie,0.5560753932839303,0.9316615,0.01,0.17824431755741157,-3.976086,57.97341
142,Airdrie,0.3235423581650697,0.9316615,0.01,0.2788320206426409,-3.9625660000000003,55.86626999999999
143,Swansea,0.4487693730886377,0.9316615,0.01,0.7870901682022504,-3.9436459999999998,51.62144
144,Stirling,0.4175448889753931,0.9316615,0.01,0.09270962024878937,-3.9369029,56.116519999999994
145,Tregaron,0.6419465919705416,0.9316615,0.01,0.49304963180554867,-3.934385,52.22
146,Castle Douglas,0.48532492842543257,0.9316615,0.01,0.5140037080890224,-3.9314139999999997,54.940419999999996
147,Dolgellau,0.6010618265317689,0.9316615,0.01,0.22857861831143694,-3.8844,52.74215
148,Aberfeldy,0.5788667493769308,0.9316615,0.01,0.11989373364860363,-3.866969,56.62175
149,Machynlleth,0.6673936394475645,0.9316615,0.01,0.20531205465709038,-3.853485,52.59027
150,Brora,0.5560753932839303,0.9316615,0.01,0.17824431755741157,-3.8525480000000005,58.012159999999994
151,Llandudno,0.21339979405875537,0.9316615,0.01,0.38611881106293827,-3.827609,53.324059999999996
152,Aviemore,0.6478981308061607,0.9316615,0.01,0.17019790174804847,-3.823812,57.19449
153,Dalbeattie,0.5724221553627276,0.9316615,0.01,0.5334180278797955,-3.8225269999999996,54.934219999999996
154,Falkirk,0.3669509023359791,0.9316615,0.01,0.21952209388271662,-3.7839131,56.00188000000001
155,Kingsbridge,0.5536669326483252,0.9316615,0.01,0.2412209563306935,-3.777493,50.28395
156,Pitlochry,0.4786601049732196,0.9316615,0.01,0.16047067649582045,-3.729711,56.70436
157,Colwyn Bay,0.24297016664590013,0.9316615,0.22073114625397036,0.30198705470140313,-3.72764,53.29318000000001
158,Totnes,0.5618466421198504,0.9316615,0.01,0.2660785961550733,-3.685797,50.43374
159,Grantown-on-Spey,0.5671208980860851,0.9316615,0.01,0.18620357577121868,-3.609628,57.33041
160,Dumfries,0.6329624684597974,0.9316615,0.01,0.5449375644750183,-3.60512,55.070859999999996
161,Whitehaven,0.6615351988801207,0.9316615,0.01,0.4654342724825054,-3.589233,54.5497
162,Dartmouth,0.562716028062237,0.9316615,0.01,0.2653986450497366,-3.578807,50.35252
163,Bridgend,0.4174335085699629,0.9316615,0.01,1.0,-3.576945,51.504290000000005
164,Paignton,0.5527159802474164,0.9316615,0.01,0.2427200005051651,-3.564235,50.43508
