Unnamed: 0,placename,needs_to_be_Xed,needs_Xed,needs_Xing,longitude,latitude,control
19,Roscommon,0.9300594300230696,0.24703489960582475,0.09738535937791508,-8.1890955,53.62759000000001,0.9823153503723677
20,Tipperary,0.9125942568292122,0.2623495054347941,0.09838149465381464,-8.161851400000002,52.47379,0.9805511508476167
21,Donegal,0.7635318558821365,0.43683611855158505,0.07050642979828194,-8.1096143,54.653830000000006,0.9755291511365628
22,Leitrim,0.80080311216352,0.3504517628202575,0.11300375785734552,-8.0020132,54.12469,0.9666690588058584
23,Athlone,0.9252439428956504,0.25476100415195585,0.09474871421627838,-7.9406898,53.42393000000001,0.9822341283321404
24,Longford,0.9293022126215672,0.22375833845980428,0.1173215229970836,-7.7932573,53.72763000000001,0.9801069363477471
25,Offaly,0.8424666910915449,0.2764895504138608,0.14172827919603556,-7.7122229,53.23569000000001,0.9670877531047563
26,Fermanagh,0.7969985564388989,0.3595007489926356,0.10847374649123544,-7.6318728,54.34383,0.9672789888644937
27,Enniskillen,0.7969985564388989,0.3595007489926356,0.10847374649123544,-7.631533599999999,54.34382,0.9672789888644937
28,Doon,0.776934373029763,0.3265083584487301,0.15165177877827216,-7.60964,54.185930000000006,0.9566911180713726
29,Westmeath,0.9464384117919064,0.17056308656692454,0.14806020697398806,-7.4653217,53.53453,0.9811115168818282
30,Strabane,0.8260316105944869,0.4156577670635632,0.03900081543034056,-7.4633103,54.82739,0.9902131794627519
31,Balivanich,0.5003320906195308,0.7031888224764453,0.05596930450165505,-7.3743509,57.47227,0.9669160379428197
32,Cavan,0.7354917261301644,0.3430876963015652,0.1704351707849363,-7.3633319,53.98972,0.9476739811396827
33,Mullingar,0.991616125868001,0.17820565562945448,0.106215451721166,-7.3401868000000015,53.52582,0.9874782336944886
34,Laois,0.8599895790263707,0.2596115191830278,0.1419858150162591,-7.3323006999999985,52.9943,0.9694281720154768
35,Omagh,0.8553160701617327,0.3897249216033565,0.037541790396857636,-7.309959700000001,54.59771,0.9918035175797498
36,Derry,0.8272535470902651,0.4126988603441911,0.040499398575233284,-7.308574799999999,54.99661,0.9897068306601924
37,Derry,0.8272535470902651,0.4126988603441911,0.040499398575233284,-7.308574799999999,54.99661,0.9897068306601924
38,Kilkenny,0.8471194226494343,0.2662620088806055,0.1465713274465205,-7.2447879,52.65415,0.9672488100941727
39,Tyrone,0.8158491142749563,0.3833746095829366,0.0738259557002114,-7.1312320000000025,54.49121,0.9780422132236894
40,Waterford,0.8771193141457213,0.2708690333656699,0.11917351732988082,-7.110070200000001,52.25932,0.9740388220649897
41,Western Isles,0.5766891546383375,0.6288758789097394,0.05772790831833625,-7.0194034,57.75989000000001,0.9699892763297557
42,Monaghan,0.7390954345562163,0.3893485426266817,0.12916412604197355,-6.9683132,54.2492,0.955911771039598
43,Carlow,0.9710839913390948,0.19847269108916493,0.10550607194338138,-6.9341358999999985,52.83651,0.9854532162469092
44,Kildare,0.9968822496928996,0.18658611782580647,0.0951146040748156,-6.8194708,53.21204,0.9886670759940741
45,Dungannon,0.6264117891361927,0.5675476717054185,0.06962276579650066,-6.7669352,54.50827,0.9667577618021009
46,Cookstown,0.8256878615972806,0.40484270499813946,0.0482574679130392,-6.7443895000000005,54.64182,0.986865770604854
47,Coleraine,0.8052603061790093,0.4654591907552959,0.01393820351906493,-6.6646103000000005,55.13258,1.0
48,Meath,0.984382621952979,0.18769663553254592,0.10401209574956527,-6.656416900000001,53.60555,0.9868798252057889
49,Armagh,0.7237924864179899,0.3851157798091964,0.1447041700778963,-6.652792,54.35028000000001,0.950438265703884
50,Armagh,0.7237924864179899,0.3851157798091964,0.1447041700778963,-6.652792,54.35028000000001,0.950438265703884
51,Magherafelt,0.6565815928298897,0.565331722199355,0.04776104172813047,-6.607980499999999,54.75536999999999,0.9793528813689072
