index,placename,longitude,latitude,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen
81,Ullapool,-5.161313,57.895419999999994,0.17206529024501135,0.01,0.03710865517253768,0.021018462797821828,0.01,0.01,0.012507039303612971,0.393143098641945,0.08400469132247154,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.10883591925945742,0.035315335744441685,0.01,0.02481685604095026,0.01,0.01,0.01,0.10201993368151639,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.3500128092477841,0.1135729817650859,0.025161970176597215,0.07981020933799889,0.01,0.01,0.016961097491578474,0.32809281926506323,0.1253989043565072,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.04837152278814575,0.01,0.015648148648340406,0.019498958097576582,0.01,0.01,0.01,0.14027740899699614,0.01166561263663756,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.01,0.31830294541981696,0.01,0.01,0.01,0.01,0.21487184319036595,0.01,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.01,0.3431516781779913,0.01,0.01,0.01,0.01,0.23528197052799432,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.3549993187412135,0.10724682339390072,0.14652254911565665,0.05652349779737344,0.01,0.01,0.01,0.3549993187412135,0.10054505831974767,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.01,0.47445616656274014,0.01,0.01,0.01,0.01,0.34313219186587196,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.01,0.05872559930208038,0.01,0.01,0.01,0.01,0.19898951782013244,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.33352841376271297,0.01,0.22695402688062394,0.05310486968686547,0.01,0.01,0.01,0.2607585766831168,0.08711522959059295,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.01,0.011772939738314493,0.01,0.01,0.01,0.01,0.1608911460366461,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.07255728418221861,0.01,0.031296296842884506,0.01,0.01,0.01,0.01,0.1530299012619191,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.01,0.03225680829911366,0.01,0.01,0.01,0.01,0.2328269570898283,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.3923254838976509,0.09820495418350425,0.09065498836281717,0.051758059920291755,0.01,0.01,0.01,0.32506969184635803,0.08814158251096461,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.01,0.040897667915693464,0.01,0.01,0.01,0.01,0.30767213171044255,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.3809281417456972,0.09535202846293515,0.1936470697937306,0.021537622846679667,0.01,0.01,0.01,0.24676228461298805,0.07993940905943872,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.01,0.01,0.2664835195259513,0.01,0.01,0.01,0.01,0.17230866335542355,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.09674303856242097,0.035315335744441685,0.01,0.019498958097576582,0.01,0.01,0.01,0.06376245910568112,0.016430687383583574,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.01,0.01,0.28807053248630976,0.01,0.01,0.01,0.01,0.19003969566390258,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.6027327472741882,0.1508730486811839,0.13927397641159844,0.07951631726650195,0.01,0.01,0.01,0.4994071414265892,0.16039074037818218,0.01,0.01,0.01
