,placename,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen,longitude,latitude
85,Newquay,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.066269999999999,50.152570000000004
87,Rothesay,0.8285714417959187,0.20000004800000198,0.22839506222222225,0.11666666,0.01,0.01,0.01,0.6816239327202498,0.4215685882352941,0.01,0.01,0.01,-5.055793,55.83596
88,Truro,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.0510410000000014,50.2632
89,Milford Haven,0.01,0.01,0.01,0.13333334,0.01,0.01,0.01,0.01,0.9215685882352942,0.01,0.01,0.01,-5.0426971,51.71431
90,Stranraer,0.8285714417959187,0.01,0.3765432088888888,0.11666666,0.01,0.01,0.01,0.5329059810050624,0.40196082352941176,0.01,0.01,0.01,-5.0240550000000015,54.903369999999995
91,Fishguard,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-4.975989,51.99393
92,Inchnadamph,0.5320197378747369,0.01,0.15325670444444445,0.05747126,0.01,0.01,0.031830239086717005,0.923076924449704,0.5064232941176472,0.01,0.01,0.01,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-4.971319,51.80048
94,Dunoon,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6816239327202498,0.4215685882352941,0.01,0.01,0.01,-4.926214,55.95097
95,Pembroke,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-4.9086370000000015,51.67404000000001
96,Girvan,1.0,0.20000004800000198,0.3395061733333333,0.05,0.01,0.01,0.01,0.5329059810050624,0.40196082352941176,0.01,0.01,0.01,-4.8542179,55.240159999999996
97,Wadebridge,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.836456,50.51665
98,Invergarry,0.7093595990710766,0.20689656827586275,0.01,0.12643678,0.01,0.01,0.031830239086717005,0.38461538667455614,0.6281270588235294,0.01,0.01,0.01,-4.800261,57.07095
99,St Austell,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.7834252,50.340379999999996
100,Greenock,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6816239327202498,0.4215685882352941,0.01,0.01,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6816239327202498,0.4215685882352941,0.01,0.01,0.01,-4.734014,56.00232
102,Bodmin,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.7188629,50.4715
103,Tenby,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-4.703579,51.67274000000001
104,Camelford,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.682364,50.62206
105,Irvine,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.4411764705882353,0.01,0.01,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-4.660864,52.0837
107,Holyhead,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.07435897585759367,0.6666667058823529,0.01,0.01,0.01,-4.633038,53.30944
108,Ayr,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.4411764705882353,0.01,0.01,0.01,-4.629179,55.45856
109,Dumbarton,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.4411764705882353,0.01,0.01,0.01,-4.564554,55.94529
110,Bude,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.543678,50.82664000000001
111,Isle of Man,0.17142855820408134,0.01,0.29629629555555553,0.53333334,0.01,0.01,0.01538461662011834,0.17350427402669294,0.4117647058823529,0.01,0.01,0.16326530462307373,-4.5126330999999995,54.27697
112,Kilmarnock,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.4411764705882353,0.01,0.01,0.01,-4.498792,55.61472
113,Newton Stewart,0.6571428835918374,0.01,0.30246913555555555,0.15,0.01,0.01,0.01,0.5329059810050624,0.4607843529411764,0.01,0.01,0.01,-4.483164,54.9603
114,Liskeard,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.4647190000000005,50.45552
115,Altnaharra,0.5320197378747369,0.01,0.15325670444444445,0.05747126,0.01,0.01,0.031830239086717005,0.923076924449704,0.5064232941176472,0.01,0.01,0.01,-4.442655,58.28023
116,Pwllheli,0.01,0.01,0.01,0.63333334,0.01,0.01,0.01,0.07435897585759367,0.6078431764705882,0.01,0.01,0.01,-4.417633900000001,52.888819999999996
117,Lairg,0.5320197378747369,0.01,0.15325670444444445,0.05747126,0.01,0.01,0.031830239086717005,0.8461538444378697,0.5267071764705882,0.01,0.01,0.01,-4.402414,58.022059999999996
118,Launceston,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.360451599999998,50.636829999999996
119,Carmarthen,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-4.312131,51.857620000000004
120,Llangefni,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-4.311401999999998,53.25578
121,Caernarfon,0.01,0.01,0.01,0.63333334,0.01,0.01,0.01,0.07435897585759367,0.6078431764705882,0.01,0.01,0.01,-4.273911,53.13955
