,placename,'ee,deesel,thasel,thaself,thaseln,thasels,thasen,theesel,theeself,theeseln,theesels,theesen,thysen,yesel,yeself,you,yoursel,yourself,yourselfs,yourseln,yoursels,yourselt,yourselve,yourselves,yoursen,longitude,latitude
199,Edinburgh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.785714285867347,0.17346932028320997,0.01,0.01,0.9666666577733334,0.01,0.01,0.01,0.01,-3.1882669999999997,55.95325
200,Cardiff,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.17909,51.48158
201,Llangollen,0.01,0.01,0.01,0.13867488025213615,0.01,0.01,0.01,0.01,0.2542372825423728,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09079903064942925,0.8910412155952013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.1716599999999997,52.96921
202,Kirkcaldy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7142857130612245,0.2653060624739643,0.01,0.01,0.7733333331786667,0.01,0.01,0.01,0.01,-3.158137,56.11682
203,Welshpool,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.24999999249999993,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.5,0.01785714213010204,0.8316325780924554,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.146407,52.66035
204,Mold,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.1419029999999997,53.1672
205,Mold,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.1419029999999997,53.1672
206,Taunton,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.01,0.01,0.01,0.01,0.1276595732458126,-3.106849,51.01534
207,Wick,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81280788156228,0.2399717950997386,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-3.093716,58.43894
208,John o' Groats,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.2399717950997386,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-3.0688997000000002,58.63734
209,Dalkeith,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.9666666577733334,0.01,0.01,0.01,0.01,-3.066606,55.893119999999996
210,Oswestry,0.01,0.01,0.01,0.13867488025213615,0.01,0.01,0.01,0.01,0.7627118776271188,0.01,0.01,0.01,0.01,0.01,0.01,0.5084745999999999,0.01815980570131442,0.828779026839104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.056412,52.85715
211,Blackpool,0.01,0.01,0.13829787154594841,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.1309523806207483,0.6734693202832098,0.01,0.01,0.01,0.01,0.01,0.01,0.10638297961973743,-3.0356748,53.81751
212,Birkenhead,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.023009,53.389990000000004
213,Cupar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6785714288010204,0.38775511328613166,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-3.010137,56.32023
214,Southport,0.01,0.01,0.21096286270622497,0.27734977686790874,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09685229993081979,0.8339674354259132,0.01,0.01,0.01,0.01,0.01,0.01,0.043274431933308266,-3.010113,53.64571
215,Bridgwater,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.846938824239904,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-3.003632,51.12789
216,Langholm,0.01,0.01,0.41489361463784513,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8095238094217685,0.13265303123698235,0.01,0.01,0.3222222231244445,0.01,0.01,0.01,0.01,-2.998913,55.153059999999996
217,Newport,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.9387755664306585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.997664,51.58415
218,Axminster,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.01,0.01,0.01,0.01,0.1276595732458126,-2.9949369999999997,50.78273
219,Wrexham,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1694915,0.07263922494811482,0.9066066250291122,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.9924939999999998,53.043040000000005
220,Liverpool,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.9915726,53.40837
221,Weston-super-Mare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.977255,51.347409999999996
222,Dundee,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6428571423979591,0.41836723823406036,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.9707209999999997,56.462019999999995
223,Kirkwall,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7019704430700211,0.208303914963585,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-2.9622491,58.984669999999994
224,Ambleside,0.01,0.01,0.7606382997261203,1.0,0.01,0.01,0.12149532648964977,0.66666666,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.2380952376870748,0.34693864056641976,0.01,0.01,0.01,0.01,0.01,0.01,0.1914893617836125,-2.961333,54.428740000000005
225,Orkney Islands,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7019704430700211,0.208303914963585,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-2.9605206,58.980940000000004
226,Lyme Regis,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-2.936639,50.725159999999995
227,Carlisle,0.01,0.01,0.41489361463784513,0.5454545409917355,0.01,0.01,0.01,1.0,0.01,1.0,0.01,0.17180617085214153,0.01,1.0,0.01,0.01,0.6666666659523809,0.01,1.0,0.01,0.25777777385955564,0.01,0.01,0.01,0.0638297885377999,-2.932931,54.892469999999996
228,Chester,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.893075,53.19339
229,Forfar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999994642856,0.32653049604330603,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.889062,56.64356
230,Morecambe,0.01,0.01,0.3457446850882752,1.0,0.01,0.01,0.12149532648964977,0.01,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.09523809421768709,0.5918367421907547,0.01,0.01,0.01,0.01,0.01,0.01,0.1914893617836125,-2.864968,54.074169999999995
231,Selkirk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.14285701166179696,0.01,0.01,0.3866666607893334,0.01,0.01,0.01,0.01,-2.838524,55.55066
232,Galashiels,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.14285701166179696,0.01,0.01,0.3866666607893334,0.01,0.01,0.01,0.01,-2.814449,55.62373
233,Lancaster,0.01,0.01,0.3457446850882752,1.0,0.01,0.01,0.12149532648964977,0.01,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.09523809421768709,0.5306121249479286,0.01,0.01,0.01,0.01,0.01,0.01,0.31914893502942504,-2.8007399,54.046569999999996
234,St Andrews,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6785714288010204,0.38775511328613166,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.7967214,56.339780000000005
235,Hawick,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.20408162890462278,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.780914,55.42706
236,Bridport,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8775509491878326,0.01,1.0,0.01,0.01,0.01,0.01,0.1276595732458126,-2.758301,50.733579999999996
237,Shrewsbury,0.01,0.01,0.01,0.31818181148760327,0.01,0.01,0.01,0.01,0.7500000075000002,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.5,0.01785714213010204,0.7602039804248145,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.7553267999999997,52.7073
238,Penrith,0.01,0.01,0.7606382997261203,0.5454545409917355,0.01,0.01,0.12149532648964977,1.0,0.01,1.0,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.5595238088860544,0.08163257809245544,0.01,0.01,0.01,0.01,0.01,0.01,0.14893617070167495,-2.752708,54.6641
239,Kendal,0.01,0.01,0.7606382997261203,1.0,0.01,0.01,0.12149532648964977,0.66666666,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.2380952376870748,0.2857142069970782,0.01,0.01,0.01,0.01,0.01,0.01,0.31914893502942504,-2.74629,54.32801
240,Street,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.846938824239904,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.7429189999999997,51.12468
241,Glastonbury,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.846938824239904,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.718454,51.14743
242,Hereford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.01,0.9387755664306585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.715974,52.0564
243,Ludlow,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.24999999249999993,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.3333333,0.01785714213010204,0.8622448867138685,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.7139129,52.36775
244,Preston,0.01,0.01,0.5531914861837937,0.4545454590082645,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09523809421768709,0.7040816289046229,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.70309,53.7632
245,Whitchurch,0.01,0.01,0.01,0.31818181148760327,0.01,0.01,0.01,0.01,0.7500000075000002,0.01,0.01,0.01,0.01,0.01,0.01,0.1666667,0.01785714213010204,0.8520407226155691,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.682045,52.96872
246,Wells,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.1666667,0.01,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.6445979,51.20935
247,Yeovil,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.633308,50.94206
248,Wigan,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03571428640306122,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.6325074,53.54506
249,Warrington,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03571428640306122,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.5969501,53.39004
250,Arbroath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6785714288010204,0.38775511328613166,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.591543,56.55911
251,Bristol,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.1666667,0.01,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.58791,51.45451
252,Guernsey,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8163265156184911,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-2.5852779999999997,49.46569
253,Ross-on-Wye,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.582446,51.91445
254,Jedburgh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.11224488671386845,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.5549369,55.47772
255,Sedbergh,0.01,0.01,0.3457446850882752,1.0,0.01,0.01,0.12149532648964977,0.33333334,0.01,1.0,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.1309523806207483,0.4387753827571743,0.01,0.01,0.01,0.01,0.01,0.01,0.31914893502942504,-2.5281740000000004,54.32363
256,Sedbergh,0.01,0.01,0.3457446850882752,1.0,0.01,0.01,0.12149532648964977,0.33333334,0.01,1.0,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.1309523806207483,0.4387753827571743,0.01,0.01,0.01,0.01,0.01,0.01,0.31914893502942504,-2.5281740000000004,54.32363
257,Nantwich,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.0714285706632653,0.8061223515201918,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.524102,53.06718000000001
258,Banff,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.3033075553720454,0.01,0.01,0.40000000232000005,0.01,0.01,0.01,0.01,-2.524038,57.666509999999995
259,Dunbar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999994642856,0.2959183710953771,0.01,0.01,0.3866666607893334,0.01,0.01,0.01,0.01,-2.516737,56.00209
260,Cinderford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.5009579,51.8253
261,Banchory,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7142857130612245,0.38775511328613166,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4909599,57.05386
262,Blackburn,0.01,0.01,0.7606382997261203,0.18181818033057856,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.11453744379863769,0.01,0.01,0.01,0.01,0.03571428640306122,0.7346939375260358,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.487529,53.748580000000004
263,Market Drayton,0.01,0.01,0.01,0.31818181148760327,0.01,0.01,0.01,0.01,0.7500000075000002,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01785714213010204,0.7908162890462276,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.483485,52.90355
264,Telford,0.01,0.01,0.01,0.31818181148760327,0.01,0.01,0.01,0.01,0.24999999249999993,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.3333333,0.01785714213010204,0.8214285976676408,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.4672611,52.67759
265,Montrose,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6428571423979591,0.41836723823406036,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.4661150000000003,56.70692
266,Turriff,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7758620694458127,0.33497525183471455,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4623,57.53893000000001
267,Weymouth,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8775509491878326,0.01,1.0,0.01,0.01,0.01,0.01,0.1276595732458126,-2.457621,50.61443
268,Crewe,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.0714285706632653,0.8061223515201918,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.4438209,53.1004
269,Fortuneswell,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8775509491878326,0.01,1.0,0.01,0.01,0.01,0.01,0.1276595732458126,-2.4422189999999997,50.55919
270,Dorchester,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9387755664306585,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.4411810000000003,50.71116
271,Alston,0.01,0.01,0.3457446850882752,0.01,0.01,0.01,0.01,0.33333334,0.01,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.6547619052465986,0.20408162890462278,1.0,0.01,0.25777777385955564,0.01,0.01,0.01,0.01,-2.438685,54.812169999999995
272,Kelso,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.17346932028320997,0.01,0.01,0.3866666607893334,0.01,0.01,0.01,0.01,-2.432207,55.600030000000004
273,Wincanton,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.416007,51.055690000000006
274,Clitheroe,0.01,0.01,0.7606382997261203,0.7272727213223142,0.01,0.01,0.12149532648964977,0.66666666,0.01,0.01,0.01,0.11453744379863769,0.01,0.01,0.01,0.01,0.03571428640306122,0.5714285976676405,0.01,0.01,0.01,0.01,0.01,0.01,0.21276595923947486,-2.3930830000000003,53.8711
275,Sark,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8163265156184911,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-2.3666256000000003,49.43007
276,Bath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.1666667,0.01,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.3590167,51.38106
277,Kidderminster,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.3333333,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.2496839,52.3886
278,Manchester,0.01,0.01,0.20744681354232686,0.272727278677686,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8163265156184911,0.01,0.01,0.01,0.01,1.0,0.01,0.01,-2.2426305,53.48076
279,Burnley,0.01,0.01,0.9680851132684472,0.4545454590082645,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.11453744379863769,0.01,0.01,0.01,0.01,0.03571428640306122,0.5816325780924554,0.01,0.01,0.01,0.01,0.01,0.01,0.23404255286555,-2.2405035,53.78929
280,Gloucester,0.01,0.01,0.01,0.5454545409917355,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.1666667,0.01,0.8163265156184911,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.238156,51.86424
281,Newcastle-under-Lyme,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.0714285706632653,0.7448979179508503,0.01,0.01,0.01,0.01,1.0,0.01,0.04255319108193753,-2.2273002,53.01321
282,Worcester,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.01,0.9387755664306585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.221575,52.19364
283,Trowbridge,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,1.0,0.1666667,0.01,0.8775509491878326,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.208853,51.31966
284,Shaftesbury,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9387755664306585,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.198083,51.0046
285,Alderney,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8163265156184911,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-2.1973557,49.715
286,Stoke-on-Trent,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.0714285706632653,0.8061223515201918,0.01,0.01,0.01,0.01,0.01,0.01,0.04255319108193753,-2.179404,53.002669999999995
287,Colne,0.01,0.01,0.9680851132684472,0.7272727213223142,0.01,0.01,0.24299065297929953,0.01,0.01,0.01,0.01,0.28634361465077923,1.0,0.01,0.01,0.01,0.01,0.4693876913785871,0.01,0.01,0.01,0.01,0.01,0.01,0.40425532102308737,-2.176991,53.85564
288,Blandford Forum,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1666667,0.01,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.1276595732458126,-2.165353,50.85691
289,Rochdale,0.01,0.01,0.8297872417224988,0.272727278677686,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7244897734277366,0.01,0.01,0.01,0.01,1.0,0.01,0.01,-2.1561,53.60971
290,Jersey,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8163265156184911,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-2.13125,49.21444
291,Wolverhampton,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.03571428640306122,0.9081632578092454,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.12882,52.586969999999994
292,Stafford,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.33333333333333337,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.03571428640306122,0.7959183710953774,0.01,0.01,0.01,0.01,0.01,0.01,0.08510638216387506,-2.12066,52.80669
293,Macclesfield,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.09112149213359244,0.01,0.5000000150000001,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.0714285706632653,0.7397958359017011,0.01,0.01,0.01,0.01,1.0,0.01,0.03191489235400634,-2.119287,53.25866
294,Hexham,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333334,0.01,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.7202380944855442,0.16836723823406033,1.0,0.01,0.35444444775688894,0.01,0.01,1.0,0.01,-2.1121439,54.97266
295,Aberdeen,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999994642856,0.32653049604330603,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-2.094278,57.149719999999995
296,Dudley,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.081112,52.51225
297,Cheltenham,0.01,0.01,0.01,0.5454545409917355,0.01,0.01,0.01,0.01,0.5000000150000001,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.1666667,0.01,0.846938824239904,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.0782533,51.899390000000004
298,Bromsgrove,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.01,0.9693876913785872,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.061906,52.33559
