,placename,should_have,should_of,longitude,latitude
107,Bude,0.8100884,0.5114188647560204,-4.543678,50.82664000000001
108,Isle of Man,0.8100884,0.7719502846375195,-4.5126330999999995,54.27697
109,Kilmarnock,0.9361074919115088,0.06389246226520225,-4.498792,55.61472
110,Newton Stewart,0.8100884,0.319679396041234,-4.483164,54.9603
111,Liskeard,0.8100884,0.5218674133554907,-4.4647190000000005,50.45552
112,Altnaharra,0.8100884,0.3487246441315585,-4.442655,58.28023
113,Pwllheli,0.8100884,0.6828191655368587,-4.417633900000001,52.888819999999996
114,Lairg,0.8100884,0.34667890349325264,-4.402414,58.022059999999996
115,Launceston,0.8100884,0.5155577491466261,-4.360451599999998,50.636829999999996
116,Carmarthen,0.8100884,0.5231631209159844,-4.312131,51.857620000000004
117,Llangefni,0.8100884,0.9781006366763412,-4.311401999999998,53.25578
118,Caernarfon,0.8100884,0.9348143215311476,-4.273911,53.13955
119,Cumnock,0.9373976103182542,0.06260214142220785,-4.265828900000002,55.45355
120,Aberaeron,0.8100884,0.534686790994351,-4.2581619,52.24279
121,Alness,0.8100884,0.3435885436638904,-4.256825,57.69595
122,Glasgow,0.9658993963511736,0.04139811,-4.251806,55.86424
123,Dalwhinnie,0.8100884,0.2710755827165823,-4.242783,56.9366
124,Inverness,0.8100884,0.3588568577458809,-4.224721,57.47776999999999
125,Saltash,0.8100884,0.5197799929905339,-4.21643,50.409209999999995
126,Bideford,0.8100884,0.5071730540230532,-4.206666,51.01668
127,Invergordon,0.8100884,0.35711310995738105,-4.1728819999999995,57.688109999999995
128,Llanelli,0.8100884,0.5424147779207877,-4.160248,51.68089000000001
129,Plymouth,0.8100884,0.5190803257213404,-4.1426565,50.37546
130,Tavistock,0.8100884,0.5250563501150907,-4.141654,50.551120000000004
131,Porthmadog,0.8100884,0.6994862754854865,-4.1333839999999995,52.92784
132,Bangor,0.8100884,0.9745900455480632,-4.129263,53.22739
133,Tywyn,0.8100884,0.561272463874484,-4.087249,52.58701
134,Aberystwyth,0.8100884,0.4730924370822979,-4.08292,52.4153
135,Lampeter,0.8100884,0.5332168904567229,-4.0785089999999995,52.1129
136,Barnstaple,0.8100884,0.4936156960867855,-4.058338,51.07816
137,Tain,0.8100884,0.3492426443530872,-4.05523,57.8115
138,Okehampton,0.8100884,0.5375424919426489,-4.004263,50.73831
139,Llandeilo,0.8100884,0.541603134261577,-3.9914300000000003,51.88469
140,Motherwell,0.9716611621165748,0.04139811,-3.9810968,55.78321
141,Golspie,0.8100884,0.3499249394583453,-3.976086,57.97341
