index,placename,longitude,latitude,past_participle,present_participle
36,Derry,-7.308574799999999,54.99661,0.03678597016326856,0.4281837696955093
37,Derry,-7.308574799999999,54.99661,0.03678597016326856,0.4281837696955093
38,Kilkenny,-7.2447879,52.65415,0.03787229039080558,0.36824630446603646
39,Tyrone,-7.131232000000001,54.491209999999995,0.018127037154437288,0.20735736718159903
40,Waterford,-7.110070200000001,52.25932,0.044323644026681534,0.408978673016716
41,Western Isles,-7.0194034,57.759890000000006,0.03974264703649483,0.1669360246240296
42,Monaghan,-6.9683132,54.2492,0.045658493815034944,0.27204233973429964
43,Carlow,-6.934135899999999,52.83651,0.03296962280237841,0.33744633137422153
44,Kildare,-6.8194707999999995,53.21204,0.048903741829043494,0.4128800585499367
45,Dungannon,-6.7669352,54.508269999999996,0.017648381705792946,0.21451685854650876
46,Cookstown,-6.7443895000000005,54.641819999999996,0.025377601435099165,0.26070102577568005
47,Coleraine,-6.6646103000000005,55.132580000000004,0.03568509319584557,0.36960179545242233
48,Meath,-6.656416900000001,53.60555,0.04361008432469619,0.36344669973635646
49,Armagh,-6.652792,54.350280000000005,0.030425656071868284,0.28160386524947795
50,Armagh,-6.652792,54.350280000000005,0.030425656071868284,0.28160386524947795
51,Magherafelt,-6.607980499999999,54.75536999999999,0.028503611522884206,0.27811483144244653
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.04988470798597923
53,Louth,-6.4889423,53.925230000000006,0.041000983010055295,0.36850092925887823
54,Wexford,-6.4633381,52.33692,0.040613077743339054,0.38845268920026244
55,Craigavon,-6.4175653,54.442930000000004,0.033423067542092066,0.32250219526828044
56,Stornoway,-6.384869200000001,58.209430000000005,0.07439815868266404,0.21831581586903043
57,Drogheda,-6.3560985,53.717859999999995,0.028537423956071693,0.27997453163690666
58,Rosslare,-6.3414908,52.25131,0.01,0.05726383031581199
59,Newry,-6.34023,54.1751,0.035859821759819756,0.3202866102352079
60,Scilly Isles,-6.327496599999999,49.92773,0.1726777127722305,0.07345868183424918
61,Ballymena,-6.2802213,54.86529,0.03401388035977382,0.31036071143965116
62,Banbridge,-6.2704803,54.34873,0.029695640426626778,0.2667520430621298
63,Dublin,-6.2603097000000005,53.34981,0.10232062166837073,0.7906071010060287
64,Antrim,-6.2072498,54.719530000000006,0.037939470848084494,0.33760960294090997
65,Antrim,-6.2072498,54.719530000000006,0.037939470848084494,0.33760960294090997
66,Portree,-6.1960231,57.41246999999999,0.05492880637454398,0.22650429399563768
67,Islay,-6.177067,55.73625,0.031838256194694936,0.18421415308610142
68,Wicklow,-6.044589,52.980819999999994,0.04181910508746974,0.36538661346778334
69,Kilkeel,-6.007004,54.06312,0.022870333087234452,0.18159410304110107
70,Mull,-6.0008870000000005,56.4392,0.0405486730104312,0.17978571931833986
71,Belfast,-5.93012,54.597280000000005,0.07139011304089427,0.6502895281041877
72,Broadford,-5.9096592,57.24139,0.01,0.05003402875714679
73,Down,-5.7156921999999994,54.32875,0.03571086899068053,0.3439619486021406
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.0507519060628723
75,Campbeltown,-5.605373999999999,55.424119999999995,0.04064120823011917,0.19428225400740187
76,Penzance,-5.537592,50.1188,0.28673685605929683,0.14553154035131158
77,Oban,-5.471047,56.41516,0.06731917948436585,0.2446027599110821
78,Lochgilphead,-5.4323449,56.03829,0.028799828821727155,0.15227935333809844
79,Helston,-5.274996,50.10159,0.2137155094367926,0.10115954476332373
80,Redruth,-5.226666000000001,50.23302,0.24023888685410144,0.1172766836572901
81,Ullapool,-5.161313,57.895419999999994,0.05860669142814461,0.15335665343718033
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.05240423512798297
83,Fort William,-5.1052179,56.81981999999999,0.03546506655738096,0.25721042886103734
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01567220835893123,0.045441750077306824
85,Newquay,-5.0737190000000005,50.4155,0.2865411448807616,0.13471798296669696
86,Falmouth,-5.066269999999999,50.152570000000004,0.3035881172003931,0.1527656383034395
87,Rothesay,-5.055793,55.83596,0.04697164257384443,0.24091772009485588
88,Truro,-5.051041000000001,50.2632,0.42129107030269664,0.2272944669050831
89,Milford Haven,-5.0426971,51.71431,0.15326635915778913,0.13151825817369042
90,Stranraer,-5.024055000000001,54.903369999999995,0.03685716922079186,0.2291093384654869
91,Fishguard,-4.975989,51.99393,0.12228715929583019,0.0970063407672081
92,Inchnadamph,-4.974295,58.15221,0.0182924984811078,0.043465173146879914
93,Haverfordwest,-4.971319,51.800470000000004,0.17924350232408412,0.14071935664621593
94,Dunoon,-4.926214,55.95097,0.03950873763370414,0.2194513022088752
95,Pembroke,-4.908637000000001,51.674040000000005,0.22025058563027883,0.19576615026218666
96,Girvan,-4.8542179,55.240159999999996,0.049785335505875904,0.20314989472508183
97,Wadebridge,-4.836456,50.51665,0.23642096024937903,0.10807246939827285
98,Invergarry,-4.800261,57.07095,0.011941377536151631,0.04825604149580073
99,St Austell,-4.7834252,50.340379999999996,0.2510800929173525,0.12386442778770021
