,placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
30,Strabane,0.2636521885575657,0.2390488801378065,0.2475197964303593,0.01,0.01,0.01,0.7155932718236366,-7.4633103,54.82739
31,Balivanich,0.2067321247352229,0.2988346102855684,0.01,0.04200851312750995,0.01,0.01,0.7219970560168729,-7.3743509,57.47227
32,Cavan,0.187323608991846,0.3065618879189364,0.5488893754054769,0.01,0.01,0.01,0.7194513989651159,-7.3633319,53.98972
33,Mullingar,0.2322527380259305,0.3709286167510504,0.3863772846241181,0.01853380865694937,0.01217460442854529,0.01,0.6225597751797964,-7.3401868000000015,53.52582
34,Laois,0.13846080137981698,0.4033582201805072,0.2234342362428328,0.017376907786361712,0.010146357361748222,0.01,0.6974603608242009,-7.3323006999999985,52.9943
35,Omagh,0.2345169116141855,0.2406556054884719,0.20395837358599764,0.01,0.01,0.01,0.7451228936240117,-7.309959700000001,54.59771
36,Derry,0.2795882229678164,0.2842410016835423,0.0795075106136227,0.01,0.01,0.01,0.6709234382895489,-7.308574799999999,54.99661
37,Derry,0.2795882229678164,0.2842410016835423,0.0795075106136227,0.01,0.01,0.01,0.6709234382895489,-7.308574799999999,54.99661
38,Kilkenny,0.09994681471436986,0.30053124244317786,0.1396863163885172,0.017955235455670963,0.017972643650105268,0.01,0.8235864439224714,-7.2447879,52.65415
39,Tyrone,0.1089976049683477,0.2793004905949213,0.18826088783533312,0.01,0.01,0.01,0.8365248772305554,-7.1312320000000025,54.49121
40,Waterford,0.07939571062365193,0.2740494967400458,0.1583223310122404,0.02325794631749763,0.0203704336308987,0.01,0.8625603101021032,-7.110070200000001,52.25932
41,Western Isles,0.2002497143529132,0.4372481489876357,0.02758117826783708,0.01823284757654702,0.01,0.01,0.6202462362006758,-7.0194034,57.75989000000001
42,Monaghan,0.1102858600215548,0.32969446153401,0.1820644013904774,0.01337285804667632,0.01,0.01,0.7921798179544758,-6.9683132,54.2492
43,Carlow,0.09382223144939343,0.3059212875665201,0.28620156960874243,0.016451893014975374,0.0192124842087238,0.01,0.8177930442906118,-6.9341358999999985,52.83651
44,Kildare,0.14157351982543226,0.3387395685713361,0.38812630505844464,0.02079855354144748,0.01,0.01,0.7388748100309398,-6.8194708,53.21204
45,Dungannon,0.1397631875553207,0.36041583563152585,0.14016588553215392,0.01029535953774997,0.01,0.01,0.740806261647695,-6.7669352,54.50827
46,Cookstown,0.13428602262624972,0.3804621829923879,0.01,0.01,0.01,0.01,0.7404939052289606,-6.7443895000000005,54.64182
47,Coleraine,0.24579335362988364,0.2853783285325625,0.01,0.01,0.01,0.01,0.7072465733927725,-6.6646103000000005,55.13258
48,Meath,0.2092244288389105,0.4653664741535728,0.32020726781999176,0.01881569928007722,0.01,0.01,0.5725388081357863,-6.656416900000001,53.60555
49,Armagh,0.11163499504684804,0.33870385846027645,0.12120158308802252,0.017804815625402957,0.01,0.01,0.7849526354953434,-6.652792,54.35028000000001
50,Armagh,0.11163499504684804,0.33870385846027645,0.12120158308802252,0.017804815625402957,0.01,0.01,0.7849526354953434,-6.652792,54.35028000000001
51,Magherafelt,0.2190485592788482,0.3277297164846829,0.01,0.01,0.01,0.01,0.7007090586227086,-6.607980499999999,54.75536999999999
52,Dunvegan,0.21680045258306754,0.28390410951039485,0.01,0.04200851312750995,0.01,0.01,0.7244815790906523,-6.5813982000000015,57.4366
53,Louth,0.16033606906053682,0.3403129951046145,0.2804060528019009,0.01,0.01,0.01,0.7303924705864364,-6.4889423,53.925230000000006
54,Wexford,0.04766088790874393,0.2732867241748725,0.23389414841763506,0.022906423689436118,0.020062553121289864,0.01,0.8907631335366676,-6.4633381,52.33692
55,Craigavon,0.15558559225614493,0.4355727591790488,0.01,0.01492370580815199,0.01,0.01,0.6683319307543067,-6.4175653,54.44293
56,Stornoway,0.18647729027018992,0.4254914848034532,0.027470585860478583,0.02421298679493963,0.01,0.01,0.6415027113874457,-6.3848692000000025,58.20943000000001
57,Drogheda,0.20419926624631413,0.4455278425190992,0.3399578053999799,0.01,0.01,0.01,0.5982857650487498,-6.3560985,53.71786
58,Rosslare,0.04747137600835478,0.26888668733949106,0.2337449911577114,0.022891815883390287,0.02004975866284156,0.01,0.8946260367701772,-6.3414908,52.25131
59,Newry,0.12725075628121124,0.3244515053247105,0.06544467209389704,0.019227971686399132,0.01,0.01,0.7837996868794053,-6.34023,54.1751
60,Scilly Isles,0.0977765259797296,0.3617144895096096,0.01,0.04603929839101975,0.01,0.01,0.7757873148906127,-6.327496599999999,49.92773
61,Ballymena,0.1641804118447841,0.2412061842104356,0.01,0.0277264316226602,0.01,0.01,0.8170002130137051,-6.2802213,54.86529
62,Banbridge,0.13542890133911742,0.3908561217808943,0.01,0.024241643229509467,0.01,0.01,0.7221183687544248,-6.2704803,54.34873
63,Dublin,0.09093261051674904,0.3807092831820992,0.7129997569312854,0.01,0.01,0.01,0.7418741958255041,-6.2603097000000005,53.34981
64,Antrim,0.08280005284652586,0.2595889685840585,0.05808937441510256,0.028800475953384,0.01,0.1434172095366609,0.8763441116994202,-6.2072498,54.719530000000006
65,Antrim,0.08280005284652586,0.2595889685840585,0.05808937441510256,0.028800475953384,0.01,0.1434172095366609,0.8763441116994202,-6.2072498,54.719530000000006
66,Portree,0.19942662487338847,0.3406202628126386,0.01,0.037982858189881764,0.01,0.01,0.6958737430519799,-6.1960231,57.41246999999999
