,placename,said,this_is,was_like,went,longitude,latitude
76,Whitehaven,0.7030446,0.4720655153289132,0.15126969544984226,0.4562016768445222,-3.589233,54.5497
77,Dover,0.875639233181683,0.41304873264883707,0.15275083326952998,0.23606390594679905,1.3134027,51.12788
78,Mildenhall,0.9343723640848404,0.01,0.1534284103079153,0.17337610084040514,0.5156095,52.34757000000001
79,Basingstoke,0.8924282073253125,0.4567544287430433,0.15572398743933802,0.21382865949388166,-1.0923964,51.26654
80,Newbury,0.911828542898027,0.01,0.15804411896802326,0.1964730616190188,-1.3231138999999998,51.40141
81,Stevenage,0.9262281274154636,0.4960618434331486,0.15848081426111107,0.17199684802915774,-0.19661199999999998,51.90376
82,Royston,0.9208466795146776,0.3965521312195437,0.16070583635229818,0.17822869691415194,-0.024066,52.048140000000004
83,Morecambe,0.7493275470656233,0.4206219939577384,0.16104431405633576,0.3773718123811097,-2.864968,54.074169999999995
84,Wisbech,0.9179397611096888,0.01,0.1656032471480897,0.1841896666656989,0.158797,52.66631999999999
85,Braintree,0.9236483893665166,0.3758560905878418,0.1661371239797104,0.17156294568912325,0.5509269,51.88009
86,Sheffield,0.7030446,0.10282322738625103,0.16693602253368434,0.482017201851836,-1.470085,53.38113000000001
87,Chatteris,0.923910498536506,0.4656517875743253,0.16913369289121188,0.16786850839927145,0.054012,52.4561
88,Durham,0.7030446,0.3250304782330372,0.1696244700213085,0.43720848182408095,-1.5848520000000001,54.77525
89,Colchester,0.9070071937108396,0.40102442136871896,0.16978381459088593,0.18807297575918566,0.891874,51.89593
90,Sunderland,0.7030446,0.325849552595564,0.17249132540803042,0.44093280434120463,-1.383801,54.90687
91,Lancaster,0.7631037861091865,0.39544958582127104,0.1734105094270755,0.3532531592473993,-2.8007399,54.046569999999996
92,Newtown,0.9262001528868796,0.01,0.1753149774881764,0.16793203221174266,-3.313106,52.51211
93,Lowestoft,0.9063783749596334,0.3896003347603762,0.17568339705216698,0.18494359588260886,1.7534490000000005,52.48114
94,Hartlepool,0.7030446,0.01,0.17647949826974388,0.44739353724170255,-1.212926,54.69174
95,Chelmsford,0.8826845573912648,0.4338035156477055,0.17746695801788626,0.2106555140475086,0.4685497,51.73559
96,Whitby,0.7062309613568373,0.01,0.1783403486040618,0.4220180049287963,-0.613347,54.48634000000001
97,Harwich,0.8791816598990595,0.3550286263550215,0.17893400555053715,0.21490849348781774,1.260297,51.93473
98,Bishop Auckland,0.7030446,0.3268229027149594,0.18304008096113167,0.4375921741495758,-1.6787880000000002,54.663819999999994
99,Felixstowe,0.877772595057144,0.36028960034424257,0.1854322180007769,0.21202888895860533,1.3512549999999999,51.961729999999996
100,Brentwood,0.8730984162159827,0.01,0.18618780964312304,0.22233709700709367,0.30717490000000003,51.62047000000001
101,Southend,0.8560844295598321,0.4089221169137149,0.18623370668104428,0.2360102966647024,0.7077123000000001,51.54593
102,Abingdon,0.9167794263153956,0.01,0.18670811421296585,0.17111487973426792,-1.2879528999999998,51.67078
