,Unnamed:_0,Unnamed:_0,placename,dont_have,have_no,have_not_got,havent,havent_got,longitude,latitude
52,52,78,Wicklow,0.17101316181887022,0.8664695615894086,0.17025315959833864,0.01,0.043002814694872736,-6.044589,52.980819999999994
53,53,372,Wakefield,0.6314972400676718,0.2438399055587573,0.17068527447263646,0.01,0.6706304436487432,-1.505924,53.6833
54,54,79,Kildare,0.17188347860566927,0.8655716776250487,0.17111959738859733,0.01,0.04322165808893533,-6.8194707999999995,53.21204
55,55,112,Newton Stewart,0.16330818326774774,0.8554039107941708,0.1724358928447917,0.01,0.0808862419696107,-4.483164,54.9603
56,56,399,Barnsley,0.704384717307476,0.1600180153591993,0.17604711696392344,0.01,0.7312229369845682,-1.479726,53.55263000000001
57,57,84,Meath,0.17917825856257896,0.8580449297674969,0.17838195850179595,0.01,0.04505599955645867,-6.656416900000001,53.60555
58,58,114,Stranraer,0.1384856123138612,0.8704679811598177,0.1787205734595791,0.01,0.08383426082879165,-5.0240550000000015,54.903369999999995
59,59,85,Dublin,0.1850690413714582,0.8519669090344526,0.1842465732005993,0.01,0.046537290365696884,-6.2603097000000005,53.34981
60,60,51,Drogheda,0.1881621312898948,0.8554702426930367,0.18732590586226205,0.01,0.03154338393490184,-6.3560985,53.717859999999995
61,61,358,Castleford,0.6812591424974863,0.22359954375189567,0.19105114114787525,0.01,0.6273279713049774,-1.345968,53.72346999999999
62,62,325,Wetherby,0.6502677521083262,0.269431040540807,0.19324712264430674,0.01,0.5694577514111057,-1.384816,53.92706
63,63,301,Otley,0.6185556010768852,0.302355695675016,0.19549418051565529,0.01,0.54316053356795,-1.691786,53.90583
64,64,328,Huddersfield,0.6386325002254488,0.2699157921350557,0.1966374305137976,0.01,0.5739296792324085,-1.7850351000000002,53.64579000000001
65,65,333,Halifax,0.6177157156555358,0.2843434608043368,0.19837758030263644,0.01,0.58457609809221,-1.8575400000000002,53.727019999999996
66,66,306,Harrogate,0.6476051596194357,0.2772538786135866,0.19837758030263644,0.01,0.5511717497915706,-1.5418120000000002,53.99211999999999
67,67,300,Skipton,0.6150404237288993,0.30114802251631506,0.20756173345437887,0.01,0.5417381109579322,-2.0162787,53.96285
