placename,bap,bap (only if crusty),bap (only if soft),barm,barmcake,batch,breadbun,breadcake,breadroll,bun,butty,cake,cob,cob (only if crusty),cookie,dinner roll,flour bap,flourcake,Glasgow (only if browner on top),morning roll,muffin,oven bottom bread,rhol bara,roll,roll (only if crusty),roll (only if soft),softie,split,stottie,stottiecake,teacake,longitude,latitude
Longford,0.52564103,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.051282051,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.25897436,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.7932573,53.72763
Offaly,0.24358974,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.256410256,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.31025641,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.7122229,53.23569
Fermanagh,0.75641026,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.21794872,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.6318728,54.34383
Enniskillen,0.75641026,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.21794872,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.6315336,54.34382
Doon,0.67948718,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.21794872,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.6096400,54.18593
Westmeath,0.35897436,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.153846154,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.32307692,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.4653217,53.53453
Strabane,0.67948718,0.000000000,0.000000000,0.102564103,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038461538,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.17948718,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.4633103,54.82739
Cavan,0.71794872,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.17948718,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3633319,53.98972
Mullingar,0.35897436,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.205128205,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.29743590,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3401868,53.52582
Laois,0.24358974,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.307692308,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.28461538,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3323007,52.99429
Omagh,0.79487179,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.038461538,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.14102564,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3099597,54.59771
Derry,0.71794872,0.000000000,0.000000000,0.102564103,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038461538,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.14102564,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3085748,54.99661
Derry,0.71794872,0.000000000,0.000000000,0.102564103,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038461538,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.14102564,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.3085748,54.99661
Kilkenny,0.24358974,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.282051282,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.25897436,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.2447879,52.65415
Tyrone,0.71794872,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.115384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.14102564,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.1312320,54.49121
Waterford,0.17948718,0.000000000,0.092307692,0.015384615,0.0000000000,0.053846154,0.000000000,0.000000000,0.179487179,0.092307692,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23333333,0.000000000,0.1538461538,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.1100702,52.25932
Monaghan,0.62179487,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.044871795,0.076923077,0.000000000,0.000000000,0.019230769,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23717949,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.9683132,54.24920
Carlow,0.16666667,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.307692308,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.28461538,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.9341359,52.83651
Kildare,0.32051282,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.282051282,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.25897436,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.8194708,53.21204
Dungannon,0.58333333,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.044871795,0.115384615,0.000000000,0.000000000,0.019230769,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23717949,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.7669352,54.50827
Cookstown,0.71794872,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.115384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.14102564,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.7443895,54.64182
Coleraine,0.68222222,0.000000000,0.080000000,0.022222222,0.0000000000,0.013333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.013333333,0.000000000,0.00000000,0.0133333333,0.000000000,0.00000000,0.000000000,0.0000000000,0.013333333,0.000000000,0.000000000,0.14888889,0.000000000,0.0133333333,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.6646103,55.13258
Meath,0.36486486,0.000000000,0.016216216,0.016216216,0.0000000000,0.016216216,0.000000000,0.000000000,0.216216216,0.016216216,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.27297297,0.000000000,0.0810810811,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.6564169,53.60555
Armagh,0.58333333,0.000000000,0.000000000,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.044871795,0.076923077,0.000000000,0.000000000,0.019230769,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23717949,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.6527920,54.35028
Armagh,0.58333333,0.000000000,0.000000000,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.044871795,0.076923077,0.000000000,0.000000000,0.019230769,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23717949,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.6527920,54.35028
