,placename,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc,longitude,latitude
20,Tipperary,0.8295649200797038,0.01,0.46246306442775753,0.09386317792296509,0.01,0.01,-8.161851400000002,52.47379
21,Donegal,0.6341191516313671,0.01,0.74102732894074,0.2573117833615942,0.01,0.01,-8.1096143,54.653830000000006
22,Leitrim,0.6610860042716744,0.01,0.707381831579682,0.23369802864036637,0.01,0.01,-8.0020132,54.12469
23,Athlone,0.7654904251652017,0.01,0.49293945553951196,0.16093671686245853,0.01,0.01,-7.9406898,53.423930000000006
24,Longford,0.784963942371318,0.01,0.47844328940675385,0.14171184230529427,0.01,0.01,-7.7932573000000005,53.727630000000005
25,Offaly,0.783860369366881,0.01,0.4549520518151025,0.1481909849076787,0.01,0.01,-7.7122229,53.235690000000005
26,Fermanagh,0.6353083574169045,0.01,0.8739071955327647,0.22648413494863756,0.01,0.01,-7.6318728,54.343830000000004
27,Enniskillen,0.6353083574169045,0.01,0.8739071955327647,0.22648413494863756,0.01,0.01,-7.631533599999999,54.343819999999994
28,Doon,0.6672089038163262,0.01,0.8074488029478926,0.20445947051923377,0.01,0.01,-7.60964,54.185930000000006
29,Westmeath,0.7831018186222964,0.27877713203968024,0.3826832318700974,0.15937701230860563,0.01,0.01,-7.4653217000000005,53.534530000000004
30,Strabane,0.6365041024329989,0.01,0.7102501833304383,0.26138631865341705,0.01,0.01,-7.4633103,54.82739
31,Balivanich,0.907485768610261,0.01,0.41510594903468845,0.014577442954981012,0.01,0.01,-7.3743509000000005,57.472269999999995
32,Cavan,0.6475775109010532,0.01,0.7733511865381626,0.23463862341559652,0.01,0.01,-7.3633319,53.98972
33,Mullingar,0.8033575523597751,0.24340500504678841,0.35166851901570567,0.14363712840272222,0.01,0.01,-7.340186800000001,53.525819999999996
34,Laois,0.8027272950908749,0.01,0.37899129317183383,0.1432908503109524,0.01,0.01,-7.332300699999999,52.9943
35,Omagh,0.5834946084044061,0.01,0.9007525854495939,0.28023520646064287,0.01,0.01,-7.309959700000001,54.59771
36,Derry,0.6007553745468861,0.01,0.669890069067683,0.3115250971962884,0.01,0.01,-7.308574799999999,54.99661
37,Derry,0.6007553745468861,0.01,0.669890069067683,0.3115250971962884,0.01,0.01,-7.308574799999999,54.99661
38,Kilkenny,0.786767835829192,0.01,0.4212373624681822,0.1523148911096948,0.01,0.01,-7.2447879,52.65415
39,Tyrone,0.5445774676175744,0.01,1.0,0.3030759261091134,0.01,0.01,-7.131232000000001,54.491209999999995
40,Waterford,0.7889018047342161,0.01,0.5157812272091309,0.12889736422847206,0.01,0.01,-7.110070200000001,52.25932
41,Western Isles,0.9036715288440791,0.01,0.4090769073697509,0.02030877414003391,0.01,0.01,-7.0194034,57.759890000000006
42,Monaghan,0.5913700217382705,0.01,0.9564920631046449,0.25880435639439214,0.01,0.01,-6.9683132,54.2492
43,Carlow,0.791500681792634,0.287310513721169,0.30892813569825445,0.16587506368255395,0.01,0.01,-6.934135899999999,52.83651
44,Kildare,0.8042023586693229,0.24913498332042955,0.31622611792075345,0.15040327530062703,0.01,0.01,-6.8194707999999995,53.21204
45,Dungannon,0.5382241380437801,0.01,0.827090651633452,0.34872765674788575,0.01,0.01,-6.7669352,54.508269999999996
46,Cookstown,0.5416298315961298,0.01,0.6939917337346069,0.37430910775247794,0.01,0.01,-6.7443895000000005,54.641819999999996
47,Coleraine,0.5849581504813969,0.01,0.5295052755207074,0.36084828696037835,0.01,0.01,-6.6646103000000005,55.132580000000004
48,Meath,0.7989417033823704,0.23818425227154538,0.3566914687430585,0.14771866029882386,0.01,0.01,-6.656416900000001,53.60555
