index,placename,longitude,latitude,needs to be Xed,needs Xed,needs Xing
79,Helston,-5.274996,50.10159,0.15697391718087905,0.01,0.24305093512300247
80,Redruth,-5.226666000000001,50.23302,0.18332480882219782,0.01,0.2811796850994826
81,Ullapool,-5.161313,57.895419999999994,0.12288685873610981,0.07676745337783701,0.0398437389184237
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.1655852668347179,0.04029137945542434
83,Fort William,-5.1052179,56.81981999999999,0.18004009680664498,0.2718220507295736,0.12339333088588998
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.04072647345325835,0.01
85,Newquay,-5.0737190000000005,50.4155,0.23432534654978837,0.01,0.2275782039696505
86,Falmouth,-5.066269999999999,50.152570000000004,0.24650351620400815,0.01,0.3483729975738987
87,Rothesay,-5.055793,55.83596,0.14968366313592602,0.5216752676768789,0.2525949744146974
88,Truro,-5.051041000000001,50.2632,0.3676977203450247,0.01,0.5031925803191579
89,Milford Haven,-5.0426971,51.71431,0.1674581410193037,0.01,0.04323724853711954
90,Stranraer,-5.024055000000001,54.903369999999995,0.15889322481405063,0.29834278326581926,0.09904836968033846
91,Fishguard,-4.975989,51.99393,0.1209733214258129,0.01,0.018414472909626802
92,Inchnadamph,-4.974295,58.15221,0.01,0.03175894068524957,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.1912102417144255,0.01,0.050269722378763794
94,Dunoon,-4.926214,55.95097,0.14935910325272062,0.30815068792368244,0.1216525316108752
95,Pembroke,-4.908637000000001,51.674040000000005,0.2642271227506951,0.01,0.053417689239786584
96,Girvan,-4.8542179,55.240159999999996,0.13940851381794192,0.2973911255931644,0.14739555676671873
97,Wadebridge,-4.836456,50.51665,0.1839552361098499,0.01,0.18808875482860749
98,Invergarry,-4.800261,57.07095,0.01,0.03932650086380714,0.01
99,St Austell,-4.7834252,50.340379999999996,0.19513290181663417,0.01,0.2879409268879776
100,Greenock,-4.7719830000000005,55.956480000000006,0.2665590290271515,0.49832213129614755,0.21451194811712943
101,Helensburgh,-4.734014,56.00232,0.16201347645820235,0.33808257449485374,0.12536606757124175
102,Bodmin,-4.7188629,50.4715,0.16442229412104084,0.01,0.18873420942917696
103,Tenby,-4.703579,51.672740000000005,0.190979103564414,0.01,0.05223548474288651
104,Camelford,-4.682364,50.62206,0.10954442620332401,0.01,0.1315220829717801
105,Irvine,-4.6696364,55.61156999999999,0.27807428426021985,0.5341885871643153,0.33968866137773773
106,Cardigan,-4.660864,52.0837,0.1539644122467117,0.01,0.03517892205945719
107,Holyhead,-4.633038,53.30944,0.15749287288427555,0.01,0.16466351782948457
108,Ayr,-4.629179,55.45856,0.3018597950588085,0.7223593543144227,0.3449083267756616
109,Dumbarton,-4.564554,55.94529,0.24992319604939972,0.4893188083940808,0.1831873612922105
110,Bude,-4.543678,50.826640000000005,0.1807563662541393,0.01,0.1483113890377878
111,Isle of Man,-4.5126330999999995,54.27697,0.30818369889706765,0.4048389514663876,0.18426068468762738
112,Kilmarnock,-4.498792,55.61472,0.2624866620386152,0.6575691070590066,0.2629416074532997
113,Newton Stewart,-4.483164,54.9603,0.11842413182941657,0.12310677181029687,0.11719228538957725
114,Liskeard,-4.4647190000000005,50.45552,0.18074228409426082,0.01,0.20590512873318584
115,Altnaharra,-4.442655,58.28023,0.01,0.03196058483299389,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.14688245059503813,0.01,0.09541458625215522
117,Lairg,-4.402414,58.022059999999996,0.01,0.03196058483299389,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.16703335740738623,0.01,0.1483057957219208
119,Carmarthen,-4.312131,51.857620000000004,0.2545615052362159,0.01,0.051474810707266026
120,Llangefni,-4.311401999999999,53.255790000000005,0.2060346766760601,0.01,0.32315972333697063
121,Caernarfon,-4.273911,53.13955,0.19761645696929023,0.01,0.25486155571110575
122,Cumnock,-4.265828900000001,55.45355,0.192425961616134,0.44819515573948887,0.2281290369877416
123,Aberaeron,-4.2581619,52.24279,0.1380542156128802,0.01,0.04151466111507538
124,Alness,-4.256825,57.69595,0.17931406015308873,0.09815576898965532,0.08774182574271618
125,Glasgow,-4.251806,55.86424,0.6179616930710162,1.0,0.3677284421755937
126,Dalwhinnie,-4.242783,56.9366,0.01,0.029402991323565112,0.01526703853498379
127,Inverness,-4.224721,57.47776999999999,0.33407689906142746,0.16149789328331218,0.1505927385837705
128,Saltash,-4.21643,50.409209999999995,0.1656321218020025,0.01,0.18909791040815255
129,Bideford,-4.206666,51.01668,0.20530588374262823,0.01,0.12610161806537096
130,Invergordon,-4.1728819999999995,57.688109999999995,0.18229159821329233,0.09931166105771348,0.0891061621274603
131,Llanelli,-4.160248,51.680890000000005,0.29695923186929385,0.01,0.03944598982982049
