,placename,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens,longitude,latitude
71,Islay,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.1481481466666667,0.1784107900287484,0.048780487269482455,0.01,0.20930232636019472,0.3999999976,1.0,0.01,0.01,0.166666666,0.1539686700689756,0.01,0.01,0.01,0.01,-6.177067,55.73625
72,Mull,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.2658036654176978,0.01,0.01,0.8918918883418553,0.16666666666666669,0.1784107900287484,0.048780487269482455,0.01,0.20930232636019472,0.4666666698666666,0.9000000009000001,0.01,0.01,0.1,0.16238680857769747,0.01,0.01,0.01,0.01,-6.0008870000000005,56.4392
73,Broadford,0.01,0.01,0.01,0.01,0.01,0.8774630549195109,0.27586206979310346,0.06874232272620405,0.01,0.01,0.335507919815118,0.18199233666666667,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.4827586219310345,0.6206896536206897,0.01,0.01,0.137931034,0.3599247814966117,0.01,0.01,0.01,0.01,-5.9096592,57.24139
74,Kyle of Lochalsh,0.01,0.01,0.01,0.01,0.01,0.8774630549195109,0.27586206979310346,0.06874232272620405,0.01,0.01,0.335507919815118,0.18199233666666667,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.4827586219310345,0.6206896536206897,0.01,0.01,0.137931034,0.3599247814966117,0.01,0.01,0.01,0.01,-5.7143293,57.28261
75,Campbeltown,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.1481481466666667,0.01,0.01,0.01,0.20930232636019472,0.3999999976,1.0,0.01,0.01,0.166666666,0.18764152715988025,0.01,0.01,0.01,0.01,-5.6053739999999985,55.42412
76,Penzance,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-5.537592,50.1188
77,Oban,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.8648648640759677,0.1481481466666667,0.1784107900287484,0.048780487269482455,0.01,0.20930232636019472,0.3999999976,0.84999999685,0.01,0.01,0.1,0.20447795570533256,0.01,0.01,0.01,0.01,-5.471047,56.41516
78,Lochgilphead,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.1481481466666667,0.1784107900287484,0.048780487269482455,0.01,0.20930232636019472,0.3999999976,1.0,0.01,0.01,0.1,0.20447795570533256,0.01,0.01,0.01,0.01,-5.4323449,56.03829
79,Helston,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-5.274996,50.10159
80,Redruth,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-5.226666000000002,50.23302
81,Ullapool,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.06896551227586205,0.05172413405172414,0.01,0.01,0.224137932,0.3512163153237243,0.01,0.01,0.01,0.01,-5.161313,57.89542
82,Ballachulish,0.01,0.01,0.01,0.01,0.01,0.8774630549195109,0.27586206979310346,0.06874232272620405,0.01,0.01,0.7129543314314499,0.21072797,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.06896551227586205,0.9310344849310344,0.01,0.01,0.08620689599999999,0.2684855078612732,0.01,0.01,0.01,0.01,-5.1337199999999985,56.67393000000001
83,Fort William,0.01,0.01,0.01,0.01,0.01,0.8774630549195109,0.27586206979310346,0.06874232272620405,0.01,0.01,0.7129543314314499,0.09578544,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.06896551227586205,0.9310344849310344,0.01,0.01,0.08620689599999999,0.32073645642660603,0.01,0.01,0.01,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.06896551227586205,0.36206896536206895,0.01,0.01,0.155172414,0.3512163153237243,0.01,0.01,0.01,0.01,-5.078765799999998,57.57859000000001
85,Newquay,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-5.0737190000000005,50.4155
86,Falmouth,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-5.0662699999999985,50.15257
87,Rothesay,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.20370370333333326,0.01,0.01,0.01,0.20930232636019472,0.3999999976,1.0,0.01,0.01,0.1,0.21289624574206287,0.01,0.01,0.01,0.01,-5.055793,55.83596
88,Truro,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-5.0510410000000014,50.2632
89,Milford Haven,1.0,0.01,0.01,0.09833333849583337,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.3925925933333334,0.01,0.01,0.01,0.01,0.6133333344533333,0.4500000004500001,0.01,0.01,0.01,0.6144454681003236,0.01,0.01,0.01,0.01,-5.0426971,51.71431
90,Stranraer,0.01,0.01,0.01,0.01,0.01,0.848214292315051,0.01,0.19935275504385586,0.01,0.01,0.8783783786413439,0.18518518666666667,0.01,0.01,0.01,0.01,0.3999999976,0.7000000027,0.01,0.01,0.17222222199999998,0.2381508127962372,0.01,0.01,0.01,0.01,-5.0240550000000015,54.90337
91,Fishguard,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.975989,51.99393
92,Inchnadamph,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.2989652152303832,0.01,0.01,0.01,0.01,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.971319,51.80048
94,Dunoon,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.9459459417384952,0.20370370333333326,0.01,0.01,0.01,0.20930232636019472,0.01,1.0,0.01,0.01,0.1,0.21289624574206287,0.01,0.01,0.01,0.01,-4.926214,55.95097
95,Pembroke,1.0,0.01,0.01,0.09833333849583337,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.3925925933333334,0.01,0.01,0.01,0.01,0.6133333344533333,0.4500000004500001,0.01,0.01,0.01,0.6144454681003236,0.01,0.01,0.01,0.01,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,1.0,0.24074074,0.01,0.01,0.01,0.06976743932936721,0.3999999976,0.7000000027,0.01,0.01,0.188888888,0.1371322415235232,0.01,0.01,0.01,0.01,-4.8542179,55.24016
