placename,gone,went,longitude,latitude
Llandeilo,0.9868421,0.013157895, -3.9914300,51.88469
Motherwell,0.6626866,0.337313433, -3.9810968,55.78321
Golspie,0.7123894,0.287610619, -3.9760860,57.97341
Airdrie,0.6716418,0.328358209, -3.9625660,55.86627
Swansea,0.9868766,0.013123360, -3.9436460,51.62144
Stirling,0.6985075,0.301492537, -3.9369029,56.11652
Tregaron,0.9866667,0.013333333, -3.9343850,52.22000
Tregaron,0.9866667,0.013333333, -3.9343850,52.22000
Castle Douglas,0.6812749,0.318725100, -3.9314140,54.94042
Dolgellau,0.9440678,0.055932203, -3.8844000,52.74215
Aberfeldy,0.7023977,0.297602257, -3.8669690,56.62175
Machynlleth,0.9615385,0.038461538, -3.8534850,52.59027
Brora,0.7537879,0.246212121, -3.8525480,58.01216
Llandudno,0.9413854,0.058614565, -3.8276090,53.32406
Llandudno,0.9413854,0.058614565, -3.8276090,53.32406
Aviemore,0.7345679,0.265432099, -3.8238120,57.19449
Dalbeattie,0.6812749,0.318725100, -3.8225270,54.93422
Falkirk,0.6985075,0.301492537, -3.7839131,56.00188
Kingsbridge,1.0000000,0.000000000, -3.7774930,50.28395
Pitlochry,0.7144847,0.285515320, -3.7297110,56.70436
Colwyn Bay,0.9413854,0.058614565, -3.7276400,53.29318
Totnes,1.0000000,0.000000000, -3.6857970,50.43374
Grantown-on-Spey,0.7378049,0.262195122, -3.6096280,57.33041
Dumfries,0.6361746,0.363825364, -3.6051200,55.07086
Whitehaven,1.0000000,0.000000000, -3.5892330,54.54970
Dartmouth,1.0000000,0.000000000, -3.5788070,50.35252
Bridgend,0.9867021,0.013297872, -3.5769450,51.50429
Paignton,1.0000000,0.000000000, -3.5642350,50.43508
Workington,0.9809524,0.019047619, -3.5427520,54.64357
Llanidloes,0.9909091,0.009090909, -3.5401950,52.44779
Exeter,1.0000000,0.000000000, -3.5338990,50.71841
Torquay,1.0000000,0.000000000, -3.5253150,50.46192
Thurso,0.7537879,0.246212121, -3.5220800,58.59357
Livingston,0.7011834,0.298816568, -3.5180680,55.90071
Rhyl,0.9520426,0.047957371, -3.4916340,53.31914
Tiverton,0.9860205,0.013979497, -3.4912070,50.90205
Tiverton,0.9860205,0.013979497, -3.4912070,50.90205
Minehead,0.9872395,0.012760527, -3.4811520,51.20428
Dunfermline,0.7015131,0.298486933, -3.4521510,56.07174
Perth,0.7193230,0.280677010, -3.4308381,56.39499
Prestatyn,0.9535284,0.046471601, -3.4076130,53.33651
Builth Wells,0.9870130,0.012987013, -3.4045920,52.15002
Braemar,0.7378049,0.262195122, -3.3979439,57.00647
Brecon,0.9813433,0.018656716, -3.3914630,51.94895
Merthyr Tydfil,0.9811676,0.018832392, -3.3816460,51.74873
Llandrindod Wells,1.0000000,0.000000000, -3.3777420,52.24170
Corwen,0.9535284,0.046471601, -3.3692420,52.98005
Cockermouth,1.0000000,0.000000000, -3.3679850,54.66326
Lockerbie,0.7388060,0.261194030, -3.3490080,55.12224
Blairgowrie,0.7193230,0.280677010, -3.3378318,56.58941
Elgin,0.7568579,0.243142145, -3.3184850,57.64945
Newtown,0.9900000,0.010000000, -3.3131060,52.51211
Ruthin,0.9544688,0.045531197, -3.3103108,53.11487
Ruthin,0.9544688,0.045531197, -3.3103108,53.11487
Sidmouth,1.0000000,0.000000000, -3.2375600,50.67865
