placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Inchnadamph,0.9938582,0.0061418202,0.00000000000,0.00000000000, -4.9742950,58.15221
Haverfordwest,0.9930541,0.0056830141,0.00000000000,0.00126289202, -4.9713190,51.80047
Dunoon,0.9912884,0.0087115712,0.00000000000,0.00000000000, -4.9262140,55.95097
Pembroke,0.9932460,0.0055259926,0.00000000000,0.00122799836, -4.9086370,51.67404
Girvan,0.9967957,0.0032043227,0.00000000000,0.00000000000, -4.8542179,55.24016
Wadebridge,0.9944642,0.0028633240,0.00038177653,0.00229065920, -4.8364560,50.51665
Invergarry,0.9972741,0.0027259210,0.00000000000,0.00000000000, -4.8002610,57.07095
St Austell,0.9936983,0.0036282623,0.00038192234,0.00229153405, -4.7834252,50.34038
Greenock,0.9921087,0.0078912758,0.00000000000,0.00000000000, -4.7719830,55.95648
Helensburgh,0.9919158,0.0080841781,0.00000000000,0.00000000000, -4.7340140,56.00232
Bodmin,0.9930746,0.0041083027,0.00023476015,0.00258236169, -4.7188629,50.47150
Tenby,0.9932626,0.0055124541,0.00000000000,0.00122498979, -4.7035790,51.67274
Camelford,0.9939580,0.0041339835,0.00063599746,0.00127199491, -4.6823640,50.62206
Irvine,0.9978289,0.0021711295,0.00000000000,0.00000000000, -4.6696364,55.61157
Cardigan,0.9915229,0.0072661217,0.00000000000,0.00121102028, -4.6608640,52.08370
Holyhead,0.9924932,0.0061419472,0.00000000000,0.00136487716, -4.6330380,53.30944
Ayr,0.9968746,0.0031253830,0.00000000000,0.00000000000, -4.6291790,55.45856
Dumbarton,0.9930043,0.0069957248,0.00000000000,0.00000000000, -4.5645540,55.94529
Bude,0.9962059,0.0024549918,0.00000000000,0.00133908645, -4.5436780,50.82664
Isle of Man,0.9842795,0.0157205240,0.00000000000,0.00000000000, -4.5126331,54.27697
Kilmarnock,0.9971796,0.0028204325,0.00000000000,0.00000000000, -4.4987920,55.61472
Newton Stewart,0.9924523,0.0075476695,0.00000000000,0.00000000000, -4.4831640,54.96030
Liskeard,0.9939334,0.0043332563,0.00000000000,0.00173330252, -4.4647190,50.45552
Altnaharra,0.9949801,0.0050198840,0.00000000000,0.00000000000, -4.4426550,58.28023
Pwllheli,0.9941020,0.0042128914,0.00000000000,0.00168515658, -4.4176339,52.88882
Lairg,0.9948581,0.0051419032,0.00000000000,0.00000000000, -4.4024140,58.02206
Launceston,0.9945294,0.0037058824,0.00000000000,0.00176470588, -4.3604516,50.63683
Carmarthen,0.9957112,0.0030634126,0.00061268253,0.00061268253, -4.3121310,51.85762
Llangefni,0.9926339,0.0060267857,0.00000000000,0.00133928571, -4.3114020,53.25579
Caernarfon,0.9934869,0.0050657339,0.00000000000,0.00144735255, -4.2739110,53.13955
Cumnock,0.9977950,0.0022050093,0.00000000000,0.00000000000, -4.2658289,55.45355
Aberaeron,0.9948626,0.0035961983,0.00000000000,0.00154122784, -4.2581619,52.24279
Alness,0.9948366,0.0051633958,0.00000000000,0.00000000000, -4.2568250,57.69595
Glasgow,0.9957172,0.0041180734,0.00016472294,0.00000000000, -4.2518060,55.86424
Dalwhinnie,0.9964115,0.0035885167,0.00000000000,0.00000000000, -4.2427830,56.93660
Inverness,0.9943746,0.0056253653,0.00000000000,0.00000000000, -4.2247210,57.47777
Saltash,0.9947811,0.0035353535,0.00000000000,0.00168350168, -4.2164300,50.40921
Bideford,0.9950836,0.0029498525,0.00000000000,0.00196656834, -4.2066660,51.01668
Invergordon,0.9948239,0.0051761226,0.00000000000,0.00000000000, -4.1728820,57.68811
Llanelli,0.9929259,0.0045274477,0.00084889643,0.00169779287, -4.1602480,51.68089
Plymouth,0.9941498,0.0035101404,0.00000000000,0.00234009360, -4.1426565,50.37546
Tavistock,0.9937470,0.0037517866,0.00000000000,0.00250119104, -4.1416540,50.55112
Porthmadog,0.9949410,0.0030354132,0.00000000000,0.00202360877, -4.1333840,52.92784
Bangor,0.9939651,0.0060348681,0.00000000000,0.00000000000, -4.1292630,53.22739
Tywyn,0.9956545,0.0021727322,0.00000000000,0.00217273221, -4.0872490,52.58701
Aberystwyth,0.9965415,0.0023056970,0.00000000000,0.00115284850, -4.0829200,52.41530
Lampeter,0.9949761,0.0035167043,0.00000000000,0.00150715901, -4.0785090,52.11290
Barnstaple,0.9952358,0.0028585040,0.00000000000,0.00190566937, -4.0583380,51.07816
Tain,0.9947723,0.0052276636,0.00000000000,0.00000000000, -4.0552300,57.81150
Okehampton,0.9954451,0.0023973150,0.00000000000,0.00215758351, -4.0042630,50.73831
Llandeilo,0.9956163,0.0031311972,0.00062623943,0.00062623943, -3.9914300,51.88469
Motherwell,0.9964193,0.0032552083,0.00000000000,0.00032552083, -3.9810968,55.78321
Golspie,0.9950335,0.0049664603,0.00000000000,0.00000000000, -3.9760860,57.97341
Airdrie,0.9954757,0.0041623937,0.00000000000,0.00036194728, -3.9625660,55.86627
Swansea,0.9942403,0.0035655513,0.00082281953,0.00137136588, -3.9436460,51.62144
Stirling,0.9950973,0.0049026891,0.00000000000,0.00000000000, -3.9369029,56.11652
Tregaron,0.9966232,0.0022511959,0.00000000000,0.00112559797, -3.9343850,52.22000
Tregaron,0.9966232,0.0022511959,0.00000000000,0.00112559797, -3.9343850,52.22000
Castle Douglas,0.9872192,0.0127807901,0.00000000000,0.00000000000, -3.9314140,54.94042
Dolgellau,0.9957012,0.0021493821,0.00000000000,0.00214938205, -3.8844000,52.74215
Aberfeldy,0.9975540,0.0024459845,0.00000000000,0.00000000000, -3.8669690,56.62175
Machynlleth,0.9967573,0.0021617727,0.00000000000,0.00108088633, -3.8534850,52.59027
Brora,0.9943468,0.0056532260,0.00000000000,0.00000000000, -3.8525480,58.01216
Llandudno,0.9955943,0.0044057485,0.00000000000,0.00000000000, -3.8276090,53.32406
Llandudno,0.9955943,0.0044057485,0.00000000000,0.00000000000, -3.8276090,53.32406
Aviemore,0.9955038,0.0044962191,0.00000000000,0.00000000000, -3.8238120,57.19449
Dalbeattie,0.9890616,0.0109384495,0.00000000000,0.00000000000, -3.8225270,54.93422
Falkirk,0.9956439,0.0043561481,0.00000000000,0.00000000000, -3.7839131,56.00188
Kingsbridge,0.9949419,0.0030910453,0.00000000000,0.00196702885, -3.7774930,50.28395
Pitlochry,0.9976209,0.0023790642,0.00000000000,0.00000000000, -3.7297110,56.70436
Colwyn Bay,0.9955494,0.0044505669,0.00000000000,0.00000000000, -3.7276400,53.29318
Totnes,0.9955004,0.0025959042,0.00000000000,0.00190366311, -3.6857970,50.43374
Grantown-on-Spey,0.9962294,0.0037706098,0.00000000000,0.00000000000, -3.6096280,57.33041
Dumfries,0.9895935,0.0104065271,0.00000000000,0.00000000000, -3.6051200,55.07086
Whitehaven,0.9858629,0.0141371466,0.00000000000,0.00000000000, -3.5892330,54.54970
Dartmouth,0.9954989,0.0025968030,0.00000000000,0.00190432223, -3.5788070,50.35252
Bridgend,0.9917967,0.0033778350,0.00289528712,0.00193019141, -3.5769450,51.50429
Paignton,0.9967287,0.0017614494,0.00000000000,0.00150981379, -3.5642350,50.43508
Workington,0.9885045,0.0114955435,0.00000000000,0.00000000000, -3.5427520,54.64357
Llanidloes,0.9950709,0.0024645718,0.00000000000,0.00246457178, -3.5401950,52.44779
Exeter,0.9962228,0.0020338983,0.00000000000,0.00174334140, -3.5338990,50.71841
Torquay,0.9964965,0.0020020020,0.00000000000,0.00150150150, -3.5253150,50.46192
Thurso,0.9935826,0.0064174451,0.00000000000,0.00000000000, -3.5220800,58.59357
Livingston,1.0000000,0.0000000000,0.00000000000,0.00000000000, -3.5180680,55.90071
Rhyl,0.9945548,0.0054452274,0.00000000000,0.00000000000, -3.4916340,53.31914
Tiverton,0.9952110,0.0035917390,0.00000000000,0.00119724633, -3.4912070,50.90205
Tiverton,0.9952110,0.0035917390,0.00000000000,0.00119724633, -3.4912070,50.90205
Minehead,0.9916877,0.0050797191,0.00138537793,0.00184717058, -3.4811520,51.20428
Dunfermline,0.9994769,0.0005231494,0.00000000000,0.00000000000, -3.4521510,56.07174
Perth,0.9983137,0.0016863406,0.00000000000,0.00000000000, -3.4308381,56.39499
Prestatyn,0.9942167,0.0057832792,0.00000000000,0.00000000000, -3.4076130,53.33651
Builth Wells,0.9961661,0.0038338658,0.00000000000,0.00000000000, -3.4045920,52.15002
Braemar,0.9941378,0.0058622374,0.00000000000,0.00000000000, -3.3979439,57.00647
Brecon,0.9926814,0.0042691604,0.00000000000,0.00304940028, -3.3914630,51.94895
Merthyr Tydfil,0.9906905,0.0037238169,0.00093095423,0.00465477114, -3.3816460,51.74873
Llandrindod Wells,0.9924623,0.0037688442,0.00000000000,0.00376884422, -3.3777420,52.24170
Corwen,0.9974384,0.0025616394,0.00000000000,0.00000000000, -3.3692420,52.98005
Cockermouth,0.9881434,0.0118566219,0.00000000000,0.00000000000, -3.3679850,54.66326
Lockerbie,0.9907927,0.0092073293,0.00000000000,0.00000000000, -3.3490080,55.12224
Blairgowrie,0.9974609,0.0025391452,0.00000000000,0.00000000000, -3.3378318,56.58941
Elgin,0.9939176,0.0060824238,0.00000000000,0.00000000000, -3.3184850,57.64945
Newtown,0.9896694,0.0061983471,0.00000000000,0.00413223140, -3.3131060,52.51211
Ruthin,0.9965977,0.0034023249,0.00000000000,0.00000000000, -3.3103108,53.11487
Ruthin,0.9965977,0.0034023249,0.00000000000,0.00000000000, -3.3103108,53.11487
Sidmouth,0.9963148,0.0019843145,0.00000000000,0.00170084097, -3.2375600,50.67865
Barrow-in-Furness,0.9887640,0.0112360475,0.00000000000,0.00000000000, -3.2188940,54.10897
Peebles,0.9964860,0.0035140236,0.00000000000,0.00000000000, -3.1936420,55.65307
Edinburgh,0.9983859,0.0014988038,0.00011529260,0.00000000000, -3.1882670,55.95325
Cardiff,0.9918972,0.0032267900,0.00172095464,0.00315508351, -3.1790900,51.48158
Llangollen,0.9968000,0.0032000000,0.00000000000,0.00000000000, -3.1716600,52.96921
Kirkcaldy,0.9981665,0.0017188858,0.00011459239,0.00000000000, -3.1581370,56.11682
