placename,dinner,supper,tea,longitude,latitude
Pembroke,0.5437500,0.050000000,0.40625000, -4.9086370,51.67404
Girvan,0.5940171,0.042735043,0.36324786, -4.8542179,55.24016
Wadebridge,0.5320513,0.076923077,0.39102564, -4.8364560,50.51665
Invergarry,0.6538462,0.070512821,0.27564103, -4.8002610,57.07095
St Austell,0.5454545,0.077922078,0.37662338, -4.7834252,50.34038
Greenock,0.6624473,0.048523207,0.28902954, -4.7719830,55.95648
Helensburgh,0.6561181,0.048523207,0.29535865, -4.7340140,56.00232
Bodmin,0.5448718,0.076923077,0.37820513, -4.7188629,50.47150
Tenby,0.5437500,0.050000000,0.40625000, -4.7035790,51.67274
Camelford,0.5320513,0.076923077,0.39102564, -4.6823640,50.62206
Irvine,0.6244726,0.048523207,0.32700422, -4.6696364,55.61157
Cardigan,0.5062500,0.081250000,0.41250000, -4.6608640,52.08370
Holyhead,0.3333333,0.034482759,0.63218391, -4.6330380,53.30944
Ayr,0.5928270,0.048523207,0.35864979, -4.6291790,55.45856
Dumbarton,0.6561181,0.048523207,0.29535865, -4.5645540,55.94529
Bude,0.5384615,0.076923077,0.38461538, -4.5436780,50.82664
Isle of Man,0.3354167,0.029166667,0.63541667, -4.5126331,54.27697
Kilmarnock,0.6244726,0.048523207,0.32700422, -4.4987920,55.61472
Newton Stewart,0.5541667,0.041666667,0.40416667, -4.4831640,54.96030
Liskeard,0.5448718,0.076923077,0.37820513, -4.4647190,50.45552
Altnaharra,0.6346154,0.070512821,0.29487179, -4.4426550,58.28023
Pwllheli,0.2530120,0.066265060,0.68072289, -4.4176339,52.88882
Lairg,0.6346154,0.070512821,0.29487179, -4.4024140,58.02206
Launceston,0.5448718,0.076923077,0.37820513, -4.3604516,50.63683
Carmarthen,0.5562500,0.056250000,0.38750000, -4.3121310,51.85762
Llangefni,0.2988506,0.034482759,0.66666667, -4.3114020,53.25578
Caernarfon,0.2816092,0.034482759,0.68390805, -4.2739110,53.13955
Cumnock,0.6371308,0.048523207,0.31434599, -4.2658289,55.45355
Aberaeron,0.4506173,0.104938272,0.44444444, -4.2581619,52.24279
Alness,0.6346154,0.070512821,0.29487179, -4.2568250,57.69595
Glasgow,0.6434599,0.048523207,0.30801688, -4.2518060,55.86424
Dalwhinnie,0.6474359,0.070512821,0.28205128, -4.2427830,56.93660
Inverness,0.6346154,0.070512821,0.29487179, -4.2247210,57.47777
Saltash,0.5448718,0.083333333,0.37179487, -4.2164300,50.40921
Bideford,0.5506329,0.063291139,0.38607595, -4.2066660,51.01668
Invergordon,0.6346154,0.070512821,0.29487179, -4.1728820,57.68811
Llanelli,0.5500000,0.043750000,0.40625000, -4.1602480,51.68089
Plymouth,0.5649351,0.084415584,0.35064935, -4.1426565,50.37546
Tavistock,0.5576923,0.076923077,0.36538462, -4.1416540,50.55112
Porthmadog,0.2530120,0.054216867,0.69277108, -4.1333840,52.92784
Bangor,0.2988506,0.034482759,0.66666667, -4.1292630,53.22739
Tywyn,0.3414634,0.079268293,0.57926829, -4.0872490,52.58701
Aberystwyth,0.4259259,0.104938272,0.46913580, -4.0829200,52.41530
Lampeter,0.4753086,0.104938272,0.41975309, -4.0785090,52.11290
Barnstaple,0.5443038,0.063291139,0.39240506, -4.0583380,51.07816
Tain,0.6346154,0.070512821,0.29487179, -4.0552300,57.81150
Okehampton,0.5705128,0.076923077,0.35256410, -4.0042630,50.73831
Llandeilo,0.5432099,0.055555556,0.40123457, -3.9914300,51.88469
Motherwell,0.6371308,0.048523207,0.31434599, -3.9810968,55.78321
Golspie,0.6346154,0.070512821,0.29487179, -3.9760860,57.97341
Airdrie,0.6434599,0.048523207,0.30801688, -3.9625660,55.86627
Swansea,0.5500000,0.037500000,0.41250000, -3.9436460,51.62144
Stirling,0.6392405,0.044303797,0.31645570, -3.9369029,56.11652
Tregaron,0.4687500,0.106250000,0.42500000, -3.9343850,52.22000
Tregaron,0.4687500,0.106250000,0.42500000, -3.9343850,52.22000
Castle Douglas,0.4613821,0.040650407,0.49796748, -3.9314140,54.94042
Dolgellau,0.2743902,0.054878049,0.67073171, -3.8844000,52.74215
Aberfeldy,0.6602564,0.057692308,0.28205128, -3.8669690,56.62175
Machynlleth,0.3437500,0.068750000,0.58750000, -3.8534850,52.59027
Brora,0.6346154,0.070512821,0.29487179, -3.8525480,58.01216
Llandudno,0.3103448,0.022988506,0.66666667, -3.8276090,53.32406
Llandudno,0.3103448,0.022988506,0.66666667, -3.8276090,53.32406
Aviemore,0.6410256,0.070512821,0.28846154, -3.8238120,57.19449
Dalbeattie,0.3882114,0.040650407,0.57113821, -3.8225270,54.93422
Falkirk,0.6392405,0.044303797,0.31645570, -3.7839131,56.00188
Kingsbridge,0.5714286,0.084415584,0.34415584, -3.7774930,50.28395
Pitlochry,0.6538462,0.057692308,0.28846154, -3.7297110,56.70436
Colwyn Bay,0.3033708,0.011235955,0.68539326, -3.7276400,53.29318
Totnes,0.5844156,0.084415584,0.33116883, -3.6857970,50.43374
Grantown-on-Spey,0.6410256,0.070512821,0.28846154, -3.6096280,57.33041
Dumfries,0.4917695,0.053497942,0.45473251, -3.6051200,55.07086
Whitehaven,0.3293173,0.040160643,0.63052209, -3.5892330,54.54970
Dartmouth,0.5692641,0.088744589,0.34199134, -3.5788070,50.35252
Bridgend,0.5125000,0.037500000,0.45000000, -3.5769450,51.50429
Paignton,0.5692641,0.088744589,0.34199134, -3.5642350,50.43508
Workington,0.3112450,0.064257028,0.62449799, -3.5427520,54.64357
Llanidloes,0.3750000,0.093750000,0.53125000, -3.5401950,52.44779
Exeter,0.5705128,0.070512821,0.35897436, -3.5338990,50.71841
Torquay,0.5692641,0.075757576,0.35497835, -3.5253150,50.46192
Thurso,0.6346154,0.070512821,0.29487179, -3.5220800,58.59357
Livingston,0.6139241,0.056962025,0.32911392, -3.5180680,55.90071
Rhyl,0.3089888,0.011235955,0.67977528, -3.4916340,53.31914
Tiverton,0.5576923,0.076923077,0.36538462, -3.4912070,50.90205
Tiverton,0.5576923,0.076923077,0.36538462, -3.4912070,50.90205
Minehead,0.4873418,0.037974684,0.47468354, -3.4811520,51.20428
Dunfermline,0.6139241,0.056962025,0.32911392, -3.4521510,56.07174
Perth,0.6217949,0.057692308,0.32051282, -3.4308381,56.39499
Prestatyn,0.3235294,0.000000000,0.67647059, -3.4076130,53.33651
Builth Wells,0.4691358,0.092592593,0.43827160, -3.4045920,52.15002
Braemar,0.6474359,0.070512821,0.28205128, -3.3979439,57.00647
Brecon,0.4753086,0.080246914,0.44444444, -3.3914630,51.94895
Merthyr Tydfil,0.5185185,0.061728395,0.41975309, -3.3816460,51.74873
Llandrindod Wells,0.4375000,0.106250000,0.45625000, -3.3777420,52.24170
Corwen,0.2784810,0.000000000,0.72151899, -3.3692420,52.98005
Cockermouth,0.2658730,0.087301587,0.64682540, -3.3679850,54.66326
Lockerbie,0.4674797,0.058943089,0.47357724, -3.3490080,55.12224
Blairgowrie,0.6346154,0.057692308,0.30769231, -3.3378318,56.58941
Elgin,0.6346154,0.070512821,0.29487179, -3.3184850,57.64945
Newtown,0.4050633,0.082278481,0.51265823, -3.3131060,52.51211
Ruthin,0.2654321,0.000000000,0.73456790, -3.3103108,53.11487
Ruthin,0.2654321,0.000000000,0.73456790, -3.3103108,53.11487
Sidmouth,0.5346320,0.119047619,0.34632035, -3.2375600,50.67865
Barrow-in-Furness,0.2003968,0.027777778,0.77182540, -3.2188940,54.10897
Peebles,0.6229167,0.035416667,0.34166667, -3.1936420,55.65307
Edinburgh,0.6392405,0.044303797,0.31645570, -3.1882670,55.95325
Cardiff,0.5569620,0.012658228,0.43037975, -3.1790900,51.48158
Llangollen,0.3127572,0.016460905,0.67078189, -3.1716600,52.96921
Kirkcaldy,0.6265823,0.044303797,0.32911392, -3.1581370,56.11682
Welshpool,0.4038462,0.019230769,0.57692308, -3.1464070,52.66035
Mold,0.3048780,0.000000000,0.69512195, -3.1419030,53.16720
Mold,0.3048780,0.000000000,0.69512195, -3.1419030,53.16720
Taunton,0.5106838,0.119658120,0.36965812, -3.1068490,51.01534
Wick,0.6346154,0.070512821,0.29487179, -3.0937160,58.43894
John o' Groats,0.6346154,0.070512821,0.29487179, -3.0688997,58.63734
Dalkeith,0.6265823,0.044303797,0.32911392, -3.0666060,55.89312
Oswestry,0.2979167,0.016666667,0.68541667, -3.0564120,52.85715
Blackpool,0.1726908,0.040160643,0.78714859, -3.0356748,53.81751
Birkenhead,0.2439024,0.000000000,0.75609756, -3.0230090,53.38999
Cupar,0.6217949,0.057692308,0.32051282, -3.0101370,56.32023
Southport,0.3333333,0.024691358,0.64197531, -3.0101130,53.64571
Bridgwater,0.5358650,0.118143460,0.34599156, -3.0036320,51.12789
Langholm,0.3127572,0.065843621,0.62139918, -2.9989130,55.15306
Newport,0.4687500,0.037500000,0.49375000, -2.9976640,51.58415
Axminster,0.5021645,0.158008658,0.33982684, -2.9949370,50.78273
Wrexham,0.2880658,0.016460905,0.69547325, -2.9924940,53.04304
Liverpool,0.2098765,0.000000000,0.79012346, -2.9915726,53.40837
Weston-super-Mare,0.5312500,0.081250000,0.38750000, -2.9772550,51.34741
Dundee,0.6282051,0.057692308,0.31410256, -2.9707210,56.46202
Kirkwall,0.6346154,0.070512821,0.29487179, -2.9622491,58.98467
Ambleside,0.2389558,0.076305221,0.68473896, -2.9613330,54.42874
Orkney Islands,0.6346154,0.070512821,0.29487179, -2.9605206,58.98094
Lyme Regis,0.5216450,0.145021645,0.33333333, -2.9366390,50.72516
Carlisle,0.2931727,0.100401606,0.60642570, -2.9329310,54.89247
Chester,0.3189300,0.016460905,0.66460905, -2.8930750,53.19339
Forfar,0.6217949,0.070512821,0.30769231, -2.8890620,56.64356
Morecambe,0.1991870,0.040650407,0.76016260, -2.8649680,54.07417
Selkirk,0.5104167,0.047916667,0.44166667, -2.8385240,55.55066
Galashiels,0.5437500,0.031250000,0.42500000, -2.8144490,55.62373
Lancaster,0.1991870,0.040650407,0.76016260, -2.8007399,54.04657
St Andrews,0.6025641,0.057692308,0.33974359, -2.7967214,56.33978
Hawick,0.3979167,0.047916667,0.55416667, -2.7809140,55.42706
Bridport,0.5346320,0.145021645,0.32034632, -2.7583010,50.73358
Shrewsbury,0.4166667,0.032051282,0.55128205, -2.7553268,52.70730
Penrith,0.2751004,0.088353414,0.63654618, -2.7527080,54.66410
Kendal,0.2134146,0.073170732,0.71341463, -2.7462900,54.32801
Street,0.5021368,0.136752137,0.36111111, -2.7429190,51.12468
Glastonbury,0.4978632,0.145299145,0.35683761, -2.7184540,51.14743
Hereford,0.4702381,0.089285714,0.44047619, -2.7159740,52.05640
Ludlow,0.4074074,0.067901235,0.52469136, -2.7139129,52.36775
Preston,0.1901709,0.029914530,0.77991453, -2.7030900,53.76320
Whitchurch,0.2791667,0.016666667,0.70416667, -2.6820450,52.96872
Wells,0.4662447,0.149789030,0.38396624, -2.6445979,51.20935
Yeovil,0.5606061,0.132034632,0.30735931, -2.6333080,50.94206
Wigan,0.1582278,0.000000000,0.84177215, -2.6325074,53.54506
Warrington,0.1168831,0.012987013,0.87012987, -2.5969501,53.39004
Arbroath,0.6089744,0.057692308,0.33333333, -2.5915430,56.55911
Bristol,0.4050633,0.120253165,0.47468354, -2.5879100,51.45451
Guernsey,0.6212121,0.095238095,0.28354978, -2.5852780,49.46569
Ross-on-Wye,0.4397590,0.090361446,0.46987952, -2.5824460,51.91445
Jedburgh,0.3641975,0.043209877,0.59259259, -2.5549369,55.47772
Sedbergh,0.2317073,0.067073171,0.70121951, -2.5281740,54.32363
Sedbergh,0.2317073,0.067073171,0.70121951, -2.5281740,54.32363
Nantwich,0.2278481,0.012658228,0.75949367, -2.5241020,53.06718
Banff,0.6282051,0.083333333,0.28846154, -2.5240380,57.66651
Dunbar,0.5822785,0.031645570,0.38607595, -2.5167370,56.00209
Cinderford,0.4320988,0.111111111,0.45679012, -2.5009579,51.82530
Banchory,0.6153846,0.083333333,0.30128205, -2.4909599,57.05386
Blackburn,0.1500000,0.012500000,0.83750000, -2.4875290,53.74858
Market Drayton,0.2839506,0.000000000,0.71604938, -2.4834850,52.90355
Telford,0.4423077,0.044871795,0.51282051, -2.4672611,52.67759
Montrose,0.5897436,0.070512821,0.33974359, -2.4661150,56.70692
Turriff,0.6282051,0.083333333,0.28846154, -2.4623000,57.53893
Weymouth,0.5606061,0.177489177,0.26190476, -2.4576210,50.61443
Crewe,0.2405063,0.012658228,0.74683544, -2.4438209,53.10040
Fortuneswell,0.5476190,0.177489177,0.27489177, -2.4422190,50.55919
Dorchester,0.5606061,0.177489177,0.26190476, -2.4411810,50.71116
Alston,0.2540650,0.077235772,0.66869919, -2.4386850,54.81217
Kelso,0.3750000,0.043750000,0.58125000, -2.4322070,55.60003
Wincanton,0.5470085,0.162393162,0.29059829, -2.4160070,51.05569
Clitheroe,0.2000000,0.018750000,0.78125000, -2.3930830,53.87110
Sark,0.6277056,0.095238095,0.27705628, -2.3666256,49.43007
Bath,0.4282700,0.156118143,0.41561181, -2.3590167,51.38106
Kidderminster,0.4625000,0.037500000,0.50000000, -2.2496839,52.38860
Manchester,0.3607595,0.044303797,0.59493671, -2.2426305,53.48076
Burnley,0.1500000,0.025000000,0.82500000, -2.2405035,53.78929
Gloucester,0.4814815,0.086419753,0.43209877, -2.2381560,51.86424
Newcastle-under-Lyme,0.2418699,0.004065041,0.75406504, -2.2273002,53.01321
Worcester,0.5000000,0.024691358,0.47530864, -2.2215750,52.19364
Trowbridge,0.4767932,0.147679325,0.37552743, -2.2088530,51.31966
Shaftesbury,0.5995671,0.170995671,0.22943723, -2.1980830,51.00460
Alderney,0.6452991,0.119658120,0.23504274, -2.1973557,49.71500
Stoke-on-Trent,0.2296748,0.004065041,0.76626016, -2.1794040,53.00267
Colne,0.1217949,0.025641026,0.85256410, -2.1769910,53.85564
Blandford Forum,0.6060606,0.151515152,0.24242424, -2.1653530,50.85691
Rochdale,0.3116883,0.025974026,0.66233766, -2.1561000,53.60971
Jersey,0.6388889,0.119658120,0.24145299, -2.1312500,49.21444
Wolverhampton,0.4691358,0.043209877,0.48765432, -2.1288200,52.58697
Stafford,0.2937500,0.031250000,0.67500000, -2.1206600,52.80669
Macclesfield,0.3506494,0.012987013,0.63636364, -2.1192870,53.25866
Hexham,0.2678571,0.047619048,0.68452381, -2.1121439,54.97266
Aberdeen,0.5897436,0.070512821,0.33974359, -2.0942780,57.14972
Dudley,0.5481928,0.012048193,0.43975904, -2.0811120,52.51225
Cheltenham,0.5493827,0.086419753,0.36419753, -2.0782533,51.89939
Bromsgrove,0.5223577,0.028455285,0.44918699, -2.0619060,52.33559
