placename,dinner,supper,tea,longitude,latitude
Magherafelt,0.8500000,0.000000000,0.15000000, -6.6079805,54.75537
Louth,0.6818182,0.000000000,0.31818182, -6.4889423,53.92523
Wexford,0.6818182,0.000000000,0.31818182, -6.4633381,52.33692
Craigavon,0.5454545,0.090909091,0.36363636, -6.4175653,54.44293
Drogheda,0.6818182,0.000000000,0.31818182, -6.3560985,53.71786
Rosslare,0.7727273,0.000000000,0.22727273, -6.3414908,52.25131
Newry,0.6818182,0.000000000,0.31818182, -6.3402300,54.17510
Ballymena,0.7083333,0.000000000,0.29166667, -6.2802213,54.86529
Banbridge,0.6666667,0.083333333,0.25000000, -6.2704803,54.34873
Dublin,0.7500000,0.000000000,0.25000000, -6.2603097,53.34981
Antrim,0.6500000,0.000000000,0.35000000, -6.2072498,54.71953
Antrim,0.6500000,0.000000000,0.35000000, -6.2072498,54.71953
Wicklow,0.7727273,0.000000000,0.22727273, -6.0445890,52.98082
Kilkeel,0.7916667,0.000000000,0.20833333, -6.0070040,54.06312
Belfast,0.7307692,0.000000000,0.26923077, -5.9301200,54.59728
Down,0.8500000,0.000000000,0.15000000, -5.7156922,54.32875
Balivanich,0.6666667,0.070512821,0.26282051, -7.3743509,57.47227
Western Isles,0.6493506,0.084415584,0.26623377, -7.0194034,57.75989
Dunvegan,0.6730769,0.070512821,0.25641026, -6.5813982,57.43660
Stornoway,0.6363636,0.084415584,0.27922078, -6.3848692,58.20943
Scilly Isles,0.5641026,0.089743590,0.34615385, -6.3274966,49.92773
Portree,0.6602564,0.083333333,0.25641026, -6.1960231,57.41247
Islay,0.6666667,0.032051282,0.30128205, -6.1770670,55.73625
Mull,0.6538462,0.057692308,0.28846154, -6.0008870,56.43920
Broadford,0.6666667,0.070512821,0.26282051, -5.9096592,57.24139
Kyle of Lochalsh,0.6666667,0.083333333,0.25000000, -5.7143293,57.28261
Campbeltown,0.6538462,0.032051282,0.31410256, -5.6053740,55.42412
Penzance,0.5512821,0.089743590,0.35897436, -5.5375920,50.11880
Oban,0.6474359,0.057692308,0.29487179, -5.4710470,56.41516
Lochgilphead,0.6260684,0.061965812,0.31196581, -5.4323449,56.03829
Helston,0.5641026,0.076923077,0.35897436, -5.2749960,50.10159
Redruth,0.5512821,0.076923077,0.37179487, -5.2266660,50.23302
Ullapool,0.6474359,0.070512821,0.28205128, -5.1613130,57.89542
Ballachulish,0.6602564,0.057692308,0.28205128, -5.1337200,56.67393
Fort William,0.6730769,0.070512821,0.25641026, -5.1052179,56.81982
Achnasheen,0.6410256,0.070512821,0.28846154, -5.0787658,57.57859
Newquay,0.5384615,0.076923077,0.38461538, -5.0737190,50.41550
Falmouth,0.5641026,0.076923077,0.35897436, -5.0662700,50.15257
Rothesay,0.6434599,0.048523207,0.30801688, -5.0557930,55.83596
Truro,0.5641026,0.076923077,0.35897436, -5.0510410,50.26320
Milford Haven,0.5375000,0.056250000,0.40625000, -5.0426971,51.71431
Stranraer,0.5611814,0.042194093,0.39662447, -5.0240550,54.90337
Fishguard,0.5253165,0.082278481,0.39240506, -4.9759890,51.99393
Inchnadamph,0.6474359,0.070512821,0.28205128, -4.9742950,58.15221
Haverfordwest,0.5375000,0.068750000,0.39375000, -4.9713190,51.80048
Dunoon,0.6497890,0.048523207,0.30168776, -4.9262140,55.95097
