index,placename,longitude,latitude,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc
25,Offaly,-7.7122229,53.235690000000005,0.25134199448824107,0.01,0.40360317887593444,0.13437027537955876,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.12467985862772556,0.01,0.46164149926411435,0.1111225219189612,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.1689268577013801,0.01,0.5770226411169601,0.14033932480428826,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.08693118282281438,0.01,0.33037487408474076,0.0778831995299256,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.18324268444532615,0.15582204495771032,0.26125369347983596,0.1077071699414537,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.1782036292470368,0.01,0.49132968600852234,0.16424816003624518,0.01,0.01
31,Balivanich,-7.3743509000000005,57.472269999999995,0.027047978738118983,0.01,0.07310017988651576,0.01,0.01,0.01
32,Cavan,-7.3633319,53.98972,0.20576035084887476,0.01,0.5952815566406963,0.16842976412276078,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.18026151903489876,0.13349130540407197,0.23570093251102658,0.09769592670467224,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.24496503114617688,0.01,0.3310065600485646,0.12735863793633093,0.01,0.01
35,Omagh,-7.309959700000001,54.59771,0.18638915389135643,0.01,0.6549276347992572,0.1842525656585944,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.304469058438955,0.01,0.7349231073805279,0.2995322140851827,0.01,0.01
37,Derry,-7.308574799999999,54.99661,0.304469058438955,0.01,0.7349231073805279,0.2995322140851827,0.01,0.01
38,Kilkenny,-7.2447879,52.65415,0.283709781051891,0.01,0.4181637301555181,0.15235429686962346,0.01,0.01
39,Tyrone,-7.131232000000001,54.491209999999995,0.12388833880579904,0.01,0.5461032296609597,0.1469448718970387,0.01,0.01
40,Waterford,-7.110070200000001,52.25932,0.32066555614254283,0.01,0.5604891909877583,0.15218394238409585,0.01,0.01
41,Western Isles,-7.0194034,57.759890000000006,0.13113455701269092,0.01,0.2003943658416247,0.025308989806083638,0.01,0.01
42,Monaghan,-6.9683132,54.2492,0.191364151762673,0.01,0.7063251107438999,0.1757942921161555,0.01,0.01
43,Carlow,-6.934135899999999,52.83651,0.25653033919730195,0.2061739106119679,0.2882831071670706,0.14763177470376385,0.01,0.01
44,Kildare,-6.8194707999999995,53.21204,0.32875835882656224,0.21716052237445602,0.3682577985003019,0.17134620893395625,0.01,0.01
45,Dungannon,-6.7669352,54.508269999999996,0.12838273204353992,0.01,0.4650771428263284,0.17058789395903529,0.01,0.01
