index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
39,Waterford,-7.110070200000001,52.25932,0.01,0.28097540669782134,0.01,0.01,0.01,0.01,0.3142280812534285,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.01,0.20262346541082604,0.01,0.01,0.01,0.01,0.21460000813319935,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.2886958326768716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.35991589260447443,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.31457150879413043,0.01,0.01,0.01,0.10299428823123627,0.11250747653936494,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.37453562759836084,0.01,0.01,0.01,0.2452544448771282,0.11570140179737048,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.2545218074681597,0.01,0.01,0.01,1.0,0.06483371661956767,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.31640654281541986,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.33585249399109407,0.01,0.01,0.01,0.01,0.1752259346791667,0.01,0.01,0.31245571309539993,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.33585249399109407,0.01,0.01,0.01,0.01,0.1752259346791667,0.01,0.01,0.31245571309539993,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.3973292866826884,0.01,0.01,0.01,0.5203605022232312,0.06922664573542268,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
50,Louth,-6.4889423,53.925230000000006,0.01,0.25619864428776623,0.01,0.01,0.01,0.01,0.2827232958387341,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
51,Wexford,-6.4633381,52.33692,0.01,0.01,0.01,0.01,0.01,0.01,0.33492975072498404,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.3773154636817022,0.01,0.01,0.01,0.01,0.20217276615115806,0.01,0.01,0.3510302122982418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.2391693480626573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.01,0.040267884450879754,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.3769528340218777,0.01,0.01,0.01,0.01,0.20193709272007115,0.01,0.01,0.35069284482002666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.2196476024674392,0.01,0.01,0.01,0.5753209771489273,0.11211721536959565,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.12842216484329746,0.01,0.01,0.01,0.01,0.19282506160219315,0.01,0.01,0.2986894440825891,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,0.7003429556185099,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.01,0.23706120947865875,0.01,0.01,0.01,0.1552330700964361,0.22489648880971624,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.23706120947865875,0.01,0.01,0.01,0.1552330700964361,0.22489648880971624,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.3168861329520471,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.09371940953069985,0.01,0.01,0.01,0.01,0.12908730615902142,0.01,0.01,0.21797637788329363,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.2878931425523213,0.01,0.01,0.01,0.01,0.4857217519641674,0.01,0.01,0.6695934678337606,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.15983585570964004,0.01,0.01,0.01,0.01,0.25052186774828905,0.01,0.01,0.37175267170298754,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.07443088455618554,0.06961901394691818,0.06490217203726387,0.01,0.01,0.09980100259080091,0.01,0.03530520159494444,0.021388250687398122,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.11646813521704237,0.14334026817314438,0.1336286485174037,0.01,0.01,0.2054826930789551,0.06806471709438697,0.07269073170707097,0.04403678557733723,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.049244845365045975,0.06060687180761036,0.05650062242618203,0.01,0.01,0.0868818190229397,0.01,0.030734963135762114,0.018619553683833154,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.20234779258232927,0.15857441333198058,0.01,0.01,0.01,0.35170980485161046,0.08198294076227236,0.09598071623102113,0.05814609539572952,0.07138428134320465,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.23101060151977199,0.01,0.01,0.01,0.041729929368567946,0.10101167358300768,0.01,0.01,0.16674634875928024,0.01,0.01,0.01,0.01,0.11495034145603922,0.01,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.1506564524818644,0.20546173682651137,0.01,0.01,0.01,0.27892649563478,0.10351212676191088,0.0940285318975024,0.056963442244719366,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
71,Islay,-6.177067,55.73625,0.2887462008517084,0.08516006708325696,0.279756266885029,0.01,0.01,0.23102539906668743,0.05721882898615231,0.07609029822608572,0.04609627759699433,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.21353814395646434,0.10223849856401217,0.2821224074544794,0.01,0.01,0.24369107610042728,0.06037797207411469,0.0767338596503891,0.04648615366210398,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.06479584847701612,0.0769871083875404,0.01,0.01,0.01,0.08473658875198946,0.01,0.030734963135762114,0.018619553683833154,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.06479584847701612,0.0769871083875404,0.01,0.01,0.01,0.08473658875198946,0.01,0.030734963135762114,0.018619553683833154,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.3488344324280387,0.11671479009958266,0.29821207749293954,0.01,0.01,0.24626638386487246,0.061390405965523316,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.3778441842382436,0.01,0.01,0.01,0.06825405854473983,0.19257610938938252,0.01,0.01,0.2727326698738692,0.01,0.01,0.01,0.01,0.1880143928877103,0.01,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.2846119621182741,0.13626745620802225,0.3760237419667797,0.01,0.01,0.3248009654602818,0.09480116390622319,0.10227387927684745,0.0619585576607822,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.18313173901604857,0.0876804194768807,0.24195006163894772,0.01,0.01,0.2089910950900746,0.045651233912872624,0.06580747073484972,0.03986683597869982,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.01,0.31501652145520387,0.01,0.01,0.01,0.05156999405750664,0.13080825607071456,0.01,0.01,0.20606572655989397,0.01,0.01,0.01,0.01,0.14205603784849477,0.01,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.01,0.3520348748789978,0.01,0.01,0.01,0.05763010880090178,0.1512381710387334,0.01,0.01,0.23028100853649275,0.01,0.01,0.01,0.01,0.15874938647277392,0.01,0.01,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.153659506423503,0.1359566397979236,0.01,0.01,0.01,0.25690793203824325,0.05848482722530998,0.07288613972021636,0.04415516574180792,0.05420802123714987,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.05442851275801595,0.0769871083875404,0.11300124654738276,0.01,0.01,0.07401043855566243,0.01,0.030734963135762114,0.018619553683833154,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.1750403431444035,0.24758805976865136,0.363408367583701,0.01,0.01,0.23801518550850034,0.09910757508064592,0.0988426510518988,0.059879884657215866,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.049244845365045975,0.05733082213287047,0.01,0.01,0.01,0.08902704929388996,0.01,0.030734963135762114,0.018619553683833154,0.022858688096006975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.40569911440861617,0.01,0.01,0.01,0.06641524965909823,0.18085471929149294,0.01,0.01,0.2653850737387603,0.01,0.01,0.01,0.01,0.18294916242901438,0.01,0.01,0.01,0.01
