,placename,forget,forgetten,forgot,forgotten,longitude,latitude
87,Rothesay,0.01,0.01,0.7494189520842374,0.7805486,-5.055793,55.83596
88,Truro,0.01,0.01,0.05723407771280881,0.9832402,-5.0510410000000014,50.2632
89,Milford Haven,0.01,0.01,0.17856030431990802,0.9477124,-5.0426971,51.71431
90,Stranraer,0.01,0.01,0.7053582078996427,0.7934509,-5.0240550000000015,54.90337
91,Fishguard,0.01,0.01,0.27138802553807145,0.9205298,-4.975989,51.99393
92,Inchnadamph,0.01,0.01,0.5384392150919365,0.8423295,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,0.2175137620565799,0.9363057,-4.971319,51.80048
94,Dunoon,0.01,0.01,0.7492017261013597,0.7806122,-4.926214,55.95097
95,Pembroke,0.01,0.01,0.17856030431990802,0.9477124,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.01,0.7672774481216303,0.7753190999999999,-4.8542179,55.24016
97,Wadebridge,0.01,0.01,0.09330506515601324,0.9726776,-4.836456,50.51665
98,Invergarry,0.01,0.01,0.59590008069223,0.8255034,-4.800261,57.07095
99,St Austell,0.01,0.01,0.046148176259641766,0.9864865,-4.7834252,50.34038
100,Greenock,0.01,0.1910256705391021,0.7355311393839176,0.7820513000000001,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.01,0.18440597314170745,0.7354010633316018,0.7821781999999999,-4.734014,56.00232
102,Bodmin,0.01,0.01,0.046148176259641766,0.9864865,-4.7188629,50.4715
103,Tenby,0.01,0.01,0.1833538919973996,0.9463087,-4.703579,51.67274000000001
104,Camelford,0.01,0.01,0.10898826204495196,0.9680851,-4.682364,50.62206
105,Irvine,0.01,0.01,0.7397659361861025,0.7833753000000001,-4.6696364,55.61156999999999
106,Cardigan,0.01,0.01,0.269602578900312,0.9210526,-4.660864,52.0837
107,Holyhead,0.01,0.01,0.658835887972589,0.807074,-4.633038,53.30944
108,Ayr,0.01,0.01,0.7494189520842374,0.7805486,-4.629179,55.45856
