,placename,dont_got_any,dont_got_none,dont_have,dont_have_negc,got_none,have_none,havent,havent_got,havent_got_negc,havent_negc,not_got_any,not_got_none,longitude,latitude
15,Colwyn Bay,0.0742377384296951,0.01,0.2911715551423815,0.01,0.3537891979321102,0.36025615221175705,0.34072805064726824,0.7586843020495524,0.1581234375431077,0.01,0.3189531785682909,0.01,-3.72764,53.29318000000001
16,Llandudno,0.07520142843008057,0.01,0.29382872164579665,0.01,0.3583818052456593,0.3658033398292231,0.36011190636597856,0.7521920186465321,0.16017605901043838,0.01,0.2961691089170912,0.01,-3.827609,53.32406
17,Builth Wells,0.01,0.01,0.2978506139893778,0.01,0.636195650684828,0.20050438672492527,0.29333444069983394,0.8942587014848675,0.8774008961792739,0.01,0.15670269442055687,0.01,-3.404592,52.15002
18,Aberaeron,0.01,0.01,0.304022761595709,0.3482559727156248,0.5000540421865318,0.2417843880045534,0.19656775974493004,0.8833763340493008,0.01,0.01,0.2774252120081121,0.01,-4.2581619,52.24279
19,Bangor,0.07445708762978283,0.01,0.30476940342311554,0.01,0.33512151441240623,0.3623845335622447,0.3386183457471532,0.7549861665717497,0.1585906426368223,0.01,0.2887946149251317,0.01,-4.129263,53.22739
20,Mold,0.060057194424022874,0.01,0.304850838622428,0.1439585273760096,0.3286115881748757,0.33974104860187304,0.3122811861324149,0.7688291184367807,0.2558389007130938,0.01,0.3117841439009423,0.14886200197556393,-3.141903,53.1672
21,Wrexham,0.05450416442180167,0.01,0.3063271947358096,0.13064776188799615,0.2116452149580232,0.3864783969459544,0.24974045522698204,0.7406442075309521,0.23218341563440395,0.01,0.3902839003724031,0.13509789060392866,-2.992494,53.04304000000001
22,Llangefni,0.07406318642962527,0.01,0.31362982760900376,0.01,0.3333486193400039,0.357681034046104,0.3363237237245893,0.7502978271142449,0.15775164870814473,0.01,0.2872668253842067,0.01,-4.311401999999998,53.25578
23,Telford,0.01,0.01,0.3175959048159772,0.01,0.3816546392036877,0.2825120831544964,0.2096925671963925,0.807490862116905,0.41188268248041904,0.01,0.37292255511256944,0.01,-2.4672611,52.67759
24,Milford Haven,0.01,0.01,0.32836319366891675,0.32624898111864503,0.5405245677114348,0.19592171875374886,0.18434533742537665,0.9131541073032216,0.01,0.01,0.21116400163643864,0.01,-5.0426971,51.71431
25,Haverfordwest,0.01,0.01,0.3308309547087622,0.3363307368713455,0.5572278733496673,0.1848544689676868,0.19298169223897274,0.9117601826840932,0.01,0.01,0.21768939267324072,0.01,-4.971319,51.80048
26,Stafford,0.01,0.01,0.3308378172255582,0.01,0.3551155666583461,0.25014002596578594,0.22505522292823912,0.8169647927585859,0.4364696792965254,0.01,0.36600361352355937,0.01,-2.12066,52.80669
27,Medway,0.07605251643042102,0.01,0.3313598260031747,0.09114985792139706,0.19464247557515565,0.2984657792801559,0.1292830560322646,0.8484917365762131,0.1619888426850511,0.01,0.3154046432700615,0.01,0.5417860999999999,51.40474
28,Ruthin,0.06786964802714786,0.01,0.3398954243940511,0.1626851649867969,0.32344128545501033,0.3505867627809517,0.2599833704910296,0.7481666537837522,0.14455965763365314,0.01,0.2976683380886155,0.01,-3.3103108,53.11487
29,Gillingham,0.07850466963140187,0.01,0.340213845173386,0.0940888028417412,0.2009183524418795,0.2814707191776257,0.12935441033853065,0.8518254552212234,0.16721183171627851,0.01,0.3115206676136495,0.01,0.551438,51.38632
30,Fishguard,0.01,0.01,0.3414436081832313,0.3388779754949797,0.4865883305527925,0.17902662959299834,0.16935984455002895,0.91965949197512,0.01,0.01,0.2193380927402757,0.01,-4.975989,51.99393
31,Ludlow,0.01,0.01,0.34491832918761106,0.01,0.2756253370408794,0.2439540906776431,0.16674846705529986,0.8627553399512208,0.042642229178581764,0.01,0.3141911230537387,0.01,-2.7139129,52.36775
32,Southend,0.0731494932292598,0.01,0.3464665129767907,0.01,0.16139029596259052,0.3061438141980065,0.12071690563817687,0.8227956132517521,0.15580551844128085,0.01,0.34919740978607033,0.01,0.7077123000000001,51.54593
33,Holyhead,0.06953642642781457,0.01,0.3466522584314025,0.01,0.3313845083335276,0.3128222729926501,0.32264502348789365,0.753773543358095,0.14810982949921475,0.01,0.28526912280600497,0.01,-4.633038,53.30944
