placename,off,off_of,longitude,latitude
Chester,0.9895601,0.010439918, -2.8930750,53.19339
Forfar,0.9864194,0.013580553, -2.8890620,56.64356
Morecambe,0.9938297,0.006170300, -2.8649680,54.07417
Selkirk,0.9930333,0.006966732, -2.8385240,55.55066
Galashiels,0.9937862,0.006213782, -2.8144490,55.62373
Lancaster,0.9939660,0.006034000, -2.8007399,54.04657
St Andrews,0.9862402,0.013759762, -2.7967214,56.33978
Hawick,0.9925215,0.007478491, -2.7809140,55.42706
Bridport,0.9711866,0.028813399, -2.7583010,50.73358
Shrewsbury,0.9890395,0.010960477, -2.7553268,52.70730
Penrith,0.9920029,0.007997138, -2.7527080,54.66410
Kendal,0.9894936,0.010506421, -2.7462900,54.32801
Street,0.9746023,0.025397720, -2.7429190,51.12468
Glastonbury,0.9751241,0.024875908, -2.7184540,51.14743
Hereford,0.9905365,0.009463527, -2.7159740,52.05640
Ludlow,0.9957614,0.004238619, -2.7139129,52.36775
Preston,0.9944102,0.005589805, -2.7030900,53.76320
Whitchurch,0.9892656,0.010734435, -2.6820450,52.96872
Wells,0.9744981,0.025501899, -2.6445979,51.20935
Yeovil,0.9697153,0.030284676, -2.6333080,50.94206
Wigan,0.9946803,0.005319745, -2.6325074,53.54506
Warrington,0.9940704,0.005929586, -2.5969501,53.39004
Arbroath,0.9859190,0.014080981, -2.5915430,56.55911
Bristol,0.9789600,0.021039963, -2.5879100,51.45451
Guernsey,0.9783293,0.021670672, -2.5852780,49.46569
Ross-on-Wye,0.9871992,0.012800779, -2.5824460,51.91445
Jedburgh,0.9932265,0.006773523, -2.5549369,55.47772
Sedbergh,0.9865992,0.013400834, -2.5281740,54.32363
Sedbergh,0.9865992,0.013400834, -2.5281740,54.32363
Nantwich,0.9900578,0.009942216, -2.5241020,53.06719
Banff,0.9879251,0.012074948, -2.5240380,57.66651
Dunbar,0.9892396,0.010760402, -2.5167370,56.00209
Cinderford,0.9842088,0.015791157, -2.5009579,51.82530
Banchory,0.9838248,0.016175156, -2.4909599,57.05386
Blackburn,0.9941535,0.005846492, -2.4875290,53.74858
Market Drayton,0.9862430,0.013757030, -2.4834850,52.90355
