,placename,inside,inside_of,longitude,latitude
58,Wicklow,0.9421525,0.5582162055864043,-6.044589,52.980819999999994
59,Kilkeel,0.9421525,0.663278255896168,-6.007004,54.06312
60,Belfast,0.9421525,0.335740888354477,-5.93012,54.597280000000005
61,Down,0.9421525,0.3597329742566647,-5.7156921999999994,54.32875
62,Balivanich,0.9421525,0.4898220078570539,-7.3743509000000005,57.472269999999995
63,Western Isles,0.9421525,0.46337823292847147,-7.0194034,57.759890000000006
64,Dunvegan,0.9421525,0.46568100721606004,-6.581398200000001,57.4366
65,Stornoway,0.9421525,0.5235451915701047,-6.384869200000001,58.209430000000005
66,Scilly Isles,0.9421525,0.6062018785474208,-6.327496599999999,49.92773
67,Portree,0.9421525,0.4539287521034958,-6.1960231,57.41246999999999
68,Islay,0.9421525,0.3629022161575494,-6.177067,55.73625
69,Mull,0.9421525,0.40173443638323336,-6.0008870000000005,56.4392
70,Broadford,0.9421525,0.46305458355663043,-5.9096592,57.24139
71,Kyle of Lochalsh,0.9421525,0.4539287521034958,-5.7143293,57.28261
72,Campbeltown,0.9421525,0.358213203273122,-5.605373999999999,55.424119999999995
73,Penzance,0.9421525,0.6198158681263913,-5.537592,50.1188
74,Oban,0.9421525,0.38005082916387073,-5.471047,56.41516
75,Lochgilphead,0.9421525,0.3535488093576101,-5.4323449,56.03829
