index,placename,longitude,latitude,a_load_of,a_lot_of,bare,loads_of,lots_of
52,Dunvegan,-6.581398200000001,57.4366,0.2892417623031843,0.2570194576673153,0.01,0.15462379243693886,0.6504141801157031
53,Louth,-6.4889423,53.925230000000006,0.4244180604908863,0.8205237334120574,0.05030799732344111,0.33494625953625,0.1212230450860257
54,Wexford,-6.4633381,52.33692,0.5304567822710323,0.7434315581482932,0.12174947712504795,0.2927028529775251,0.22128426229373233
55,Craigavon,-6.4175653,54.442930000000004,0.4095433167958996,0.8566666425335698,0.01,0.08804369406886693,0.20404851222052528
56,Stornoway,-6.384869200000001,58.209430000000005,0.34984403040530176,0.36010663624746525,0.01,0.22994928238075912,0.6842665123565268
57,Drogheda,-6.3560985,53.717859999999995,0.6353123832887643,0.6574497460091746,0.08744357831168181,0.3274074083237964,0.24199903864952543
58,Rosslare,-6.3414908,52.25131,0.48545869682216714,0.5646182791806739,0.11142159956225658,0.26905381527092814,0.17794356326498437
59,Newry,-6.34023,54.1751,0.5782180228687562,1.0,0.01,0.04798476291114931,0.035529930736694866
60,Scilly Isles,-6.327496599999999,49.92773,0.4041795455481255,0.17437859457283758,0.19072362022917272,0.31144090898655974,0.7765310076261784
61,Ballymena,-6.2802213,54.86529,0.4674379412667813,0.6583021102695685,0.01,0.24409302135987954,0.3397653195250595
62,Banbridge,-6.2704803,54.34873,0.42840932409025495,0.9349140962632781,0.01,0.08401519396880405,0.0804630505095385
63,Dublin,-6.2603097000000005,53.34981,0.6127587232920073,0.7576272463826444,0.13415646489580646,0.3539447969639755,0.28876944026786044
64,Antrim,-6.2072498,54.719530000000006,0.4920504649020638,0.6769667206285981,0.01,0.24530461061949882,0.3282858486271958
65,Antrim,-6.2072498,54.719530000000006,0.4920504649020638,0.6769667206285981,0.01,0.24530461061949882,0.3282858486271958
66,Portree,-6.1960231,57.41246999999999,0.305873848139785,0.3392756966361959,0.01,0.20707625595238063,0.7234350864920687
67,Islay,-6.177067,55.73625,0.23786701578745478,0.6574892531852009,0.01,0.21353692113891276,0.3092176299273823
68,Wicklow,-6.044589,52.980819999999994,0.5931325670669563,0.6833923169313456,0.12183966501929608,0.30231707871957697,0.27067042153252785
69,Kilkeel,-6.007004,54.06312,0.4700450097646135,0.9418688323285721,0.01,0.09951122722941548,0.01
70,Mull,-6.0008870000000005,56.4392,0.14456531056486624,0.38994992523309585,0.01,0.3218549326811335,0.5796437298245861
71,Belfast,-5.93012,54.597280000000005,0.517543352564842,0.7469492435820264,0.01,0.2566415515215607,0.3504531265011974
72,Broadford,-5.9096592,57.24139,0.28655927861610303,0.2592134536026916,0.01,0.15630653460965788,0.6471664699275228
73,Down,-5.7156921999999994,54.32875,0.5229616592182645,0.6970536032833495,0.01,0.2099483842149857,0.32277586264367414
74,Kyle of Lochalsh,-5.7143293,57.28261,0.28655927861610303,0.2520596075568022,0.01,0.15630653460965788,0.6556957635209495
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.772007887011541,0.01,0.27779659992168754,0.17647503078089624
76,Penzance,-5.537592,50.1188,0.4142460470007731,0.21598289563561548,0.1954737854001674,0.331089110839898,0.8056628903280155
77,Oban,-5.471047,56.41516,0.14430157243696368,0.34362716480888034,0.01,0.3507910238307306,0.6719496203743577
78,Lochgilphead,-5.4323449,56.03829,0.09510966249648589,0.5504712107223287,0.01,0.34723766613078544,0.3515556273915614
79,Helston,-5.274996,50.10159,0.41031773200798427,0.20154733132285224,0.19362009751153564,0.31848309077241194,0.7781906283729211
80,Redruth,-5.226666000000001,50.23302,0.40953429281921516,0.2080158084409004,0.19325040882659245,0.32189251229426213,0.7894532734846835
81,Ullapool,-5.161313,57.895419999999994,0.34895690988651384,0.3593656623159755,0.01,0.22080539943530195,0.6394135212092831
82,Ballachulish,-5.133719999999999,56.673930000000006,0.14574795164792692,0.3043745831441835,0.01,0.3718839566003533,0.4882282152102127
83,Fort William,-5.1052179,56.81981999999999,0.3836102970271278,0.2664183466851895,0.01,0.33952412003549437,0.7355007848189598
84,Achnasheen,-5.078765799999999,57.578590000000005,0.3411419959554125,0.2777790353803766,0.01,0.2123533250382866,0.5868507944906506
85,Newquay,-5.0737190000000005,50.4155,0.3198704269319381,0.2157122430179314,0.20221621825232286,0.3676818788074854,0.7903136330953372
86,Falmouth,-5.066269999999999,50.152570000000004,0.41710567181886243,0.23125130639941924,0.19682318006332525,0.33165036480539645,0.7956365621932123
87,Rothesay,-5.055793,55.83596,0.09228957847536517,0.6474769675526438,0.01,0.3973009489149138,0.2788116721222547
88,Truro,-5.051041000000001,50.2632,0.4239177426055593,0.25636153265358547,0.2000376495027061,0.3448644482061924,0.8187476217903331
89,Milford Haven,-5.0426971,51.71431,0.6562074989721092,0.36831353073519396,0.07037504027815461,0.6238963173871992,0.38752735301668545
90,Stranraer,-5.024055000000001,54.903369999999995,0.41111633102306333,0.6529982149317,0.01,0.2644080100421324,0.2977609460534937
91,Fishguard,-4.975989,51.99393,0.6414403616276664,0.362820948502494,0.0503936556829607,0.5138534744363218,0.4204176468017766
92,Inchnadamph,-4.974295,58.15221,0.33905868746693224,0.3155057121182061,0.01,0.14624687986400003,0.5794838652578872
93,Haverfordwest,-4.971319,51.800470000000004,0.6310733776039257,0.3551874731079634,0.06767953083814283,0.6639980988291475,0.4014335314391781
94,Dunoon,-4.926214,55.95097,0.09578400822626362,0.5732005107569869,0.01,0.34299736995435104,0.38124835426164444
95,Pembroke,-4.908637000000001,51.674040000000005,0.6645080133062149,0.3926552641929262,0.07126523148330109,0.6444925815394311,0.4078001051119607
