index,placename,longitude,latitude,merger,no merger
133,Tavistock,-4.141654,50.551120000000004,0.01,0.9297760808727413
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.9266774319985173
135,Bangor,-4.129263,53.22739,0.01,0.9442063525079636
136,Tywyn,-4.087249,52.58701,0.01,0.906277426599577
137,Aberystwyth,-4.08292,52.4153,0.01,0.9399012201868452
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.9187286709975876
139,Barnstaple,-4.058338,51.07816,0.01,0.9403635287761981
140,Tain,-4.05523,57.8115,0.01,0.9111659020195224
141,Okehampton,-4.004263,50.73831,0.01,0.9178315585203445
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.9292880080079001
143,Motherwell,-3.9810968,55.78321,0.01,0.9542146840913074
144,Golspie,-3.976086,57.97341,0.01,0.8711430730972106
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.9475292462979491
146,Swansea,-3.9436459999999998,51.62144,0.06324494224894937,0.900940865807595
147,Stirling,-3.9369029,56.116519999999994,0.01,0.9509933936405753
148,Tregaron,-3.934385,52.22,0.01,0.9178315585203445
149,Tregaron,-3.934385,52.22,0.01,0.9178315585203445
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.9183247381068113
151,Dolgellau,-3.8844,52.74215,0.01,0.9085707888476416
152,Aberfeldy,-3.866969,56.62175,0.01,0.925007827619646
153,Machynlleth,-3.853485,52.59027,0.01,0.9163532445159972
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.9050248119063685
155,Llandudno,-3.827609,53.324059999999996,0.01,0.9371842622781025
156,Llandudno,-3.827609,53.324059999999996,0.01,0.9371842622781025
157,Aviemore,-3.823812,57.19449,0.01,0.920749556838186
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.01,0.9071750336141934
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.9510826923199174
160,Kingsbridge,-3.777493,50.28395,0.06106535180261417,0.8679102435210769
161,Pitlochry,-3.729711,56.70436,0.01,0.9126194182650342
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.9338450915050525
163,Totnes,-3.685797,50.43374,0.06116214678439891,0.8693771239104354
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.9081919612655966
165,Dumfries,-3.60512,55.070859999999996,0.01,0.9396456984779101
166,Whitehaven,-3.589233,54.5497,0.01,0.9336413034620643
167,Dartmouth,-3.578807,50.35252,0.18210792948535293,0.7474237296539462
168,Bridgend,-3.576945,51.504290000000005,0.18756090548575882,0.7715262381178297
169,Paignton,-3.564235,50.43508,0.18621086128692743,0.7655589549816986
170,Workington,-3.5427519999999997,54.64357,0.01,0.9331129090011742
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.911985331362489
172,Exeter,-3.533899,50.71841,0.12668328144577942,0.842411817864972
173,Torquay,-3.525315,50.46192,0.18639932405537463,0.7663919726717247
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.9222433131430235
175,Livingston,-3.518068,55.90071,0.01,0.9504042362567361
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.9332514689306454
177,Tiverton,-3.491207,50.90205,0.1838849041731288,0.7552780733094173
178,Tiverton,-3.491207,50.90205,0.1838849041731288,0.7552780733094173
179,Minehead,-3.481152,51.20428,0.2428962945220102,0.690192682520106
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.948245130321651
181,Perth,-3.4308381000000003,56.39499,0.01,0.9312805513661939
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.9271394116942371
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.9231269653896785
184,Braemar,-3.3979439,57.00646999999999,0.01,0.8711430730972106
185,Brecon,-3.391463,51.94895,0.01,0.929445910915167
186,Merthyr Tydfil,-3.381646,51.74873,0.1257328225484738,0.8356600658759303
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.9181163901794528
188,Corwen,-3.369242,52.98005,0.01,0.9092869934916333
189,Cockermouth,-3.367985,54.66326,0.01,0.9223353132998579
190,Lockerbie,-3.349008,55.122240000000005,0.01,0.9349103074519984
191,Blairgowrie,-3.3378318,56.58941,0.01,0.9220567065169921
192,Elgin,-3.318485,57.64945,0.01,0.9442474492654916
193,Newtown,-3.313106,52.51211,0.01,0.914098439365051
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.9261306751276779
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.9261306751276779
196,Sidmouth,-3.2375599999999998,50.67865,0.24436404153831506,0.6947107888095445
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.9418065778321519
198,Peebles,-3.1936419999999996,55.65306999999999,0.01,0.9249376503285909
199,Edinburgh,-3.1882669999999997,55.95325,0.01,0.9742878742236349
200,Cardiff,-3.17909,51.48158,0.2555828229193511,0.7292451098842365
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.916924035917556
202,Kirkcaldy,-3.158137,56.11682,0.01,0.9527417506310065
203,Welshpool,-3.146407,52.66035,0.01,0.9259096489009523
204,Mold,-3.1419029999999997,53.1672,0.01,0.9405574594444986
205,Mold,-3.1419029999999997,53.1672,0.01,0.9405574594444986
206,Taunton,-3.106849,51.01534,0.49801051399232105,0.47315063200636887
207,Wick,-3.093716,58.43894,0.01,0.9201968796560255
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.8711430730972106
209,Dalkeith,-3.066606,55.893119999999996,0.01,0.944540511761141
210,Oswestry,-3.056412,52.85715,0.01,0.9352541501606593
211,Blackpool,-3.0356748,53.81751,0.01,0.9569233263229997
