index,placename,longitude,latitude,a load of,a lot of,bare,loads of,lots of
44,Kildare,-6.8194707999999995,53.21204,0.39791392679777104,0.3397592671830484,0.08196265827113328,0.3401576660368468,0.24686646275525775
45,Dungannon,-6.7669352,54.508269999999996,0.18335695959830148,0.16251299374216394,0.01,0.13014790423353642,0.1130376519701598
46,Cookstown,-6.7443895000000005,54.641819999999996,0.21044125651596066,0.2029467529480449,0.01,0.17275072479138734,0.15211813608887495
47,Coleraine,-6.6646103000000005,55.132580000000004,0.2807530383101995,0.29698624798274414,0.01,0.25379138070933643,0.23792938549141168
48,Meath,-6.656416900000001,53.60555,0.321174915874415,0.29843151179379623,0.07526771703397968,0.29501384666343733,0.21034884772150222
49,Armagh,-6.652792,54.350280000000005,0.2325648634445051,0.2290420580839282,0.01,0.17256511080017947,0.1637473598725661
50,Armagh,-6.652792,54.350280000000005,0.2325648634445051,0.2290420580839282,0.01,0.17256511080017947,0.1637473598725661
51,Magherafelt,-6.607980499999999,54.75536999999999,0.2125560651471481,0.21599459912332242,0.01,0.18856576529416288,0.17250550606355394
52,Dunvegan,-6.581398200000001,57.4366,0.02492508364826851,0.01,0.01,0.01,0.03081023852222454
53,Louth,-6.4889423,53.925230000000006,0.3488454135240697,0.30157187288493537,0.05932176757919102,0.2915904070844697,0.21295623881749387
54,Wexford,-6.4633381,52.33692,0.3632665553336179,0.31254541294236077,0.07232357367565614,0.3162981146218031,0.2321996461334382
55,Craigavon,-6.4175653,54.442930000000004,0.24400668008108492,0.2645254009823015,0.01,0.21430404292614838,0.1902704679843614
56,Stornoway,-6.384869200000001,58.209430000000005,0.1623649578394135,0.1585736714760278,0.01,0.16394091165466113,0.23691865665202233
57,Drogheda,-6.3560985,53.717859999999995,0.25411674446202825,0.2195603934122273,0.060883771251213616,0.2150452175740383,0.15289190321749616
58,Rosslare,-6.3414908,52.25131,0.06596263372656637,0.017127357913572446,0.01750946746829872,0.01511170101006545,0.01
59,Newry,-6.34023,54.1751,0.2723884952796316,0.26405768366823834,0.01,0.2180313808861214,0.18697877927792417
60,Scilly Isles,-6.327496599999999,49.92773,0.08461964107615044,0.08955564367203951,0.06354520201235682,0.1543859952306548,0.1922287245876791
61,Ballymena,-6.2802213,54.86529,0.24313328797633327,0.24989756523072812,0.01,0.20695012122257364,0.19189744993200278
62,Banbridge,-6.2704803,54.34873,0.22638055689567732,0.21726093742454822,0.01,0.16056844316441515,0.1514124629073705
63,Dublin,-6.2603097000000005,53.34981,0.7230322137982028,0.6857363765733988,0.15520101636100708,0.6871902262064035,0.503212438883103
64,Antrim,-6.2072498,54.719530000000006,0.24419713751375233,0.2774672917521152,0.01,0.22529584181660475,0.20946513321318402
65,Antrim,-6.2072498,54.719530000000006,0.24419713751375233,0.2774672917521152,0.01,0.22529584181660475,0.20946513321318402
66,Portree,-6.1960231,57.41246999999999,0.11965335969640854,0.15570567704515229,0.01,0.16939186870189243,0.2256280642519662
67,Islay,-6.177067,55.73625,0.03849644033152474,0.1343671554819872,0.01,0.15274060629071703,0.11846341576551803
68,Wicklow,-6.044589,52.980819999999994,0.3518504856956835,0.2960395051233124,0.07106713164102156,0.292006913171671,0.21656068232778614
69,Kilkeel,-6.007004,54.06312,0.14350150490419425,0.13879605182722046,0.01,0.11612741959126323,0.09091731284119411
70,Mull,-6.0008870000000005,56.4392,0.07110784659282518,0.12771711842855912,0.017740869612719305,0.15319364877570454,0.1348560177083309
71,Belfast,-5.93012,54.597280000000005,0.4661143551840959,0.5623203295725996,0.01,0.46873757683843287,0.42715570977156125
72,Broadford,-5.9096592,57.24139,0.025417070326793616,0.01,0.01,0.010055976579253136,0.0328409993333286
73,Down,-5.7156921999999994,54.32875,0.2555265601630174,0.2836391549293631,0.01,0.21982164450330174,0.21077404882965678
74,Kyle of Lochalsh,-5.7143293,57.28261,0.02534612885005786,0.01,0.01,0.01,0.030951282654140936
75,Campbeltown,-5.605373999999999,55.424119999999995,0.017543656230409956,0.16136350291333315,0.01,0.13785604535980558,0.11477494686221451
76,Penzance,-5.537592,50.1188,0.153287965507446,0.18908010456656402,0.10515926183696571,0.29178015950184694,0.35494345323461124
77,Oban,-5.471047,56.41516,0.09695952969166104,0.19291301861279037,0.034225025616550594,0.2263490886907093,0.19919444024248917
78,Lochgilphead,-5.4323449,56.03829,0.05147099967931783,0.102803559154911,0.020941052083593082,0.12326289429605394,0.1003603422858256
79,Helston,-5.274996,50.10159,0.10021662780659504,0.1248271738185654,0.07098782821180646,0.21305164566546347,0.25417759969307707
80,Redruth,-5.226666000000001,50.23302,0.1119995652914156,0.1482758881761047,0.08817114563345788,0.23173697679966992,0.29460836696287107
81,Ullapool,-5.161313,57.895419999999994,0.10099631860281756,0.10522145587775206,0.01,0.10537294162770758,0.16530504957753284
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.01,0.021781215373217408,0.025714486697422705
83,Fort William,-5.1052179,56.81981999999999,0.07106469844940062,0.16613368047106988,0.01,0.18481467021107537,0.24455001189628608
84,Achnasheen,-5.078765799999999,57.578590000000005,0.028330613035895343,0.01,0.01,0.01,0.03240275907050805
85,Newquay,-5.0737190000000005,50.4155,0.14679198990829226,0.18152600904743457,0.10122259862153425,0.28767059234985587,0.34307202493023503
86,Falmouth,-5.066269999999999,50.152570000000004,0.14781057705255676,0.19861708350629997,0.09903654495545433,0.32505168108030763,0.3771559315287842
87,Rothesay,-5.055793,55.83596,0.08179959791730262,0.18230254999559556,0.026818096176846627,0.2150830748105084,0.1752345660839508
88,Truro,-5.051041000000001,50.2632,0.21083581442964103,0.3003577430201115,0.1361794377609423,0.4733651985269233,0.5458131656202984
89,Milford Haven,-5.0426971,51.71431,0.24225307606243351,0.1317290102354274,0.06936647221351001,0.25268198437911515,0.173524898633961
90,Stranraer,-5.024055000000001,54.903369999999995,0.14030524163203112,0.185442211888088,0.01,0.1628857546208734,0.1342933867823058
91,Fishguard,-4.975989,51.99393,0.16388062796702027,0.09334625369357998,0.04160733968714436,0.18609833294005057,0.12867849563355502
92,Inchnadamph,-4.974295,58.15221,0.02818174335345151,0.01,0.01,0.01,0.032757219343205746
93,Haverfordwest,-4.971319,51.800470000000004,0.2791125863356374,0.15518053854791813,0.06434040630290397,0.27569408069825224,0.19214040672840033
94,Dunoon,-4.926214,55.95097,0.07575359109111113,0.16132031722716064,0.030835502209582713,0.1883541174711133,0.1557242234312029
95,Pembroke,-4.908637000000001,51.674040000000005,0.30587327465093284,0.20949931402614766,0.10261241241502335,0.387345791184488,0.2651452154376515
96,Girvan,-4.8542179,55.240159999999996,0.01,0.16197058892772526,0.01,0.2087495551815487,0.12969728394276991
97,Wadebridge,-4.836456,50.51665,0.12137133389448695,0.14276770355183319,0.08581729368454355,0.22916853215320498,0.27365973996885257
98,Invergarry,-4.800261,57.07095,0.02278892737210775,0.01,0.01,0.01,0.03038587283120418
99,St Austell,-4.7834252,50.340379999999996,0.12015720654966901,0.15646888962354244,0.0827394816582294,0.2599766209135765,0.3065485243666123
100,Greenock,-4.7719830000000005,55.956480000000006,0.12645647280421624,0.28315918476175295,0.04712289400894889,0.3320303257212739,0.2712167019710364
101,Helensburgh,-4.734014,56.00232,0.08104728506517528,0.17393871598396407,0.03253600874716202,0.20210644124549,0.16869822662566247
102,Bodmin,-4.7188629,50.4715,0.09866406087625743,0.1266359385506503,0.07927950621490956,0.20126724786144168,0.2579814128087708
103,Tenby,-4.703579,51.672740000000005,0.2851327967149347,0.15069978989746657,0.09376335714478683,0.31024362898857005,0.18544285553473366
