,Unnamed:_0,Unnamed:_0,placename,past_participle,past_participle_was,present_participle,present_participle_was,present_participle_were,longitude,latitude
51,51,231,Kendal,0.8810357414295034,0.11001042726831768,0.14810311686713787,0.01,0.01,-2.74629,54.32801
52,52,331,Northallerton,0.8839350810510281,0.01,0.14952465349708105,0.01,0.01,-1.429959,54.337959999999995
53,53,351,Mansfield,0.8627300704696774,0.3842185117403389,0.15276807239498366,0.13080425891203826,0.01,-1.198674,53.1472
54,54,466,Reeth,0.8784994715970434,0.01,0.1547544544509913,0.01,0.01,-1.9428115000000001,54.38946
55,55,234,Hereford,0.8541139276900973,0.15693566318126315,0.16019479359516978,0.6411305158480852,0.01,-2.715974,52.0564
56,56,463,Horncastle,0.8250928850045909,0.9504504480743244,0.16520921021120988,0.2426801475801434,0.01,-0.11245,53.20731
57,57,190,Barrow-in-Furness,0.8519092196249308,0.11405405236225225,0.1759722348050051,0.01,0.01,-3.2188939999999997,54.10896999999999
58,58,369,Newark-on-Trent,0.8283305021351721,0.5557506590497073,0.178205097312663,0.18920102227451047,0.01,-0.80657,53.07004000000001
59,59,288,Cheltenham,0.8336823327106628,0.14180107630396505,0.1870190282639443,0.28965052653113826,0.01,-2.0782533,51.899390000000004
60,60,216,Ambleside,0.8382452874870537,0.10932642505267703,0.18929994840198955,0.01,0.01,-2.961333,54.42874000000001
61,61,383,Whitby,0.8296515165222218,0.05787164159652587,0.19953810828743732,0.01,0.01,-0.613347,54.48634000000001
62,62,245,Ross-on-Wye,0.8133247228196512,0.20530284495871245,0.20174445159849505,0.4193627033008997,0.01,-2.582446,51.91445
63,63,251,Cinderford,0.8124655415989693,0.20803549540461344,0.20236193157212665,0.4249445123429059,0.01,-2.5009579,51.8253
64,64,108,Isle of Man,0.8203968745945196,0.10972438863541342,0.2064575993719392,0.01,0.01,-4.5126330999999995,54.27697
65,65,271,Gloucester,0.8007886295552351,0.1937557398593664,0.21839850706346198,0.19788797074716866,0.01,-2.238156,51.86424
66,66,203,Blackpool,0.7917447639809921,0.2580645166962366,0.22464222978789614,0.1976762060852314,0.01,-3.0356748,53.81751
