placename,how,it_being,that,the fact that,longitude,latitude
Paignton,0.3071429,0.15714286,0.4214286,0.11428571, -3.5642350,50.43508
Workington,0.3830334,0.21593830,0.3547558,0.04627249, -3.5427520,54.64357
Llanidloes,0.3673469,0.26530612,0.3163265,0.05102041, -3.5401950,52.44779
Exeter,0.2978723,0.15602837,0.4326241,0.11347518, -3.5338990,50.71841
Torquay,0.3071429,0.15714286,0.4214286,0.11428571, -3.5253150,50.46192
Thurso,0.3405405,0.22162162,0.3783784,0.05945946, -3.5220800,58.59357
Livingston,0.2655367,0.26553672,0.4293785,0.03954802, -3.5180680,55.90071
Rhyl,0.3802083,0.23437500,0.3645833,0.02083333, -3.4916340,53.31914
Tiverton,0.2949640,0.15827338,0.4460432,0.10071942, -3.4912070,50.90205
Minehead,0.3188406,0.17391304,0.4347826,0.07246377, -3.4811520,51.20428
Dunfermline,0.2977528,0.25842697,0.4044944,0.03932584, -3.4521510,56.07174
Perth,0.2977528,0.25842697,0.4044944,0.03932584, -3.4308381,56.39499
Prestatyn,0.3802083,0.23437500,0.3645833,0.02083333, -3.4076130,53.33651
Builth Wells,0.3149606,0.26771654,0.3543307,0.06299213, -3.4045920,52.15002
Braemar,0.3405405,0.22162162,0.3783784,0.05945946, -3.3979439,57.00647
Brecon,0.2945736,0.24806202,0.4108527,0.04651163, -3.3914630,51.94895
Merthyr Tydfil,0.2539683,0.23809524,0.4444444,0.06349206, -3.3816460,51.74873
Llandrindod Wells,0.3149606,0.25196850,0.3700787,0.06299213, -3.3777420,52.24170
Corwen,0.3854167,0.24479167,0.3385417,0.03125000, -3.3692420,52.98005
Cockermouth,0.4206549,0.20906801,0.3400504,0.03022670, -3.3679850,54.66326
Lockerbie,0.3188648,0.22537563,0.4106845,0.04507513, -3.3490080,55.12224
Blairgowrie,0.3224044,0.23497268,0.3825137,0.06010929, -3.3378318,56.58941
Elgin,0.3405405,0.22162162,0.3783784,0.05945946, -3.3184850,57.64945
Newtown,0.3434066,0.30219780,0.3049451,0.04945055, -3.3131060,52.51211
Ruthin,0.3622449,0.25000000,0.3571429,0.03061224, -3.3103108,53.11487
Sidmouth,0.3243243,0.16216216,0.4189189,0.09459459, -3.2375600,50.67865
Barrow-in-Furness,0.3455497,0.26701571,0.3560209,0.03141361, -3.2188940,54.10897
Peebles,0.2513966,0.26256983,0.4469274,0.03910615, -3.1936420,55.65307
Edinburgh,0.2977528,0.25842697,0.4044944,0.03932584, -3.1882670,55.95325
Cardiff,0.3028169,0.19718310,0.4366197,0.06338028, -3.1790900,51.48158
Llangollen,0.3834586,0.27067669,0.3157895,0.03007519, -3.1716600,52.96921
Kirkcaldy,0.2977528,0.25842697,0.4044944,0.03932584, -3.1581370,56.11682
Welshpool,0.3483146,0.30112360,0.3101124,0.04044944, -3.1464070,52.66035
Mold,0.3622449,0.25000000,0.3571429,0.03061224, -3.1419030,53.16720
Taunton,0.2805755,0.17266187,0.4604317,0.08633094, -3.1068490,51.01534
Wick,0.3405405,0.22162162,0.3783784,0.05945946, -3.0937160,58.43894
John o' Groats,0.3405405,0.22162162,0.3783784,0.05945946, -3.0688997,58.63734
Dalkeith,0.2722222,0.26666667,0.4222222,0.03888889, -3.0666060,55.89312
Oswestry,0.3333333,0.29059829,0.3418803,0.03418803, -3.0564120,52.85715
Blackpool,0.3417085,0.25628141,0.3718593,0.03015075, -3.0356748,53.81751
Birkenhead,0.3489583,0.26562500,0.3645833,0.02083333, -3.0230090,53.38999
Cupar,0.3114754,0.23497268,0.3934426,0.06010929, -3.0101370,56.32023
Southport,0.3417085,0.26633166,0.3618090,0.03015075, -3.0101130,53.64571
Bridgwater,0.2777778,0.18055556,0.4583333,0.08333333, -3.0036320,51.12789
Langholm,0.3360129,0.22508039,0.3954984,0.04340836, -2.9989130,55.15306
Newport,0.2835821,0.20895522,0.4477612,0.05970149, -2.9976640,51.58415
Axminster,0.3400000,0.16000000,0.4200000,0.08000000, -2.9949370,50.78273
Wrexham,0.3894737,0.24736842,0.3315789,0.03157895, -2.9924940,53.04304
Liverpool,0.3489583,0.26562500,0.3645833,0.02083333, -2.9915726,53.40837
Weston-super-Mare,0.3028169,0.19718310,0.4366197,0.06338028, -2.9772550,51.34741
Dundee,0.3114754,0.23497268,0.3934426,0.06010929, -2.9707210,56.46202
Kirkwall,0.3405405,0.22162162,0.3783784,0.05945946, -2.9622491,58.98467
Ambleside,0.3660934,0.23587224,0.3390663,0.05896806, -2.9613330,54.42874
Orkney Islands,0.3405405,0.22162162,0.3783784,0.05945946, -2.9605206,58.98094
Lyme Regis,0.3133333,0.16000000,0.4466667,0.08000000, -2.9366390,50.72516
Carlisle,0.4052045,0.20446097,0.3624535,0.02788104, -2.9329310,54.89247
Chester,0.3541667,0.27604167,0.3281250,0.04166667, -2.8930750,53.19339
Forfar,0.3114754,0.23497268,0.3934426,0.06010929, -2.8890620,56.64356
Morecambe,0.3179487,0.27179487,0.3692308,0.04102564, -2.8649680,54.07417
Selkirk,0.3051118,0.24440895,0.4073482,0.04313099, -2.8385240,55.55066
Galashiels,0.3126023,0.23076923,0.4124386,0.04418985, -2.8144490,55.62373
Lancaster,0.3219512,0.27804878,0.3609756,0.03902439, -2.8007399,54.04657
St Andrews,0.3114754,0.23497268,0.3934426,0.06010929, -2.7967214,56.33978
Hawick,0.3263666,0.22990354,0.4003215,0.04340836, -2.7809140,55.42706
Bridport,0.3133333,0.16000000,0.4466667,0.08000000, -2.7583010,50.73358
