index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
29,Westmeath,-7.4653217000000005,53.534530000000004,0.16906998491399836,0.1525443724421047,0.01,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.1758321303057303,0.39085876993986457,0.13278535368080696,0.01,0.01
31,Balivanich,-7.3743509000000005,57.472269999999995,0.012266704459254938,0.05168209080189569,0.01,0.031747991141108614,0.01
32,Cavan,-7.3633319,53.98972,0.20484587610835436,0.18144826958791585,0.01,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.16454059670275217,0.12192624572418068,0.05183406793329833,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.22713923872806605,0.20417606793793092,0.01,0.01,0.01
35,Omagh,-7.309959700000001,54.59771,0.18977912956964219,0.3890268698455881,0.14194527124166328,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.31036886002583935,0.6066497701648359,0.21840420329931592,0.01,0.01
37,Derry,-7.308574799999999,54.99661,0.31036886002583935,0.6066497701648359,0.21840420329931592,0.01,0.01
38,Kilkenny,-7.2447879,52.65415,0.2671566430768309,0.16876997193464172,0.01,0.01,0.01
39,Tyrone,-7.131232000000001,54.491209999999995,0.12798394252992673,0.24819433313626865,0.01,0.01,0.01
40,Waterford,-7.110070200000001,52.25932,0.30314065822269576,0.1642922733091926,0.01,0.01,0.01
41,Western Isles,-7.0194034,57.759890000000006,0.10996782322862844,0.10353256358325906,0.01,0.06566757696211392,0.01
42,Monaghan,-6.9683132,54.2492,0.1952504841248983,0.2627867646835459,0.01,0.01,0.01
43,Carlow,-6.934135899999999,52.83651,0.23992615936302672,0.16490806047978984,0.0658026080473591,0.01,0.01
44,Kildare,-6.8194707999999995,53.21204,0.3085629808958423,0.2064617691939414,0.07676907016184885,0.01,0.01
45,Dungannon,-6.7669352,54.508269999999996,0.13301578533986308,0.2930950903801992,0.01,0.01,0.01
46,Cookstown,-6.7443895000000005,54.641819999999996,0.17478753329507152,0.18342059925650042,0.01,0.04336408870811806,0.01
47,Coleraine,-6.6646103000000005,55.132580000000004,0.2651087232736778,0.3894004927831746,0.16871120944944187,0.05571140033433148,0.01
48,Meath,-6.656416900000001,53.60555,0.26661333219520894,0.18358294507671824,0.07021113380664612,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.19341275455211657,0.3061238281813051,0.01,0.01,0.01
50,Armagh,-6.652792,54.350280000000005,0.19341275455211657,0.3061238281813051,0.01,0.01,0.01
51,Magherafelt,-6.607980499999999,54.75536999999999,0.19002024694212089,0.21653336782499025,0.12742904101633026,0.042079304250317355,0.01
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.03415079903752111,0.01,0.027466626044872326,0.01
53,Louth,-6.4889423,53.925230000000006,0.2691361286533484,0.17999256556132864,0.01,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.2844489870765891,0.1963636256472859,0.07446202514577518,0.01,0.01
55,Craigavon,-6.4175653,54.442930000000004,0.22798891721905876,0.22511164545688606,0.01,0.04822537057766035,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.17088307746641962,0.12989970170357606,0.01,0.07888030998305585,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.1921956456749409,0.13651349647406083,0.054555667680459004,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.01,0.026258819996264744,0.01,0.01,0.01
59,Newry,-6.34023,54.1751,0.22813470895296706,0.1642786090061818,0.01,0.04960402006495477,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.11511715621951993,0.06758293058119126,0.03946882300524706,0.039099893657076217,0.1510636240590881
61,Ballymena,-6.2802213,54.86529,0.218375038401537,0.2732685716296402,0.04681399719045472,0.04637640984546472,0.01
62,Banbridge,-6.2704803,54.34873,0.18254739895270303,0.12556110728792022,0.01,0.04545553665863306,0.01
63,Dublin,-6.2603097000000005,53.34981,0.6366385542332629,0.4033738719229467,0.14735135492238274,0.01,0.01
64,Antrim,-6.2072498,54.719530000000006,0.2422857795124543,0.25888588101377147,0.053905203041158194,0.053401331633126915,0.01
