placename,preposition_dropped,preposition_retained,longitude,latitude
Tain,0.004070556,0.9959294, -4.0552300,57.81150
Okehampton,0.004796163,0.9952038, -4.0042630,50.73831
Llandeilo,0.004807692,0.9951923, -3.9914300,51.88469
Motherwell,0.004225352,0.9957746, -3.9810968,55.78321
Golspie,0.004070556,0.9959294, -3.9760860,57.97341
Airdrie,0.004225352,0.9957746, -3.9625660,55.86627
Swansea,0.004854369,0.9951456, -3.9436460,51.62144
Stirling,0.004279601,0.9957204, -3.9369029,56.11652
Tregaron,0.019801980,0.9801980, -3.9343850,52.22000
Tregaron,0.019801980,0.9801980, -3.9343850,52.22000
Castle Douglas,0.004491018,0.9955090, -3.9314140,54.94042
Dolgellau,0.233360064,0.7666399, -3.8844000,52.74215
Aberfeldy,0.004243281,0.9957567, -3.8669690,56.62175
Machynlleth,0.224181360,0.7758186, -3.8534850,52.59027
Brora,0.004070556,0.9959294, -3.8525480,58.01216
Llandudno,0.183970856,0.8160291, -3.8276090,53.32406
Llandudno,0.183970856,0.8160291, -3.8276090,53.32406
Aviemore,0.004037685,0.9959623, -3.8238120,57.19449
Dalbeattie,0.004470939,0.9955291, -3.8225270,54.93422
Falkirk,0.004207574,0.9957924, -3.7839131,56.00188
Kingsbridge,0.004796163,0.9952038, -3.7774930,50.28395
Pitlochry,0.004037685,0.9959623, -3.7297110,56.70436
Colwyn Bay,0.180987203,0.8190128, -3.7276400,53.29318
Totnes,0.004796163,0.9952038, -3.6857970,50.43374
Grantown-on-Spey,0.004070556,0.9959294, -3.6096280,57.33041
Dumfries,0.000000000,1.0000000, -3.6051200,55.07086
Whitehaven,0.160031847,0.8399682, -3.5892330,54.54970
Dartmouth,0.004796163,0.9952038, -3.5788070,50.35252
Bridgend,0.004938272,0.9950617, -3.5769450,51.50429
Paignton,0.004796163,0.9952038, -3.5642350,50.43508
Workington,0.031007752,0.9689922, -3.5427520,54.64357
Llanidloes,0.078431373,0.9215686, -3.5401950,52.44779
Exeter,0.004750594,0.9952494, -3.5338990,50.71841
Torquay,0.004796163,0.9952038, -3.5253150,50.46192
Thurso,0.004070556,0.9959294, -3.5220800,58.59357
Livingston,0.004207574,0.9957924, -3.5180680,55.90071
Rhyl,0.186256781,0.8137432, -3.4916340,53.31914
Tiverton,0.004866180,0.9951338, -3.4912070,50.90205
Tiverton,0.004866180,0.9951338, -3.4912070,50.90205
Minehead,0.004796163,0.9952038, -3.4811520,51.20428
Dunfermline,0.004207574,0.9957924, -3.4521510,56.07174
Perth,0.004155125,0.9958449, -3.4308381,56.39499
Prestatyn,0.180987203,0.8190128, -3.4076130,53.33651
Builth Wells,0.009557945,0.9904421, -3.4045920,52.15002
Braemar,0.004045853,0.9959541, -3.3979439,57.00647
Brecon,0.004938272,0.9950617, -3.3914630,51.94895
Merthyr Tydfil,0.004830918,0.9951691, -3.3816460,51.74873
