variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs to be Xed,-23228.03626841526,6764613.8134363275,0.9176031513968527,0.0019617253120187018,0.08043512329112869
needs to be Xed,-242610.14351282362,6983491.443427552,0.8437863958603422,0,0.15621360413965785
needs to be Xed,-559275.2443174002,7343134.159706231,0.9026033892095543,0.030928248996637226,0.06646836179380845
needs to be Xed,-294395.2915809607,6658408.66139071,0.9409639640177818,0.0022727572124577817,0.05676327876976046
needs to be Xed,-305340.34636719525,6643377.6971611455,0.9628108350827528,0.00906927016986804,0.0281198947473792
needs to be Xed,-154044.02267922278,7343812.22379611,0.9373614129234016,0.012886838281060435,0.04975174879553797
needs to be Xed,-439004.66458893026,6731964.262115388,0.9776296106530465,0,0.02237038934695345
needs to be Xed,-198117.25698782696,6720198.808868654,0.9167435662084376,0.002283776243521216,0.08097265754804124
needs to be Xed,-345852.8486515913,6624008.347618003,0.9794360990655605,0.0026999320001176693,0.017863968934321742
needs to be Xed,-274654.2493060521,6923581.554904753,0.908013371221105,3.638292911322696e-4,0.09162279948776278
needs to be Xed,83674.07449119966,6875122.141175383,0.8946202270607367,0.0011872107161056242,0.10419256222315759
needs to be Xed,57397.38698817441,6863215.841530572,0.8694574088213642,0.0025995363885835884,0.12794305479005225
needs to be Xed,-392076.1521331731,8093054.675576084,0.9470434024437265,0.013732919566584768,0.03922367798968881
needs to be Xed,-396768.8252675635,6521967.774443236,0.912446872726019,8.650338855777476e-4,0.08668809338840322
needs to be Xed,-392436.2706858893,6526660.062489587,0.9129770218385197,9.611152680659371e-4,0.08606186289341437
needs to be Xed,-245888.39119719472,6678034.567725074,0.9448712368874709,0,0.055128763112529115
needs to be Xed,29354.393124732283,6644743.170257075,0.8805036689212039,0,0.11949633107879609
needs to be Xed,-274101.9821802776,7871078.875452988,0.9180875565898803,0.01681692585318848,0.0650955175569312
needs to be Xed,-280974.6249028727,7897584.531545545,0.9225695699178179,0.01766497484079988,0.0597654552413821
needs to be Xed,-432409.4300373919,6935444.346397776,0.9356437179447373,4.676501394737545e-4,0.0638886319157888
needs to be Xed,-454990.4774253167,6906967.607696847,0.9546587559890876,0,0.04534124401091249
needs to be Xed,-574554.7349847034,7945380.135189484,0.9445228862842043,0.010346379538281148,0.045130734177514564
needs to be Xed,-538391.8191640729,6536236.683771154,0.9027061107996853,0,0.09729388920031479
needs to be Xed,-167638.69285336975,7110403.433528263,0.8757006493658567,0,0.12429935063414328
needs to be Xed,-149832.47238404088,7117957.050985644,0.8491457552988216,0,0.15085424470117834
needs to be Xed,-289091.1627475409,7055473.949976353,0.8762891520900227,1.2886672050602943e-4,0.1235819811894713
needs to be Xed,-293049.3832775246,7084463.462860678,0.8896685363771678,2.564993869943857e-4,0.11007496423583787
needs to be Xed,-781396.4121605733,7917046.535759107,0.9087871582257477,0.021434952500696616,0.06977788927355569
needs to be Xed,-331426.51056172774,6682977.2444811,0.9655253765199854,0,0.03447462348001456
needs to be Xed,-68277.47571958197,7262805.705650329,0.8101308169290509,0.0038311238412850166,0.18603805922966404
needs to be Xed,-399551.58989841375,7274957.807251951,0.8703568107015448,0.010691188817240894,0.11895200048121436
needs to be Xed,-344390.8897790032,8060095.087444382,0.9463948945417112,0.013897110696621933,0.03970799476166676
needs to be Xed,17677.20117949947,6921512.540829129,0.8677639763258201,0.0035840721957064057,0.12865195147847344
needs to be Xed,-236979.1583905367,6906961.561271681,0.8785096356987988,0.0015547771791007603,0.11993558712210038
needs to be Xed,-220737.53336430728,6906822.4947494725,0.9168879576516338,0.01567645477970576,0.06743558756866051
needs to be Xed,-247304.59775906682,6835213.337683194,0.9311325194847146,1.103771808330957e-4,0.06875710333445238
needs to be Xed,-250433.66619382586,6870695.8906193655,0.9173741453654166,8.572507137912009e-4,0.08176860392079226
needs to be Xed,-394377.3486468516,7292995.166584696,0.8674941883342911,0.00949688573534666,0.12300892593036217
