placename,am_not,amnt,m_not,longitude,latitude
Newport,0.1299011,0.00000000000,0.8700989, -2.9976640,51.58415
Axminster,0.1516269,0.00000000000,0.8483731, -2.9949370,50.78273
Wrexham,0.1517934,0.00000000000,0.8482066, -2.9924940,53.04304
Liverpool,0.1655424,0.00019064989,0.8342670, -2.9915726,53.40837
Weston-super-Mare,0.1578678,0.00000000000,0.8421322, -2.9772550,51.34741
Dundee,0.1313146,0.00224302711,0.8664424, -2.9707210,56.46202
Kirkwall,0.2171429,0.00245359241,0.7804035, -2.9622491,58.98467
Ambleside,0.1473715,0.00043687200,0.8521916, -2.9613330,54.42874
Orkney Islands,0.2171429,0.00245359241,0.7804035, -2.9605206,58.98094
Lyme Regis,0.1545146,0.00000000000,0.8454854, -2.9366390,50.72516
Carlisle,0.1577965,0.00000000000,0.8422035, -2.9329310,54.89247
Chester,0.1451818,0.00000000000,0.8548182, -2.8930750,53.19339
Forfar,0.1300008,0.00219910344,0.8678001, -2.8890620,56.64356
Morecambe,0.1722462,0.00060610958,0.8271476, -2.8649680,54.07417
Selkirk,0.1686459,0.00000000000,0.8313541, -2.8385240,55.55066
Galashiels,0.1627928,0.00107276953,0.8361345, -2.8144490,55.62373
Lancaster,0.1730738,0.00060795201,0.8263182, -2.8007399,54.04657
St Andrews,0.1432006,0.00143411507,0.8553653, -2.7967214,56.33978
Hawick,0.1795669,0.00000000000,0.8204331, -2.7809140,55.42706
Bridport,0.1510595,0.00000000000,0.8489405, -2.7583010,50.73358
Shrewsbury,0.1371815,0.00000000000,0.8628185, -2.7553268,52.70730
Penrith,0.1558341,0.00000000000,0.8441659, -2.7527080,54.66410
Kendal,0.1506926,0.00083951308,0.8484679, -2.7462900,54.32801
Street,0.1767894,0.00000000000,0.8232106, -2.7429190,51.12468
Glastonbury,0.1754311,0.00000000000,0.8245689, -2.7184540,51.14743
Hereford,0.1447077,0.00000000000,0.8552923, -2.7159740,52.05640
Ludlow,0.1355872,0.00000000000,0.8644128, -2.7139129,52.36775
Preston,0.1369724,0.00000000000,0.8630276, -2.7030900,53.76320
Whitchurch,0.1541950,0.00000000000,0.8458050, -2.6820450,52.96872
Wells,0.1701077,0.00000000000,0.8298923, -2.6445979,51.20935
Yeovil,0.1487965,0.00000000000,0.8512035, -2.6333080,50.94206
Wigan,0.1160523,0.00000000000,0.8839477, -2.6325074,53.54506
Warrington,0.1582570,0.00000000000,0.8417430, -2.5969501,53.39004
Arbroath,0.1366010,0.00155848204,0.8618406, -2.5915430,56.55911
Bristol,0.1404050,0.00000000000,0.8595950, -2.5879100,51.45451
Guernsey,0.1524060,0.00000000000,0.8475940, -2.5852780,49.46569
Ross-on-Wye,0.1551462,0.00000000000,0.8448538, -2.5824460,51.91445
Jedburgh,0.1679397,0.00000000000,0.8320603, -2.5549369,55.47772
Sedbergh,0.1572733,0.00094458438,0.8417821, -2.5281740,54.32363
Sedbergh,0.1572733,0.00094458438,0.8417821, -2.5281740,54.32363
Nantwich,0.1409612,0.00000000000,0.8590388, -2.5241020,53.06719
Banff,0.2241100,0.00097087379,0.7749191, -2.5240380,57.66651
Dunbar,0.1716996,0.00240513095,0.8258952, -2.5167370,56.00209
Cinderford,0.1680747,0.00000000000,0.8319253, -2.5009579,51.82530
Banchory,0.1859132,0.00163800164,0.8124488, -2.4909599,57.05386
Blackburn,0.1417622,0.00000000000,0.8582378, -2.4875290,53.74858
Market Drayton,0.1847560,0.00000000000,0.8152440, -2.4834850,52.90355
Telford,0.1407483,0.00000000000,0.8592517, -2.4672611,52.67759
Montrose,0.1400426,0.00159744409,0.8583600, -2.4661150,56.70692
Turriff,0.2351307,0.00098039216,0.7638889, -2.4623000,57.53893
Weymouth,0.1527598,0.00000000000,0.8472402, -2.4576210,50.61443
Crewe,0.1366177,0.00056845097,0.8628138, -2.4438209,53.10041
Fortuneswell,0.1500000,0.00000000000,0.8500000, -2.4422190,50.55919
Dorchester,0.1527049,0.00000000000,0.8472951, -2.4411810,50.71116
Alston,0.1514992,0.00000000000,0.8485008, -2.4386850,54.81217
Kelso,0.1768559,0.00000000000,0.8231441, -2.4322070,55.60003
Wincanton,0.1281965,0.00000000000,0.8718035, -2.4160070,51.05569
Clitheroe,0.1263950,0.00000000000,0.8736050, -2.3930830,53.87110
Sark,0.1497964,0.00000000000,0.8502036, -2.3666256,49.43007
Bath,0.1577392,0.00000000000,0.8422608, -2.3590167,51.38106
Kidderminster,0.1294858,0.00000000000,0.8705142, -2.2496839,52.38860
Manchester,0.1329894,0.00006883147,0.8669418, -2.2426305,53.48076
Burnley,0.1205579,0.00000000000,0.8794421, -2.2405035,53.78929
Gloucester,0.1376053,0.00039636664,0.8619983, -2.2381560,51.86424
Newcastle-under-Lyme,0.1315638,0.00026498256,0.8681712, -2.2273002,53.01321
Worcester,0.1320933,0.00000000000,0.8679067, -2.2215750,52.19364
Trowbridge,0.1420278,0.00000000000,0.8579722, -2.2088530,51.31966
Shaftesbury,0.1627409,0.00000000000,0.8372591, -2.1980830,51.00460
Alderney,0.1405399,0.00000000000,0.8594601, -2.1973557,49.71500
Stoke-on-Trent,0.1325848,0.00000000000,0.8674152, -2.1794040,53.00267
Colne,0.1207233,0.00000000000,0.8792767, -2.1769910,53.85564
Blandford Forum,0.1600490,0.00000000000,0.8399510, -2.1653530,50.85691
Rochdale,0.1451357,0.00000000000,0.8548643, -2.1561000,53.60971
Jersey,0.1397803,0.00010708396,0.8601127, -2.1312500,49.21444
Wolverhampton,0.1217391,0.00000000000,0.8782609, -2.1288200,52.58697
Stafford,0.1359945,0.00000000000,0.8640055, -2.1206600,52.80669
Macclesfield,0.1287086,0.00000000000,0.8712914, -2.1192870,53.25866
Hexham,0.1888211,0.00000000000,0.8111789, -2.1121439,54.97266
Aberdeen,0.1558238,0.00043760484,0.8437386, -2.0942780,57.14972
Dudley,0.1263420,0.00000000000,0.8736580, -2.0811120,52.51226
Cheltenham,0.1417805,0.00037841758,0.8578411, -2.0782533,51.89939
Bromsgrove,0.1442535,0.00000000000,0.8557465, -2.0619060,52.33559
Skipton,0.1467890,0.00000000000,0.8532110, -2.0162787,53.96285
Fraserburgh,0.2048213,0.00000000000,0.7951787, -2.0076310,57.69335
Berwick,0.1819948,0.00129533679,0.8167098, -2.0053950,55.77024
Poole,0.1436688,0.00000000000,0.8563312, -1.9872480,50.71505
Walsall,0.1230208,0.00000000000,0.8769792, -1.9829190,52.58621
Cirencester,0.1519457,0.00000000000,0.8480543, -1.9682430,51.71849
Evesham,0.1613445,0.00000000000,0.8386555, -1.9467700,52.09215
Buxton,0.1228976,0.00000000000,0.8771024, -1.9148300,53.25908
Keighley,0.1534717,0.00000000000,0.8465283, -1.9123580,53.86780
Birmingham,0.1355457,0.00011495046,0.8643393, -1.8904010,52.48624
Bournemouth,0.1458785,0.00000000000,0.8541215, -1.8807690,50.71916
Halifax,0.1661869,0.00000000000,0.8338131, -1.8575400,53.72702
Salisbury,0.1511976,0.00000000000,0.8488024, -1.7944720,51.06878
Ringwood,0.1874585,0.00000000000,0.8125415, -1.7888170,50.84495
Huddersfield,0.1436158,0.00000000000,0.8563842, -1.7850351,53.64579
Peterhead,0.1640314,0.00040543280,0.8355632, -1.7840660,57.50812
Swindon,0.1566615,0.00000000000,0.8433385, -1.7797176,51.55577
Bradford,0.1496151,0.00047329063,0.8499117, -1.7593980,53.79598
Ashbourne,0.1390430,0.00000000000,0.8609570, -1.7321790,53.01663
Marlborough,0.2264706,0.00000000000,0.7735294, -1.7270620,51.42007
Stratford-upon-Avon,0.1504491,0.00000000000,0.8495509, -1.7082980,52.19173
Alnwick,0.1891910,0.00000000000,0.8108090, -1.7062990,55.41274
Otley,0.1667483,0.00000000000,0.8332517, -1.6917860,53.90583
Bishop Auckland,0.1631344,0.00000000000,0.8368656, -1.6787880,54.66382
Burton upon Trent,0.1236301,0.00000000000,0.8763699, -1.6371359,52.81403
Newcastle,0.1770052,0.00000000000,0.8229948, -1.6177800,54.97825
Durham,0.1639085,0.00000000000,0.8360915, -1.5848520,54.77525
Ashington,0.1912124,0.00000000000,0.8087876, -1.5659829,55.18298
Darlington,0.1419546,0.00000000000,0.8580454, -1.5594580,54.52361
Leeds,0.1449617,0.00003168651,0.8550066, -1.5490774,53.80076
Harrogate,0.1539056,0.00000000000,0.8460944, -1.5418120,53.99212
Leamington Spa,0.1450144,0.00000000000,0.8549856, -1.5200789,52.28519
Coventry,0.1564059,0.00000000000,0.8435941, -1.5196930,52.40682
Blyth,0.1812597,0.00000000000,0.8187403, -1.5102770,55.12696
Wakefield,0.1495449,0.00000000000,0.8504551, -1.5059240,53.68330
Andover,0.1437216,0.00000000000,0.8562784, -1.4919233,51.21120
Witney,0.1512915,0.00000000000,0.8487085, -1.4850544,51.78594
Barnsley,0.1822064,0.00000000000,0.8177936, -1.4797260,53.55263
Derby,0.1335504,0.00000000000,0.8664496, -1.4746186,52.92253
Sheffield,0.1366273,0.00015192489,0.8632208, -1.4700850,53.38113
Nuneaton,0.1573390,0.00000000000,0.8426610, -1.4653820,52.52049
Northallerton,0.1329085,0.00000000000,0.8670915, -1.4299590,54.33796
South Shields,0.1870328,0.00000000000,0.8129672, -1.4274060,54.99942
Chesterfield,0.1264588,0.00000000000,0.8735412, -1.4216290,53.23505
Southampton,0.1440723,0.00000000000,0.8559277, -1.4043509,50.90970
Wetherby,0.1595982,0.00000000000,0.8404018, -1.3848160,53.92706
Sunderland,0.2073927,0.00000000000,0.7926073, -1.3838010,54.90687
Rotherham,0.1473596,0.00000000000,0.8526404, -1.3635009,53.43260
Castleford,0.1383184,0.00144962551,0.8602319, -1.3459680,53.72347
Thirsk,0.1456311,0.00000000000,0.8543689, -1.3413770,54.23385
Banbury,0.1905118,0.00000000000,0.8094882, -1.3397750,52.06290
Stockton,0.1301401,0.00000000000,0.8698599, -1.3289821,54.57046
Newbury,0.1395600,0.00000000000,0.8604400, -1.3231139,51.40141
Isle of Wight,0.1583438,0.00061110399,0.8410451, -1.3047340,50.69385
Isle of Wight,0.1583438,0.00061110399,0.8410451, -1.3047340,50.69385
Abingdon,0.1823958,0.00000000000,0.8176042, -1.2879529,51.67078
Shetland Islands,0.2220221,0.00093614366,0.7770418, -1.2659409,60.52965
Rugby,0.1584535,0.00157273919,0.8399738, -1.2650320,52.37088
Oxford,0.1809844,0.00000000000,0.8190156, -1.2577263,51.75202
Middlesbrough,0.1331816,0.00000000000,0.8668184, -1.2349560,54.57423
Hartlepool,0.1439525,0.00000000000,0.8560475, -1.2129260,54.69174
Loughborough,0.1386655,0.00000000000,0.8613345, -1.2061660,52.77210
Mansfield,0.1347289,0.00000000000,0.8652711, -1.1986740,53.14720
Nottingham,0.1357744,0.00028489127,0.8639407, -1.1581086,52.95478
Bicester,0.1753140,0.00000000000,0.8246860, -1.1535899,51.89960
Leicester,0.1404454,0.00000000000,0.8595546, -1.1397592,52.63688
Doncaster,0.1409081,0.00000000000,0.8590919, -1.1284620,53.52282
Worksop,0.1328891,0.00000000000,0.8671109, -1.1227450,53.30930
Basingstoke,0.1542425,0.00000000000,0.8457575, -1.0923964,51.26654
Portsmouth,0.1473936,0.00033397345,0.8522724, -1.0879769,50.81977
York,0.1430731,0.00028119014,0.8566458, -1.0872979,53.95997
Selby,0.1524106,0.00000000000,0.8475894, -1.0671890,53.78352
Helmsley,0.1687377,0.00000000000,0.8312623, -1.0562636,54.24651
Towcester,0.1343146,0.00000000000,0.8656854, -0.9896880,52.13511
Reading,0.1576069,0.00000000000,0.8423931, -0.9781303,51.45426
Retford,0.1366295,0.00000000000,0.8633705, -0.9455030,53.32136
Petersfield,0.1460831,0.00000000000,0.8539169, -0.9389900,51.00759
Northampton,0.1428908,0.00000000000,0.8571092, -0.9026560,52.24048
