placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Tain,0.43248175,0.5054745,0.06204380, -4.0552300,57.81150
Okehampton,0.08718626,0.8124174,0.10039630, -4.0042630,50.73831
Llandeilo,0.08650066,0.7745740,0.13892529, -3.9914300,51.88469
Motherwell,0.45904762,0.4800000,0.06095238, -3.9810968,55.78321
Golspie,0.43248175,0.5054745,0.06204380, -3.9760860,57.97341
Airdrie,0.45904762,0.4800000,0.06095238, -3.9625660,55.86627
Swansea,0.10064516,0.7935484,0.10580645, -3.9436460,51.62144
Stirling,0.45762712,0.4821092,0.06026365, -3.9369029,56.11652
Tregaron,0.08965517,0.7344828,0.17586207, -3.9343850,52.22000
Tregaron,0.08965517,0.7344828,0.17586207, -3.9343850,52.22000
Castle Douglas,0.39047619,0.5238095,0.08571429, -3.9314140,54.94042
Dolgellau,0.14933333,0.5920000,0.25866667, -3.8844000,52.74215
Aberfeldy,0.43248175,0.5054745,0.06204380, -3.8669690,56.62175
Machynlleth,0.15094340,0.6118598,0.23719677, -3.8534850,52.59027
Brora,0.43248175,0.5054745,0.06204380, -3.8525480,58.01216
Llandudno,0.16068515,0.5293638,0.30995106, -3.8276090,53.32406
Llandudno,0.16068515,0.5293638,0.30995106, -3.8276090,53.32406
Aviemore,0.43248175,0.5054745,0.06204380, -3.8238120,57.19449
Dalbeattie,0.39278937,0.5218216,0.08538899, -3.8225270,54.93422
Falkirk,0.45904762,0.4800000,0.06095238, -3.7839131,56.00188
Kingsbridge,0.09665428,0.7992565,0.10408922, -3.7774930,50.28395
Pitlochry,0.43248175,0.5054745,0.06204380, -3.7297110,56.70436
Colwyn Bay,0.15465587,0.5376518,0.30769231, -3.7276400,53.29318
Totnes,0.09570552,0.8012270,0.10306748, -3.6857970,50.43374
Grantown-on-Spey,0.43248175,0.5054745,0.06204380, -3.6096280,57.33041
Dumfries,0.41142857,0.5028571,0.08571429, -3.6051200,55.07086
Whitehaven,0.21416804,0.5518946,0.23393740, -3.5892330,54.54970
Dartmouth,0.09570552,0.8012270,0.10306748, -3.5788070,50.35252
Bridgend,0.10116732,0.7924773,0.10635538, -3.5769450,51.50429
Paignton,0.09570552,0.8012270,0.10306748, -3.5642350,50.43508
Workington,0.20749543,0.5904936,0.20201097, -3.5427520,54.64357
Llanidloes,0.10071942,0.6294964,0.26978417, -3.5401950,52.44779
Exeter,0.09454545,0.7987879,0.10666667, -3.5338990,50.71841
Torquay,0.09523810,0.8021978,0.10256410, -3.5253150,50.46192
Thurso,0.43248175,0.5054745,0.06204380, -3.5220800,58.59357
Livingston,0.45351044,0.4819734,0.06451613, -3.5180680,55.90071
Rhyl,0.15579119,0.5415987,0.30261011, -3.4916340,53.31914
Tiverton,0.09860936,0.8103666,0.09102402, -3.4912070,50.90205
Tiverton,0.09860936,0.8103666,0.09102402, -3.4912070,50.90205
Minehead,0.09885932,0.8098859,0.09125475, -3.4811520,51.20428
Dunfermline,0.45000000,0.4833333,0.06666667, -3.4521510,56.07174
Perth,0.44423792,0.4925651,0.06319703, -3.4308381,56.39499
Prestatyn,0.15579119,0.5367047,0.30750408, -3.4076130,53.33651
Builth Wells,0.06657790,0.7310253,0.20239680, -3.4045920,52.15002
Braemar,0.43248175,0.5054745,0.06204380, -3.3979439,57.00647
Brecon,0.07483871,0.7780645,0.14709677, -3.3914630,51.94895
Merthyr Tydfil,0.08729140,0.7920411,0.12066752, -3.3816460,51.74873
Llandrindod Wells,0.06747638,0.7246964,0.20782726, -3.3777420,52.24170
Corwen,0.14864865,0.5810811,0.27027027, -3.3692420,52.98005
Cockermouth,0.19598906,0.5806746,0.22333637, -3.3679850,54.66326
Lockerbie,0.40804258,0.5068007,0.08515671, -3.3490080,55.12224
Blairgowrie,0.43248175,0.5054745,0.06204380, -3.3378318,56.58941
Elgin,0.43248175,0.5054745,0.06204380, -3.3184850,57.64945
Newtown,0.06812227,0.6305677,0.30131004, -3.3131060,52.51211
Ruthin,0.15817694,0.5603217,0.28150134, -3.3103108,53.11487
Ruthin,0.15817694,0.5603217,0.28150134, -3.3103108,53.11487
Sidmouth,0.10061350,0.8012270,0.09815951, -3.2375600,50.67865
Barrow-in-Furness,0.15862633,0.5502862,0.29108749, -3.2188940,54.10897
Peebles,0.45351044,0.4819734,0.06451613, -3.1936420,55.65307
Edinburgh,0.46022727,0.4753788,0.06439394, -3.1882670,55.95325
Cardiff,0.09731114,0.7925736,0.11011524, -3.1790900,51.48158
Llangollen,0.14905149,0.5799458,0.27100271, -3.1716600,52.96921
Kirkcaldy,0.44629630,0.4833333,0.07037037, -3.1581370,56.11682
Welshpool,0.13278008,0.5809129,0.28630705, -3.1464070,52.66035
Mold,0.15614334,0.5597270,0.28412969, -3.1419030,53.16720
Mold,0.15614334,0.5597270,0.28412969, -3.1419030,53.16720
Taunton,0.10700637,0.7910828,0.10191083, -3.1068490,51.01534
Wick,0.43248175,0.5054745,0.06204380, -3.0937160,58.43894
John o' Groats,0.43248175,0.5054745,0.06204380, -3.0688997,58.63734
Dalkeith,0.46022727,0.4753788,0.06439394, -3.0666060,55.89312
Oswestry,0.14438503,0.5668449,0.28877005, -3.0564120,52.85715
Blackpool,0.15895732,0.5241503,0.31689241, -3.0356748,53.81751
Birkenhead,0.14898865,0.5170202,0.33399112, -3.0230090,53.38999
Cupar,0.44259259,0.4907407,0.06666667, -3.0101370,56.32023
Southport,0.15230167,0.5205681,0.32713026, -3.0101130,53.64571
Bridgwater,0.10755442,0.7900128,0.10243278, -3.0036320,51.12789
Langholm,0.38737695,0.5292415,0.08338159, -2.9989130,55.15306
Newport,0.07905138,0.8023715,0.11857708, -2.9976640,51.58415
Axminster,0.10539523,0.7942284,0.10037641, -2.9949370,50.78273
Wrexham,0.15200000,0.5573333,0.29066667, -2.9924940,53.04304
Liverpool,0.15150025,0.5154943,0.33300541, -2.9915726,53.40837
Weston-super-Mare,0.10646388,0.7845374,0.10899873, -2.9772550,51.34741
Dundee,0.44052045,0.4962825,0.06319703, -2.9707210,56.46202
Kirkwall,0.43248175,0.5054745,0.06204380, -2.9622491,58.98467
Ambleside,0.18705763,0.5470172,0.26592518, -2.9613330,54.42874
Orkney Islands,0.43248175,0.5054745,0.06204380, -2.9605206,58.98094
Lyme Regis,0.09870740,0.8025852,0.09870740, -2.9366390,50.72516
Carlisle,0.26070624,0.5912847,0.14800902, -2.9329310,54.89247
Chester,0.14878543,0.5354251,0.31578947, -2.8930750,53.19339
Forfar,0.43248175,0.5054745,0.06204380, -2.8890620,56.64356
Morecambe,0.18375718,0.5118950,0.30434783, -2.8649680,54.07417
Selkirk,0.41899441,0.5022346,0.07877095, -2.8385240,55.55066
Galashiels,0.42163971,0.4997211,0.07863915, -2.8144490,55.62373
Lancaster,0.16206357,0.5085982,0.32933820, -2.8007399,54.04657
St Andrews,0.44259259,0.4907407,0.06666667, -2.7967214,56.33978
Hawick,0.39377652,0.5230552,0.08316832, -2.7809140,55.42706
Bridport,0.10316530,0.7983587,0.09847597, -2.7583010,50.73358
Shrewsbury,0.05928854,0.5968379,0.34387352, -2.7553268,52.70730
Penrith,0.22156698,0.5644482,0.21398484, -2.7527080,54.66410
Kendal,0.17282717,0.5524476,0.27472527, -2.7462900,54.32801
Street,0.11097100,0.7780580,0.11097100, -2.7429190,51.12468
Glastonbury,0.10592686,0.7805801,0.11349306, -2.7184540,51.14743
Hereford,0.07084290,0.7225320,0.20662512, -2.7159740,52.05640
Ludlow,0.06768735,0.6398066,0.29250604, -2.7139129,52.36775
Preston,0.15343659,0.5319458,0.31461762, -2.7030900,53.76320
Whitchurch,0.13333333,0.5523810,0.31428571, -2.6820450,52.96872
Wells,0.08796895,0.7956016,0.11642950, -2.6445979,51.20935
Yeovil,0.11017964,0.7892216,0.10059880, -2.6333080,50.94206
Wigan,0.15141019,0.5205344,0.32805542, -2.6325074,53.54506
Warrington,0.14574899,0.5141700,0.34008097, -2.5969501,53.39004
Arbroath,0.43169399,0.4990893,0.06921676, -2.5915430,56.55911
Bristol,0.08185539,0.8008186,0.11732606, -2.5879100,51.45451
Guernsey,0.11833550,0.7932380,0.08842653, -2.5852780,49.46569
Ross-on-Wye,0.07112282,0.7451432,0.18373395, -2.5824460,51.91445
Jedburgh,0.39988984,0.5224456,0.07766456, -2.5549369,55.47772
Sedbergh,0.22541278,0.5340991,0.24048816, -2.5281740,54.32363
Sedbergh,0.22541278,0.5340991,0.24048816, -2.5281740,54.32363
Nantwich,0.13957055,0.5214724,0.33895706, -2.5241020,53.06719
Banff,0.43248175,0.5054745,0.06204380, -2.5240380,57.66651
Dunbar,0.42597688,0.4980737,0.07594937, -2.5167370,56.00209
Cinderford,0.07673179,0.7442274,0.17904085, -2.5009579,51.82530
Banchory,0.43012704,0.5009074,0.06896552, -2.4909599,57.05386
Blackburn,0.12492934,0.5347654,0.34030526, -2.4875290,53.74858
Market Drayton,0.06346968,0.5874471,0.34908322, -2.4834850,52.90355
Telford,0.06564551,0.6024799,0.33187454, -2.4672611,52.67759
Montrose,0.43090909,0.5000000,0.06909091, -2.4661150,56.70692
Turriff,0.43248175,0.5054745,0.06204380, -2.4623000,57.53893
Weymouth,0.11703360,0.7995365,0.08342990, -2.4576210,50.61443
Crewe,0.13546423,0.5190259,0.34550989, -2.4438209,53.10041
Fortuneswell,0.11784512,0.8013468,0.08080808, -2.4422190,50.55919
Dorchester,0.11785298,0.7934656,0.08868145, -2.4411810,50.71116
Alston,0.23976109,0.5588737,0.20136519, -2.4386850,54.81217
Kelso,0.41014333,0.5137817,0.07607497, -2.4322070,55.60003
Wincanton,0.08748481,0.8031592,0.10935601, -2.4160070,51.05569
Clitheroe,0.14903047,0.5124654,0.33850416, -2.3930830,53.87110
Sark,0.15066667,0.7586667,0.09066667, -2.3666256,49.43007
Bath,0.06854345,0.8164015,0.11505508, -2.3590167,51.38106
Kidderminster,0.06583072,0.6402821,0.29388715, -2.2496839,52.38860
Manchester,0.12869565,0.5113043,0.36000000, -2.2426305,53.48076
Burnley,0.19237918,0.4967472,0.31087361, -2.2405035,53.78929
Gloucester,0.08026756,0.7172393,0.20249316, -2.2381560,51.86424
Newcastle-under-Lyme,0.10623946,0.5154581,0.37830242, -2.2273002,53.01321
Worcester,0.08175625,0.6298259,0.28841787, -2.2215750,52.19364
Trowbridge,0.06818182,0.8045455,0.12727273, -2.2088530,51.31966
Shaftesbury,0.08784597,0.7990373,0.11311673, -2.1980830,51.00460
Alderney,0.15171504,0.7691293,0.07915567, -2.1973557,49.71500
Stoke-on-Trent,0.10623946,0.5255762,0.36818437, -2.1794040,53.00267
Colne,0.19394213,0.4914105,0.31464738, -2.1769910,53.85564
Blandford Forum,0.10954064,0.7868080,0.10365135, -2.1653530,50.85691
Rochdale,0.15154994,0.4936854,0.35476464, -2.1561000,53.60971
Jersey,0.14462810,0.7617080,0.09366391, -2.1312500,49.21444
Wolverhampton,0.07589599,0.6071680,0.31693605, -2.1288200,52.58697
Stafford,0.06031273,0.5949367,0.34475056, -2.1206600,52.80669
Macclesfield,0.10376399,0.5106816,0.38555443, -2.1192870,53.25866
Hexham,0.26426174,0.5645973,0.17114094, -2.1121439,54.97266
Aberdeen,0.43090909,0.5000000,0.06909091, -2.0942780,57.14972
Dudley,0.07955338,0.6154920,0.30495464, -2.0811120,52.51226
Cheltenham,0.08286748,0.6843144,0.23281815, -2.0782533,51.89939
