placename,amnt,arent,longitude,latitude
Taunton,0.0000000000,1.0000000, -3.1068490,51.01534
Wick,0.0341772152,0.9658228, -3.0937160,58.43894
John o' Groats,0.0341772152,0.9658228, -3.0688997,58.63734
Dalkeith,0.0337922403,0.9662078, -3.0666060,55.89312
Oswestry,0.0000000000,1.0000000, -3.0564120,52.85715
Blackpool,0.0000000000,1.0000000, -3.0356748,53.81751
Birkenhead,0.0000000000,1.0000000, -3.0230090,53.38999
Cupar,0.0348387097,0.9651613, -3.0101370,56.32023
Southport,0.0000000000,1.0000000, -3.0101130,53.64571
Bridgwater,0.0000000000,1.0000000, -3.0036320,51.12789
Langholm,0.0234244283,0.9765756, -2.9989130,55.15306
Newport,0.0000000000,1.0000000, -2.9976640,51.58415
Axminster,0.0000000000,1.0000000, -2.9949370,50.78273
Wrexham,0.0000000000,1.0000000, -2.9924940,53.04304
Liverpool,0.0000000000,1.0000000, -2.9915726,53.40837
Weston-super-Mare,0.0000000000,1.0000000, -2.9772550,51.34741
Dundee,0.0341772152,0.9658228, -2.9707210,56.46202
Kirkwall,0.0341772152,0.9658228, -2.9622491,58.98467
Ambleside,0.0000000000,1.0000000, -2.9613330,54.42874
Orkney Islands,0.0341772152,0.9658228, -2.9605206,58.98094
Lyme Regis,0.0000000000,1.0000000, -2.9366390,50.72516
Carlisle,0.0000000000,1.0000000, -2.9329310,54.89247
Chester,0.0000000000,1.0000000, -2.8930750,53.19339
Forfar,0.0337922403,0.9662078, -2.8890620,56.64356
Morecambe,0.0000000000,1.0000000, -2.8649680,54.07417
Selkirk,0.0307867731,0.9692132, -2.8385240,55.55066
Galashiels,0.0321620012,0.9678380, -2.8144490,55.62373
Lancaster,0.0000000000,1.0000000, -2.8007399,54.04657
St Andrews,0.0344387755,0.9655612, -2.7967214,56.33978
Hawick,0.0237020316,0.9762980, -2.7809140,55.42706
Bridport,0.0000000000,1.0000000, -2.7583010,50.73358
Shrewsbury,0.0000000000,1.0000000, -2.7553268,52.70730
Penrith,0.0000000000,1.0000000, -2.7527080,54.66410
Kendal,0.0000000000,1.0000000, -2.7462900,54.32801
Street,0.0000000000,1.0000000, -2.7429190,51.12468
Glastonbury,0.0000000000,1.0000000, -2.7184540,51.14743
Hereford,0.0000000000,1.0000000, -2.7159740,52.05640
Ludlow,0.0000000000,1.0000000, -2.7139129,52.36775
Preston,0.0000000000,1.0000000, -2.7030900,53.76320
Whitchurch,0.0000000000,1.0000000, -2.6820450,52.96872
Wells,0.0000000000,1.0000000, -2.6445979,51.20935
Yeovil,0.0000000000,1.0000000, -2.6333080,50.94206
Wigan,0.0000000000,1.0000000, -2.6325074,53.54506
Warrington,0.0000000000,1.0000000, -2.5969501,53.39004
Arbroath,0.0341772152,0.9658228, -2.5915430,56.55911
Bristol,0.0000000000,1.0000000, -2.5879100,51.45451
Guernsey,0.0042402827,0.9957597, -2.5852780,49.46569
Ross-on-Wye,0.0000000000,1.0000000, -2.5824460,51.91445
Jedburgh,0.0261153428,0.9738847, -2.5549369,55.47772
