variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs to be Xed,-51961.51153740082,6825232.159527007,0.7565199778451701,0.10598427608612386,0.137495746068706
needs to be Xed,-660137.9387430075,7284096.381953328,0.6199929752087323,0.3121326514541554,0.06787437333711223
needs to be Xed,-223239.55023937687,7512812.638519028,0.6209849721847185,0.25736916803973797,0.12164585977554361
needs to be Xed,-468283.9170573771,6624245.459951866,0.7060713370535403,0.14329549759597002,0.15063316535048968
needs to be Xed,-336519.82254348317,7055464.038147936,0.5225928721799932,0.23481584763050373,0.24259128018950318
needs to be Xed,-210438.47671509522,6888526.481257551,0.6902106105342037,0.12422835259064738,0.18556103687514894
needs to be Xed,-276910.4616135011,7122682.479533938,0.550533562936271,0.047756515588670195,0.40170992147505874
needs to be Xed,-337929.77294997266,7135669.463425561,0.5263263513749897,0.02936402126121265,0.44430962736379753
needs to be Xed,61385.7973640612,6689916.220204674,0.7506771069205647,0.11302378939116116,0.13629910368827408
needs to be Xed,-241045.99334768736,6596021.329284243,0.7515644786749972,0.09157893073681042,0.15685659058819237
needs to be Xed,-168123.26659679288,7386544.967183743,0.4675792028222957,0.35794053282581856,0.17448026435188574
needs to be Xed,-174324.4190189739,7397459.703454149,0.4350773350201235,0.3584452996420691,0.20647736533780733
needs to be Xed,-2958.538106812832,6979103.340069991,0.6198712728888097,0.12922322299544406,0.2509055041157463
needs to be Xed,-209366.24737977437,6571766.627531886,0.7291967885572292,0.10216409622833635,0.16863911521443434
needs Xing,-195855.28946270398,7131612.398344218,0.44742090518928385,0.06949906906917133,0.48308002574154474
needs to be Xed,-377535.93420422805,6790899.657867309,0.7016590486588605,0.15780940733721516,0.1405315440039244
needs to be Xed,-398183.695995546,6710985.551582894,0.7342997593956452,0.13378428714837423,0.1319159534559805
needs to be Xed,-334362.7847703819,6643947.060070163,0.6930171146460491,0.1338545316656448,0.1731283536883062
needs to be Xed,-22130.537408684377,7186337.161902725,0.5096526570418266,0.044252602708264865,0.4460947402499084
needs to be Xed,-307052.66277457733,6574301.183996955,0.749770096864254,0.09610453602822468,0.15412536710752137
needs to be Xed,-15268.915315677788,6589961.170074266,0.7292787263419519,0.14175470206423985,0.12896657159380828
needs to be Xed,-288084.8234188206,6702089.049496805,0.7365980569560758,0.14333806225903556,0.12006388078488853
needs to be Xed,-657860.2529057846,7809617.926776841,0.6812211687158223,0.264322431816588,0.05445639946758976
needs to be Xed,-636116.2279010835,7818101.701424047,0.6405908536436056,0.28822171250502054,0.07118743385137392
needs to be Xed,-505799.9212885998,6590684.741675179,0.6897681672131262,0.13586546412946623,0.17436636865740754
needs to be Xed,-249411.70874054724,7130350.477113402,0.4782976630747637,0.06522256767882224,0.45647976924641404
needs to be Xed,-182245.1347473877,6948671.96613752,0.6186547766664809,0.049975862722779714,0.3313693606107394
needs to be Xed,79091.7412360835,6844168.757609536,0.7416840764633046,0.10950699958410383,0.14880892395259154
needs Xing,-213157.90055568406,7031065.606213349,0.4482755418809763,0.05503714299787761,0.4966873151211461
needs to be Xed,13560.606409964208,6837338.511988595,0.6877517577682095,0.1457893302361235,0.16645891199566695
needs to be Xed,-623987.3793858553,7444617.510135955,0.5391029851110495,0.38430013723345496,0.07659687765549555
needs to be Xed,120103.58936033095,6671014.198547059,0.6461001345246467,0.1789996933771796,0.17490017209817377
needs to be Xed,-353894.6799859882,6706926.020860399,0.7774500018807091,0.11834324614730726,0.10420675197198365
