placename,dont_have,havent,havent_got,longitude,latitude
Dunbar,0.8307692,0.00000000,0.16923077, -2.5167370,56.00209
Cinderford,0.7222222,0.00000000,0.27777778, -2.5009579,51.82530
Banchory,0.8750000,0.03125000,0.09375000, -2.4909599,57.05386
Blackburn,0.5952381,0.00000000,0.40476190, -2.4875290,53.74858
Market Drayton,0.5200000,0.00000000,0.48000000, -2.4834850,52.90355
Telford,0.5084746,0.00000000,0.49152542, -2.4672611,52.67759
Montrose,0.8750000,0.03125000,0.09375000, -2.4661150,56.70692
Turriff,0.8750000,0.03125000,0.09375000, -2.4623000,57.53893
Weymouth,0.7222222,0.00000000,0.27777778, -2.4576210,50.61443
Crewe,0.4466019,0.02912621,0.52427184, -2.4438209,53.10041
Fortuneswell,0.7222222,0.00000000,0.27777778, -2.4422190,50.55919
Dorchester,0.7777778,0.00000000,0.22222222, -2.4411810,50.71116
Alston,0.6779661,0.01694915,0.30508475, -2.4386850,54.81217
Kelso,0.7777778,0.01388889,0.20833333, -2.4322070,55.60003
Wincanton,0.6951220,0.00000000,0.30487805, -2.4160070,51.05569
Clitheroe,0.6600000,0.08000000,0.26000000, -2.3930830,53.87110
Sark,0.6923077,0.00000000,0.30769231, -2.3666256,49.43007
Bath,0.6875000,0.00000000,0.31250000, -2.3590167,51.38106
Kidderminster,0.5423729,0.00000000,0.45762712, -2.2496839,52.38860
Manchester,0.5764706,0.02352941,0.40000000, -2.2426305,53.48076
Burnley,0.6181818,0.03636364,0.34545455, -2.2405035,53.78929
Gloucester,0.6451613,0.00000000,0.35483871, -2.2381560,51.86424
Newcastle-under-Lyme,0.4848485,0.03030303,0.48484848, -2.2273002,53.01321
Worcester,0.5593220,0.00000000,0.44067797, -2.2215750,52.19364
Trowbridge,0.6875000,0.00000000,0.31250000, -2.2088530,51.31966
Shaftesbury,0.7125000,0.00000000,0.28750000, -2.1980830,51.00460
Alderney,0.6944444,0.00000000,0.30555556, -2.1973557,49.71500
Stoke-on-Trent,0.5172414,0.03448276,0.44827586, -2.1794040,53.00267
Colne,0.6538462,0.03846154,0.30769231, -2.1769910,53.85564
