placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
Wadebridge,0.03796524,0.10906497,0.00000000000,0.00142653352,0.00000000000,0.00000000000,0.8515432, -4.8364560,50.51665
Invergarry,0.04739623,0.10676625,0.00000000000,0.00099781539,0.00000000000,0.00000000000,0.8448397, -4.8002610,57.07095
St Austell,0.03863202,0.10880387,0.00000000000,0.00150027278,0.00000000000,0.00000000000,0.8510638, -4.7834252,50.34038
Greenock,0.04663067,0.10636742,0.00067499156,0.00074999063,0.00000000000,0.00000000000,0.8455769, -4.7719830,55.95648
Helensburgh,0.04596357,0.10650997,0.00073837066,0.00082041185,0.00000000000,0.00000000000,0.8459677, -4.7340140,56.00232
Bodmin,0.04417247,0.10561630,0.00000000000,0.00205019881,0.00000000000,0.00000000000,0.8481610, -4.7188629,50.47150
Tenby,0.05827316,0.10034537,0.00000000000,0.00100470958,0.00000000000,0.00000000000,0.8403768, -4.7035790,51.67274
Camelford,0.05681426,0.10471535,0.00000000000,0.00149511213,0.00000000000,0.00000000000,0.8369753, -4.6823640,50.62206
Irvine,0.03792242,0.10066589,0.00053271184,0.00099883469,0.00000000000,0.00000000000,0.8598801, -4.6696364,55.61157
Cardigan,0.05118145,0.10846630,0.00000000000,0.00104629872,0.00000000000,0.00000000000,0.8393060, -4.6608640,52.08370
Holyhead,0.05126604,0.09965314,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8490808, -4.6330380,53.30944
Ayr,0.03976071,0.10275772,0.00058364339,0.00087546509,0.00000000000,0.00000000000,0.8560225, -4.6291790,55.45856
Dumbarton,0.04635903,0.10500389,0.00070093458,0.00077881620,0.00000000000,0.00000000000,0.8471573, -4.5645540,55.94529
Bude,0.04405482,0.12006052,0.00000000000,0.00035599858,0.00053399786,0.00000000000,0.8349947, -4.5436780,50.82664
Isle of Man,0.04812467,0.10852275,0.00000000000,0.00137268360,0.00000000000,0.00000000000,0.8419799, -4.5126331,54.27697
Kilmarnock,0.03621730,0.10197549,0.00080482897,0.00109749406,0.00000000000,0.00000000000,0.8599049, -4.4987920,55.61472
Newton Stewart,0.04791945,0.10887366,0.00091911765,0.00116978610,0.00050133690,0.00000000000,0.8406166, -4.4831640,54.96030
Liskeard,0.05177610,0.10658564,0.00000000000,0.00112642656,0.00023714243,0.00000000000,0.8402747, -4.4647190,50.45552
Altnaharra,0.04464099,0.12104447,0.00013345587,0.00040036761,0.00000000000,0.00000000000,0.8337807, -4.4426550,58.28023
Pwllheli,0.04958678,0.10305785,0.00000000000,0.00000000000,0.00033057851,0.00000000000,0.8470248, -4.4176339,52.88882
Lairg,0.04436094,0.11808122,0.00051507622,0.00057946075,0.00000000000,0.00000000000,0.8364633, -4.4024140,58.02206
Launceston,0.05174650,0.10409470,0.00000000000,0.00118265849,0.00024898074,0.00000000000,0.8427272, -4.3604516,50.63683
Carmarthen,0.05759386,0.10221843,0.00000000000,0.00136518771,0.00000000000,0.00051194539,0.8383106, -4.3121310,51.85762
Llangefni,0.05000970,0.10153976,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8484505, -4.3114020,53.25579
Caernarfon,0.05057454,0.10130027,0.00000000000,0.00000000000,0.00030238887,0.00000000000,0.8478228, -4.2739110,53.13955
Cumnock,0.04219232,0.10479476,0.00060982582,0.00045736936,0.00000000000,0.00000000000,0.8519457, -4.2658289,55.45355
Aberaeron,0.04164836,0.11978785,0.00058568012,0.00029284006,0.00000000000,0.00029284006,0.8373924, -4.2581619,52.24279
Alness,0.04422232,0.11988451,0.00014242294,0.00064090322,0.00000000000,0.00000000000,0.8351098, -4.2568250,57.69595
Glasgow,0.04030146,0.10679570,0.00046450251,0.00038004751,0.00018298584,0.00000000000,0.8518753, -4.2518060,55.86424
Dalwhinnie,0.04375615,0.09832842,0.00000000000,0.00147492625,0.00000000000,0.00000000000,0.8564405, -4.2427830,56.93660
Inverness,0.04471992,0.11630728,0.00014196800,0.00063885600,0.00000000000,0.00000000000,0.8381920, -4.2247210,57.47777
Saltash,0.05206808,0.10543090,0.00000000000,0.00101586543,0.00023902716,0.00000000000,0.8412461, -4.2164300,50.40921
Bideford,0.04494595,0.11098995,0.00000000000,0.00047411341,0.00056893609,0.00000000000,0.8430211, -4.2066660,51.01668
Invergordon,0.04502967,0.11822712,0.00051683988,0.00058144486,0.00000000000,0.00000000000,0.8356449, -4.1728820,57.68811
Llanelli,0.05455688,0.10468801,0.00000000000,0.00087422140,0.00081958256,0.00016391651,0.8388974, -4.1602480,51.68089
Plymouth,0.04949075,0.10724142,0.00000000000,0.00100179734,0.00023571702,0.00000000000,0.8420303, -4.1426565,50.37546
Tavistock,0.05017437,0.10486614,0.00000000000,0.00109447932,0.00025752455,0.00000000000,0.8436075, -4.1416540,50.55112
Porthmadog,0.04653020,0.09885172,0.00000000000,0.00000000000,0.00039940090,0.00000000000,0.8542187, -4.1333840,52.92784
Bangor,0.04674401,0.09935618,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8538998, -4.1292630,53.22739
Tywyn,0.04230039,0.11040262,0.00062718863,0.00031359431,0.00020906288,0.00031359431,0.8458336, -4.0872490,52.58701
Aberystwyth,0.04252684,0.11173026,0.00063684127,0.00031842063,0.00000000000,0.00031842063,0.8444692, -4.0829200,52.41530
Lampeter,0.04162910,0.11674180,0.00056939502,0.00000000000,0.00000000000,0.00028469751,0.8407750, -4.0785090,52.11290
Barnstaple,0.04620204,0.11584769,0.00000000000,0.00048942835,0.00058731402,0.00000000000,0.8368735, -4.0583380,51.07816
Tain,0.04370383,0.11886167,0.00051040975,0.00057421097,0.00000000000,0.00000000000,0.8363499, -4.0552300,57.81150
Okehampton,0.03211900,0.11973566,0.00000000000,0.00118432896,0.00028423895,0.00000000000,0.8466768, -4.0042630,50.73831
Llandeilo,0.05519779,0.11741030,0.00000000000,0.00068997240,0.00068997240,0.00068997240,0.8253220, -3.9914300,51.88469
Motherwell,0.03584760,0.10364193,0.00000000000,0.00020176884,0.00000000000,0.00000000000,0.8603087, -3.9810968,55.78321
Golspie,0.04413996,0.11874091,0.00050662790,0.00056995639,0.00000000000,0.00000000000,0.8360425, -3.9760860,57.97341
Airdrie,0.03592237,0.10083578,0.00000000000,0.00000000000,0.00024108973,0.00000000000,0.8630008, -3.9625660,55.86627
Swansea,0.06244468,0.10158324,0.00000000000,0.00049169043,0.00073753565,0.00014750713,0.8345953, -3.9436460,51.62144
Stirling,0.04059635,0.11220781,0.00074337160,0.00123895267,0.00024779053,0.00000000000,0.8449657, -3.9369029,56.11652
Tregaron,0.04179371,0.11796380,0.00064188286,0.00032094143,0.00000000000,0.00032094143,0.8389587, -3.9343850,52.22000
Tregaron,0.04179371,0.11796380,0.00064188286,0.00032094143,0.00000000000,0.00032094143,0.8389587, -3.9343850,52.22000
Castle Douglas,0.04908983,0.11684300,0.00078859171,0.00223434317,0.00078859171,0.00000000000,0.8302556, -3.9314140,54.94042
Dolgellau,0.04059085,0.11249069,0.00062340901,0.00000000000,0.00020780300,0.00031170450,0.8457755, -3.8844000,52.74215
Aberfeldy,0.03844176,0.11776806,0.00025713551,0.00000000000,0.00000000000,0.00000000000,0.8435330, -3.8669690,56.62175
Machynlleth,0.04183313,0.11443740,0.00063921590,0.00031960795,0.00021307197,0.00031960795,0.8422380, -3.8534850,52.59027
Brora,0.04450816,0.12033800,0.00067622888,0.00055327817,0.00000000000,0.00000000000,0.8339243, -3.8525480,58.01216
Llandudno,0.04718882,0.09214944,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8606617, -3.8276090,53.32406
Llandudno,0.04718882,0.09214944,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8606617, -3.8276090,53.32406
Aviemore,0.04172147,0.11042875,0.00000000000,0.00106522915,0.00000000000,0.00000000000,0.8467845, -3.8238120,57.19449
Dalbeattie,0.04856935,0.11868103,0.00079296901,0.00224674552,0.00079296901,0.00000000000,0.8289169, -3.8225270,54.93422
Falkirk,0.03882654,0.10913610,0.00067786398,0.00090381863,0.00022595466,0.00000000000,0.8502297, -3.7839131,56.00188
