placename,dinna,dinnae,dinnit,dinny,disna,disnae,disny,divent,divint,divna,divnae,divnt,divny,doesna,doesnae,doesnt,doesny,dusna,dusnae,dusny,longitude,latitude
Omagh,0.00000000000,0.00068397047,0.000000000000,0.00246229369,0.00000000000,0.00027358819,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9965801,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3099597,54.59771
Derry,0.00000000000,0.00068624760,0.000000000000,0.00329398847,0.00000000000,0.00068624760,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9953335,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3085748,54.99661
Derry,0.00000000000,0.00068624760,0.000000000000,0.00329398847,0.00000000000,0.00068624760,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9953335,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3085748,54.99661
Kilkenny,0.00000000000,0.00037201228,0.000000000000,0.00055801841,0.00000000000,0.00037201228,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9986980,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.2447879,52.65415
Tyrone,0.00000000000,0.00067394008,0.000000000000,0.00242618431,0.00000000000,0.00026957603,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9966303,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.1312320,54.49121
Waterford,0.00017061935,0.00017061935,0.000000000000,0.00230336120,0.00000000000,0.00068247739,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00017061935,0.00000000000,0.9965023,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.1100702,52.25932
Western Isles,0.00272088651,0.00680221629,0.000000000000,0.00326506382,0.00000000000,0.00108835461,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9844909,0.00163253191,0.0000000000,0.00000000000,0.0000000000, -7.0194034,57.75989
Monaghan,0.00000000000,0.00000000000,0.000000000000,0.00314575323,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9968542,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.9683132,54.24920
Carlow,0.00097242106,0.00000000000,0.000000000000,0.00048621053,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9985414,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.9341359,52.83651
Kildare,0.00000000000,0.00000000000,0.000000000000,0.00191804314,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9978563,0.00022565213,0.0000000000,0.00000000000,0.0000000000, -6.8194708,53.21204
Dungannon,0.00000000000,0.00000000000,0.000000000000,0.00094473311,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9990553,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.7669352,54.50827
Cookstown,0.00000000000,0.00000000000,0.000000000000,0.00098312305,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9990169,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.7443895,54.64182
Coleraine,0.00000000000,0.00222877096,0.000000000000,0.00681013348,0.00000000000,0.00049528243,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9904658,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.6646103,55.13258
Meath,0.00000000000,0.00000000000,0.000000000000,0.00097932535,0.00000000000,0.00048966268,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9985310,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.6564169,53.60555
Armagh,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,1.0000000,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.6527920,54.35028
Armagh,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,1.0000000,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.6527920,54.35028
Magherafelt,0.00000000000,0.00000000000,0.000000000000,0.00328227571,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9967177,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -6.6079805,54.75537
Dunvegan,0.00282065747,0.00705164367,0.000000000000,0.00338478896,0.00000000000,0.00112826299,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9839223,0.00169239448,0.0000000000,0.00000000000,0.0000000000, -6.5813982,57.43660
