placename,should_have,should_of,longitude,latitude
Whitchurch,0.8351449,0.16485507, -2.6820450,52.96872
Whitehaven,0.8388424,0.16115756, -3.5892330,54.54970
Wick,0.9087806,0.09121936, -3.0937160,58.43894
Wicklow,0.9253536,0.07464644, -6.0445890,52.98082
Wigan,0.8006148,0.19938517, -2.6325074,53.54506
Wincanton,0.8616627,0.13833729, -2.4160070,51.05569
Wisbech,0.8458206,0.15417938,  0.1587970,52.66632
Witney,0.9225498,0.07745017, -1.4850544,51.78594
Woking,0.9002589,0.09974112, -0.5600349,51.31677
Wolverhampton,0.8320155,0.16798454, -2.1288200,52.58697
Worcester,0.8798216,0.12017837, -2.2215750,52.19364
Workington,0.8335693,0.16643072, -3.5427520,54.64357
Worksop,0.8589452,0.14105476, -1.1227450,53.30930
Worthing,0.9181013,0.08189870, -0.3728820,50.81787
Wrexham,0.8459952,0.15400484, -2.9924940,53.04304
Yeovil,0.8484323,0.15156767, -2.6333080,50.94206
York,0.9143984,0.08560163, -1.0872979,53.95997
