placename,should_have,should_of,longitude,latitude
Barnstaple,0.8855735,0.11442654, -4.0583380,51.07816
Barrow-in-Furness,0.8385007,0.16149927, -3.2188940,54.10897
Basingstoke,0.8813271,0.11867294, -1.0923964,51.26654
Bath,0.8839468,0.11605325, -2.3590167,51.38106
Bedford,0.8904005,0.10959951, -0.4667782,52.13864
Belfast,0.9387618,0.06123818, -5.9301200,54.59728
Berwick,0.8874230,0.11257696, -2.0053950,55.77024
Beverley,0.8368270,0.16317301, -0.4350930,53.84196
Bexhill,0.8928874,0.10711257,  0.4662071,50.84991
Bicester,0.9267840,0.07321603, -1.1535899,51.89960
Bideford,0.8934615,0.10653851, -4.2066660,51.01668
Biggleswade,0.8902894,0.10971063, -0.2642200,52.08694
Birkenhead,0.8020374,0.19796257, -3.0230090,53.38999
Birmingham,0.8667212,0.13327881, -1.8904010,52.48624
Bishop Auckland,0.8544860,0.14551396, -1.6787880,54.66382
Bishop's Stortford,0.8658271,0.13417295,  0.1536502,51.87216
Blackburn,0.8592935,0.14070645, -2.4875290,53.74858
Blackpool,0.8193531,0.18064693, -3.0356748,53.81751
Blairgowrie,0.9139446,0.08605541, -3.3378318,56.58941
Blandford Forum,0.8669087,0.13309135, -2.1653530,50.85691
Blyth,0.8555945,0.14440553, -1.5102770,55.12696
Bodmin,0.8758170,0.12418301, -4.7188629,50.47150
Bognor Regis,0.8534012,0.14659880, -0.6730610,50.78300
Boston,0.8531055,0.14689451, -0.0265770,52.97894
Bournemouth,0.8684601,0.13153994, -1.8807690,50.71916
Bradford,0.8793222,0.12067777, -1.7593980,53.79598
Braemar,0.9277030,0.07229700, -3.3979439,57.00647
Braintree,0.8796830,0.12031700,  0.5509269,51.88009
Brecon,0.8679030,0.13209703, -3.3914630,51.94895
Brentwood,0.8299420,0.17005798,  0.3071749,51.62047
Bridgend,0.8802091,0.11979094, -3.5769450,51.50429
Bridgwater,0.8540498,0.14595019, -3.0036320,51.12789
Bridlington,0.8342112,0.16578883, -0.1988020,54.08535
Bridport,0.8409803,0.15901966, -2.7583010,50.73358
Brighton,0.9268433,0.07315665, -0.1371630,50.82253
Bristol,0.8762497,0.12375032, -2.5879100,51.45451
Broadford,0.9012088,0.09879116, -5.9096592,57.24139
Bromsgrove,0.8553124,0.14468759, -2.0619060,52.33559
Brora,0.9059998,0.09400017, -3.8525480,58.01216
Bude,0.8893036,0.11069636, -4.5436780,50.82664
Builth Wells,0.8789318,0.12106825, -3.4045920,52.15002
Burnley,0.8554667,0.14453331, -2.2405035,53.78929
Burton upon Trent,0.8387148,0.16128520, -1.6371359,52.81403
Bury St Edmunds,0.8882416,0.11175839,  0.7104932,52.24292
Buxton,0.8855215,0.11447847, -1.9148300,53.25908
Caernarfon,0.8818606,0.11813938, -4.2739110,53.13955
Cambridge,0.9317528,0.06824719,  0.1218170,52.20534
Camelford,0.8693743,0.13062569, -4.6823640,50.62206
Campbeltown,0.9096859,0.09031406, -5.6053740,55.42412
Canterbury,0.8899670,0.11003297,  1.0789089,51.28023
Cardiff,0.9270027,0.07299733, -3.1790900,51.48158
Cardigan,0.8785162,0.12148377, -4.6608640,52.08370
Carlisle,0.8320213,0.16797871, -2.9329310,54.89247
Carlow,0.9094521,0.09054785, -6.9341359,52.83651
Carmarthen,0.9008425,0.09915749, -4.3121310,51.85762
Castle Douglas,0.8469278,0.15307222, -3.9314140,54.94042
Castleford,0.8800148,0.11998519, -1.3459680,53.72347
Cavan,0.9113358,0.08866417, -7.3633319,53.98972
Charleville,0.9382846,0.06171541, -8.6810176,52.36206
Chatteris,0.8611604,0.13883958,  0.0540120,52.45610
Chelmsford,0.8340377,0.16596226,  0.4685497,51.73559
Cheltenham,0.8852369,0.11476314, -2.0782533,51.89939
Chester,0.8499076,0.15009240, -2.8930750,53.19339
Chesterfield,0.8809677,0.11903233, -1.4216290,53.23505
Chichester,0.8474005,0.15259949, -0.7749360,50.83761
Cinderford,0.8581241,0.14187591, -2.5009579,51.82530
Cirencester,0.9013934,0.09860665, -1.9682430,51.71849
Clacton,0.8647486,0.13525138,  1.1530350,51.78953
Clare,0.9525215,0.04747851, -8.9811351,52.90453
Claremorris,0.9507777,0.04922228, -9.0017356,53.72388
Clitheroe,0.8549517,0.14504828, -2.3930830,53.87110
Cockermouth,0.8324909,0.16750908, -3.3679850,54.66326
Colchester,0.8707647,0.12923535,  0.8918740,51.89593
Coleraine,0.9070414,0.09295856, -6.6646103,55.13258
Colne,0.8618021,0.13819793, -2.1769910,53.85564
Colwyn Bay,0.8356652,0.16433481, -3.7276400,53.29318
Cookstown,0.9220844,0.07791563, -6.7443895,54.64182
Corby,0.8586415,0.14135846, -0.6842333,52.49230
Cork,0.9287497,0.07125026, -8.4756035,51.89851
Corwen,0.8231319,0.17686811, -3.3692420,52.98005
Coventry,0.8744097,0.12559032, -1.5196930,52.40682
Craigavon,0.9241765,0.07582349, -6.4175653,54.44293
Crawley,0.8940188,0.10598117, -0.1872275,51.10914
Crewe,0.8553692,0.14463078, -2.4438209,53.10041
Cromer,0.8844708,0.11552925,  1.3018660,52.93145
Cromer,0.8844708,0.11552925,  1.3018660,52.93145
Cumnock,0.9235652,0.07643484, -4.2658289,55.45355
Cupar,0.9086272,0.09137278, -3.0101370,56.32023
Dalbeattie,0.8465970,0.15340295, -3.8225270,54.93422
Dalkeith,0.9565370,0.04346305, -3.0666060,55.89312
Dalwhinnie,0.9369202,0.06307978, -4.2427830,56.93660
Darlington,0.8133942,0.18660583, -1.5594580,54.52361
Dartmouth,0.8804020,0.11959799, -3.5788070,50.35252
Derby,0.8374812,0.16251878, -1.4746186,52.92253
Dereham,0.8883898,0.11161017,  0.9378270,52.68162
Derry,0.9037589,0.09624112, -7.3085748,54.99661
Derry,0.9037589,0.09624112, -7.3085748,54.99661
Dingle,0.9462310,0.05376895,-10.2640135,52.14094
Dolgellau,0.8944496,0.10555037, -3.8844000,52.74215
Doncaster,0.8861646,0.11383538, -1.1284620,53.52282
Donegal,0.9074939,0.09250615, -8.1096143,54.65383
Doon,0.9143242,0.08567581, -7.6096400,54.18593
Dorchester,0.8541345,0.14586549, -2.4411810,50.71116
Dorking,0.9090497,0.09095031, -0.3323780,51.23220
Dover,0.8812234,0.11877664,  1.3134027,51.12788
Down,0.9328403,0.06715970, -5.7156922,54.32875
Downham Market,0.8368966,0.16310341,  0.3854720,52.60661
Driffield,0.8336080,0.16639199, -0.4433770,54.00600
Drogheda,0.9237581,0.07624190, -6.3560985,53.71786
Dublin,0.9392347,0.06076527, -6.2603097,53.34981
Dudley,0.8433147,0.15668527, -2.0811120,52.51226
Dumbarton,0.9424750,0.05752505, -4.5645540,55.94529
Dumfries,0.8320251,0.16797488, -3.6051200,55.07086
Dunbar,0.9278925,0.07210751, -2.5167370,56.00209
Dundee,0.9170006,0.08299938, -2.9707210,56.46202
Dunfermline,0.9132523,0.08674769, -3.4521510,56.07174
Dungannon,0.9224940,0.07750603, -6.7669352,54.50827
Dunoon,0.9365037,0.06349629, -4.9262140,55.95097
Dunvegan,0.9027123,0.09728774, -6.5813982,57.43660
Durham,0.8538801,0.14611985, -1.5848520,54.77525
Eastbourne,0.9168642,0.08313584,  0.2904720,50.76803
Edinburgh,0.9565961,0.04340395, -3.1882670,55.95325
Elgin,0.9078705,0.09212946, -3.3184850,57.64945
Ely,0.8914750,0.10852496,  0.2623630,52.39954
Enniskillen,0.9128970,0.08710300, -7.6315336,54.34382
Ennistymon,0.9542834,0.04571661, -9.2934951,52.94037
Evesham,0.8913361,0.10866392, -1.9467700,52.09215
Exeter,0.8866612,0.11333879, -3.5338990,50.71841
Falkirk,0.9478557,0.05214432, -3.7839131,56.00188
Falmouth,0.8747154,0.12528462, -5.0662700,50.15257
Faversham,0.8844956,0.11550435,  0.8893580,51.31599
Felixstowe,0.8666087,0.13339131,  1.3512550,51.96173
Fermanagh,0.9128970,0.08710300, -7.6318728,54.34383
Fishguard,0.8780333,0.12196668, -4.9759890,51.99393
Folkestone,0.8896425,0.11035753,  1.1694560,51.08140
Forfar,0.9090561,0.09094387, -2.8890620,56.64356
Fort William,0.9043180,0.09568204, -5.1052179,56.81982
Fortuneswell,0.8614951,0.13850490, -2.4422190,50.55919
Fraserburgh,0.9021685,0.09783149, -2.0076310,57.69335
Gainsborough,0.8181425,0.18185754, -0.7744650,53.40058
Galashiels,0.9265059,0.07349408, -2.8144490,55.62373
Galway,0.9559470,0.04405296, -9.0567905,53.27067
Gillingham,0.8644405,0.13555955,  0.5514380,51.38632
Girvan,0.9107212,0.08927877, -4.8542179,55.24016
Glasgow,0.9565532,0.04344678, -4.2518060,55.86424
Glastonbury,0.8500136,0.14998642, -2.7184540,51.14743
Gloucester,0.8750804,0.12491963, -2.2381560,51.86424
Golspie,0.9084414,0.09155861, -3.9760860,57.97341
Grantham,0.8785899,0.12141011, -0.6435820,52.91252
Grantown-on-Spey,0.8895706,0.11042945, -3.6096280,57.33041
Great Yarmouth,0.8859393,0.11406073,  1.7280470,52.59823
Greenock,0.9375439,0.06245611, -4.7719830,55.95648
Grimsby,0.8232811,0.17671889, -0.0807840,53.56747
Guernsey,0.8654952,0.13450479, -2.5852780,49.46569
Guildford,0.8921310,0.10786901, -0.5704090,51.23622
Halifax,0.8786064,0.12139360, -1.8575400,53.72702
Harrogate,0.9046633,0.09533671, -1.5418120,53.99212
Hartlepool,0.7929492,0.20705079, -1.2129260,54.69174
Harwich,0.8648695,0.13513053,  1.2602970,51.93473
Hastings,0.8856010,0.11439896,  0.5734530,50.85426
Haverfordwest,0.8734257,0.12657431, -4.9713190,51.80047
Hawes,0.8652187,0.13478132, -2.1968695,54.30383
Hawick,0.8898551,0.11014493, -2.7809140,55.42706
Heathrow,0.9189189,0.08108108, -0.4542955,51.47002
Helensburgh,0.9417231,0.05827690, -4.7340140,56.00232
Helmsley,0.9049135,0.09508647, -1.0562636,54.24651
Helston,0.8747154,0.12528462, -5.2749960,50.10159
Hereford,0.8601501,0.13984989, -2.7159740,52.05640
Hexham,0.8746061,0.12539394, -2.1121439,54.97266
High Wycombe,0.9205698,0.07943025, -0.7482290,51.62861
Holt,0.8869313,0.11306868,  1.0867470,52.90936
Holyhead,0.8823408,0.11765917, -4.6330380,53.30944
Horncastle,0.8782289,0.12177106, -0.1124500,53.20731
Horsham,0.8994887,0.10051126, -0.3258580,51.06288
Hove,0.9239243,0.07607574, -0.1687490,50.82793
Huddersfield,0.8812833,0.11871668, -1.7850351,53.64579
Hull,0.8326934,0.16730658, -0.3274198,53.76762
Hunstanton,0.8324771,0.16752285,  0.4910320,52.93891
Huntingdon,0.9175713,0.08242870, -0.1825520,52.33146
Inchnadamph,0.9196901,0.08030986, -4.9742950,58.15221
Invergarry,0.8947861,0.10521394, -4.8002610,57.07095
Invergordon,0.9115452,0.08845481, -4.1728820,57.68811
Inverness,0.9190834,0.08091665, -4.2247210,57.47777
Ipswich,0.8776506,0.12234940,  1.1482200,52.05674
Irvine,0.9190309,0.08096907, -4.6696364,55.61157
Islay,0.9301948,0.06980523, -6.1770670,55.73625
Isle of Man,0.8420962,0.15790377, -4.5126331,54.27697
Isle of Wight,0.8594459,0.14055407, -1.3047340,50.69385
Isle of Wight,0.8594459,0.14055407, -1.3047340,50.69385
