placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Edinburgh,0.9125424,0.0254237288,0.06203390, -3.1882670,55.95325
Cardiff,0.9511931,0.0000000000,0.04880694, -3.1790900,51.48158
Llangollen,0.8605870,0.0031446541,0.13626834, -3.1716600,52.96921
Kirkcaldy,0.9051782,0.0272360457,0.06758574, -3.1581370,56.11682
Welshpool,0.9104210,0.0017915796,0.08778740, -3.1464070,52.66035
Mold,0.8525557,0.0029488860,0.14449541, -3.1419030,53.16720
Mold,0.8525557,0.0029488860,0.14449541, -3.1419030,53.16720
Taunton,0.9515260,0.0008976661,0.04757630, -3.1068490,51.01534
Wick,0.9283489,0.0124610592,0.05919003, -3.0937160,58.43894
John o' Groats,0.9283489,0.0124610592,0.05919003, -3.0688997,58.63734
Dalkeith,0.9113201,0.0251931475,0.06348673, -3.0666060,55.89312
Oswestry,0.8857531,0.0020401224,0.11220673, -3.0564120,52.85715
Blackpool,0.8296122,0.0090311575,0.16135668, -3.0356748,53.81751
Birkenhead,0.8534231,0.0017554125,0.14482153, -3.0230090,53.38999
Cupar,0.9056666,0.0226007206,0.07173272, -3.0101370,56.32023
Southport,0.8398280,0.0053748992,0.15479710, -3.0101130,53.64571
Bridgwater,0.9431023,0.0006773538,0.05622037, -3.0036320,51.12789
Langholm,0.9046736,0.0158877267,0.07943863, -2.9989130,55.15306
Newport,0.9515050,0.0000000000,0.04849498, -2.9976640,51.58415
Axminster,0.9475080,0.0015906681,0.05090138, -2.9949370,50.78273
Wrexham,0.8572779,0.0028355388,0.13988658, -2.9924940,53.04304
Liverpool,0.8534231,0.0017554125,0.14482153, -2.9915726,53.40837
Weston-super-Mare,0.9463851,0.0000000000,0.05361495, -2.9772550,51.34741
Dundee,0.9075576,0.0233538761,0.06908855, -2.9707210,56.46202
Kirkwall,0.9283489,0.0124610592,0.05919003, -2.9622491,58.98467
Ambleside,0.8360862,0.0125845525,0.15132924, -2.9613330,54.42874
Orkney Islands,0.9283489,0.0124610592,0.05919003, -2.9605206,58.98094
Lyme Regis,0.9375685,0.0016429354,0.06078861, -2.9366390,50.72516
Carlisle,0.9322839,0.0071280071,0.06058806, -2.9329310,54.89247
Chester,0.8497778,0.0026666667,0.14755556, -2.8930750,53.19339
Forfar,0.9206603,0.0143769968,0.06496273, -2.8890620,56.64356
Morecambe,0.8204266,0.0099211817,0.16965221, -2.8649680,54.07417
Selkirk,0.9047970,0.0254612546,0.06974170, -2.8385240,55.55066
Galashiels,0.9119754,0.0235414534,0.06448311, -2.8144490,55.62373
Lancaster,0.8255988,0.0100038904,0.16439727, -2.8007399,54.04657
St Andrews,0.9052256,0.0243427459,0.07043168, -2.7967214,56.33978
Hawick,0.9002605,0.0236495750,0.07608994, -2.7809140,55.42706
Bridport,0.9340314,0.0015706806,0.06439791, -2.7583010,50.73358
