variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-307052.66277457733,6574301.183996955,0.15117603496756388,0.8488239650324362
preposition_retained,-15268.915315677788,6589961.170074266,0,1
preposition_retained,-288084.8234188206,6702089.049496805,0,1
preposition_retained,-657860.2529057846,7809617.926776841,0.14273293198657652,0.85726706801342345
preposition_retained,-636116.2279010835,7818101.701424047,0.14304486870409713,0.8569551312959028
preposition_retained,-505799.9212885998,6590684.741675179,0.15126809905572478,0.8487319009442752
preposition_retained,-249411.70874054724,7130350.477113402,0.34711714805328714,0.6528828519467128
preposition_retained,-182245.1347473877,6948671.96613752,0.28277879979423104,0.717221200205769
preposition_retained,79091.7412360835,6844168.757609536,0.1461033330476384,0.8538966669523615
preposition_retained,-213157.90055568406,7031065.606213349,0.16199554205306788,0.8380044579469322
preposition_retained,13560.606409964208,6837338.511988595,0,1
preposition_retained,-623987.3793858553,7444617.510135955,0.13366122275443373,0.8663387772455662
preposition_retained,120103.58936033095,6671014.198547059,0.13887131209483827,0.8611286879051617
preposition_retained,-353894.6799859882,6706926.020860399,0,1
preposition_retained,-518845.0071367004,6815274.203126033,0.0862038553379037,0.9137961446620964
preposition_retained,-326492.3854518067,7341025.219134961,0.185539556707895,0.814460443292105
preposition_retained,52158.7140153411,6752456.634086062,0.13685907057298,0.86314092942702
preposition_retained,-231350.0990954405,6781953.4675142495,0.017333333333333333,0.9826666666666666
preposition_retained,-322055.63582675,7018850.630265591,0.096,0.9039999999999999
preposition_retained,-158255.01637695075,7026594.338925578,0.12933333333333336,0.8706666666666666
preposition_retained,-86265.48091737626,6592618.925168484,0.0894416090298839,0.9105583909701161
preposition_retained,-74924.80779281152,6582997.9758701455,0.12130087365147373,0.8786991263485262
preposition_retained,-278405.3599234148,6768599.424110748,0.1268051835328829,0.873194816467117
preposition_retained,-287476.57372112625,6784671.673753447,0.13065436199634506,0.8693456380036549
preposition_retained,128355.2690668222,6762159.598165381,0.20872593723349928,0.7912740627665007
preposition_retained,99282.95953176008,6781329.551805553,0.1,0.9
preposition_retained,-741901.0249316063,7387639.85998861,0.09365334716959092,0.906346652830409
preposition_retained,-414958.9866606384,7037413.85800091,0.21803898729137206,0.781961012708628
preposition_retained,-750782.0048515011,7292657.903372045,0.10345021243465903,0.8965497875653411
preposition_retained,-735597.0244318814,7314533.01844208,0.09701236419995589,0.902987635800044
preposition_retained,-76168.50253980121,6889633.496961147,0.35616265348801796,0.6438373465119821
preposition_retained,-169171.45092210232,6874021.0070969695,0,1
preposition_retained,-714400.101328582,7254491.56446006,0.06435172199903819,0.9356482780009618
preposition_retained,-20842.06996249763,6640622.096461417,0.15644449386654352,0.8435555061334565
preposition_retained,-272044.8981779596,7001591.76587012,0.4159222602625069,0.5840777397374932
preposition_retained,144923.06020107592,6970327.7086967295,0.1614867082692315,0.8385132917307685
preposition_retained,134803.32811958273,6972723.919408803,0.14933505675685194,0.8506649432431481
preposition_retained,-437643.0045775469,7350310.456595217,0.08407984314435953,0.9159201568556405
preposition_retained,-425521.7591835397,7349109.814531086,0.09838952515329519,0.9016104748467049
preposition_retained,-173598.07047349686,7269952.112051287,0.08896579787215014,0.9110342021278499
preposition_retained,-164153.79166629,6968680.921983317,0,1
preposition_retained,-813586.8251605514,7361208.676721838,0.06711792130094292,0.9328820786990571
preposition_retained,-125619.81521955911,7080297.127915944,0,1
preposition_retained,-271751.0258542144,6570360.119708541,0.08375370782054316,0.9162462921794569
preposition_retained,-273581.11828285584,6553371.8054395765,0.1649529757359285,0.8350470242640715
preposition_retained,-231668.32812377118,6893283.013297537,0.20662585959945926,0.7933741404005408
preposition_retained,-508123.8269784001,7547531.546302262,0.09181903995521332,0.9081809600447867
preposition_retained,-526988.0278882283,7558877.1181585705,0.07879270540050967,0.9212072945994902
preposition_retained,-401320.1226486465,7375630.562739154,0.10706036179435074,0.8929396382056494
preposition_retained,-330699.14900888456,7650945.583272922,0,1
preposition_retained,-351562.20269539667,7581707.427770629,0.08177010161108185,0.9182298983889182
preposition_retained,-384291.69146149023,7572710.5359689975,0.1377056391643706,0.8622943608356294
preposition_retained,-753291.780695079,7267010.799287512,0.09821474873961768,0.9017852512603823
preposition_retained,-562808.3023161971,7525829.592341042,0.08474452815379029,0.9152554718462097
preposition_retained,-548383.6340186954,7548661.951353563,0.11510974671068212,0.8848902532893179
preposition_retained,-186881.8253098582,7296892.292625123,0.13456544452397803,0.865434555476022
preposition_retained,-176424.91762270124,7318368.335266828,0,1
preposition_retained,32335.195129703767,6580363.918488307,0.12208102544226648,0.8779189745577335
preposition_retained,-354916.25895299803,7549115.074480226,0,1
preposition_retained,-369412.06040511647,7894036.479940738,0.0800326559526825,0.9199673440473174
preposition_retained,-849538.4343237581,7235543.298687504,0.07801499503797914,0.9219850049620208
preposition_retained,-216713.44509162122,6816804.355574689,0.18753676562383567,0.8124632343761644
preposition_retained,-393391.83719485876,6571634.40722599,0.016,0.9840000000000001
preposition_retained,-421223.2794979973,7558789.4223075,0.1816819737114249,0.8183180262885752
preposition_retained,-438254.0261305621,7581647.086001243,0.11484855647324566,0.8851514435267543
preposition_retained,-563974.5966212383,6472740.496640867,0.10433046381752774,0.8956695361824721
preposition_retained,130183.24642513857,6635704.558994562,0.1360044530422669,0.8639955469577331
preposition_retained,146207.3197705107,6643944.718683718,0.10523201921513742,0.8947679807848625
preposition_retained,-568310.2570167056,7723379.654955692,0.14739467366930672,0.8526053263306933
preposition_retained,-223488.46062079063,7903174.362922962,0.06176503196032443,0.9382349680396757
preposition_retained,-355514.6012160119,7489659.636790694,0.11326865266708952,0.8867313473329105
preposition_retained,-313303.02954363805,7483872.309299967,0.13951046368727194,0.8604895363127281
preposition_retained,-540369.0648275939,7408617.258729385,0.03793585302058787,0.9620641469794121
preposition_retained,-473308.8788717854,7531436.41809017,0,1
preposition_retained,-249150.38623591006,6775616.313486872,0.1640703739578027,0.8359296260421972
preposition_retained,-428863.6816166446,7969871.774816619,0.07754105811134605,0.9224589418886538
preposition_retained,-442615.86887026404,7961733.039632204,0.009833332256788067,0.9901666677432119
preposition_retained,-71643.2205237166,6966833.591114978,0.16366675655102428,0.8363332434489756
preposition_retained,192365.31210684407,6909024.939138601,0.1655761653735277,0.8344238346264723
preposition_retained,-531214.7176341581,7549756.133186505,0.07963380801215336,0.9203661919878466
preposition_retained,-8992.833744243813,7088662.3541106675,0.1720466381969268,0.8279533618030731
preposition_retained,-84129.80535455822,6665344.940044256,0.12703799015188566,0.8729620098481143
preposition_retained,-63497.63942390041,6663185.155266548,0.10817370219024067,0.8918262978097593
preposition_retained,-206780.40692813744,7118625.730250776,0.1492602737942926,0.8507397262057074
preposition_retained,-171633.72673895874,7168664.057554648,0.14035617947266235,0.8596438205273376
preposition_retained,-135022.30468992217,7302268.484021072,0.16509301037474308,0.8349069896252569
preposition_retained,63836.495953875114,6595554.204347913,0.1236053419392388,0.8763946580607612
preposition_retained,-553404.699650926,6764128.865791112,0.11689809520127402,0.883101904798726
preposition_retained,-561350.4733967175,6748632.247116624,0.11908435163525169,0.8809156483647483
preposition_retained,-270752.0447438356,7479201.311204906,0.10733905378544899,0.892660946214551
preposition_retained,-309569.93041988567,7445194.826567962,0.17598397298059457,0.8240160270194055
