placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Worksop,0.3386280,0.02269157,0.6386804, -1.1227450,53.30930
Basingstoke,0.5212398,0.03180446,0.4469558, -1.0923964,51.26654
Portsmouth,0.5239193,0.03414986,0.4419308, -1.0879769,50.81977
York,0.4090523,0.02379457,0.5671531, -1.0872979,53.95997
Selby,0.3899746,0.02215156,0.5878738, -1.0671890,53.78352
Helmsley,0.4157313,0.02941556,0.5548531, -1.0562636,54.24651
Towcester,0.4677503,0.03679876,0.4954509, -0.9896880,52.13511
Reading,0.5145639,0.02402450,0.4614116, -0.9781303,51.45426
Retford,0.3710658,0.01180258,0.6171316, -0.9455030,53.32136
Petersfield,0.5397796,0.03203031,0.4281901, -0.9389900,51.00759
Northampton,0.4394235,0.03391267,0.5266638, -0.9026560,52.24048
Melton Mowbray,0.4504104,0.01641587,0.5331737, -0.8871260,52.76640
Aylesbury,0.5319093,0.02411217,0.4439785, -0.8084000,51.81561
Newark-on-Trent,0.3916773,0.01969504,0.5886277, -0.8065700,53.07004
Malton,0.3973703,0.02540424,0.5772254, -0.7978970,54.13684
Chichester,0.5201437,0.03374956,0.4461067, -0.7749360,50.83761
Gainsborough,0.3560559,0.01830146,0.6256426, -0.7744650,53.40058
Milton Keynes,0.5212871,0.03347643,0.4452365, -0.7594171,52.04062
Aldershot,0.5243946,0.03718298,0.4384224, -0.7557509,51.24837
High Wycombe,0.5320976,0.01861659,0.4492858, -0.7482290,51.62861
Midhurst,0.5005107,0.03626149,0.4632278, -0.7372740,50.98690
Kettering,0.4403173,0.05323774,0.5064450, -0.7302490,52.39632
Wellingborough,0.4356639,0.05384433,0.5104917, -0.6939640,52.30242
Corby,0.4404532,0.06217187,0.4973750, -0.6842333,52.49230
Bognor Regis,0.5155404,0.03137509,0.4530845, -0.6730610,50.78300
Scunthorpe,0.3540183,0.01627670,0.6297050, -0.6544130,53.58865
Grantham,0.4348844,0.01762115,0.5474945, -0.6435820,52.91252
Whitby,0.3548646,0.02238006,0.6227553, -0.6133470,54.48633
Slough,0.5400974,0.03575540,0.4241472, -0.5950406,51.51054
Guildford,0.5198134,0.03521585,0.4449707, -0.5704090,51.23622
Woking,0.5267173,0.03419197,0.4390908, -0.5600349,51.31677
Lincoln,0.3839286,0.02249536,0.5935761, -0.5405790,53.23069
Bedford,0.4754534,0.02720450,0.4973421, -0.4667782,52.13864
Heathrow,0.6328388,0.04327837,0.3238828, -0.4542955,51.47002
Driffield,0.3523547,0.02116208,0.6264832, -0.4433770,54.00600
Beverley,0.3453395,0.01939910,0.6352614, -0.4350930,53.84196
Luton,0.5331060,0.02367231,0.4432217, -0.4200255,51.87867
Scarborough,0.3407277,0.02042254,0.6388498, -0.3997520,54.28311
Worthing,0.5105283,0.03334154,0.4561301, -0.3728820,50.81787
Dorking,0.5465100,0.02192097,0.4315691, -0.3323780,51.23220
Hull,0.3519124,0.01896044,0.6291272, -0.3274198,53.76762
Horsham,0.5236465,0.02715797,0.4491955, -0.3258580,51.06288
Biggleswade,0.4847338,0.02713987,0.4881263, -0.2642200,52.08694
Peterborough,0.3736617,0.02902689,0.5973114, -0.2405299,52.56950
Welwyn Garden City,0.5066218,0.03074971,0.4626285, -0.2086610,51.80317
Bridlington,0.3525289,0.02108470,0.6263863, -0.1988020,54.08535
Stevenage,0.5120328,0.02826845,0.4596988, -0.1966120,51.90376
Crawley,0.5333715,0.02474270,0.4418859, -0.1872275,51.10914
Huntingdon,0.4480969,0.04152249,0.5103806, -0.1825520,52.33146
Hove,0.5100729,0.03582012,0.4541070, -0.1687490,50.82793
Spalding,0.3717342,0.02536918,0.6028966, -0.1537024,52.79010
Brighton,0.5095530,0.03585813,0.4545889, -0.1371630,50.82253
London,0.6104898,0.03435279,0.3551574, -0.1277583,51.50735
Grimsby,0.3491445,0.02035954,0.6304960, -0.0807840,53.56747
Boston,0.3717555,0.02204856,0.6061959, -0.0265770,52.97894
Royston,0.4855428,0.03109656,0.4833606, -0.0240660,52.04814
Louth_Lincs,0.3666857,0.02375523,0.6095591, -0.0077110,53.36596
Lewes,0.5266129,0.03283480,0.4405523,  0.0087800,50.87387
Chatteris,0.4204487,0.02939660,0.5501547,  0.0540120,52.45610
Uckfield,0.5585647,0.03617836,0.4052569,  0.0959130,50.96641
Cambridge,0.5391750,0.03272755,0.4280974,  0.1218170,52.20534
Bishop's Stortford,0.4873254,0.03379893,0.4788757,  0.1536502,51.87216
Wisbech,0.3996015,0.02435245,0.5760460,  0.1587970,52.66632
Sevenoaks,0.5164569,0.03130042,0.4522427,  0.1908980,51.27241
Tunbridge Wells,0.5028755,0.03366035,0.4634641,  0.2636950,51.13238
Eastbourne,0.5142085,0.03335211,0.4524394,  0.2904720,50.76803
Brentwood,0.5215074,0.02427780,0.4542148,  0.3071749,51.62047
Skegness,0.3761772,0.02354452,0.6002783,  0.3378810,53.14640
Downham Market,0.4429638,0.01772388,0.5393124,  0.3854720,52.60661
King's Lynn,0.4245485,0.02150665,0.5539449,  0.4022963,52.75168
Bexhill,0.4979740,0.03434636,0.4676797,  0.4662071,50.84991
Chelmsford,0.5060347,0.02320642,0.4707589,  0.4685497,51.73559
Mildenhall,0.5113254,0.03138968,0.4572849,  0.5156095,52.34757
Medway,0.5216337,0.02536367,0.4530026,  0.5417861,51.40474
Braintree,0.5077796,0.02123633,0.4709840,  0.5509269,51.88009
Gillingham,0.5233884,0.02633648,0.4502752,  0.5514380,51.38632
Hastings,0.4955556,0.03311547,0.4713290,  0.5734530,50.85426
Maldon,0.5194952,0.02442027,0.4560845,  0.6714480,51.73181
