variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs Xing,-337929.77294997266,7135669.463425561,0.3236877457727272,0.031148862595272397,0.6451633916320004
needs to be Xed,61385.7973640612,6689916.220204674,0.5166835731065091,0.03250775275612275,0.450808674137368
needs Xing,-241045.99334768736,6596021.329284243,0.45015207932060625,0.004846768267659612,0.5450011524117342
needs to be Xed,-168123.26659679288,7386544.967183743,0.4394750493684336,0.14288286873181757,0.4176420818997487
needs to be Xed,-174324.4190189739,7397459.703454149,0.4819632398040825,0.19249691769718966,0.3255398424987279
needs Xing,-2958.538106812832,6979103.340069991,0.3361176006013353,0.028658282731710158,0.6352241166669547
needs Xing,-209366.24737977437,6571766.627531886,0.4759202031019574,0.03611352237903526,0.4879662745190074
needs Xing,-195855.28946270398,7131612.398344218,0.47800000000000004,0.008,0.514
needs to be Xed,-377535.93420422805,6790899.657867309,0.5905007365338196,0.02359447097477162,0.38590479249140885
needs Xing,-398183.695995546,6710985.551582894,0.4536579428337947,0.034901369689499216,0.5114406874767061
needs Xing,-334362.7847703819,6643947.060070163,0.4733541253571607,0.028141858654729922,0.4985040159881094
needs Xing,-22130.537408684377,7186337.161902725,0.2524046004282037,0.004401617177466017,0.7431937823943303
needs Xing,-307052.66277457733,6574301.183996955,0.4190040276883871,0.044761383620794945,0.5362345886908179
needs to be Xed,-15268.915315677788,6589961.170074266,1,0,0
needs to be Xed,-288084.8234188206,6702089.049496805,1,0,0
needs to be Xed,-657860.2529057846,7809617.926776841,0.3669137439710473,0.26623891364904967,0.366847342379903
needs to be Xed,-636116.2279010835,7818101.701424047,0.36600472180729005,0.2779566960096083,0.3560385821831015
needs Xing,-505799.9212885998,6590684.741675179,0.463883515105717,0.07171949393778189,0.4643969909565011
needs Xing,-249411.70874054724,7130350.477113402,0.311268544631118,0.017316579691608366,0.6714148756772736
needs Xing,-182245.1347473877,6948671.96613752,0.3921080817601957,0.036773367554930284,0.571118550684874
needs to be Xed,79091.7412360835,6844168.757609536,0.4942322413777428,0.03503249619932788,0.47073526242292935
needs Xing,-213157.90055568406,7031065.606213349,0.41661167067244265,0.027200720273535196,0.5561876090540221
needs to be Xed,13560.606409964208,6837338.511988595,0.994,0,0.006000000000000001
needs to be Xed,-623987.3793858553,7444617.510135955,0.3921280649704653,0.3694230019734518,0.2384489330560829
needs to be Xed,120103.58936033095,6671014.198547059,0.5779415976354995,0.023211257146607055,0.3988471452178935
needs to be Xed,-353894.6799859882,6706926.020860399,1,0,0
needs to be Xed,-518845.0071367004,6815274.203126033,0.5417712152876926,0.024239255352213843,0.43398952936009355
needs Xing,-326492.3854518067,7341025.219134961,0.28694641904083823,0.3302507195913414,0.38280286136782044
needs to be Xed,52158.7140153411,6752456.634086062,0.5159283973629205,0.050417543354024354,0.4336540592830551
needs to be Xed,-231350.0990954405,6781953.4675142495,0.4985778633609268,0.029648305265428113,0.4717738313736452
needs Xing,-322055.63582675,7018850.630265591,0.4073542904001974,0.0270743634562869,0.5655713461435158
needs Xing,-158255.01637695075,7026594.338925578,0.38086333973674824,0.009930911006754245,0.6092057492564975
needs Xing,-86265.48091737626,6592618.925168484,0.4529252357604592,0.031662856740613074,0.5154119074989277
needs Xing,-74924.80779281152,6582997.9758701455,0.44684400455122125,0.01910051360668433,0.5340554818420944
needs Xing,-278405.3599234148,6768599.424110748,0.46571283695424665,0.04253334123742598,0.4917538218083273
needs Xing,-287476.57372112625,6784671.673753447,0.47634227509633764,0.029599717508069515,0.49405800739559275
needs to be Xed,128355.2690668222,6762159.598165381,0.5040695006610967,0.019750252590241928,0.4761802467486613
needs to be Xed,99282.95953176008,6781329.551805553,0.5024780783256242,0.01736018068454454,0.4801617409898314
needs Xed,-741901.0249316063,7387639.85998861,0.3489449339179161,0.4523225618408329,0.1987325042412511
needs Xing,-414958.9866606384,7037413.85800091,0.4174665997429098,0.037246804413723196,0.545286595843367
needs Xed,-750782.0048515011,7292657.903372045,0.39701047866770883,0.4364428022012974,0.16654671913099384
