placename,control,doubled,longitude,latitude
Reading,0.9941315,0.0058685446, -0.9781303,51.45426
Retford,0.9979654,0.0020345880, -0.9455030,53.32136
Petersfield,1.0000000,0.0000000000, -0.9389900,51.00759
Northampton,0.9943925,0.0056074766, -0.9026560,52.24048
Melton Mowbray,0.9979149,0.0020851434, -0.8871260,52.76640
Aylesbury,0.9919324,0.0080676143, -0.8084000,51.81561
Newark-on-Trent,1.0000000,0.0000000000, -0.8065700,53.07004
Malton,0.9949601,0.0050398992, -0.7978970,54.13684
Chichester,0.9978045,0.0021954789, -0.7749360,50.83761
Gainsborough,1.0000000,0.0000000000, -0.7744650,53.40058
Milton Keynes,0.9947750,0.0052249637, -0.7594171,52.04062
Aldershot,0.9975947,0.0024052916, -0.7557509,51.24837
High Wycombe,0.9958988,0.0041011620, -0.7482290,51.62861
Midhurst,1.0000000,0.0000000000, -0.7372740,50.98690
Kettering,0.9986888,0.0013111888, -0.7302490,52.39632
Wellingborough,0.9941653,0.0058346840, -0.6939640,52.30242
Corby,0.9967521,0.0032479249, -0.6842333,52.49230
Bognor Regis,0.9985946,0.0014054448, -0.6730610,50.78300
Scunthorpe,0.9917582,0.0082417582, -0.6544130,53.58865
Grantham,0.9985463,0.0014536644, -0.6435820,52.91252
Whitby,0.9924433,0.0075566751, -0.6133470,54.48633
Slough,0.9918246,0.0081753770, -0.5950406,51.51054
Guildford,1.0000000,0.0000000000, -0.5704090,51.23622
Woking,1.0000000,0.0000000000, -0.5600349,51.31677
Lincoln,1.0000000,0.0000000000, -0.5405790,53.23069
Bedford,0.9940072,0.0059928086, -0.4667782,52.13864
Heathrow,0.9910866,0.0089134406, -0.4542955,51.47002
Driffield,0.9899131,0.0100868591, -0.4433770,54.00600
Beverley,0.9894428,0.0105571848, -0.4350930,53.84196
Luton,0.9976758,0.0023242301, -0.4200255,51.87867
Scarborough,0.9887697,0.0112303469, -0.3997520,54.28311
Worthing,0.9969264,0.0030736480, -0.3728820,50.81787
Dorking,0.9955476,0.0044523598, -0.3323780,51.23220
Hull,0.9907157,0.0092843327, -0.3274198,53.76762
Horsham,0.9948865,0.0051135395, -0.3258580,51.06288
Biggleswade,1.0000000,0.0000000000, -0.2642200,52.08694
Peterborough,0.9967427,0.0032573290, -0.2405299,52.56950
Welwyn Garden City,0.9978591,0.0021409456, -0.2086610,51.80317
Bridlington,0.9898791,0.0101208884, -0.1988020,54.08535
Stevenage,0.9975036,0.0024963595, -0.1966120,51.90376
Crawley,0.9965508,0.0034491789, -0.1872275,51.10914
Huntingdon,0.9979083,0.0020916855, -0.1825520,52.33146
Hove,0.9970978,0.0029021804, -0.1687490,50.82793
Spalding,0.9949937,0.0050062578, -0.1537024,52.79010
Brighton,0.9970978,0.0029021804, -0.1371630,50.82253
London,0.9970059,0.0029941010, -0.1277583,51.50735
Grimsby,0.9924171,0.0075829384, -0.0807840,53.56747
Boston,0.9955423,0.0044576523, -0.0265770,52.97894
Royston,0.9950526,0.0049474335, -0.0240660,52.04814
Louth,0.9929204,0.0070796460, -0.0077110,53.36596
Lewes,0.9970746,0.0029253705,  0.0087800,50.87387
Chatteris,0.9955115,0.0044884982,  0.0540120,52.45610
Uckfield,0.9984311,0.0015688827,  0.0959130,50.96641
Cambridge,0.9955760,0.0044239631,  0.1218170,52.20534
Bishop's Stortford,0.9890034,0.0109965636,  0.1536502,51.87216
Wisbech,0.9939850,0.0060150376,  0.1587970,52.66632
Sevenoaks,0.9980399,0.0019601437,  0.1908980,51.27241
Tunbridge Wells,1.0000000,0.0000000000,  0.2636950,51.13238
Eastbourne,1.0000000,0.0000000000,  0.2904720,50.76803
Brentwood,0.9908386,0.0091613813,  0.3071749,51.62047
Skegness,0.9947368,0.0052631579,  0.3378810,53.14640
Downham Market,0.9976861,0.0023139221,  0.3854720,52.60661
King's Lynn,0.9947020,0.0052980132,  0.4022963,52.75168
Bexhill,1.0000000,0.0000000000,  0.4662071,50.84991
Chelmsford,0.9915243,0.0084756646,  0.4685497,51.73559
