variant,longitude,latitude,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive
prepositional_dative,-518845.0071367004,6815274.203126033,0.1063894330542507,0.786489288940162,0.10712127800558727
prepositional_dative,-326492.3854518067,7341025.219134961,0.2701179360555263,0.5892135124601957,0.14066855148427793
prepositional_dative,52158.7140153411,6752456.634086062,0.09029225586715983,0.7886940277579755,0.12101371637486473
prepositional_dative,-231350.0990954405,6781953.4675142495,0.0676367042744228,0.7475456523782652,0.18481764334731202
prepositional_dative,-322055.63582675,7018850.630265591,0.14137171492345826,0.5492802912757525,0.3093479938007892
prepositional_dative,-158255.01637695075,7026594.338925578,0.10272798647355713,0.48786178752474785,0.4094102260016951
prepositional_dative,-86265.48091737626,6592618.925168484,0.23468986457007468,0.7175215186151461,0.047788616814779125
prepositional_dative,-74924.80779281152,6582997.9758701455,0.2288841667862972,0.7140070378500385,0.05710879536366439
prepositional_dative,-278405.3599234148,6768599.424110748,0.07585541869581224,0.7582240925382807,0.16592048876590706
prepositional_dative,-287476.57372112625,6784671.673753447,0.07563429257043476,0.743193223662091,0.18117248376747422
prepositional_dative,128355.2690668222,6762159.598165381,0.10112888953433717,0.7922966608217044,0.10657444964395849
prepositional_dative,99282.95953176008,6781329.551805553,0.09961394924830462,0.7813082758991515,0.11907777485254394
prepositional_dative,-741901.0249316063,7387639.85998861,0.2429703854277184,0.6431263146448233,0.11390329992745833
prepositional_dative,-414958.9866606384,7037413.85800091,0.17682362710679264,0.6096697795569095,0.21350659333629793
prepositional_dative,-750782.0048515011,7292657.903372045,0.18369674399987967,0.706840874264943,0.10946238173517724
prepositional_dative,-735597.0244318814,7314533.01844208,0.2049246307751794,0.6883494647808716,0.10672590444394912
prepositional_dative,-76168.50253980121,6889633.496961147,0.14007061937014118,0.6572431556665773,0.2026862249632815
prepositional_dative,-169171.45092210232,6874021.0070969695,0.08443289765263785,0.6104688580523243,0.3050982442950378
prepositional_dative,-714400.101328582,7254491.56446006,0.17961838471293912,0.7232399037935852,0.09714171149347571
prepositional_dative,-20842.06996249763,6640622.096461417,0.17622991218555453,0.7295911957358376,0.09417889207860784
prepositional_dative,-272044.8981779596,7001591.76587012,0.019590419423428332,0.6920521205392676,0.2883574600373041
prepositional_dative,144923.06020107592,6970327.7086967295,0.15943873460657312,0.7814619141108182,0.059099351282608646
prepositional_dative,134803.32811958273,6972723.919408803,0.16426052051778142,0.7739710223610907,0.06176845712112781
prepositional_dative,-437643.0045775469,7350310.456595217,0.36476917017208,0.5455928373254079,0.08963799250251221
prepositional_dative,-425521.7591835397,7349109.814531086,0.35047863827039916,0.5534627191886325,0.09605864254096833
prepositional_dative,-173598.07047349686,7269952.112051287,0.2606613288511722,0.5941061727506542,0.14523249839817354
prepositional_dative,-164153.79166629,6968680.921983317,0.08847324377246919,0.5819772414822478,0.32954951474528305
prepositional_dative,-813586.8251605514,7361208.676721838,0.16854841771615015,0.7034905082612057,0.1279610740226441
prepositional_dative,-125619.81521955911,7080297.127915944,0.20885638170472867,0.44863760990598517,0.3425060083892861
prepositional_dative,-271751.0258542144,6570360.119708541,0.07555698690909556,0.8085517298360778,0.11589128325482657
prepositional_dative,-273581.11828285584,6553371.8054395765,0.08024190915914557,0.7975376077677891,0.12222048307306538
prepositional_dative,-231668.32812377118,6893283.013297537,0.05916379429700977,0.5774240308959648,0.3634121748070254
goal_theme_ditransitive,-508123.8269784001,7547531.546302262,0.5041292884304507,0.43135676828594655,0.06451394328360281
goal_theme_ditransitive,-526988.0278882283,7558877.1181585705,0.5052674375648815,0.4286980072682029,0.06603455516691563
prepositional_dative,-401320.1226486465,7375630.562739154,0.4188947519323932,0.5078779716819053,0.07322727638570152
goal_theme_ditransitive,-330699.14900888456,7650945.583272922,0.4976153134200477,0.44995862408312387,0.052426062496828414
prepositional_dative,-351562.20269539667,7581707.427770629,0.4081607691180437,0.5538187412032544,0.03802048967870185
prepositional_dative,-384291.69146149023,7572710.5359689975,0.42848471251450004,0.51839743215132,0.05311785533418007
prepositional_dative,-753291.780695079,7267010.799287512,0.16840955397637722,0.7250829201181751,0.10650752590544763
goal_theme_ditransitive,-562808.3023161971,7525829.592341042,0.5090927240755287,0.42537749284193427,0.06552978308253707
goal_theme_ditransitive,-548383.6340186954,7548661.951353563,0.5089177911292411,0.4254579219127223,0.06562428695803658
prepositional_dative,-186881.8253098582,7296892.292625123,0.25328569427302206,0.5954927238094494,0.15122158191752857
prepositional_dative,-176424.91762270124,7318368.335266828,0.25769924614807255,0.583900517023348,0.15840023682857934
prepositional_dative,32335.195129703767,6580363.918488307,0.12027028037247844,0.7787845772652499,0.10094514236227171
prepositional_dative,-354916.25895299803,7549115.074480226,0.38800972373531756,0.5716002044616002,0.04039007180308214
prepositional_dative,-369412.06040511647,7894036.479940738,0.2745099035463317,0.6087569419208463,0.11673315453282196
prepositional_dative,-849538.4343237581,7235543.298687504,0.10136136512158689,0.7802122028243914,0.11842643205402174
prepositional_dative,-216713.44509162122,6816804.355574689,0.07443105728573332,0.6500637701614868,0.27550517255278
prepositional_dative,-393391.83719485876,6571634.40722599,0.14026365290609683,0.7678225735525489,0.09191377354135427
