placename,sel,self,sen,longitude,latitude
Barrow-in-Furness,0.00331186753,0.9961362,0.00055197792, -3.2188940,54.10897
Peebles,0.02743902439,0.9725610,0.00000000000, -3.1936420,55.65307
Edinburgh,0.01719285028,0.9826548,0.00015237386, -3.1882670,55.95325
Cardiff,0.00033181536,0.9996682,0.00000000000, -3.1790900,51.48158
Llangollen,0.00000000000,1.0000000,0.00000000000, -3.1716600,52.96921
Kirkcaldy,0.03602786445,0.9639721,0.00000000000, -3.1581370,56.11682
Welshpool,0.00000000000,1.0000000,0.00000000000, -3.1464070,52.66035
Mold,0.00000000000,1.0000000,0.00000000000, -3.1419030,53.16720
Mold,0.00000000000,1.0000000,0.00000000000, -3.1419030,53.16720
Taunton,0.00000000000,1.0000000,0.00000000000, -3.1068490,51.01534
Wick,0.05204112187,0.9473001,0.00065874838, -3.0937160,58.43894
John o' Groats,0.05424903669,0.9450599,0.00069107053, -3.0688997,58.63734
Dalkeith,0.02801911381,0.9719809,0.00000000000, -3.0666060,55.89312
Oswestry,0.00000000000,1.0000000,0.00000000000, -3.0564120,52.85715
Blackpool,0.00032752999,0.9981440,0.00152847327, -3.0356748,53.81751
Birkenhead,0.00058766915,0.9990298,0.00038253935, -3.0230090,53.38999
Cupar,0.01523249599,0.9839658,0.00080171032, -3.0101370,56.32023
Southport,0.00000000000,1.0000000,0.00000000000, -3.0101130,53.64571
Bridgwater,0.00029310614,0.9997069,0.00000000000, -3.0036320,51.12789
Langholm,0.02268226823,0.9773177,0.00000000000, -2.9989130,55.15306
Newport,0.00025983700,0.9997402,0.00000000000, -2.9976640,51.58415
Axminster,0.00000000000,1.0000000,0.00000000000, -2.9949370,50.78273
Wrexham,0.00036904908,0.9992619,0.00036904908, -2.9924940,53.04304
Liverpool,0.00058555689,0.9990455,0.00036890084, -2.9915726,53.40837
Weston-super-Mare,0.00040799674,0.9995920,0.00000000000, -2.9772550,51.34741
Dundee,0.02039186455,0.9794484,0.00015972740, -2.9707210,56.46202
Kirkwall,0.05261238355,0.9466999,0.00068774358, -2.9622491,58.98467
Ambleside,0.00098651759,0.9990135,0.00000000000, -2.9613330,54.42874
Orkney Islands,0.05261238355,0.9466999,0.00068774358, -2.9605206,58.98094
Lyme Regis,0.00085787818,0.9991421,0.00000000000, -2.9366390,50.72516
Carlisle,0.00581218016,0.9925272,0.00166062290, -2.9329310,54.89247
Chester,0.00039153355,0.9988254,0.00078306711, -2.8930750,53.19339
Forfar,0.02621359223,0.9733383,0.00044809559, -2.8890620,56.64356
Morecambe,0.00247201328,0.9971748,0.00035314475, -2.8649680,54.07417
Selkirk,0.04479086618,0.9552091,0.00000000000, -2.8385240,55.55066
Galashiels,0.04479086618,0.9552091,0.00000000000, -2.8144490,55.62373
Lancaster,0.00245883035,0.9973520,0.00018914080, -2.8007399,54.04657
St Andrews,0.01648351648,0.9828297,0.00068681319, -2.7967214,56.33978
Hawick,0.04705339638,0.9529466,0.00000000000, -2.7809140,55.42706
Bridport,0.00122699387,0.9987730,0.00000000000, -2.7583010,50.73358
Shrewsbury,0.00023095476,0.9993071,0.00046190951, -2.7553268,52.70730
Penrith,0.00226430630,0.9965006,0.00123507616, -2.7527080,54.66410
Kendal,0.00265277120,0.9958314,0.00151586926, -2.7462900,54.32801
Street,0.00029903710,0.9997010,0.00000000000, -2.7429190,51.12468
Glastonbury,0.00000000000,1.0000000,0.00000000000, -2.7184540,51.14743
Hereford,0.00000000000,0.9992007,0.00079928952, -2.7159740,52.05640
Ludlow,0.00000000000,1.0000000,0.00000000000, -2.7139129,52.36775
Preston,0.00136649358,0.9984058,0.00022774893, -2.7030900,53.76320
Whitchurch,0.00090607067,0.9981879,0.00090607067, -2.6820450,52.96872
Wells,0.00000000000,1.0000000,0.00000000000, -2.6445979,51.20935
Yeovil,0.00034176350,0.9996582,0.00000000000, -2.6333080,50.94206
Wigan,0.00099307057,0.9985656,0.00044136470, -2.6325074,53.54506
Warrington,0.00060719526,0.9991904,0.00020239842, -2.5969501,53.39004
Arbroath,0.02441860465,0.9752492,0.00033222591, -2.5915430,56.55911
Bristol,0.00043132462,0.9994903,0.00007842266, -2.5879100,51.45451
Guernsey,0.00057104787,0.9994290,0.00000000000, -2.5852780,49.46569
Ross-on-Wye,0.00000000000,0.9980670,0.00193298969, -2.5824460,51.91445
Jedburgh,0.04317473956,0.9568253,0.00000000000, -2.5549369,55.47772
Sedbergh,0.00284090909,0.9955357,0.00162337662, -2.5281740,54.32363
