placename,past participle,present participle,longitude,latitude
Dumfries,0.23287172,0.7671283, -3.6051200,55.07086
Whitehaven,0.60636605,0.3936340, -3.5892330,54.54970
Dartmouth,0.57230597,0.4276940, -3.5788070,50.35252
Bridgend,0.48071591,0.5192841, -3.5769450,51.50429
Paignton,0.58278867,0.4172113, -3.5642350,50.43508
Workington,0.60601002,0.3939900, -3.5427520,54.64357
Llanidloes,0.53462838,0.4653716, -3.5401950,52.44779
Exeter,0.55175439,0.4482456, -3.5338990,50.71841
Torquay,0.57521059,0.4247894, -3.5253150,50.46192
Thurso,0.19904241,0.8009576, -3.5220800,58.59357
Livingston,0.11416922,0.8858308, -3.5180680,55.90071
Rhyl,0.49514734,0.5048527, -3.4916340,53.31914
Tiverton,0.53370072,0.4662993, -3.4912070,50.90205
Tiverton,0.53370072,0.4662993, -3.4912070,50.90205
Minehead,0.51370469,0.4862953, -3.4811520,51.20428
Dunfermline,0.12355018,0.8764498, -3.4521510,56.07174
Perth,0.14214577,0.8578542, -3.4308381,56.39499
Prestatyn,0.49567214,0.5043279, -3.4076130,53.33651
Builth Wells,0.48604993,0.5139501, -3.4045920,52.15002
Braemar,0.18943299,0.8105670, -3.3979439,57.00647
Brecon,0.47248773,0.5275123, -3.3914630,51.94895
Merthyr Tydfil,0.47566315,0.5243369, -3.3816460,51.74873
Llandrindod Wells,0.50958904,0.4904110, -3.3777420,52.24170
Corwen,0.48781331,0.5121867, -3.3692420,52.98005
Cockermouth,0.55141388,0.4485861, -3.3679850,54.66326
Lockerbie,0.23730044,0.7626996, -3.3490080,55.12224
Blairgowrie,0.14597861,0.8540214, -3.3378318,56.58941
Elgin,0.19705094,0.8029491, -3.3184850,57.64945
Newtown,0.49607725,0.5039228, -3.3131060,52.51211
Ruthin,0.50326907,0.4967309, -3.3103108,53.11487
Ruthin,0.50326907,0.4967309, -3.3103108,53.11487
Sidmouth,0.57108722,0.4289128, -3.2375600,50.67865
Barrow-in-Furness,0.65632054,0.3436795, -3.2188940,54.10897
Peebles,0.11942594,0.8805741, -3.1936420,55.65307
Edinburgh,0.12840671,0.8715933, -3.1882670,55.95325
Cardiff,0.54107812,0.4589219, -3.1790900,51.48158
Llangollen,0.49759496,0.5024050, -3.1716600,52.96921
Kirkcaldy,0.13808871,0.8619113, -3.1581370,56.11682
Welshpool,0.49748181,0.5025182, -3.1464070,52.66035
Mold,0.52634911,0.4736509, -3.1419030,53.16720
Mold,0.52634911,0.4736509, -3.1419030,53.16720
Taunton,0.54892038,0.4510796, -3.1068490,51.01534
Wick,0.19705094,0.8029491, -3.0937160,58.43894
John o' Groats,0.19705094,0.8029491, -3.0688997,58.63734
Dalkeith,0.12991718,0.8700828, -3.0666060,55.89312
