placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Lockerbie,0.4853257,0.5146743, -3.3490080,55.12224
Blairgowrie,0.5324074,0.4675926, -3.3378318,56.58941
Elgin,0.5231481,0.4768519, -3.3184850,57.64945
Newtown,0.3794872,0.6205128, -3.3131060,52.51211
Ruthin,0.2844336,0.7155664, -3.3103108,53.11487
Ruthin,0.2844336,0.7155664, -3.3103108,53.11487
Sidmouth,0.5053286,0.4946714, -3.2375600,50.67865
Barrow-in-Furness,0.2759720,0.7240280, -3.2188940,54.10897
Peebles,0.4906340,0.5093660, -3.1936420,55.65307
Edinburgh,0.4928264,0.5071736, -3.1882670,55.95325
Cardiff,0.4881517,0.5118483, -3.1790900,51.48158
Llangollen,0.2885408,0.7114592, -3.1716600,52.96921
Kirkcaldy,0.4934498,0.5065502, -3.1581370,56.11682
Welshpool,0.3296167,0.6703833, -3.1464070,52.66035
Mold,0.2811459,0.7188541, -3.1419030,53.16720
Mold,0.2811459,0.7188541, -3.1419030,53.16720
Taunton,0.5040724,0.4959276, -3.1068490,51.01534
Wick,0.5231481,0.4768519, -3.0937160,58.43894
John o' Groats,0.5231481,0.4768519, -3.0688997,58.63734
Dalkeith,0.4906340,0.5093660, -3.0666060,55.89312
Oswestry,0.2814321,0.7185679, -3.0564120,52.85715
Blackpool,0.2858036,0.7141964, -3.0356748,53.81751
Birkenhead,0.2724399,0.7275601, -3.0230090,53.38999
Cupar,0.5088496,0.4911504, -3.0101370,56.32023
Southport,0.2890137,0.7109863, -3.0101130,53.64571
Bridgwater,0.5053571,0.4946429, -3.0036320,51.12789
Langholm,0.4789736,0.5210264, -2.9989130,55.15306
Newport,0.4663594,0.5336406, -2.9976640,51.58415
Axminster,0.5067507,0.4932493, -2.9949370,50.78273
Wrexham,0.2787840,0.7212160, -2.9924940,53.04304
Liverpool,0.2734772,0.7265228, -2.9915726,53.40837
Weston-super-Mare,0.4879786,0.5120214, -2.9772550,51.34741
Dundee,0.5022026,0.4977974, -2.9707210,56.46202
Kirkwall,0.5000000,0.5000000, -2.9622491,58.98467
Ambleside,0.3000898,0.6999102, -2.9613330,54.42874
Orkney Islands,0.5000000,0.5000000, -2.9605206,58.98094
Lyme Regis,0.5067507,0.4932493, -2.9366390,50.72516
Carlisle,0.3814516,0.6185484, -2.9329310,54.89247
Chester,0.2859948,0.7140052, -2.8930750,53.19339
Forfar,0.5022026,0.4977974, -2.8890620,56.64356
Morecambe,0.2767413,0.7232587, -2.8649680,54.07417
Selkirk,0.4819885,0.5180115, -2.8385240,55.55066
Galashiels,0.4863112,0.5136888, -2.8144490,55.62373
Lancaster,0.2719950,0.7280050, -2.8007399,54.04657
St Andrews,0.5022026,0.4977974, -2.7967214,56.33978
Hawick,0.4692857,0.5307143, -2.7809140,55.42706
Bridport,0.5067507,0.4932493, -2.7583010,50.73358
Shrewsbury,0.3234687,0.6765313, -2.7553268,52.70730
Penrith,0.3141136,0.6858864, -2.7527080,54.66410
Kendal,0.2837055,0.7162945, -2.7462900,54.32801
Street,0.4944030,0.5055970, -2.7429190,51.12468
Glastonbury,0.4944030,0.5055970, -2.7184540,51.14743
Hereford,0.4414091,0.5585909, -2.7159740,52.05640
Ludlow,0.3670886,0.6329114, -2.7139129,52.36775
Preston,0.2782003,0.7217997, -2.7030900,53.76320
Whitchurch,0.2853420,0.7146580, -2.6820450,52.96872
Wells,0.4904459,0.5095541, -2.6445979,51.20935
Yeovil,0.5067507,0.4932493, -2.6333080,50.94206
Wigan,0.2748756,0.7251244, -2.6325074,53.54506
Warrington,0.2769131,0.7230869, -2.5969501,53.39004
Arbroath,0.5022026,0.4977974, -2.5915430,56.55911
Bristol,0.4906500,0.5093500, -2.5879100,51.45451
Guernsey,0.4870242,0.5129758, -2.5852780,49.46569
Ross-on-Wye,0.4257143,0.5742857, -2.5824460,51.91445
Jedburgh,0.4652975,0.5347025, -2.5549369,55.47772
Sedbergh,0.2706827,0.7293173, -2.5281740,54.32363
Sedbergh,0.2706827,0.7293173, -2.5281740,54.32363
Nantwich,0.2794953,0.7205047, -2.5241020,53.06719
Banff,0.5000000,0.5000000, -2.5240380,57.66651
Dunbar,0.4885222,0.5114778, -2.5167370,56.00209
Cinderford,0.4226657,0.5773343, -2.5009579,51.82530
Banchory,0.5044248,0.4955752, -2.4909599,57.05386
Blackburn,0.2323162,0.7676838, -2.4875290,53.74858
Market Drayton,0.3023891,0.6976109, -2.4834850,52.90355
Telford,0.3372922,0.6627078, -2.4672611,52.67759
Montrose,0.5022026,0.4977974, -2.4661150,56.70692
Turriff,0.5000000,0.5000000, -2.4623000,57.53893
Weymouth,0.4986571,0.5013429, -2.4576210,50.61443
Crewe,0.2789673,0.7210327, -2.4438209,53.10041
Fortuneswell,0.5013649,0.4986351, -2.4422190,50.55919
Dorchester,0.4986571,0.5013429, -2.4411810,50.71116
Alston,0.3075769,0.6924231, -2.4386850,54.81217
Kelso,0.4756098,0.5243902, -2.4322070,55.60003
Wincanton,0.4697248,0.5302752, -2.4160070,51.05569
Clitheroe,0.2349124,0.7650876, -2.3930830,53.87110
Sark,0.4814488,0.5185512, -2.3666256,49.43007
Bath,0.4729242,0.5270758, -2.3590167,51.38106
Kidderminster,0.3301887,0.6698113, -2.2496839,52.38860
Manchester,0.2369186,0.7630814, -2.2426305,53.48076
Burnley,0.2380637,0.7619363, -2.2405035,53.78929
Gloucester,0.4089616,0.5910384, -2.2381560,51.86424
Newcastle-under-Lyme,0.2466468,0.7533532, -2.2273002,53.01321
Worcester,0.3427481,0.6572519, -2.2215750,52.19364
Trowbridge,0.4667897,0.5332103, -2.2088530,51.31966
Shaftesbury,0.4750923,0.5249077, -2.1980830,51.00460
Alderney,0.4659378,0.5340622, -2.1973557,49.71500
Stoke-on-Trent,0.2789438,0.7210562, -2.1794040,53.00267
Colne,0.2494915,0.7505085, -2.1769910,53.85564
Blandford Forum,0.4640221,0.5359779, -2.1653530,50.85691
Rochdale,0.2313383,0.7686617, -2.1561000,53.60971
Jersey,0.4518868,0.5481132, -2.1312500,49.21444
Wolverhampton,0.3301887,0.6698113, -2.1288200,52.58697
Stafford,0.3251834,0.6748166, -2.1206600,52.80669
Macclesfield,0.2135729,0.7864271, -2.1192870,53.25866
Hexham,0.3625171,0.6374829, -2.1121439,54.97266
Aberdeen,0.4977974,0.5022026, -2.0942780,57.14972
Dudley,0.3262411,0.6737589, -2.0811120,52.51226
Cheltenham,0.4212828,0.5787172, -2.0782533,51.89939
Bromsgrove,0.3246445,0.6753555, -2.0619060,52.33559
Skipton,0.2634961,0.7365039, -2.0162787,53.96285
Fraserburgh,0.5022222,0.4977778, -2.0076310,57.69335
Berwick,0.4646974,0.5353026, -2.0053950,55.77024
